s1,s2,Re(r_ibc0.11),Im(r_ibc0.11),Abs(r_ibc0.11),Arg(r_ibc0.11),Re(r_ibc0.21),Im(r_ibc0.21),Abs(r_ibc0.21),Arg(r_ibc0.21),Re(r_ibc0.12),Im(r_ibc0.12),Abs(r_ibc0.12),Arg(r_ibc0.12),Re(r_ibc0.22),Im(r_ibc0.22),Abs(r_ibc0.22),Arg(r_ibc0.22)
+2.57142857E-01,+0.00000000E+00,+9.01949425E-01,-4.17153424E-01,+9.93745312E-01,-4.33201827E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.13559323E-01,-3.92033217E-01,+9.94123071E-01,-4.05361281E-01
+2.73214286E-01,+0.00000000E+00,+9.01119692E-01,-4.18881126E-01,+9.93719325E-01,-4.35130352E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.14287780E-01,-3.90394077E-01,+9.94147716E-01,-4.03557150E-01
+2.89285714E-01,+0.00000000E+00,+9.00223778E-01,-4.20737166E-01,+9.93691408E-01,-4.37204175E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.15061138E-01,-3.88645179E-01,+9.94174010E-01,-4.01633843E-01
+3.05357143E-01,+0.00000000E+00,+8.99258375E-01,-4.22726302E-01,+9.93661487E-01,-4.39429075E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.15879534E-01,-3.86784517E-01,+9.94201983E-01,-3.99589462E-01
+3.21428571E-01,+0.00000000E+00,+8.98219817E-01,-4.24853756E-01,+9.93629485E-01,-4.41811414E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.16743112E-01,-3.84809924E-01,+9.94231669E-01,-3.97421954E-01
+3.37500000E-01,+0.00000000E+00,+8.97104046E-01,-4.27125251E-01,+9.93595315E-01,-4.44358191E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.17652028E-01,-3.82719050E-01,+9.94263102E-01,-3.95129094E-01
+3.53571429E-01,+0.00000000E+00,+8.95906564E-01,-4.29547066E-01,+9.93558883E-01,-4.47077103E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.18606444E-01,-3.80509360E-01,+9.94296320E-01,-3.92708478E-01
+3.69642857E-01,+0.00000000E+00,+8.94622383E-01,-4.32126079E-01,+9.93520084E-01,-4.49976622E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.19606533E-01,-3.78178113E-01,+9.94331364E-01,-3.90157506E-01
+3.85714286E-01,+0.00000000E+00,+8.93245968E-01,-4.34869838E-01,+9.93478805E-01,-4.53066075E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.20652479E-01,-3.75722352E-01,+9.94368278E-01,-3.87473369E-01
+4.01785714E-01,+0.00000000E+00,+8.91771167E-01,-4.37786624E-01,+9.93434921E-01,-4.56355744E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.21744474E-01,-3.73138884E-01,+9.94407111E-01,-3.84653033E-01
+4.17857143E-01,+0.00000000E+00,+8.90191132E-01,-4.40885534E-01,+9.93388295E-01,-4.59856970E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.22882722E-01,-3.70424260E-01,+9.94447913E-01,-3.81693220E-01
+4.33928571E-01,+0.00000000E+00,+8.88498228E-01,-4.44176567E-01,+9.93338776E-01,-4.63582286E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.24067438E-01,-3.67574759E-01,+9.94490741E-01,-3.78590385E-01
+4.50000000E-01,+0.00000000E+00,+8.86683926E-01,-4.47670734E-01,+9.93286197E-01,-4.67545559E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.25298848E-01,-3.64586355E-01,+9.94535655E-01,-3.75340695E-01
+4.66071429E-01,+0.00000000E+00,+8.84738673E-01,-4.51380174E-01,+9.93230377E-01,-4.71762168E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.26577189E-01,-3.61454697E-01,+9.94582719E-01,-3.71939999E-01
+4.82142857E-01,+0.00000000E+00,+8.82651748E-01,-4.55318294E-01,+9.93171111E-01,-4.76249196E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.27902711E-01,-3.58175074E-01,+9.94632005E-01,-3.68383800E-01
+4.98214286E-01,+0.00000000E+00,+8.80411078E-01,-4.59499929E-01,+9.93108177E-01,-4.81025671E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.29275679E-01,-3.54742377E-01,+9.94683589E-01,-3.64667217E-01
+5.14285714E-01,+0.00000000E+00,+8.78003037E-01,-4.63941529E-01,+9.93041326E-01,-4.86112837E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.30696368E-01,-3.51151064E-01,+9.94737553E-01,-3.60784947E-01
+5.30357143E-01,+0.00000000E+00,+8.75412186E-01,-4.68661377E-01,+9.92970283E-01,-4.91534482E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.32165071E-01,-3.47395105E-01,+9.94793988E-01,-3.56731217E-01
+5.46428571E-01,+0.00000000E+00,+8.72620975E-01,-4.73679845E-01,+9.92894738E-01,-4.97317327E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.33682094E-01,-3.43467936E-01,+9.94852992E-01,-3.52499732E-01
+5.62500000E-01,+0.00000000E+00,+8.69609375E-01,-4.79019694E-01,+9.92814350E-01,-5.03491483E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.35247762E-01,-3.39362387E-01,+9.94914673E-01,-3.48083612E-01
+5.78571429E-01,+0.00000000E+00,+8.66354437E-01,-4.84706432E-01,+9.92728732E-01,-5.10091015E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.36862416E-01,-3.35070614E-01,+9.94979147E-01,-3.43475318E-01
+5.94642857E-01,+0.00000000E+00,+8.62829740E-01,-4.90768735E-01,+9.92637452E-01,-5.17154608E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.38526417E-01,-3.30584012E-01,+9.95046544E-01,-3.38666569E-01
+6.10714286E-01,+0.00000000E+00,+8.59004723E-01,-4.97238955E-01,+9.92540021E-01,-5.24726393E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.40240146E-01,-3.25893111E-01,+9.95117004E-01,-3.33648241E-01
+6.26785714E-01,+0.00000000E+00,+8.54843848E-01,-5.04153727E-01,+9.92435884E-01,-5.32856948E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.42004009E-01,-3.20987458E-01,+9.95190685E-01,-3.28410249E-01
+6.42857143E-01,+0.00000000E+00,+8.50305549E-01,-5.11554704E-01,+9.92324414E-01,-5.41604541E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.43818434E-01,-3.15855470E-01,+9.95267760E-01,-3.22941404E-01
+6.58928571E-01,+0.00000000E+00,+8.45340909E-01,-5.19489453E-01,+9.92204890E-01,-5.51036682E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.45683881E-01,-3.10484263E-01,+9.95348421E-01,-3.17229241E-01
+6.75000000E-01,+0.00000000E+00,+8.39891963E-01,-5.28012545E-01,+9.92076487E-01,-5.61232072E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.47600837E-01,-3.04859442E-01,+9.95432884E-01,-3.11259816E-01
+6.91071429E-01,+0.00000000E+00,+8.33889517E-01,-5.37186908E-01,+9.91938255E-01,-5.72283080E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.49569829E-01,-2.98964844E-01,+9.95521390E-01,-3.05017445E-01
+7.07142857E-01,+0.00000000E+00,+8.27250297E-01,-5.47085498E-01,+9.91789088E-01,-5.84298932E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.51591420E-01,-2.92782221E-01,+9.95614212E-01,-2.98484398E-01
+7.23214286E-01,+0.00000000E+00,+8.19873176E-01,-5.57793395E-01,+9.91627701E-01,-5.97409849E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.53666222E-01,-2.86290843E-01,+9.95711660E-01,-2.91640504E-01
+7.39285714E-01,+0.00000000E+00,+8.11634134E-01,-5.69410443E-01,+9.91452581E-01,-6.11772508E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.55794902E-01,-2.79467001E-01,+9.95814089E-01,-2.84462656E-01
+7.55357143E-01,+0.00000000E+00,+8.02379388E-01,-5.82054601E-01,+9.91261943E-01,-6.27577347E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.57978190E-01,-2.72283368E-01,+9.95921907E-01,-2.76924179E-01
+7.71428571E-01,+0.00000000E+00,+7.91915897E-01,-5.95866236E-01,+9.91053661E-01,-6.45058493E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.60216894E-01,-2.64708167E-01,+9.96035590E-01,-2.68994007E-01
+7.87500000E-01,+0.00000000E+00,+7.79997983E-01,-6.11013661E-01,+9.90825185E-01,-6.64507509E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.62511914E-01,-2.56704078E-01,+9.96155695E-01,-2.60635598E-01
+8.03571429E-01,+0.00000000E+00,+7.66308060E-01,-6.27700310E-01,+9.90573431E-01,-6.86292835E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.64864269E-01,-2.48226766E-01,+9.96282884E-01,-2.51805469E-01
+8.19642857E-01,+0.00000000E+00,+7.50428235E-01,-6.46174075E-01,+9.90294639E-01,-7.10887935E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.67275126E-01,-2.39222859E-01,+9.96417957E-01,-2.42451192E-01
+8.35714286E-01,+0.00000000E+00,+7.31797273E-01,-6.66739417E-01,+9.89984191E-01,-7.38913156E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.69745841E-01,-2.29627095E-01,+9.96561889E-01,-2.32508558E-01
+8.51785714E-01,+0.00000000E+00,+7.09643286E-01,-6.89772826E-01,+9.89636370E-01,-7.71200010E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.72278025E-01,-2.19358192E-01,+9.96715894E-01,-2.21897465E-01
+8.67857143E-01,+0.00000000E+00,+6.82874544E-01,-7.15741710E-01,+9.89244075E-01,-8.08893613E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.74873638E-01,-2.08312642E-01,+9.96881521E-01,-2.10515751E-01
+8.83928571E-01,+0.00000000E+00,+6.49894384E-01,-7.45224647E-01,+9.88798506E-01,-8.53623386E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.77535134E-01,-1.96354999E-01,+9.97060793E-01,-1.98229517E-01
+9.00000000E-01,+0.00000000E+00,+6.08270580E-01,-7.78923616E-01,+9.88288975E-01,-9.07803435E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.80265708E-01,-1.83301864E-01,+9.97256452E-01,-1.84857176E-01
+9.16071429E-01,+0.00000000E+00,+5.54105289E-01,-8.17633924E-01,+9.87703349E-01,-9.75198485E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.83069715E-01,-1.68893694E-01,+9.97472378E-01,-1.70141366E-01
+9.32142857E-01,+0.00000000E+00,+4.80732333E-01,-8.62047928E-01,+9.87031006E-01,-1.06208877E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.85953492E-01,-1.52740719E-01,+9.97714396E-01,-1.53695011E-01
+9.48214286E-01,+0.00000000E+00,+3.75720384E-01,-9.11906758E-01,+9.86275693E-01,-1.17997424E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.88927117E-01,-1.34205983E-01,+9.97992028E-01,-1.34884647E-01
+9.64285714E-01,+0.00000000E+00,+2.12889386E-01,-9.62243780E-01,+9.85512548E-01,-1.35306103E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.92008951E-01,-1.12102948E-01,+9.98323008E-01,-1.12528595E-01
+9.80357143E-01,+0.00000000E+00,-7.41444859E-02,-9.82412670E-01,+9.85206608E-01,-1.64612535E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.95241625E-01,-8.36306189E-02,+9.98749204E-01,-8.38335181E-02
+9.96428571E-01,+0.00000000E+00,-7.20270809E-01,-6.78907153E-01,+9.89800465E-01,-2.38574871E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.98819238E-01,-3.58816780E-02,+9.99463538E-01,-3.59086539E-02
+1.01250000E+00,+0.00000000E+00,-6.84932556E+00,-3.44013644E-01,+6.85795932E+00,-3.09140891E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.34744426E-01,+9.43534311E-04,+9.34744902E-01,+1.00940317E-03
+1.02857143E+00,+0.00000000E+00,+1.59209652E+01,-1.91425367E+00,+1.60356322E+01,-1.19660362E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.02595245E-01,+1.38497396E-03,+9.02596308E-01,+1.53443405E-03
+1.04464286E+00,+0.00000000E+00,+5.74493549E+00,-2.39610611E-01,+5.74993018E+00,-4.16839869E-02,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+8.79261523E-01,+1.69569193E-03,+8.79263158E-01,+1.92853865E-03
+1.06071429E+00,+0.00000000E+00,+4.01240616E+00,-1.12939547E-01,+4.01399534E+00,-2.81401557E-02,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+8.60085739E-01,+1.94494880E-03,+8.60087938E-01,+2.26133906E-03
+1.07678571E+00,+0.00000000E+00,+3.27697221E+00,-7.28199055E-02,+3.27778120E+00,-2.22180471E-02,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+8.43453376E-01,+2.15669337E-03,+8.43456133E-01,+2.55697438E-03
+1.09285714E+00,+0.00000000E+00,+2.86309834E+00,-5.38103441E-02,+2.86360397E+00,-1.87922325E-02,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+8.28577785E-01,+2.34256946E-03,+8.28581097E-01,+2.82720978E-03
+1.10892857E+00,+0.00000000E+00,+2.59451739E+00,-4.28477952E-02,+2.59487117E+00,-1.65132447E-02,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+8.15006336E-01,+2.50926423E-03,+8.15010199E-01,+3.07881815E-03
+1.12500000E+00,+0.00000000E+00,+2.40448270E+00,-3.57439954E-02,+2.40474837E+00,-1.48644707E-02,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+8.02450761E-01,+2.66102941E-03,+8.02455173E-01,+3.31611581E-03
+1.14107143E+00,+0.00000000E+00,+2.26198174E+00,-3.07718794E-02,+2.26219104E+00,-1.36031078E-02,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+7.90714341E-01,+2.80076217E-03,+7.90719301E-01,+3.54205091E-03
+1.15714286E+00,+0.00000000E+00,+2.15057574E+00,-2.70964646E-02,+2.15074643E+00,-1.25989661E-02,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+7.79655912E-01,+2.93053878E-03,+7.79661420E-01,+3.75874143E-03
+1.17321429E+00,+0.00000000E+00,+2.06070557E+00,-2.42669231E-02,+2.06084845E+00,-1.17754820E-02,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+7.69170218E-01,+3.05190560E-03,+7.69176272E-01,+3.96776879E-03
+1.18928571E+00,+0.00000000E+00,+1.98641629E+00,-2.20192030E-02,+1.98653833E+00,-1.10844345E-02,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+7.59176368E-01,+3.16604984E-03,+7.59182970E-01,+4.17035042E-03
