s1,s2,Re(z_ibc3.11),Im(z_ibc3.11),Abs(z_ibc3.11),Arg(z_ibc3.11),Re(z_ibc3.21),Im(z_ibc3.21),Abs(z_ibc3.21),Arg(z_ibc3.21),Re(z_ibc3.12),Im(z_ibc3.12),Abs(z_ibc3.12),Arg(z_ibc3.12),Re(z_ibc3.22),Im(z_ibc3.22),Abs(z_ibc3.22),Arg(z_ibc3.22)
+2.57142857E-01,+0.00000000E+00,+1.00361000E-02,+2.04716105E-01,+2.04961964E-01,+1.52181107E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+3.36486696E-03,+2.11608375E-01,+2.11635126E-01,+1.55489628E+00
+2.73214286E-01,+0.00000000E+00,+1.08978003E-02,+2.03805728E-01,+2.04096881E-01,+1.51737569E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+3.36660475E-03,+2.11586450E-01,+2.11613232E-01,+1.55488642E+00
+2.89285714E-01,+0.00000000E+00,+1.18117250E-02,+2.02840176E-01,+2.03183793E-01,+1.51263033E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+3.36844813E-03,+2.11563196E-01,+2.11590010E-01,+1.55487596E+00
+3.05357143E-01,+0.00000000E+00,+1.27778738E-02,+2.01819450E-01,+2.02223551E-01,+1.50756733E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+3.37039715E-03,+2.11538612E-01,+2.11565461E-01,+1.55486490E+00
+3.21428571E-01,+0.00000000E+00,+1.37962470E-02,+2.00743550E-01,+2.01217070E-01,+1.50217849E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+3.37245186E-03,+2.11512698E-01,+2.11539583E-01,+1.55485324E+00
+3.37500000E-01,+0.00000000E+00,+1.48668444E-02,+1.99612475E-01,+2.00165340E-01,+1.49645505E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+3.37461230E-03,+2.11485454E-01,+2.11512376E-01,+1.55484097E+00
+3.53571429E-01,+0.00000000E+00,+1.59896661E-02,+1.98426227E-01,+1.99069427E-01,+1.49038765E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+3.37687855E-03,+2.11456879E-01,+2.11483841E-01,+1.55482810E+00
+3.69642857E-01,+0.00000000E+00,+1.71647120E-02,+1.97184803E-01,+1.97930478E-01,+1.48396635E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+3.37925065E-03,+2.11426974E-01,+2.11453978E-01,+1.55481462E+00
+3.85714286E-01,+0.00000000E+00,+1.83919822E-02,+1.95888206E-01,+1.96749724E-01,+1.47718057E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+3.38172866E-03,+2.11395738E-01,+2.11422785E-01,+1.55480054E+00
+4.01785714E-01,+0.00000000E+00,+1.96714767E-02,+1.94536433E-01,+1.95528491E-01,+1.47001913E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+3.38431266E-03,+2.11363170E-01,+2.11390263E-01,+1.55478586E+00
+4.17857143E-01,+0.00000000E+00,+2.10031954E-02,+1.93129487E-01,+1.94268199E-01,+1.46247016E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+3.38700270E-03,+2.11329272E-01,+2.11356412E-01,+1.55477056E+00
+4.33928571E-01,+0.00000000E+00,+2.23871385E-02,+1.91667366E-01,+1.92970369E-01,+1.45452115E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+3.38979886E-03,+2.11294041E-01,+2.11321231E-01,+1.55475466E+00
+4.50000000E-01,+0.00000000E+00,+2.38233057E-02,+1.90150071E-01,+1.91636634E-01,+1.44615889E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+3.39270121E-03,+2.11257479E-01,+2.11284720E-01,+1.55473815E+00
+4.66071429E-01,+0.00000000E+00,+2.53116973E-02,+1.88577602E-01,+1.90268741E-01,+1.43736949E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+3.39570982E-03,+2.11219584E-01,+2.11246878E-01,+1.55472103E+00
+4.82142857E-01,+0.00000000E+00,+2.68523131E-02,+1.86949958E-01,+1.88868561E-01,+1.42813833E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+3.39882478E-03,+2.11180358E-01,+2.11207707E-01,+1.55470330E+00
+4.98214286E-01,+0.00000000E+00,+2.84451532E-02,+1.85267139E-01,+1.87438096E-01,+1.41845011E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+3.40204616E-03,+2.11139798E-01,+2.11167204E-01,+1.55468495E+00
+5.14285714E-01,+0.00000000E+00,+3.00902175E-02,+1.83529147E-01,+1.85979485E-01,+1.40828879E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+3.40537404E-03,+2.11097905E-01,+2.11125371E-01,+1.55466600E+00
