s1,s2,Re(r_ibc3.11),Im(r_ibc3.11),Abs(r_ibc3.11),Arg(r_ibc3.11),Re(r_ibc3.21),Im(r_ibc3.21),Abs(r_ibc3.21),Arg(r_ibc3.21),Re(r_ibc3.12),Im(r_ibc3.12),Abs(r_ibc3.12),Arg(r_ibc3.12),Re(r_ibc3.22),Im(r_ibc3.22),Abs(r_ibc3.22),Arg(r_ibc3.22)
+0.00000000E+00,+0.00000000E+00,+9.07929957E-01,-4.04434179E-01,+9.93933505E-01,-4.19060747E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.07929957E-01,-4.04434179E-01,+9.93933505E-01,-4.19060747E-01
+1.60714286E-02,+0.00000000E+00,+9.07883216E-01,-4.04410885E-01,+9.93881330E-01,-4.19058473E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.07952547E-01,-4.04385352E-01,+9.93934273E-01,-4.19006625E-01
+3.21428571E-02,+0.00000000E+00,+9.07742919E-01,-4.04341016E-01,+9.93724743E-01,-4.19051695E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.08020318E-01,-4.04238824E-01,+9.93936580E-01,-4.18844215E-01
+4.82142857E-02,+0.00000000E+00,+9.07508837E-01,-4.04224617E-01,+9.93463553E-01,-4.19040541E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.08133276E-01,-4.03994459E-01,+9.93940425E-01,-4.18573391E-01
+6.42857143E-02,+0.00000000E+00,+9.07180590E-01,-4.04061765E-01,+9.93097444E-01,-4.19025231E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.08291430E-01,-4.03652029E-01,+9.93945814E-01,-4.18193943E-01
+8.03571429E-02,+0.00000000E+00,+9.06757642E-01,-4.03852564E-01,+9.92625969E-01,-4.19006073E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.08494792E-01,-4.03211214E-01,+9.93952750E-01,-4.17705575E-01
+9.64285714E-02,+0.00000000E+00,+9.06239298E-01,-4.03597153E-01,+9.92048550E-01,-4.18983467E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.08743378E-01,-4.02671600E-01,+9.93961239E-01,-4.17107904E-01
+1.12500000E-01,+0.00000000E+00,+9.05624701E-01,-4.03295702E-01,+9.91364475E-01,-4.18957908E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.09037208E-01,-4.02032678E-01,+9.93971288E-01,-4.16400460E-01
+1.28571429E-01,+0.00000000E+00,+9.04912828E-01,-4.02948415E-01,+9.90572890E-01,-4.18929989E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.09376306E-01,-4.01293843E-01,+9.93982905E-01,-4.15582681E-01
+1.44642857E-01,+0.00000000E+00,+9.04102482E-01,-4.02555531E-01,+9.89672801E-01,-4.18900410E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.09760699E-01,-4.00454389E-01,+9.93996100E-01,-4.14653916E-01
+1.60714286E-01,+0.00000000E+00,+9.03192286E-01,-4.02117328E-01,+9.88663063E-01,-4.18869978E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.10190417E-01,-3.99513508E-01,+9.94010884E-01,-4.13613416E-01
+1.76785714E-01,+0.00000000E+00,+9.02180676E-01,-4.01634121E-01,+9.87542373E-01,-4.18839617E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.10665495E-01,-3.98470289E-01,+9.94027271E-01,-4.12460335E-01
+1.92857143E-01,+0.00000000E+00,+9.01065888E-01,-4.01106268E-01,+9.86309269E-01,-4.18810375E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.11185972E-01,-3.97323709E-01,+9.94045273E-01,-4.11193728E-01
+2.08928571E-01,+0.00000000E+00,+8.99845953E-01,-4.00534170E-01,+9.84962111E-01,-4.18783433E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.11751890E-01,-3.96072634E-01,+9.94064907E-01,-4.09812539E-01
+2.25000000E-01,+0.00000000E+00,+8.98518676E-01,-3.99918278E-01,+9.83499080E-01,-4.18760114E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.12363295E-01,-3.94715812E-01,+9.94086191E-01,-4.08315608E-01
+2.41071429E-01,+0.00000000E+00,+8.97081632E-01,-3.99259092E-01,+9.81918162E-01,-4.18741899E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.13020239E-01,-3.93251867E-01,+9.94109143E-01,-4.06701656E-01
+2.57142857E-01,+0.00000000E+00,+8.95532141E-01,-3.98557169E-01,+9.80217136E-01,-4.18730436E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.13722775E-01,-3.91679295E-01,+9.94133783E-01,-4.04969284E-01
+2.73214286E-01,+0.00000000E+00,+8.93867254E-01,-3.97813127E-01,+9.78393557E-01,-4.18727556E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.14470962E-01,-3.89996455E-01,+9.94160136E-01,-4.03116964E-01
+2.89285714E-01,+0.00000000E+00,+8.92083733E-01,-3.97027646E-01,+9.76444744E-01,-4.18735295E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.15264865E-01,-3.88201565E-01,+9.94188225E-01,-4.01143036E-01
+3.05357143E-01,+0.00000000E+00,+8.90178023E-01,-3.96201484E-01,+9.74367759E-01,-4.18755910E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.16104550E-01,-3.86292688E-01,+9.94218079E-01,-3.99045694E-01
+3.21428571E-01,+0.00000000E+00,+8.88146231E-01,-3.95335472E-01,+9.72159382E-01,-4.18791903E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.16990091E-01,-3.84267730E-01,+9.94249725E-01,-3.96822982E-01
+3.37500000E-01,+0.00000000E+00,+8.85984091E-01,-3.94430531E-01,+9.69816092E-01,-4.18846051E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.17921564E-01,-3.82124422E-01,+9.94283195E-01,-3.94472780E-01
+3.53571429E-01,+0.00000000E+00,+8.83686930E-01,-3.93487679E-01,+9.67334039E-01,-4.18921432E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.18899053E-01,-3.79860314E-01,+9.94318524E-01,-3.91992795E-01
+3.69642857E-01,+0.00000000E+00,+8.81249632E-01,-3.92508037E-01,+9.64709009E-01,-4.19021465E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.19922644E-01,-3.77472760E-01,+9.94355749E-01,-3.89380547E-01
+3.85714286E-01,+0.00000000E+00,+8.78666587E-01,-3.91492848E-01,+9.61936392E-01,-4.19149948E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.20992431E-01,-3.74958901E-01,+9.94394909E-01,-3.86633356E-01
+4.01785714E-01,+0.00000000E+00,+8.75931647E-01,-3.90443486E-01,+9.59011139E-01,-4.19311107E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.22108512E-01,-3.72315653E-01,+9.94436048E-01,-3.83748322E-01
+4.17857143E-01,+0.00000000E+00,+8.73038058E-01,-3.89361472E-01,+9.55927720E-01,-4.19509648E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.23270993E-01,-3.69539683E-01,+9.94479212E-01,-3.80722313E-01
+4.33928571E-01,+0.00000000E+00,+8.69978400E-01,-3.88248493E-01,+9.52680066E-01,-4.19750827E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.24479984E-01,-3.66627393E-01,+9.94524452E-01,-3.77551938E-01
+4.50000000E-01,+0.00000000E+00,+8.66744502E-01,-3.87106424E-01,+9.49261510E-01,-4.20040519E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.25735603E-01,-3.63574894E-01,+9.94571823E-01,-3.74233529E-01
+4.66071429E-01,+0.00000000E+00,+8.63327355E-01,-3.85937351E-01,+9.45664719E-01,-4.20385309E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.27037976E-01,-3.60377978E-01,+9.94621383E-01,-3.70763110E-01
