s1,s2,Re(r_ex.tm),Im(r_ex.tm),Abs(r_ex.tm),Arg(r_ex.tm),Re(r_ex.te),Im(r_ex.te),Abs(r_ex.te),Arg(r_ex.te)
+3.10000000E-02,+0.00000000E+00,-7.42860911E-01,+6.69445791E-01,+1.00000000E+00,+2.40813016E+00,-7.42968568E-01,+6.69326309E-01,+1.00000000E+00,+2.40829099E+00
+3.20000000E-02,+0.00000000E+00,-7.42876821E-01,+6.69428135E-01,+1.00000000E+00,+2.40815393E+00,-7.42991529E-01,+6.69300820E-01,+1.00000000E+00,+2.40832530E+00
+3.30000000E-02,+0.00000000E+00,-7.42893238E-01,+6.69409917E-01,+1.00000000E+00,+2.40817845E+00,-7.43015220E-01,+6.69274520E-01,+1.00000000E+00,+2.40836070E+00
+3.40000000E-02,+0.00000000E+00,-7.42910160E-01,+6.69391137E-01,+1.00000000E+00,+2.40820373E+00,-7.43039639E-01,+6.69247409E-01,+1.00000000E+00,+2.40839718E+00
+3.50000000E-02,+0.00000000E+00,-7.42927589E-01,+6.69371793E-01,+1.00000000E+00,+2.40822977E+00,-7.43064788E-01,+6.69219486E-01,+1.00000000E+00,+2.40843476E+00
+3.60000000E-02,+0.00000000E+00,-7.42945524E-01,+6.69351887E-01,+1.00000000E+00,+2.40825656E+00,-7.43090665E-01,+6.69190752E-01,+1.00000000E+00,+2.40847343E+00
+3.70000000E-02,+0.00000000E+00,-7.42963965E-01,+6.69331418E-01,+1.00000000E+00,+2.40828412E+00,-7.43117272E-01,+6.69161207E-01,+1.00000000E+00,+2.40851319E+00
+3.80000000E-02,+0.00000000E+00,-7.42982912E-01,+6.69310386E-01,+1.00000000E+00,+2.40831242E+00,-7.43144607E-01,+6.69130849E-01,+1.00000000E+00,+2.40855404E+00
+3.90000000E-02,+0.00000000E+00,-7.43002366E-01,+6.69288790E-01,+1.00000000E+00,+2.40834149E+00,-7.43172671E-01,+6.69099679E-01,+1.00000000E+00,+2.40859598E+00
+4.00000000E-02,+0.00000000E+00,-7.43022326E-01,+6.69266631E-01,+1.00000000E+00,+2.40837131E+00,-7.43201465E-01,+6.69067697E-01,+1.00000000E+00,+2.40863902E+00
