s1,s2,Re(r_ibc3.tm),Im(r_ibc3.tm),Abs(r_ibc3.tm),Arg(r_ibc3.tm),Re(r_ibc3.te),Im(r_ibc3.te),Abs(r_ibc3.te),Arg(r_ibc3.te)
+3.00000000E-02,+0.00000000E+00,-7.45190634E-01,+6.66851497E-01,+1.00000000E+00,+2.41161699E+00,-7.45303556E-01,+6.66725287E-01,+1.00000000E+00,+2.41178635E+00
+3.10000000E-02,+0.00000000E+00,-7.45204842E-01,+6.66835620E-01,+1.00000000E+00,+2.41163830E+00,-7.45325412E-01,+6.66700856E-01,+1.00000000E+00,+2.41181913E+00
+3.20000000E-02,+0.00000000E+00,-7.45219517E-01,+6.66819220E-01,+1.00000000E+00,+2.41166031E+00,-7.45347983E-01,+6.66675621E-01,+1.00000000E+00,+2.41185298E+00
+3.30000000E-02,+0.00000000E+00,-7.45234659E-01,+6.66802297E-01,+1.00000000E+00,+2.41168302E+00,-7.45371272E-01,+6.66649584E-01,+1.00000000E+00,+2.41188792E+00
+3.40000000E-02,+0.00000000E+00,-7.45250268E-01,+6.66784851E-01,+1.00000000E+00,+2.41170642E+00,-7.45395277E-01,+6.66622743E-01,+1.00000000E+00,+2.41192393E+00
+3.50000000E-02,+0.00000000E+00,-7.45266344E-01,+6.66766883E-01,+1.00000000E+00,+2.41173053E+00,-7.45419998E-01,+6.66595099E-01,+1.00000000E+00,+2.41196101E+00
+3.60000000E-02,+0.00000000E+00,-7.45282887E-01,+6.66748392E-01,+1.00000000E+00,+2.41175535E+00,-7.45445436E-01,+6.66566652E-01,+1.00000000E+00,+2.41199917E+00
+3.70000000E-02,+0.00000000E+00,-7.45299898E-01,+6.66729377E-01,+1.00000000E+00,+2.41178086E+00,-7.45471591E-01,+6.66537401E-01,+1.00000000E+00,+2.41203841E+00
+3.80000000E-02,+0.00000000E+00,-7.45317376E-01,+6.66709839E-01,+1.00000000E+00,+2.41180707E+00,-7.45498463E-01,+6.66507346E-01,+1.00000000E+00,+2.41207873E+00
+3.90000000E-02,+0.00000000E+00,-7.45335321E-01,+6.66689777E-01,+1.00000000E+00,+2.41183399E+00,-7.45526051E-01,+6.66476487E-01,+1.00000000E+00,+2.41212012E+00
