s1,s2,Re(z_ex.tm),Im(z_ex.tm),Abs(z_ex.tm),Arg(z_ex.tm),Re(z_ex.te),Im(z_ex.te),Abs(z_ex.te),Arg(z_ex.te)
+3.50000000E-01,+0.00000000E+00,-1.59735133E-02,-1.99083083E-01,+1.99722875E-01,-1.65086022E+00,-3.16529594E-03,-2.12279049E-01,+2.12302646E-01,-1.58570624E+00
+3.60000000E-01,+0.00000000E+00,-1.67136617E-02,-1.98297306E-01,+1.99000422E-01,-1.65488345E+00,-3.16449369E-03,-2.12256593E-01,+2.12280181E-01,-1.58570403E+00
+3.70000000E-01,+0.00000000E+00,-1.74744998E-02,-1.97489573E-01,+1.98261165E-01,-1.65904964E+00,-3.16366917E-03,-2.12233510E-01,+2.12257088E-01,-1.58570177E+00
+3.80000000E-01,+0.00000000E+00,-1.82560142E-02,-1.96659897E-01,+1.97505436E-01,-1.66336143E+00,-3.16282240E-03,-2.12209801E-01,+2.12233369E-01,-1.58569945E+00
+3.90000000E-01,+0.00000000E+00,-1.90581915E-02,-1.95808295E-01,+1.96733584E-01,-1.66782158E+00,-3.16195340E-03,-2.12185466E-01,+2.12209024E-01,-1.58569706E+00
+4.00000000E-01,+0.00000000E+00,-1.98810177E-02,-1.94934781E-01,+1.95945971E-01,-1.67243295E+00,-3.16106221E-03,-2.12160506E-01,+2.12184054E-01,-1.58569461E+00
+4.10000000E-01,+0.00000000E+00,-2.07244785E-02,-1.94039371E-01,+1.95142977E-01,-1.67719849E+00,-3.16014886E-03,-2.12134922E-01,+2.12158459E-01,-1.58569211E+00
+4.20000000E-01,+0.00000000E+00,-2.15885593E-02,-1.93122082E-01,+1.94324997E-01,-1.68212125E+00,-3.15921337E-03,-2.12108713E-01,+2.12132239E-01,-1.58568954E+00
+4.30000000E-01,+0.00000000E+00,-2.24732449E-02,-1.92182931E-01,+1.93492443E-01,-1.68720439E+00,-3.15825577E-03,-2.12081881E-01,+2.12105396E-01,-1.58568691E+00
+4.40000000E-01,+0.00000000E+00,-2.33785202E-02,-1.91221934E-01,+1.92645745E-01,-1.69245116E+00,-3.15727609E-03,-2.12054426E-01,+2.12077929E-01,-1.58568422E+00
+4.50000000E-01,+0.00000000E+00,-2.43043694E-02,-1.90239109E-01,+1.91785351E-01,-1.69786494E+00,-3.15627437E-03,-2.12026349E-01,+2.12049840E-01,-1.58568146E+00
+4.60000000E-01,+0.00000000E+00,-2.52507765E-02,-1.89234473E-01,+1.90911727E-01,-1.70344917E+00,-3.15525064E-03,-2.11997650E-01,+2.12021129E-01,-1.58567865E+00
+4.70000000E-01,+0.00000000E+00,-2.62177251E-02,-1.88208046E-01,+1.90025361E-01,-1.70920745E+00,-3.15420493E-03,-2.11968330E-01,+2.11991797E-01,-1.58567578E+00
+4.80000000E-01,+0.00000000E+00,-2.72051983E-02,-1.87159846E-01,+1.89126758E-01,-1.71514345E+00,-3.15313728E-03,-2.11938389E-01,+2.11961844E-01,-1.58567284E+00
+4.90000000E-01,+0.00000000E+00,-2.82131792E-02,-1.86089891E-01,+1.88216447E-01,-1.72126095E+00,-3.15204771E-03,-2.11907829E-01,+2.11931270E-01,-1.58566985E+00
+5.00000000E-01,+0.00000000E+00,-2.92416504E-02,-1.84998201E-01,+1.87294977E-01,-1.72756385E+00,-3.15093626E-03,-2.11876649E-01,+2.11900078E-01,-1.58566679E+00
+5.10000000E-01,+0.00000000E+00,-3.02905940E-02,-1.83884796E-01,+1.86362921E-01,-1.73405613E+00,-3.14980298E-03,-2.11844851E-01,+2.11868266E-01,-1.58566367E+00
+5.20000000E-01,+0.00000000E+00,-3.13599919E-02,-1.82749696E-01,+1.85420874E-01,-1.74074190E+00,-3.14864789E-03,-2.11812435E-01,+2.11835836E-01,-1.58566050E+00
+5.30000000E-01,+0.00000000E+00,-3.24498256E-02,-1.81592922E-01,+1.84469457E-01,-1.74762535E+00,-3.14747104E-03,-2.11779401E-01,+2.11802789E-01,-1.58565726E+00
+5.40000000E-01,+0.00000000E+00,-3.35600765E-02,-1.80414494E-01,+1.83509314E-01,-1.75471080E+00,-3.14627245E-03,-2.11745751E-01,+2.11769125E-01,-1.58565396E+00
+5.50000000E-01,+0.00000000E+00,-3.46907252E-02,-1.79214434E-01,+1.82541118E-01,-1.76200263E+00,-3.14505217E-03,-2.11711486E-01,+2.11734845E-01,-1.58565060E+00
+5.60000000E-01,+0.00000000E+00,-3.58417524E-02,-1.77992764E-01,+1.81565567E-01,-1.76950533E+00,-3.14381024E-03,-2.11676605E-01,+2.11699949E-01,-1.58564718E+00
+5.70000000E-01,+0.00000000E+00,-3.70131382E-02,-1.76749505E-01,+1.80583387E-01,-1.77722351E+00,-3.14254670E-03,-2.11641110E-01,+2.11664439E-01,-1.58564371E+00
+5.80000000E-01,+0.00000000E+00,-3.82048625E-02,-1.75484680E-01,+1.79595335E-01,-1.78516181E+00,-3.14126158E-03,-2.11605001E-01,+2.11628315E-01,-1.58564017E+00
+5.90000000E-01,+0.00000000E+00,-3.94169048E-02,-1.74198311E-01,+1.78602195E-01,-1.79332499E+00,-3.13995494E-03,-2.11568279E-01,+2.11591579E-01,-1.58563657E+00
+6.00000000E-01,+0.00000000E+00,-4.06492442E-02,-1.72890423E-01,+1.77604784E-01,-1.80171788E+00,-3.13862680E-03,-2.11530946E-01,+2.11554229E-01,-1.58563291E+00
+6.10000000E-01,+0.00000000E+00,-4.19018596E-02,-1.71561037E-01,+1.76603951E-01,-1.81034536E+00,-3.13727721E-03,-2.11493001E-01,+2.11516268E-01,-1.58562919E+00
+6.20000000E-01,+0.00000000E+00,-4.31747294E-02,-1.70210180E-01,+1.75600577E-01,-1.81921239E+00,-3.13590622E-03,-2.11454445E-01,+2.11477697E-01,-1.58562541E+00
+6.30000000E-01,+0.00000000E+00,-4.44678319E-02,-1.68837873E-01,+1.74595577E-01,-1.82832394E+00,-3.13451387E-03,-2.11415280E-01,+2.11438516E-01,-1.58562158E+00
+6.40000000E-01,+0.00000000E+00,-4.57811449E-02,-1.67444144E-01,+1.73589903E-01,-1.83768507E+00,-3.13310020E-03,-2.11375506E-01,+2.11398725E-01,-1.58561768E+00
+6.50000000E-01,+0.00000000E+00,-4.71146460E-02,-1.66029015E-01,+1.72584541E-01,-1.84730082E+00,-3.13166526E-03,-2.11335124E-01,+2.11358326E-01,-1.58561372E+00
