s1,s2,Re(r_ex.11),Im(r_ex.11),Abs(r_ex.11),Arg(r_ex.11),Re(r_ex.21),Im(r_ex.21),Abs(r_ex.21),Arg(r_ex.21),Re(r_ex.12),Im(r_ex.12),Abs(r_ex.12),Arg(r_ex.12),Re(r_ex.22),Im(r_ex.22),Abs(r_ex.22),Arg(r_ex.22)
+1.60000000E-01,+0.00000000E+00,-5.85089448E-01,-6.57689701E-01,+8.80275755E-01,-2.29784314E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-5.71721289E-01,-6.67491945E-01,+8.78869006E-01,-2.27906437E+00
+1.70000000E-01,+0.00000000E+00,-5.85860588E-01,-6.57089654E-01,+8.80340526E-01,-2.29895065E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-5.70739614E-01,-6.68173326E-01,+8.78748713E-01,-2.27771151E+00
+1.80000000E-01,+0.00000000E+00,-5.86680507E-01,-6.56450614E-01,+8.80409806E-01,-2.30012881E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-5.69692941E-01,-6.68897903E-01,+8.78620767E-01,-2.27627009E+00
+1.90000000E-01,+0.00000000E+00,-5.87549576E-01,-6.55772098E-01,+8.80483702E-01,-2.30137828E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-5.68580247E-01,-6.69666020E-01,+8.78485102E-01,-2.27473888E+00
+2.00000000E-01,+0.00000000E+00,-5.88468189E-01,-6.55053589E-01,+8.80562328E-01,-2.30269975E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-5.67400433E-01,-6.70478040E-01,+8.78341650E-01,-2.27311658E+00
+2.10000000E-01,+0.00000000E+00,-5.89436764E-01,-6.54294536E-01,+8.80645808E-01,-2.30409395E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-5.66152326E-01,-6.71334351E-01,+8.78190336E-01,-2.27140180E+00
+2.20000000E-01,+0.00000000E+00,-5.90455746E-01,-6.53494352E-01,+8.80734271E-01,-2.30556165E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-5.64834670E-01,-6.72235358E-01,+8.78031083E-01,-2.26959304E+00
+2.30000000E-01,+0.00000000E+00,-5.91525604E-01,-6.52652414E-01,+8.80827857E-01,-2.30710369E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-5.63446128E-01,-6.73181494E-01,+8.77863807E-01,-2.26768871E+00
+2.40000000E-01,+0.00000000E+00,-5.92646834E-01,-6.51768060E-01,+8.80926713E-01,-2.30872093E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-5.61985274E-01,-6.74173212E-01,+8.77688423E-01,-2.26568713E+00
+2.50000000E-01,+0.00000000E+00,-5.93819957E-01,-6.50840589E-01,+8.81030995E-01,-2.31041430E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-5.60450590E-01,-6.75210987E-01,+8.77504839E-01,-2.26358650E+00
