%              s1              s2   Re(r_ibc0.11)   Im(r_ibc0.11)  Abs(r_ibc0.11)  Arg(r_ibc0.11)   Re(r_ibc0.21)   Im(r_ibc0.21)  Abs(r_ibc0.21)  Arg(r_ibc0.21)   Re(r_ibc0.12)   Im(r_ibc0.12)  Abs(r_ibc0.12)  Arg(r_ibc0.12)   Re(r_ibc0.22)   Im(r_ibc0.22)  Abs(r_ibc0.22)  Arg(r_ibc0.22)
  +1.60000000E-01 +0.00000000E+00 -5.86273956E-01 -6.57279329E-01 +8.80757213E-01 -2.29915764E+00 -0.00000000E+00 -0.00000000E+00 +0.00000000E+00 -3.14159265E+00 -0.00000000E+00 -0.00000000E+00 +0.00000000E+00 -3.14159265E+00 -5.71969608E-01 -6.67225792E-01 +8.78828475E-01 -2.27947598E+00
  +1.70000000E-01 +0.00000000E+00 -5.87196132E-01 -6.56625508E-01 +8.80883849E-01 -2.30043296E+00 -0.00000000E+00 -0.00000000E+00 +0.00000000E+00 -3.14159265E+00 -0.00000000E+00 -0.00000000E+00 +0.00000000E+00 -3.14159265E+00 -5.71020557E-01 -6.67872903E-01 +8.78702846E-01 -2.27817668E+00
  +1.80000000E-01 +0.00000000E+00 -5.88175819E-01 -6.55929217E-01 +8.81018690E-01 -2.30178869E+00 -0.00000000E+00 -0.00000000E+00 +0.00000000E+00 -3.14159265E+00 -0.00000000E+00 -0.00000000E+00 +0.00000000E+00 -3.14159265E+00 -5.70008643E-01 -6.68561147E-01 +8.78569212E-01 -2.27679218E+00
  +1.90000000E-01 +0.00000000E+00 -5.89213312E-01 -6.55189935E-01 +8.81161834E-01 -2.30322540E+00 -0.00000000E+00 -0.00000000E+00 +0.00000000E+00 -3.14159265E+00 -0.00000000E+00 -0.00000000E+00 +0.00000000E+00 -3.14159265E+00 -5.68932869E-01 -6.69290868E-01 +8.78427501E-01 -2.27532130E+00
  +2.00000000E-01 +0.00000000E+00 -5.90308920E-01 -6.54407107E-01 +8.81313385E-01 -2.30474371E+00 -0.00000000E+00 -0.00000000E+00 +0.00000000E+00 -3.14159265E+00 -0.00000000E+00 -0.00000000E+00 +0.00000000E+00 -3.14159265E+00 -5.67792169E-01 -6.70062435E-01 +8.78277640E-01 -2.27376274E+00
  +2.10000000E-01 +0.00000000E+00 -5.91462975E-01 -6.53580139E-01 +8.81473453E-01 -2.30634425E+00 -0.00000000E+00 -0.00000000E+00 +0.00000000E+00 -3.14159265E+00 -0.00000000E+00 -0.00000000E+00 +0.00000000E+00 -3.14159265E+00 -5.66585401E-01 -6.70876236E-01 +8.78119548E-01 -2.27211515E+00
  +2.20000000E-01 +0.00000000E+00 -5.92675826E-01 -6.52708399E-01 +8.81642155E-01 -2.30802772E+00 -0.00000000E+00 -0.00000000E+00 +0.00000000E+00 -3.14159265E+00 -0.00000000E+00 -0.00000000E+00 +0.00000000E+00 -3.14159265E+00 -5.65311345E-01 -6.71732684E-01 +8.77953140E-01 -2.27037704E+00
  +2.30000000E-01 +0.00000000E+00 -5.93947843E-01 -6.51791221E-01 +8.81819616E-01 -2.30979484E+00 -0.00000000E+00 -0.00000000E+00 +0.00000000E+00 -3.14159265E+00 -0.00000000E+00 -0.00000000E+00 +0.00000000E+00 -3.14159265E+00 -5.63968701E-01 -6.72632215E-01 +8.77778328E-01 -2.26854688E+00
  +2.40000000E-01 +0.00000000E+00 -5.95279415E-01 -6.50827892E-01 +8.82005968E-01 -2.31164638E+00 -0.00000000E+00 -0.00000000E+00 +0.00000000E+00 -3.14159265E+00 -0.00000000E+00 -0.00000000E+00 +0.00000000E+00 -3.14159265E+00 -5.62556082E-01 -6.73575287E-01 +8.77595016E-01 -2.26662299E+00
  +2.50000000E-01 +0.00000000E+00 -5.96670953E-01 -6.49817664E-01 +8.82201350E-01 -2.31358316E+00 -0.00000000E+00 -0.00000000E+00 +0.00000000E+00 -3.14159265E+00 -0.00000000E+00 -0.00000000E+00 +0.00000000E+00 -3.14159265E+00 -5.61072012E-01 -6.74562383E-01 +8.77403106E-01 -2.26460361E+00
  +2.60000000E-01 +0.00000000E+00 -5.98122887E-01 -6.48759741E-01 +8.82405910E-01 -2.31560603E+00 -0.00000000E+00 -0.00000000E+00 +0.00000000E+00 -3.14159265E+00 -0.00000000E+00 -0.00000000E+00 +0.00000000E+00 -3.14159265E+00 -5.59514923E-01 -6.75594010E-01 +8.77202493E-01 -2.26248687E+00
  +2.70000000E-01 +0.00000000E+00 -5.99635671E-01 -6.47653286E-01 +8.82619804E-01 -2.31771591E+00 -0.00000000E+00 -0.00000000E+00 +0.00000000E+00 -3.14159265E+00 -0.00000000E+00 -0.00000000E+00 +0.00000000E+00 -3.14159265E+00 -5.57883148E-01 -6.76670700E-01 +8.76993069E-01 -2.26027077E+00
  +2.80000000E-01 +0.00000000E+00 -6.01209780E-01 -6.46497415E-01 +8.82843195E-01 -2.31991373E+00 -0.00000000E+00 -0.00000000E+00 +0.00000000E+00 -3.14159265E+00 -0.00000000E+00 -0.00000000E+00 +0.00000000E+00 -3.14159265E+00 -5.56174919E-01 -6.77793010E-01 +8.76774718E-01 -2.25795322E+00
  +2.90000000E-01 +0.00000000E+00 -6.02845711E-01 -6.45291193E-01 +8.83076257E-01 -2.32220052E+00 -0.00000000E+00 -0.00000000E+00 +0.00000000E+00 -3.14159265E+00 -0.00000000E+00 -0.00000000E+00 +0.00000000E+00 -3.14159265E+00 -5.54388359E-01 -6.78961524E-01 +8.76547319E-01 -2.25553196E+00
  +3.00000000E-01 +0.00000000E+00 -6.04543985E-01 -6.44033639E-01 +8.83319171E-01 -2.32457732E+00 -0.00000000E+00 -0.00000000E+00 +0.00000000E+00 -3.14159265E+00 -0.00000000E+00 -0.00000000E+00 +0.00000000E+00 -3.14159265E+00 -5.52521476E-01 -6.80176849E-01 +8.76310749E-01 -2.25300464E+00
  +3.10000000E-01 +0.00000000E+00 -6.06305147E-01 -6.42723718E-01 +8.83572130E-01 -2.32704524E+00 -0.00000000E+00 -0.00000000E+00 +0.00000000E+00 -3.14159265E+00 -0.00000000E+00 -0.00000000E+00 +0.00000000E+00 -3.14159265E+00 -5.50572160E-01 -6.81439623E-01 +8.76064874E-01 -2.25036874E+00
  +3.20000000E-01 +0.00000000E+00 -6.08129766E-01 -6.41360341E-01 +8.83835335E-01 -2.32960545E+00 -0.00000000E+00 -0.00000000E+00 +0.00000000E+00 -3.14159265E+00 -0.00000000E+00 -0.00000000E+00 +0.00000000E+00 -3.14159265E+00 -5.48538173E-01 -6.82750508E-01 +8.75809559E-01 -2.24762162E+00
  +3.30000000E-01 +0.00000000E+00 -6.10018438E-01 -6.39942362E-01 +8.84108998E-01 -2.33225917E+00 -0.00000000E+00 -0.00000000E+00 +0.00000000E+00 -3.14159265E+00 -0.00000000E+00 -0.00000000E+00 +0.00000000E+00 -3.14159265E+00 -5.46417143E-01 -6.84110195E-01 +8.75544661E-01 -2.24476044E+00
  +3.40000000E-01 +0.00000000E+00 -6.11971782E-01 -6.38468575E-01 +8.84393342E-01 -2.33500769E+00 -0.00000000E+00 -0.00000000E+00 +0.00000000E+00 -3.14159265E+00 -0.00000000E+00 -0.00000000E+00 +0.00000000E+00 -3.14159265E+00 -5.44206556E-01 -6.85519401E-01 +8.75270030E-01 -2.24178225E+00
  +3.50000000E-01 +0.00000000E+00 -6.13990448E-01 -6.36937713E-01 +8.84688601E-01 -2.33785236E+00 -0.00000000E+00 -0.00000000E+00 +0.00000000E+00 -3.14159265E+00 -0.00000000E+00 -0.00000000E+00 +0.00000000E+00 -3.14159265E+00 -5.41903747E-01 -6.86978875E-01 +8.74985512E-01 -2.23868388E+00
  +3.60000000E-01 +0.00000000E+00 -6.16075111E-01 -6.35348444E-01 +8.84995021E-01 -2.34079458E+00 -0.00000000E+00 -0.00000000E+00 +0.00000000E+00 -3.14159265E+00 -0.00000000E+00 -0.00000000E+00 +0.00000000E+00 -3.14159265E+00 -5.39505893E-01 -6.88489391E-01 +8.74690946E-01 -2.23546201E+00
  +3.70000000E-01 +0.00000000E+00 -6.18226475E-01 -6.33699366E-01 +8.85312860E-01 -2.34383585E+00 -0.00000000E+00 -0.00000000E+00 +0.00000000E+00 -3.14159265E+00 -0.00000000E+00 -0.00000000E+00 +0.00000000E+00 -3.14159265E+00 -5.37010000E-01 -6.90051756E-01 +8.74386165E-01 -2.23211310E+00
  +3.80000000E-01 +0.00000000E+00 -6.20445274E-01 -6.31989006E-01 +8.85642390E-01 -2.34697771E+00 -0.00000000E+00 -0.00000000E+00 +0.00000000E+00 -3.14159265E+00 -0.00000000E+00 -0.00000000E+00 +0.00000000E+00 -3.14159265E+00 -5.34412892E-01 -6.91666802E-01 +8.74070995E-01 -2.22863341E+00
