n,Re(m_ibc0.tm),Im(m_ibc0.tm),Abs(m_ibc0.tm),Arg(m_ibc0.tm),Re(m_ibc0.te),Im(m_ibc0.te),Abs(m_ibc0.te),Arg(m_ibc0.te)
+0.00000000E+00,-2.09295829E-01,+3.89730317E-01,+4.42373670E-01,+2.06362518E+00,-4.90029420E-03,+4.11177787E-02,+4.14087504E-02,+1.68941387E+00
+1.00000000E+00,-3.65074576E-03,+2.78676506E-02,+2.81057626E-02,+1.70105753E+00,-1.96663079E-03,-3.92956514E-02,+3.93448327E-02,-1.62080164E+00
+2.00000000E+00,-9.81102923E-05,+2.98667440E-04,+3.14369001E-04,+1.88818466E+00,-9.95624950E-06,-1.41362241E-03,+1.41365747E-03,-1.57783929E+00
+3.00000000E+00,-1.16441739E-06,-5.64034151E-07,+1.29383244E-06,-2.69050945E+00,-7.04228137E-08,-1.80694195E-05,+1.80695567E-05,-1.57469365E+00
+4.00000000E+00,-7.23840885E-09,-2.24218564E-08,+2.35612862E-08,-1.88306271E+00,-3.61707880E-10,-1.21519891E-07,+1.21520430E-07,-1.57377285E+00
+5.00000000E+00,-2.79723083E-11,-1.48491651E-10,+1.51103343E-10,-1.75699068E+00,-1.22673151E-12,-5.07125306E-10,+5.07126789E-10,-1.57321531E+00
+6.00000000E+00,-7.40667713E-14,-5.41112143E-13,+5.46157705E-13,-1.70682975E+00,-2.94722143E-15,-1.44537678E-12,+1.44537978E-12,-1.57283539E+00
+7.00000000E+00,-1.43172835E-16,-1.31369911E-15,+1.32147788E-15,-1.67935238E+00,-5.28281444E-18,-2.99647527E-15,+2.99647992E-15,-1.57255933E+00
+8.00000000E+00,-2.11292672E-19,-2.31649554E-18,+2.32611182E-18,-1.66175684E+00,-7.33939202E-21,-4.72550145E-18,+4.72550715E-18,-1.57234947E+00
