s,n,Re(f_ex.tm),Im(f_ex.tm),Abs(f_ex.tm),Arg(f_ex.tm),Re(f_ex.te),Im(f_ex.te),Abs(f_ex.te),Arg(f_ex.te)
+3.10000000E-01,+0.00000000E+00,-1.80348184E-01,+3.38138332E-01,+3.83227085E-01,+2.06077148E+00,-6.78904198E-01,-3.56365734E-01,+7.66751229E-01,-2.65821375E+00
+3.20000000E-01,+0.00000000E+00,-1.78812028E-01,+3.36841397E-01,+3.81360548E-01,+2.05881774E+00,-6.77271444E-01,-3.56875852E-01,+7.65543586E-01,-2.65663247E+00
+3.30000000E-01,+0.00000000E+00,-1.77227934E-01,+3.35492756E-01,+3.79427371E-01,+2.05679675E+00,-6.75553950E-01,-3.57410698E-01,+7.64274523E-01,-2.65496576E+00
+3.40000000E-01,+0.00000000E+00,-1.75596024E-01,+3.34091353E-01,+3.77426809E-01,+2.05470796E+00,-6.73747959E-01,-3.57970977E-01,+7.62941369E-01,-2.65320965E+00
+3.50000000E-01,+0.00000000E+00,-1.73916428E-01,+3.32636089E-01,+3.75358085E-01,+2.05255084E+00,-6.71849480E-01,-3.58557387E-01,+7.61541281E-01,-2.65135996E+00
+3.60000000E-01,+0.00000000E+00,-1.72189287E-01,+3.31125820E-01,+3.73220390E-01,+2.05032480E+00,-6.69854272E-01,-3.59170612E-01,+7.60071230E-01,-2.64941224E+00
+3.70000000E-01,+0.00000000E+00,-1.70414756E-01,+3.29559356E-01,+3.71012881E-01,+2.04802924E+00,-6.67757830E-01,-3.59811322E-01,+7.58527987E-01,-2.64736177E+00
+3.80000000E-01,+0.00000000E+00,-1.68593003E-01,+3.27935458E-01,+3.68734681E-01,+2.04566354E+00,-6.65555367E-01,-3.60480159E-01,+7.56908113E-01,-2.64520359E+00
+3.90000000E-01,+0.00000000E+00,-1.66724209E-01,+3.26252840E-01,+3.66384876E-01,+2.04322705E+00,-6.63241797E-01,-3.61177728E-01,+7.55207940E-01,-2.64293239E+00
+4.00000000E-01,+0.00000000E+00,-1.64808572E-01,+3.24510165E-01,+3.63962515E-01,+2.04071910E+00,-6.60811715E-01,-3.61904593E-01,+7.53423558E-01,-2.64054258E+00
+4.10000000E-01,+0.00000000E+00,-1.62846304E-01,+3.22706045E-01,+3.61466610E-01,+2.03813898E+00,-6.58259378E-01,-3.62661256E-01,+7.51550794E-01,-2.63802823E+00
+4.20000000E-01,+0.00000000E+00,-1.60837636E-01,+3.20839037E-01,+3.58896131E-01,+2.03548595E+00,-6.55578681E-01,-3.63448151E-01,+7.49585196E-01,-2.63538305E+00
+4.30000000E-01,+0.00000000E+00,-1.58782818E-01,+3.18907644E-01,+3.56250009E-01,+2.03275926E+00,-6.52763137E-01,-3.64265622E-01,+7.47522011E-01,-2.63260037E+00
+4.40000000E-01,+0.00000000E+00,-1.56682117E-01,+3.16910312E-01,+3.53527130E-01,+2.02995811E+00,-6.49805849E-01,-3.65113911E-01,+7.45356163E-01,-2.62967313E+00
+4.50000000E-01,+0.00000000E+00,-1.54535825E-01,+3.14845427E-01,+3.50726338E-01,+2.02708169E+00,-6.46699485E-01,-3.65993131E-01,+7.43082227E-01,-2.62659383E+00
+4.60000000E-01,+0.00000000E+00,-1.52344253E-01,+3.12711315E-01,+3.47846428E-01,+2.02412912E+00,-6.43436249E-01,-3.66903248E-01,+7.40694404E-01,-2.62335454E+00
+4.70000000E-01,+0.00000000E+00,-1.50107738E-01,+3.10506237E-01,+3.44886150E-01,+2.02109952E+00,-6.40007854E-01,-3.67844049E-01,+7.38186492E-01,-2.61994682E+00
+4.80000000E-01,+0.00000000E+00,-1.47826642E-01,+3.08228392E-01,+3.41844201E-01,+2.01799196E+00,-6.36405488E-01,-3.68815115E-01,+7.35551857E-01,-2.61636175E+00
