s,n,Re(f_ex.tm),Im(f_ex.tm),Abs(f_ex.tm),Arg(f_ex.tm),Re(f_ex.te),Im(f_ex.te),Abs(f_ex.te),Arg(f_ex.te)
+3.40000000E-01,+1.00000000E+00,-8.73570675E-02,-1.11693920E-01,+1.41798410E-01,-2.23453389E+00,-6.37672548E-01,-2.18881457E-02,+6.38048093E-01,-3.10728107E+00
+3.50000000E-01,+1.00000000E+00,-9.03562012E-02,-1.10008133E-01,+1.42358816E-01,-2.25842621E+00,-6.35023251E-01,-2.12884369E-02,+6.35379986E-01,-3.10808133E+00
+3.60000000E-01,+1.00000000E+00,-9.34434850E-02,-1.08280453E-01,+1.43025667E-01,-2.28277584E+00,-6.32308614E-01,-2.06467502E-02,+6.32645613E-01,-3.10895129E+00
+3.70000000E-01,+1.00000000E+00,-9.66185492E-02,-1.06511134E-01,+1.43804610E-01,-2.30753210E+00,-6.29529702E-01,-1.99612814E-02,+6.29846091E-01,-3.10989503E+00
+3.80000000E-01,+1.00000000E+00,-9.98809512E-02,-1.04700380E-01,+1.44700981E-01,-2.33264133E+00,-6.26687609E-01,-1.92302153E-02,+6.26982584E-01,-3.11091679E+00
+3.90000000E-01,+1.00000000E+00,-1.03230170E-01,-1.02848339E-01,+1.45719762E-01,-2.35804733E+00,-6.23783455E-01,-1.84517285E-02,+6.24056300E-01,-3.11202093E+00
+4.00000000E-01,+1.00000000E+00,-1.06665603E-01,-1.00955096E-01,+1.46865524E-01,-2.38369208E+00,-6.20818381E-01,-1.76239915E-02,+6.21068489E-01,-3.11321195E+00
+4.10000000E-01,+1.00000000E+00,-1.10186559E-01,-9.90206663E-02,+1.48142399E-01,-2.40951630E+00,-6.17793549E-01,-1.67451710E-02,+6.18020444E-01,-3.11449449E+00
+4.20000000E-01,+1.00000000E+00,-1.13792257E-01,-9.70449892E-02,+1.49554029E-01,-2.43546027E+00,-6.14710133E-01,-1.58134318E-02,+6.14913500E-01,-3.11587330E+00
+4.30000000E-01,+1.00000000E+00,-1.17481815E-01,-9.50279194E-02,+1.51103548E-01,-2.46146445E+00,-6.11569322E-01,-1.48269388E-02,+6.11749028E-01,-3.11735332E+00
+4.40000000E-01,+1.00000000E+00,-1.21254252E-01,-9.29692195E-02,+1.52793552E-01,-2.48747032E+00,-6.08372305E-01,-1.37838585E-02,+6.08528435E-01,-3.11893958E+00
+4.50000000E-01,+1.00000000E+00,-1.25108479E-01,-9.08685517E-02,+1.54626082E-01,-2.51342103E+00,-6.05120277E-01,-1.26823601E-02,+6.05253164E-01,-3.12063731E+00
+4.60000000E-01,+1.00000000E+00,-1.29043292E-01,-8.87254696E-02,+1.56602619E-01,-2.53926213E+00,-6.01814424E-01,-1.15206169E-02,+6.01924684E-01,-3.12245185E+00
+4.70000000E-01,+1.00000000E+00,-1.33057370E-01,-8.65394086E-02,+1.58724078E-01,-2.56494212E+00,-5.98455919E-01,-1.02968067E-02,+5.98544494E-01,-3.12438873E+00
+4.80000000E-01,+1.00000000E+00,-1.37149266E-01,-8.43096771E-02,+1.60990816E-01,-2.59041310E+00,-5.95045916E-01,-9.00911239E-03,+5.95114112E-01,-3.12645361E+00
+4.90000000E-01,+1.00000000E+00,-1.41317401E-01,-8.20354465E-02,+1.63402639E-01,-2.61563112E+00,-5.91585543E-01,-7.65572155E-03,+5.91635078E-01,-3.12865235E+00
+5.00000000E-01,+1.00000000E+00,-1.45560060E-01,-7.97157412E-02,+1.65958822E-01,-2.64055665E+00,-5.88075890E-01,-6.23482617E-03,+5.88108940E-01,-3.13099097E+00
+5.10000000E-01,+1.00000000E+00,-1.49875381E-01,-7.73494281E-02,+1.68658127E-01,-2.66515478E+00,-5.84518000E-01,-4.74462156E-03,+5.84537256E-01,-3.13347568E+00
+5.20000000E-01,+1.00000000E+00,-1.54261346E-01,-7.49352052E-02,+1.71498828E-01,-2.68939544E+00,-5.80912863E-01,-3.18330488E-03,+5.80921584E-01,-3.13611288E+00
+5.30000000E-01,+1.00000000E+00,-1.58715780E-01,-7.24715907E-02,+1.74478739E-01,-2.71325349E+00,-5.77261399E-01,-1.54907302E-03,+5.77263478E-01,-3.13890917E+00
+5.40000000E-01,+1.00000000E+00,-1.63236333E-01,-6.99569107E-02,+1.77595242E-01,-2.73670872E+00,-5.73564452E-01,+1.59880035E-04,+5.73564474E-01,+3.14131391E+00
+5.50000000E-01,+1.00000000E+00,-1.67820474E-01,-6.73892865E-02,+1.80845314E-01,-2.75974578E+00,-5.69822771E-01,+1.94536660E-03,+5.69826092E-01,+3.13817868E+00
+5.60000000E-01,+1.00000000E+00,-1.72465480E-01,-6.47666221E-02,+1.84225560E-01,-2.78235405E+00,-5.66037000E-01,+3.80920928E-03,+5.66049817E-01,+3.13486314E+00
+5.70000000E-01,+1.00000000E+00,-1.77168419E-01,-6.20865898E-02,+1.87732238E-01,-2.80452747E+00,-5.62207660E-01,+5.75324581E-03,+5.62237096E-01,+3.13135970E+00
+5.80000000E-01,+1.00000000E+00,-1.81926142E-01,-5.93466164E-02,+1.91361287E-01,-2.82626431E+00,-5.58335133E-01,+7.77933464E-03,+5.58389325E-01,+3.12766046E+00
+5.90000000E-01,+1.00000000E+00,-1.86735264E-01,-5.65438676E-02,+1.95108349E-01,-2.84756693E+00,-5.54419644E-01,+9.88936141E-03,+5.54507836E-01,+3.12375722E+00
+6.00000000E-01,+1.00000000E+00,-1.91592144E-01,-5.36752323E-02,+1.98968792E-01,-2.86844151E+00,-5.50461238E-01,+1.20852464E-02,+5.50593886E-01,+3.11964142E+00
+6.10000000E-01,+1.00000000E+00,-1.96492868E-01,-5.07373057E-02,+2.02937728E-01,-2.88889777E+00,-5.46459762E-01,+1.43689529E-02,+5.46648643E-01,+3.11530409E+00
+6.20000000E-01,+1.00000000E+00,-2.01433226E-01,-4.77263711E-02,+2.07010026E-01,-2.90894874E+00,-5.42414836E-01,+1.67424967E-02,+5.42673167E-01,+3.11073586E+00
+6.30000000E-01,+1.00000000E+00,-2.06408682E-01,-4.46383814E-02,+2.11180324E-01,-2.92861044E+00,-5.38325828E-01,+1.92079569E-02,+5.38668398E-01,+3.10592687E+00
+6.40000000E-01,+1.00000000E+00,-2.11414351E-01,-4.14689385E-02,+2.15443033E-01,-2.94790168E+00,-5.34191823E-01,+2.17674877E-02,+5.34635135E-01,+3.10086674E+00
+6.50000000E-01,+1.00000000E+00,-2.16444956E-01,-3.82132713E-02,+2.19792341E-01,-2.96684383E+00,-5.30011588E-01,+2.44233318E-02,+5.30574012E-01,+3.09554448E+00
+6.60000000E-01,+1.00000000E+00,-2.21494796E-01,-3.48662131E-02,+2.24222205E-01,-2.98546060E+00,-5.25783535E-01,+2.71778350E-02,+5.26485480E-01,+3.08994846E+00
+6.70000000E-01,+1.00000000E+00,-2.26557697E-01,-3.14221759E-02,+2.28726350E-01,-3.00377791E+00,-5.21505680E-01,+3.00334630E-02,+5.22369776E-01,+3.08406629E+00
+6.80000000E-01,+1.00000000E+00,-2.31626961E-01,-2.78751232E-02,+2.33298246E-01,-3.02182374E+00,-5.17175589E-01,+3.29928191E-02,+5.18226896E-01,+3.07788475E+00
+6.90000000E-01,+1.00000000E+00,-2.36695305E-01,-2.42185411E-02,+2.37931093E-01,-3.03962801E+00,-5.12790329E-01,+3.60586646E-02,+5.14056562E-01,+3.07138968E+00
+7.00000000E-01,+1.00000000E+00,-2.41754790E-01,-2.04454058E-02,+2.42617792E-01,-3.05722258E+00,-5.08346399E-01,+3.92339412E-02,+5.09858180E-01,+3.06456581E+00
+7.10000000E-01,+1.00000000E+00,-2.46796741E-01,-1.65481485E-02,+2.47350909E-01,-3.07464114E+00,-5.03839661E-01,+4.25217953E-02,+5.05630801E-01,+3.05739668E+00
+7.20000000E-01,+1.00000000E+00,-2.51811646E-01,-1.25186173E-02,+2.52122631E-01,-3.09191934E+00,-4.99265254E-01,+4.59256053E-02,+5.01373070E-01,+3.04986441E+00
+7.30000000E-01,+1.00000000E+00,-2.56789050E-01,-8.34803501E-03,+2.56924709E-01,-3.10909479E+00,-4.94617497E-01,+4.94490122E-02,+4.97083165E-01,+3.04194950E+00
+7.40000000E-01,+1.00000000E+00,-2.61717415E-01,-4.02695243E-03,+2.61748394E-01,-3.12620722E+00,-4.89889770E-01,+5.30959523E-02,+4.92758731E-01,+3.03363061E+00
+7.50000000E-01,+1.00000000E+00,-2.66583964E-01,+4.54802849E-04,+2.66584352E-01,+3.13988662E+00,-4.85074383E-01,+5.68706948E-02,+4.88396799E-01,+3.02488426E+00
+7.60000000E-01,+1.00000000E+00,-2.71374494E-01,+5.10818350E-03,+2.71422566E-01,+3.12277150E+00,-4.80162413E-01,+6.07778824E-02,+4.83993692E-01,+3.01568448E+00
+7.70000000E-01,+1.00000000E+00,-2.76073148E-01,+9.94498567E-03,+2.76252214E-01,+3.10558521E+00,-4.75143507E-01,+6.48225773E-02,+4.79544908E-01,+3.00600237E+00
+7.80000000E-01,+1.00000000E+00,-2.80662143E-01,+1.49779193E-02,+2.81061517E-01,+3.08827686E+00,-4.70005654E-01,+6.90103112E-02,+4.75044985E-01,+2.99580567E+00
+7.90000000E-01,+1.00000000E+00,-2.85121437E-01,+2.02206865E-02,+2.85837559E-01,+3.07079164E+00,-4.64734899E-01,+7.33471419E-02,+4.70487332E-01,+2.98505807E+00
+8.00000000E-01,+1.00000000E+00,-2.89428327E-01,+2.56880686E-02,+2.90566057E-01,+3.05307010E+00,-4.59314995E-01,+7.78397148E-02,+4.65864021E-01,+2.97371850E+00
+8.10000000E-01,+1.00000000E+00,-2.93556944E-01,+3.13960235E-02,+2.95231078E-01,+3.03504729E+00,-4.53726975E-01,+8.24953323E-02,+4.61165532E-01,+2.96174018E+00
+8.20000000E-01,+1.00000000E+00,-2.97477630E-01,+3.73617927E-02,+2.99814683E-01,+3.01665156E+00,-4.47948613E-01,+8.73220281E-02,+4.56380430E-01,+2.94906949E+00
+8.30000000E-01,+1.00000000E+00,-3.01156159E-01,+4.36040203E-02,+3.04296471E-01,+2.99780315E+00,-4.41953741E-01,+9.23286500E-02,+4.51494949E-01,+2.93564445E+00
+8.40000000E-01,+1.00000000E+00,-3.04552724E-01,+5.01428823E-02,+3.08652994E-01,+2.97841229E+00,-4.35711382E-01,+9.75249474E-02,+4.46492467E-01,+2.92139284E+00
+8.50000000E-01,+1.00000000E+00,-3.07620659E-01,+5.70002250E-02,+3.12856989E-01,+2.95837675E+00,-4.29184612E-01,+1.02921662E-01,+4.41352806E-01,+2.90622976E+00
+8.60000000E-01,+1.00000000E+00,-3.10304737E-01,+6.41997090E-02,+3.16876367E-01,+2.93757860E+00,-4.22329075E-01,+1.08530618E-01,+4.36051307E-01,+2.89005435E+00
+8.70000000E-01,+1.00000000E+00,-3.12538917E-01,+7.17669490E-02,+3.20672839E-01,+2.91587985E+00,-4.15090977E-01,+1.14364801E-01,+4.30557577E-01,+2.87274545E+00
+8.80000000E-01,+1.00000000E+00,-3.14243285E-01,+7.97296328E-02,+3.24200025E-01,+2.89311641E+00,-4.07404350E-01,+1.20438408E-01,+4.24833749E-01,+2.85415557E+00
+8.90000000E-01,+1.00000000E+00,-3.15319792E-01,+8.81175827E-02,+3.27400794E-01,+2.86908972E+00,-3.99187221E-01,+1.26766830E-01,+4.18832027E-01,+2.83410250E+00
+9.00000000E-01,+1.00000000E+00,-3.15646192E-01,+9.69626939E-02,+3.30203395E-01,+2.84355456E+00,-3.90336110E-01,+1.33366509E-01,+4.12491096E-01,+2.81235711E+00
+9.10000000E-01,+1.00000000E+00,-3.15067111E-01,+1.06298611E-01,+3.32515683E-01,+2.81620091E+00,-3.80717870E-01,+1.40254522E-01,+4.05730733E-01,+2.78862529E+00
+9.20000000E-01,+1.00000000E+00,-3.13380447E-01,+1.16159869E-01,+3.34216127E-01,+2.78662596E+00,-3.70157157E-01,+1.47447641E-01,+3.98443381E-01,+2.76251990E+00
+9.30000000E-01,+1.00000000E+00,-3.10315645E-01,+1.26579900E-01,+3.35139181E-01,+2.75428860E+00,-3.58416255E-01,+1.54960269E-01,+3.90480341E-01,+2.73351535E+00
+9.40000000E-01,+1.00000000E+00,-3.05497071E-01,+1.37586558E-01,+3.35050028E-01,+2.71843151E+00,-3.45160779E-01,+1.62799964E-01,+3.81627818E-01,+2.70086959E+00
+9.50000000E-01,+1.00000000E+00,-2.98377622E-01,+1.49191822E-01,+3.33597669E-01,+2.67793697E+00,-3.29896984E-01,+1.70957296E-01,+3.71562131E-01,+2.66348010E+00
+9.60000000E-01,+1.00000000E+00,-2.88106354E-01,+1.61366442E-01,+3.30218715E-01,+2.63103330E+00,-3.11845695E-01,+1.79381051E-01,+3.59757278E-01,+2.61959023E+00
+9.70000000E-01,+1.00000000E+00,-2.73226517E-01,+1.73969522E-01,+3.23910673E-01,+2.57460792E+00,-2.89652206E-01,+1.87909510E-01,+3.45265672E-01,+2.56610240E+00
+9.80000000E-01,+1.00000000E+00,-2.50827882E-01,+1.86508077E-01,+3.12569815E-01,+2.50221949E+00,-2.60564564E-01,+1.96035346E-01,+3.26073227E-01,+2.49659023E+00
+9.90000000E-01,+1.00000000E+00,-2.13064230E-01,+1.96907360E-01,+2.90118725E-01,+2.39558384E+00,-2.17025162E-01,+2.01697216E-01,+2.96279746E-01,+2.39278462E+00
+1.00000000E+00,+1.00000000E+00,-1.00000000E+00,+0.00000000E+00,+1.00000000E+00,+3.14159265E+00,+1.00000000E+00,+0.00000000E+00,+1.00000000E+00,+0.00000000E+00
+0.00000000E+00,+2.00000000E+00,-6.27699677E-04,-1.05635222E-02,+1.05821552E-02,-1.63014798E+00,-6.49624080E-03,-1.63408384E-02,+1.75847702E-02,-1.94918571E+00
+1.00000000E-02,+2.00000000E+00,-6.28412768E-04,-1.05641956E-02,+1.05828698E-02,-1.63021146E+00,-6.49585314E-03,-1.63403420E-02,+1.75841657E-02,-1.94917565E+00
+2.00000000E-02,+2.00000000E+00,-6.30551137E-04,-1.05662141E-02,+1.05850118E-02,-1.63040180E+00,-6.49468979E-03,-1.63388516E-02,+1.75823510E-02,-1.94914548E+00
+3.00000000E-02,+2.00000000E+00,-6.34112070E-04,-1.05695720E-02,+1.05885764E-02,-1.63071861E+00,-6.49274958E-03,-1.63363637E-02,+1.75793224E-02,-1.94909519E+00
+4.00000000E-02,+2.00000000E+00,-6.39091044E-04,-1.05742597E-02,+1.05935549E-02,-1.63116127E+00,-6.49003056E-03,-1.63328728E-02,+1.75750741E-02,-1.94902478E+00
+5.00000000E-02,+2.00000000E+00,-6.45481724E-04,-1.05802642E-02,+1.05999357E-02,-1.63172890E+00,-6.48653003E-03,-1.63283708E-02,+1.75695977E-02,-1.94893425E+00
+6.00000000E-02,+2.00000000E+00,-6.53275963E-04,-1.05875685E-02,+1.06077036E-02,-1.63242037E+00,-6.48224449E-03,-1.63228474E-02,+1.75628825E-02,-1.94882359E+00
+7.00000000E-02,+2.00000000E+00,-6.62463800E-04,-1.05961517E-02,+1.06168398E-02,-1.63323434E+00,-6.47716968E-03,-1.63162900E-02,+1.75549152E-02,-1.94869278E+00
+8.00000000E-02,+2.00000000E+00,-6.73033455E-04,-1.06059892E-02,+1.06273224E-02,-1.63416922E+00,-6.47130055E-03,-1.63086838E-02,+1.75456803E-02,-1.94854183E+00
+9.00000000E-02,+2.00000000E+00,-6.84971330E-04,-1.06170529E-02,+1.06391258E-02,-1.63522318E+00,-6.46463131E-03,-1.63000115E-02,+1.75351599E-02,-1.94837072E+00
+1.00000000E-01,+2.00000000E+00,-6.98262003E-04,-1.06293104E-02,+1.06522208E-02,-1.63639420E+00,-6.45715537E-03,-1.62902537E-02,+1.75233336E-02,-1.94817943E+00
+1.10000000E-01,+2.00000000E+00,-7.12888223E-04,-1.06427257E-02,+1.06665749E-02,-1.63768003E+00,-6.44886537E-03,-1.62793884E-02,+1.75101785E-02,-1.94796796E+00
+1.20000000E-01,+2.00000000E+00,-7.28830908E-04,-1.06572592E-02,+1.06821519E-02,-1.63907822E+00,-6.43975321E-03,-1.62673915E-02,+1.74956694E-02,-1.94773628E+00
+1.30000000E-01,+2.00000000E+00,-7.46069141E-04,-1.06728671E-02,+1.06989117E-02,-1.64058615E+00,-6.42981000E-03,-1.62542364E-02,+1.74797786E-02,-1.94748439E+00
+1.40000000E-01,+2.00000000E+00,-7.64580164E-04,-1.06895020E-02,+1.07168109E-02,-1.64220099E+00,-6.41902610E-03,-1.62398942E-02,+1.74624758E-02,-1.94721225E+00
+1.50000000E-01,+2.00000000E+00,-7.84339369E-04,-1.07071126E-02,+1.07358021E-02,-1.64391977E+00,-6.40739110E-03,-1.62243336E-02,+1.74437284E-02,-1.94691986E+00
+1.60000000E-01,+2.00000000E+00,-8.05320298E-04,-1.07256435E-02,+1.07558342E-02,-1.64573934E+00,-6.39489383E-03,-1.62075207E-02,+1.74235012E-02,-1.94660718E+00
+1.70000000E-01,+2.00000000E+00,-8.27494635E-04,-1.07450357E-02,+1.07768520E-02,-1.64765643E+00,-6.38152239E-03,-1.61894194E-02,+1.74017565E-02,-1.94627419E+00
+1.80000000E-01,+2.00000000E+00,-8.50832197E-04,-1.07652262E-02,+1.07987967E-02,-1.64966761E+00,-6.36726409E-03,-1.61699912E-02,+1.73784541E-02,-1.94592086E+00
+1.90000000E-01,+2.00000000E+00,-8.75300928E-04,-1.07861481E-02,+1.08216054E-02,-1.65176936E+00,-6.35210552E-03,-1.61491948E-02,+1.73535511E-02,-1.94554717E+00
+2.00000000E-01,+2.00000000E+00,-9.00866896E-04,-1.08077305E-02,+1.08452109E-02,-1.65395802E+00,-6.33603252E-03,-1.61269866E-02,+1.73270022E-02,-1.94515307E+00
+2.10000000E-01,+2.00000000E+00,-9.27494279E-04,-1.08298985E-02,+1.08695421E-02,-1.65622987E+00,-6.31903019E-03,-1.61033207E-02,+1.72987595E-02,-1.94473855E+00
+2.20000000E-01,+2.00000000E+00,-9.55145364E-04,-1.08525733E-02,+1.08945238E-02,-1.65858109E+00,-6.30108289E-03,-1.60781482E-02,+1.72687722E-02,-1.94430355E+00
+2.30000000E-01,+2.00000000E+00,-9.83780532E-04,-1.08756721E-02,+1.09200764E-02,-1.66100780E+00,-6.28217425E-03,-1.60514179E-02,+1.72369872E-02,-1.94384805E+00
+2.40000000E-01,+2.00000000E+00,-1.01335826E-03,-1.08991081E-02,+1.09461158E-02,-1.66350605E+00,-6.26228718E-03,-1.60230759E-02,+1.72033486E-02,-1.94337199E+00
+2.50000000E-01,+2.00000000E+00,-1.04383509E-03,-1.09227902E-02,+1.09725539E-02,-1.66607187E+00,-6.24140387E-03,-1.59930658E-02,+1.71677977E-02,-1.94287534E+00
+2.60000000E-01,+2.00000000E+00,-1.07516566E-03,-1.09466237E-02,+1.09992977E-02,-1.66870123E+00,-6.21950579E-03,-1.59613284E-02,+1.71302731E-02,-1.94235805E+00
+2.70000000E-01,+2.00000000E+00,-1.10730267E-03,-1.09705092E-02,+1.10262501E-02,-1.67139012E+00,-6.19657372E-03,-1.59278017E-02,+1.70907107E-02,-1.94182005E+00
+2.80000000E-01,+2.00000000E+00,-1.14019684E-03,-1.09943437E-02,+1.10533091E-02,-1.67413449E+00,-6.17258774E-03,-1.58924213E-02,+1.70490437E-02,-1.94126131E+00
+2.90000000E-01,+2.00000000E+00,-1.17379699E-03,-1.10180196E-02,+1.10803681E-02,-1.67693031E+00,-6.14752721E-03,-1.58551195E-02,+1.70052023E-02,-1.94068176E+00
+3.00000000E-01,+2.00000000E+00,-1.20804995E-03,-1.10414255E-02,+1.11073157E-02,-1.67977355E+00,-6.12137084E-03,-1.58158264E-02,+1.69591139E-02,-1.94008134E+00
+3.10000000E-01,+2.00000000E+00,-1.24290057E-03,-1.10644454E-02,+1.11340359E-02,-1.68266021E+00,-6.09409667E-03,-1.57744687E-02,+1.69107031E-02,-1.93945999E+00
+3.20000000E-01,+2.00000000E+00,-1.27829174E-03,-1.10869593E-02,+1.11604076E-02,-1.68558634E+00,-6.06568205E-03,-1.57309706E-02,+1.68598913E-02,-1.93881764E+00
+3.30000000E-01,+2.00000000E+00,-1.31416436E-03,-1.11088428E-02,+1.11863048E-02,-1.68854801E+00,-6.03610370E-03,-1.56852530E-02,+1.68065972E-02,-1.93815421E+00
+3.40000000E-01,+2.00000000E+00,-1.35045733E-03,-1.11299671E-02,+1.12115968E-02,-1.69154134E+00,-6.00533770E-03,-1.56372342E-02,+1.67507366E-02,-1.93746962E+00
+3.50000000E-01,+2.00000000E+00,-1.38710756E-03,-1.11501991E-02,+1.12361473E-02,-1.69456252E+00,-5.97335949E-03,-1.55868292E-02,+1.66922218E-02,-1.93676380E+00
+3.60000000E-01,+2.00000000E+00,-1.42404993E-03,-1.11694012E-02,+1.12598154E-02,-1.69760780E+00,-5.94014390E-03,-1.55339500E-02,+1.66309625E-02,-1.93603667E+00
+3.70000000E-01,+2.00000000E+00,-1.46121731E-03,-1.11874316E-02,+1.12824546E-02,-1.70067351E+00,-5.90566516E-03,-1.54785055E-02,+1.65668649E-02,-1.93528812E+00
+3.80000000E-01,+2.00000000E+00,-1.49854056E-03,-1.12041436E-02,+1.13039134E-02,-1.70375603E+00,-5.86989691E-03,-1.54204013E-02,+1.64998323E-02,-1.93451806E+00
+3.90000000E-01,+2.00000000E+00,-1.53594849E-03,-1.12193862E-02,+1.13240348E-02,-1.70685185E+00,-5.83281224E-03,-1.53595400E-02,+1.64297647E-02,-1.93372640E+00
+4.00000000E-01,+2.00000000E+00,-1.57336789E-03,-1.12330038E-02,+1.13426567E-02,-1.70995752E+00,-5.79438367E-03,-1.52958207E-02,+1.63565587E-02,-1.93291302E+00
+4.10000000E-01,+2.00000000E+00,-1.61072350E-03,-1.12448361E-02,+1.13596113E-02,-1.71306971E+00,-5.75458319E-03,-1.52291393E-02,+1.62801078E-02,-1.93207782E+00
+4.20000000E-01,+2.00000000E+00,-1.64793802E-03,-1.12547181E-02,+1.13747255E-02,-1.71618516E+00,-5.71338227E-03,-1.51593882E-02,+1.62003020E-02,-1.93122067E+00
+4.30000000E-01,+2.00000000E+00,-1.68493209E-03,-1.12624801E-02,+1.13878204E-02,-1.71930070E+00,-5.67075191E-03,-1.50864564E-02,+1.61170281E-02,-1.93034146E+00
+4.40000000E-01,+2.00000000E+00,-1.72162433E-03,-1.12679476E-02,+1.13987119E-02,-1.72241329E+00,-5.62666263E-03,-1.50102295E-02,+1.60301691E-02,-1.92944005E+00
+4.50000000E-01,+2.00000000E+00,-1.75793128E-03,-1.12709411E-02,+1.14072098E-02,-1.72551996E+00,-5.58108449E-03,-1.49305892E-02,+1.59396047E-02,-1.92851630E+00
+4.60000000E-01,+2.00000000E+00,-1.79376745E-03,-1.12712763E-02,+1.14131184E-02,-1.72861784E+00,-5.53398716E-03,-1.48474141E-02,+1.58452112E-02,-1.92757008E+00
+4.70000000E-01,+2.00000000E+00,-1.82904530E-03,-1.12687641E-02,+1.14162363E-02,-1.73170417E+00,-5.48533991E-03,-1.47605785E-02,+1.57468610E-02,-1.92660124E+00
+4.80000000E-01,+2.00000000E+00,-1.86367522E-03,-1.12632102E-02,+1.14163562E-02,-1.73477629E+00,-5.43511165E-03,-1.46699533E-02,+1.56444229E-02,-1.92560961E+00
+4.90000000E-01,+2.00000000E+00,-1.89756559E-03,-1.12544151E-02,+1.14132648E-02,-1.73783165E+00,-5.38327096E-03,-1.45754055E-02,+1.55377622E-02,-1.92459503E+00
+5.00000000E-01,+2.00000000E+00,-1.93062275E-03,-1.12421743E-02,+1.14067431E-02,-1.74086777E+00,-5.32978612E-03,-1.44767983E-02,+1.54267400E-02,-1.92355733E+00
+5.10000000E-01,+2.00000000E+00,-1.96275101E-03,-1.12262782E-02,+1.13965659E-02,-1.74388230E+00,-5.27462518E-03,-1.43739906E-02,+1.53112141E-02,-1.92249633E+00
+5.20000000E-01,+2.00000000E+00,-1.99385268E-03,-1.12065116E-02,+1.13825019E-02,-1.74687296E+00,-5.21775593E-03,-1.42668376E-02,+1.51910379E-02,-1.92141183E+00
+5.30000000E-01,+2.00000000E+00,-2.02382804E-03,-1.11826541E-02,+1.13643140E-02,-1.74983759E+00,-5.15914604E-03,-1.41551904E-02,+1.50660613E-02,-1.92030365E+00
+5.40000000E-01,+2.00000000E+00,-2.05257541E-03,-1.11544801E-02,+1.13417588E-02,-1.75277411E+00,-5.09876300E-03,-1.40388955E-02,+1.49361297E-02,-1.91917156E+00
+5.50000000E-01,+2.00000000E+00,-2.07999115E-03,-1.11217581E-02,+1.13145865E-02,-1.75568053E+00,-5.03657423E-03,-1.39177957E-02,+1.48010850E-02,-1.91801536E+00
+5.60000000E-01,+2.00000000E+00,-2.10596967E-03,-1.10842514E-02,+1.12825412E-02,-1.75855496E+00,-4.97254714E-03,-1.37917291E-02,+1.46607645E-02,-1.91683482E+00
+5.70000000E-01,+2.00000000E+00,-2.13040343E-03,-1.10417173E-02,+1.12453608E-02,-1.76139557E+00,-4.90664913E-03,-1.36605294E-02,+1.45150016E-02,-1.91562970E+00
+5.80000000E-01,+2.00000000E+00,-2.15318306E-03,-1.09939078E-02,+1.12027767E-02,-1.76420063E+00,-4.83884770E-03,-1.35240262E-02,+1.43636253E-02,-1.91439975E+00
+5.90000000E-01,+2.00000000E+00,-2.17419727E-03,-1.09405688E-02,+1.11545139E-02,-1.76696850E+00,-4.76911047E-03,-1.33820440E-02,+1.42064604E-02,-1.91314471E+00
+6.00000000E-01,+2.00000000E+00,-2.19333300E-03,-1.08814405E-02,+1.11002908E-02,-1.76969761E+00,-4.69740529E-03,-1.32344031E-02,+1.40433273E-02,-1.91186432E+00
+6.10000000E-01,+2.00000000E+00,-2.21047538E-03,-1.08162569E-02,+1.10398195E-02,-1.77238644E+00,-4.62370026E-03,-1.30809189E-02,+1.38740420E-02,-1.91055829E+00
+6.20000000E-01,+2.00000000E+00,-2.22550781E-03,-1.07447464E-02,+1.09728055E-02,-1.77503356E+00,-4.54796386E-03,-1.29214020E-02,+1.36984161E-02,-1.90922632E+00
+6.30000000E-01,+2.00000000E+00,-2.23831201E-03,-1.06666310E-02,+1.08989475E-02,-1.77763762E+00,-4.47016497E-03,-1.27556583E-02,+1.35162566E-02,-1.90786811E+00
+6.40000000E-01,+2.00000000E+00,-2.24876808E-03,-1.05816265E-02,+1.08179377E-02,-1.78019731E+00,-4.39027301E-03,-1.25834886E-02,+1.33273659E-02,-1.90648333E+00
+6.50000000E-01,+2.00000000E+00,-2.25675454E-03,-1.04894426E-02,+1.07294616E-02,-1.78271139E+00,-4.30825798E-03,-1.24046888E-02,+1.31315419E-02,-1.90507166E+00
+6.60000000E-01,+2.00000000E+00,-2.26214844E-03,-1.03897826E-02,+1.06331979E-02,-1.78517866E+00,-4.22409060E-03,-1.22190498E-02,+1.29285776E-02,-1.90363273E+00
+6.70000000E-01,+2.00000000E+00,-2.26482538E-03,-1.02823434E-02,+1.05288186E-02,-1.78759799E+00,-4.13774238E-03,-1.20263571E-02,+1.27182615E-02,-1.90216619E+00
+6.80000000E-01,+2.00000000E+00,-2.26465965E-03,-1.01668155E-02,+1.04159887E-02,-1.78996830E+00,-4.04918575E-03,-1.18263912E-02,+1.25003774E-02,-1.90067165E+00
+6.90000000E-01,+2.00000000E+00,-2.26152430E-03,-1.00428826E-02,+1.02943665E-02,-1.79228853E+00,-3.95839417E-03,-1.16189274E-02,+1.22747040E-02,-1.89914872E+00
+7.00000000E-01,+2.00000000E+00,-2.25529123E-03,-9.91022192E-03,+1.01636035E-02,-1.79455770E+00,-3.86534225E-03,-1.14037355E-02,+1.20410155E-02,-1.89759696E+00
+7.10000000E-01,+2.00000000E+00,-2.24583132E-03,-9.76850410E-03,+1.00233443E-02,-1.79677482E+00,-3.77000589E-03,-1.11805799E-02,+1.17990810E-02,-1.89601596E+00
