s1,s2,Re(z_ex.tm),Im(z_ex.tm),Abs(z_ex.tm),Arg(z_ex.tm),Re(z_ex.te),Im(z_ex.te),Abs(z_ex.te),Arg(z_ex.te)
+2.90000000E-01,+1.27235871E+01,+2.53923183E+00,-4.78445336E+00,+5.41652031E+00,-1.08287145E+00,+1.66377062E-02,+6.52254733E-01,+6.52466895E-01,+1.54529387E+00
+3.00000000E-01,+1.27235871E+01,+2.53919152E+00,-4.78436810E+00,+5.41642610E+00,-1.08287064E+00,+1.67290558E-02,+6.52048010E-01,+6.52262577E-01,+1.54514578E+00
+3.10000000E-01,+1.27235871E+01,+2.53914985E+00,-4.78427994E+00,+5.41632869E+00,-1.08286981E+00,+1.68234990E-02,+6.51834288E-01,+6.52051355E-01,+1.54499258E+00
+3.20000000E-01,+1.27235871E+01,+2.53910681E+00,-4.78418891E+00,+5.41622810E+00,-1.08286895E+00,+1.69210355E-02,+6.51613567E-01,+6.51833231E-01,+1.54483426E+00
+3.30000000E-01,+1.27235871E+01,+2.53906241E+00,-4.78409498E+00,+5.41612433E+00,-1.08286806E+00,+1.70216650E-02,+6.51385847E-01,+6.51608210E-01,+1.54467081E+00
+3.40000000E-01,+1.27235871E+01,+2.53901664E+00,-4.78399818E+00,+5.41601736E+00,-1.08286714E+00,+1.71253872E-02,+6.51151130E-01,+6.51376292E-01,+1.54450222E+00
+3.50000000E-01,+1.27235871E+01,+2.53896952E+00,-4.78389848E+00,+5.41590721E+00,-1.08286620E+00,+1.72322017E-02,+6.50909417E-01,+6.51137480E-01,+1.54432847E+00
+3.60000000E-01,+1.27235871E+01,+2.53892102E+00,-4.78379591E+00,+5.41579387E+00,-1.08286523E+00,+1.73421083E-02,+6.50660708E-01,+6.50891777E-01,+1.54414956E+00
+3.70000000E-01,+1.27235871E+01,+2.53887117E+00,-4.78369045E+00,+5.41567735E+00,-1.08286423E+00,+1.74551065E-02,+6.50405004E-01,+6.50639186E-01,+1.54396548E+00
+3.80000000E-01,+1.27235871E+01,+2.53881995E+00,-4.78358211E+00,+5.41555764E+00,-1.08286321E+00,+1.75711960E-02,+6.50142307E-01,+6.50379709E-01,+1.54377621E+00
+3.90000000E-01,+1.27235871E+01,+2.53876737E+00,-4.78347089E+00,+5.41543474E+00,-1.08286216E+00,+1.76903765E-02,+6.49872617E-01,+6.50113350E-01,+1.54358175E+00
+4.00000000E-01,+1.27235871E+01,+2.53871342E+00,-4.78335678E+00,+5.41530867E+00,-1.08286108E+00,+1.78126475E-02,+6.49595935E-01,+6.49840110E-01,+1.54338208E+00
+4.10000000E-01,+1.27235871E+01,+2.53865812E+00,-4.78323980E+00,+5.41517940E+00,-1.08285997E+00,+1.79380088E-02,+6.49312262E-01,+6.49559994E-01,+1.54317719E+00
+4.20000000E-01,+1.27235871E+01,+2.53860145E+00,-4.78311993E+00,+5.41504696E+00,-1.08285884E+00,+1.80664598E-02,+6.49021599E-01,+6.49273003E-01,+1.54296706E+00
+4.30000000E-01,+1.27235871E+01,+2.53854342E+00,-4.78299718E+00,+5.41491133E+00,-1.08285768E+00,+1.81980002E-02,+6.48723947E-01,+6.48979142E-01,+1.54275169E+00
+4.40000000E-01,+1.27235871E+01,+2.53848403E+00,-4.78287156E+00,+5.41477252E+00,-1.08285649E+00,+1.83326295E-02,+6.48419308E-01,+6.48678414E-01,+1.54253106E+00
+4.50000000E-01,+1.27235871E+01,+2.53842327E+00,-4.78274305E+00,+5.41463053E+00,-1.08285527E+00,+1.84703474E-02,+6.48107682E-01,+6.48370821E-01,+1.54230515E+00
+4.60000000E-01,+1.27235871E+01,+2.53836116E+00,-4.78261167E+00,+5.41448536E+00,-1.08285403E+00,+1.86111534E-02,+6.47789071E-01,+6.48056367E-01,+1.54207396E+00
+4.70000000E-01,+1.27235871E+01,+2.53829768E+00,-4.78247741E+00,+5.41433702E+00,-1.08285276E+00,+1.87550471E-02,+6.47463475E-01,+6.47735057E-01,+1.54183747E+00
+4.80000000E-01,+1.27235871E+01,+2.53823285E+00,-4.78234028E+00,+5.41418549E+00,-1.08285147E+00,+1.89020279E-02,+6.47130897E-01,+6.47406892E-01,+1.54159566E+00
+4.90000000E-01,+1.27235871E+01,+2.53816665E+00,-4.78220026E+00,+5.41403078E+00,-1.08285014E+00,+1.90520955E-02,+6.46791336E-01,+6.47071878E-01,+1.54134852E+00
+5.00000000E-01,+1.27235871E+01,+2.53809909E+00,-4.78205738E+00,+5.41387290E+00,-1.08284879E+00,+1.92052494E-02,+6.46444795E-01,+6.46730017E-01,+1.54109603E+00
+5.10000000E-01,+1.27235871E+01,+2.53803018E+00,-4.78191161E+00,+5.41371184E+00,-1.08284741E+00,+1.93614891E-02,+6.46091274E-01,+6.46381313E-01,+1.54083818E+00
+5.20000000E-01,+1.27235871E+01,+2.53795990E+00,-4.78176298E+00,+5.41354760E+00,-1.08284601E+00,+1.95208140E-02,+6.45730775E-01,+6.46025771E-01,+1.54057495E+00
+5.30000000E-01,+1.27235871E+01,+2.53788827E+00,-4.78161147E+00,+5.41338019E+00,-1.08284457E+00,+1.96832237E-02,+6.45363300E-01,+6.45663394E-01,+1.54030633E+00
+5.40000000E-01,+1.27235871E+01,+2.53781527E+00,-4.78145709E+00,+5.41320960E+00,-1.08284311E+00,+1.98487177E-02,+6.44988849E-01,+6.45294186E-01,+1.54003230E+00
+5.50000000E-01,+1.27235871E+01,+2.53774092E+00,-4.78129983E+00,+5.41303585E+00,-1.08284163E+00,+2.00172955E-02,+6.44607423E-01,+6.44918152E-01,+1.53975284E+00
+5.60000000E-01,+1.27235871E+01,+2.53766521E+00,-4.78113971E+00,+5.41285892E+00,-1.08284011E+00,+2.01889564E-02,+6.44219025E-01,+6.44535295E-01,+1.53946793E+00
+5.70000000E-01,+1.27235871E+01,+2.53758814E+00,-4.78097671E+00,+5.41267881E+00,-1.08283857E+00,+2.03637001E-02,+6.43823656E-01,+6.44145621E-01,+1.53917755E+00
+5.80000000E-01,+1.27235871E+01,+2.53750972E+00,-4.78081085E+00,+5.41249554E+00,-1.08283700E+00,+2.05415259E-02,+6.43421317E-01,+6.43749132E-01,+1.53888170E+00
+5.90000000E-01,+1.27235871E+01,+2.53742994E+00,-4.78064212E+00,+5.41230909E+00,-1.08283541E+00,+2.07224332E-02,+6.43012009E-01,+6.43345835E-01,+1.53858034E+00
+6.00000000E-01,+1.27235871E+01,+2.53734880E+00,-4.78047052E+00,+5.41211948E+00,-1.08283379E+00,+2.09064216E-02,+6.42595735E-01,+6.42935733E-01,+1.53827347E+00
+6.10000000E-01,+1.27235871E+01,+2.53726630E+00,-4.78029605E+00,+5.41192670E+00,-1.08283214E+00,+2.10934903E-02,+6.42172495E-01,+6.42518831E-01,+1.53796105E+00
+6.20000000E-01,+1.27235871E+01,+2.53718245E+00,-4.78011872E+00,+5.41173075E+00,-1.08283046E+00,+2.12836389E-02,+6.41742291E-01,+6.42095134E-01,+1.53764308E+00
+6.30000000E-01,+1.27235871E+01,+2.53709724E+00,-4.77993852E+00,+5.41153164E+00,-1.08282876E+00,+2.14768667E-02,+6.41305124E-01,+6.41664646E-01,+1.53731953E+00
+6.40000000E-01,+1.27235871E+01,+2.53701068E+00,-4.77975546E+00,+5.41132936E+00,-1.08282703E+00,+2.16731732E-02,+6.40860997E-01,+6.41227373E-01,+1.53699037E+00
+6.50000000E-01,+1.27235871E+01,+2.53692277E+00,-4.77956953E+00,+5.41112391E+00,-1.08282527E+00,+2.18725576E-02,+6.40409911E-01,+6.40783320E-01,+1.53665560E+00
