s,n,Re(f_ibc0.tm),Im(f_ibc0.tm),Abs(f_ibc0.tm),Arg(f_ibc0.tm),Re(f_ibc0.te),Im(f_ibc0.te),Abs(f_ibc0.te),Arg(f_ibc0.te)
+0.00000000E+00,+0.00000000E+00,-2.77809005E-01,+4.14921363E-01,+4.99337141E-01,+2.16078978E+00,-7.00298510E-01,-3.49628453E-01,+7.82724766E-01,-2.67854017E+00
+1.00000000E-02,+0.00000000E+00,-2.77775444E-01,+4.14904975E-01,+4.99304853E-01,+2.16075219E+00,-7.00280237E-01,-3.49633783E-01,+7.82710798E-01,-2.67852365E+00
+2.00000000E-02,+0.00000000E+00,-2.77674762E-01,+4.14855793E-01,+4.99207975E-01,+2.16063940E+00,-7.00225382E-01,-3.49649786E-01,+7.82668869E-01,-2.67847405E+00
+3.00000000E-02,+0.00000000E+00,-2.77506954E-01,+4.14773757E-01,+4.99046470E-01,+2.16045140E+00,-7.00133841E-01,-3.49676501E-01,+7.82598908E-01,-2.67839125E+00
+4.00000000E-02,+0.00000000E+00,-2.77272015E-01,+4.14658767E-01,+4.98820272E-01,+2.16018813E+00,-7.00005441E-01,-3.49713993E-01,+7.82500795E-01,-2.67827507E+00
+5.00000000E-02,+0.00000000E+00,-2.76969937E-01,+4.14510685E-01,+4.98529291E-01,+2.15984954E+00,-6.99839936E-01,-3.49762352E-01,+7.82374359E-01,-2.67812523E+00
+6.00000000E-02,+0.00000000E+00,-2.76600711E-01,+4.14329332E-01,+4.98173412E-01,+2.15943554E+00,-6.99637011E-01,-3.49821695E-01,+7.82219384E-01,-2.67794140E+00
+7.00000000E-02,+0.00000000E+00,-2.76164324E-01,+4.14114489E-01,+4.97752493E-01,+2.15894603E+00,-6.99396279E-01,-3.49892164E-01,+7.82035601E-01,-2.67772314E+00
+8.00000000E-02,+0.00000000E+00,-2.75660762E-01,+4.13865897E-01,+4.97266364E-01,+2.15838089E+00,-6.99117280E-01,-3.49973929E-01,+7.81822692E-01,-2.67746994E+00
+9.00000000E-02,+0.00000000E+00,-2.75090011E-01,+4.13583256E-01,+4.96714832E-01,+2.15774000E+00,-6.98799478E-01,-3.50067183E-01,+7.81580286E-01,-2.67718123E+00
+1.00000000E-01,+0.00000000E+00,-2.74452053E-01,+4.13266226E-01,+4.96097675E-01,+2.15702318E+00,-6.98442265E-01,-3.50172149E-01,+7.81307962E-01,-2.67685634E+00
+1.10000000E-01,+0.00000000E+00,-2.73746871E-01,+4.12914425E-01,+4.95414646E-01,+2.15623027E+00,-6.98044950E-01,-3.50289074E-01,+7.81005242E-01,-2.67649450E+00
+1.20000000E-01,+0.00000000E+00,-2.72974444E-01,+4.12527430E-01,+4.94665470E-01,+2.15536109E+00,-6.97606768E-01,-3.50418232E-01,+7.80671595E-01,-2.67609489E+00
+1.30000000E-01,+0.00000000E+00,-2.72134752E-01,+4.12104775E-01,+4.93849845E-01,+2.15441540E+00,-6.97126868E-01,-3.50559922E-01,+7.80306433E-01,-2.67565657E+00
+1.40000000E-01,+0.00000000E+00,-2.71227776E-01,+4.11645954E-01,+4.92967441E-01,+2.15339299E+00,-6.96604317E-01,-3.50714472E-01,+7.79909108E-01,-2.67517851E+00
+1.50000000E-01,+0.00000000E+00,-2.70253494E-01,+4.11150417E-01,+4.92017902E-01,+2.15229360E+00,-6.96038095E-01,-3.50882236E-01,+7.79478912E-01,-2.67465962E+00
+1.60000000E-01,+0.00000000E+00,-2.69211885E-01,+4.10617569E-01,+4.91000842E-01,+2.15111696E+00,-6.95427091E-01,-3.51063593E-01,+7.79015074E-01,-2.67409867E+00
+1.70000000E-01,+0.00000000E+00,-2.68102930E-01,+4.10046773E-01,+4.89915847E-01,+2.14986278E+00,-6.94770101E-01,-3.51258950E-01,+7.78516758E-01,-2.67349436E+00
+1.80000000E-01,+0.00000000E+00,-2.66926608E-01,+4.09437348E-01,+4.88762474E-01,+2.14853075E+00,-6.94065824E-01,-3.51468740E-01,+7.77983061E-01,-2.67284526E+00
+1.90000000E-01,+0.00000000E+00,-2.65682902E-01,+4.08788565E-01,+4.87540250E-01,+2.14712053E+00,-6.93312858E-01,-3.51693423E-01,+7.77413007E-01,-2.67214986E+00
+2.00000000E-01,+0.00000000E+00,-2.64371796E-01,+4.08099653E-01,+4.86248674E-01,+2.14563177E+00,-6.92509696E-01,-3.51933484E-01,+7.76805546E-01,-2.67140652E+00
+2.10000000E-01,+0.00000000E+00,-2.62993276E-01,+4.07369791E-01,+4.84887214E-01,+2.14406410E+00,-6.91654723E-01,-3.52189435E-01,+7.76159554E-01,-2.67061348E+00
+2.20000000E-01,+0.00000000E+00,-2.61547331E-01,+4.06598112E-01,+4.83455304E-01,+2.14241712E+00,-6.90746204E-01,-3.52461813E-01,+7.75473822E-01,-2.66976887E+00
+2.30000000E-01,+0.00000000E+00,-2.60033954E-01,+4.05783701E-01,+4.81952351E-01,+2.14069040E+00,-6.89782290E-01,-3.52751181E-01,+7.74747057E-01,-2.66887069E+00
+2.40000000E-01,+0.00000000E+00,-2.58453141E-01,+4.04925592E-01,+4.80377727E-01,+2.13888351E+00,-6.88760999E-01,-3.53058126E-01,+7.73977877E-01,-2.66791681E+00
+2.50000000E-01,+0.00000000E+00,-2.56804895E-01,+4.04022770E-01,+4.78730773E-01,+2.13699597E+00,-6.87680223E-01,-3.53383258E-01,+7.73164805E-01,-2.66690494E+00
+2.60000000E-01,+0.00000000E+00,-2.55089221E-01,+4.03074170E-01,+4.77010794E-01,+2.13502729E+00,-6.86537708E-01,-3.53727212E-01,+7.72306264E-01,-2.66583266E+00
+2.70000000E-01,+0.00000000E+00,-2.53306134E-01,+4.02078673E-01,+4.75217063E-01,+2.13297696E+00,-6.85331056E-01,-3.54090644E-01,+7.71400571E-01,-2.66469741E+00
+2.80000000E-01,+0.00000000E+00,-2.51455654E-01,+4.01035107E-01,+4.73348818E-01,+2.13084444E+00,-6.84057715E-01,-3.54474229E-01,+7.70445933E-01,-2.66349644E+00
+2.90000000E-01,+0.00000000E+00,-2.49537809E-01,+3.99942245E-01,+4.71405259E-01,+2.12862915E+00,-6.82714966E-01,-3.54878663E-01,+7.69440440E-01,-2.66222686E+00
+3.00000000E-01,+0.00000000E+00,-2.47552637E-01,+3.98798805E-01,+4.69385550E-01,+2.12633051E+00,-6.81299918E-01,-3.55304658E-01,+7.68382052E-01,-2.66088557E+00
+3.10000000E-01,+0.00000000E+00,-2.45500184E-01,+3.97603447E-01,+4.67288820E-01,+2.12394788E+00,-6.79809498E-01,-3.55752939E-01,+7.67268602E-01,-2.65946930E+00
+3.20000000E-01,+0.00000000E+00,-2.43380509E-01,+3.96354771E-01,+4.65114155E-01,+2.12148062E+00,-6.78240437E-01,-3.56224246E-01,+7.66097777E-01,-2.65797459E+00
+3.30000000E-01,+0.00000000E+00,-2.41193682E-01,+3.95051321E-01,+4.62860604E-01,+2.11892805E+00,-6.76589260E-01,-3.56719325E-01,+7.64867115E-01,-2.65639774E+00
