s1,s2,Re(r_ibc3_reduced.tm),Im(r_ibc3_reduced.tm),Abs(r_ibc3_reduced.tm),Arg(r_ibc3_reduced.tm),Re(r_ibc3_reduced.te),Im(r_ibc3_reduced.te),Abs(r_ibc3_reduced.te),Arg(r_ibc3_reduced.te)
+1.50000000E-01,+0.00000000E+00,-7.52697077E-01,+6.58367003E-01,+1.00000000E+00,+2.42294548E+00,-7.55271101E-01,+6.55412514E-01,+1.00000000E+00,+2.42686398E+00
+1.55000000E-01,+0.00000000E+00,-7.53064056E-01,+6.57947207E-01,+1.00000000E+00,+2.42350307E+00,-7.55808450E-01,+6.54792782E-01,+1.00000000E+00,+2.42768423E+00
+1.60000000E-01,+0.00000000E+00,-7.53443665E-01,+6.57512466E-01,+1.00000000E+00,+2.42408022E+00,-7.56363462E-01,+6.54151599E-01,+1.00000000E+00,+2.42853226E+00
+1.65000000E-01,+0.00000000E+00,-7.53835963E-01,+6.57062662E-01,+1.00000000E+00,+2.42467706E+00,-7.56936140E-01,+6.53488852E-01,+1.00000000E+00,+2.42940816E+00
+1.70000000E-01,+0.00000000E+00,-7.54241009E-01,+6.56597670E-01,+1.00000000E+00,+2.42529373E+00,-7.57526490E-01,+6.52804425E-01,+1.00000000E+00,+2.43031201E+00
+1.75000000E-01,+0.00000000E+00,-7.54658868E-01,+6.56117362E-01,+1.00000000E+00,+2.42593037E+00,-7.58134514E-01,+6.52098198E-01,+1.00000000E+00,+2.43124392E+00
+1.80000000E-01,+0.00000000E+00,-7.55089604E-01,+6.55621606E-01,+1.00000000E+00,+2.42658711E+00,-7.58760217E-01,+6.51370043E-01,+1.00000000E+00,+2.43220398E+00
+1.85000000E-01,+0.00000000E+00,-7.55533284E-01,+6.55110263E-01,+1.00000000E+00,+2.42726410E+00,-7.59403603E-01,+6.50619834E-01,+1.00000000E+00,+2.43319229E+00
+1.90000000E-01,+0.00000000E+00,-7.55989978E-01,+6.54583191E-01,+1.00000000E+00,+2.42796151E+00,-7.60064676E-01,+6.49847434E-01,+1.00000000E+00,+2.43420896E+00
+1.95000000E-01,+0.00000000E+00,-7.56459756E-01,+6.54040242E-01,+1.00000000E+00,+2.42867948E+00,-7.60743441E-01,+6.49052707E-01,+1.00000000E+00,+2.43525410E+00
