s1,s2,Re(z_ibc3_reduced.tm),Im(z_ibc3_reduced.tm),Abs(z_ibc3_reduced.tm),Arg(z_ibc3_reduced.tm),Re(z_ibc3_reduced.te),Im(z_ibc3_reduced.te),Abs(z_ibc3_reduced.te),Arg(z_ibc3_reduced.te)
+1.30000000E-01,+0.00000000E+00,+0.00000000E+00,-2.68254395E+00,+2.68254395E+00,-1.57079633E+00,+0.00000000E+00,-2.69456191E+00,+2.69456191E+00,-1.57079633E+00
+1.35000000E-01,+0.00000000E+00,+0.00000000E+00,-2.68630111E+00,+2.68630111E+00,-1.57079633E+00,+0.00000000E+00,-2.69928282E+00,+2.69928282E+00,-1.57079633E+00
+1.40000000E-01,+0.00000000E+00,+0.00000000E+00,-2.69021327E+00,+2.69021327E+00,-1.57079633E+00,+0.00000000E+00,-2.70419850E+00,+2.70419850E+00,-1.57079633E+00
+1.45000000E-01,+0.00000000E+00,+0.00000000E+00,-2.69428197E+00,+2.69428197E+00,-1.57079633E+00,+0.00000000E+00,-2.70931086E+00,+2.70931086E+00,-1.57079633E+00
+1.50000000E-01,+0.00000000E+00,+0.00000000E+00,-2.69850881E+00,+2.69850881E+00,-1.57079633E+00,+0.00000000E+00,-2.71462195E+00,+2.71462195E+00,-1.57079633E+00
+1.55000000E-01,+0.00000000E+00,+0.00000000E+00,-2.70289549E+00,+2.70289549E+00,-1.57079633E+00,+0.00000000E+00,-2.72013387E+00,+2.72013387E+00,-1.57079633E+00
+1.60000000E-01,+0.00000000E+00,+0.00000000E+00,-2.70744377E+00,+2.70744377E+00,-1.57079633E+00,+0.00000000E+00,-2.72584883E+00,+2.72584883E+00,-1.57079633E+00
+1.65000000E-01,+0.00000000E+00,+0.00000000E+00,-2.71215547E+00,+2.71215547E+00,-1.57079633E+00,+0.00000000E+00,-2.73176914E+00,+2.73176914E+00,-1.57079633E+00
+1.70000000E-01,+0.00000000E+00,+0.00000000E+00,-2.71703250E+00,+2.71703250E+00,-1.57079633E+00,+0.00000000E+00,-2.73789719E+00,+2.73789719E+00,-1.57079633E+00
+1.75000000E-01,+0.00000000E+00,+0.00000000E+00,-2.72207686E+00,+2.72207686E+00,-1.57079633E+00,+0.00000000E+00,-2.74423548E+00,+2.74423548E+00,-1.57079633E+00
+1.80000000E-01,+0.00000000E+00,+0.00000000E+00,-2.72729061E+00,+2.72729061E+00,-1.57079633E+00,+0.00000000E+00,-2.75078663E+00,+2.75078663E+00,-1.57079633E+00
+1.85000000E-01,+0.00000000E+00,+0.00000000E+00,-2.73267590E+00,+2.73267590E+00,-1.57079633E+00,+0.00000000E+00,-2.75755332E+00,+2.75755332E+00,-1.57079633E+00
+1.90000000E-01,+0.00000000E+00,+0.00000000E+00,-2.73823499E+00,+2.73823499E+00,-1.57079633E+00,+0.00000000E+00,-2.76453838E+00,+2.76453838E+00,-1.57079633E+00
+1.95000000E-01,+0.00000000E+00,+0.00000000E+00,-2.74397019E+00,+2.74397019E+00,-1.57079633E+00,+0.00000000E+00,-2.77174474E+00,+2.77174474E+00,-1.57079633E+00
+2.00000000E-01,+0.00000000E+00,+0.00000000E+00,-2.74988393E+00,+2.74988393E+00,-1.57079633E+00,+0.00000000E+00,-2.77917542E+00,+2.77917542E+00,-1.57079633E+00
+2.05000000E-01,+0.00000000E+00,+0.00000000E+00,-2.75597872E+00,+2.75597872E+00,-1.57079633E+00,+0.00000000E+00,-2.78683359E+00,+2.78683359E+00,-1.57079633E+00
+2.10000000E-01,+0.00000000E+00,+0.00000000E+00,-2.76225716E+00,+2.76225716E+00,-1.57079633E+00,+0.00000000E+00,-2.79472253E+00,+2.79472253E+00,-1.57079633E+00
+2.15000000E-01,+0.00000000E+00,+0.00000000E+00,-2.76872196E+00,+2.76872196E+00,-1.57079633E+00,+0.00000000E+00,-2.80284564E+00,+2.80284564E+00,-1.57079633E+00
+2.20000000E-01,+0.00000000E+00,+0.00000000E+00,-2.77537594E+00,+2.77537594E+00,-1.57079633E+00,+0.00000000E+00,-2.81120645E+00,+2.81120645E+00,-1.57079633E+00
+2.25000000E-01,+0.00000000E+00,+0.00000000E+00,-2.78222201E+00,+2.78222201E+00,-1.57079633E+00,+0.00000000E+00,-2.81980862E+00,+2.81980862E+00,-1.57079633E+00
+2.30000000E-01,+0.00000000E+00,+0.00000000E+00,-2.78926320E+00,+2.78926320E+00,-1.57079633E+00,+0.00000000E+00,-2.82865596E+00,+2.82865596E+00,-1.57079633E+00
+2.35000000E-01,+0.00000000E+00,+0.00000000E+00,-2.79650265E+00,+2.79650265E+00,-1.57079633E+00,+0.00000000E+00,-2.83775241E+00,+2.83775241E+00,-1.57079633E+00
+2.40000000E-01,+0.00000000E+00,+0.00000000E+00,-2.80394360E+00,+2.80394360E+00,-1.57079633E+00,+0.00000000E+00,-2.84710206E+00,+2.84710206E+00,-1.57079633E+00
+2.45000000E-01,+0.00000000E+00,+0.00000000E+00,-2.81158944E+00,+2.81158944E+00,-1.57079633E+00,+0.00000000E+00,-2.85670915E+00,+2.85670915E+00,-1.57079633E+00
+2.50000000E-01,+0.00000000E+00,+0.00000000E+00,-2.81944366E+00,+2.81944366E+00,-1.57079633E+00,+0.00000000E+00,-2.86657808E+00,+2.86657808E+00,-1.57079633E+00
+2.55000000E-01,+0.00000000E+00,+0.00000000E+00,-2.82750990E+00,+2.82750990E+00,-1.57079633E+00,+0.00000000E+00,-2.87671341E+00,+2.87671341E+00,-1.57079633E+00
+2.60000000E-01,+0.00000000E+00,+0.00000000E+00,-2.83579192E+00,+2.83579192E+00,-1.57079633E+00,+0.00000000E+00,-2.88711986E+00,+2.88711986E+00,-1.57079633E+00
+2.65000000E-01,+0.00000000E+00,+0.00000000E+00,-2.84429361E+00,+2.84429361E+00,-1.57079633E+00,+0.00000000E+00,-2.89780234E+00,+2.89780234E+00,-1.57079633E+00
+2.70000000E-01,+0.00000000E+00,+0.00000000E+00,-2.85301902E+00,+2.85301902E+00,-1.57079633E+00,+0.00000000E+00,-2.90876593E+00,+2.90876593E+00,-1.57079633E+00
+2.75000000E-01,+0.00000000E+00,+0.00000000E+00,-2.86197234E+00,+2.86197234E+00,-1.57079633E+00,+0.00000000E+00,-2.92001589E+00,+2.92001589E+00,-1.57079633E+00
