s1,s2,Re(r_ex.tm),Im(r_ex.tm),Abs(r_ex.tm),Arg(r_ex.tm),Re(r_ex.te),Im(r_ex.te),Abs(r_ex.te),Arg(r_ex.te)
+1.55000000E-01,+0.00000000E+00,-7.48740598E-01,+6.62863121E-01,+1.00000000E+00,+2.41695642E+00,-7.51375543E-01,+6.59874831E-01,+1.00000000E+00,+2.42094049E+00
+1.60000000E-01,+0.00000000E+00,-7.49146172E-01,+6.62404720E-01,+1.00000000E+00,+2.41756848E+00,-7.51949688E-01,+6.59220499E-01,+1.00000000E+00,+2.42181100E+00
+1.65000000E-01,+0.00000000E+00,-7.49565170E-01,+6.61930552E-01,+1.00000000E+00,+2.41820125E+00,-7.52542064E-01,+6.58544183E-01,+1.00000000E+00,+2.42271007E+00
+1.70000000E-01,+0.00000000E+00,-7.49997646E-01,+6.61440497E-01,+1.00000000E+00,+2.41885485E+00,-7.53152671E-01,+6.57845768E-01,+1.00000000E+00,+2.42363777E+00
+1.75000000E-01,+0.00000000E+00,-7.50443655E-01,+6.60934430E-01,+1.00000000E+00,+2.41952940E+00,-7.53781509E-01,+6.57125130E-01,+1.00000000E+00,+2.42459419E+00
+1.80000000E-01,+0.00000000E+00,-7.50903252E-01,+6.60412224E-01,+1.00000000E+00,+2.42022505E+00,-7.54428577E-01,+6.56382146E-01,+1.00000000E+00,+2.42557945E+00
+1.85000000E-01,+0.00000000E+00,-7.51376496E-01,+6.59873746E-01,+1.00000000E+00,+2.42094193E+00,-7.55093876E-01,+6.55616686E-01,+1.00000000E+00,+2.42659362E+00
+1.90000000E-01,+0.00000000E+00,-7.51863447E-01,+6.59318859E-01,+1.00000000E+00,+2.42168019E+00,-7.55777404E-01,+6.54828615E-01,+1.00000000E+00,+2.42763682E+00
+1.95000000E-01,+0.00000000E+00,-7.52364166E-01,+6.58747419E-01,+1.00000000E+00,+2.42243997E+00,-7.56479162E-01,+6.54017796E-01,+1.00000000E+00,+2.42870915E+00
+2.00000000E-01,+0.00000000E+00,-7.52878717E-01,+6.58159279E-01,+1.00000000E+00,+2.42322142E+00,-7.57199149E-01,+6.53184085E-01,+1.00000000E+00,+2.42981072E+00
+2.05000000E-01,+0.00000000E+00,-7.53407167E-01,+6.57554288E-01,+1.00000000E+00,+2.42402471E+00,-7.57937364E-01,+6.52327335E-01,+1.00000000E+00,+2.43094164E+00
+2.10000000E-01,+0.00000000E+00,-7.53949581E-01,+6.56932286E-01,+1.00000000E+00,+2.42485000E+00,-7.58693806E-01,+6.51447395E-01,+1.00000000E+00,+2.43210203E+00
+2.15000000E-01,+0.00000000E+00,-7.54506031E-01,+6.56293112E-01,+1.00000000E+00,+2.42569746E+00,-7.59468475E-01,+6.50544108E-01,+1.00000000E+00,+2.43329200E+00
+2.20000000E-01,+0.00000000E+00,-7.55076587E-01,+6.55636597E-01,+1.00000000E+00,+2.42656725E+00,-7.60261368E-01,+6.49617312E-01,+1.00000000E+00,+2.43451169E+00
+2.25000000E-01,+0.00000000E+00,-7.55661323E-01,+6.54962568E-01,+1.00000000E+00,+2.42745957E+00,-7.61072485E-01,+6.48666842E-01,+1.00000000E+00,+2.43576121E+00
+2.30000000E-01,+0.00000000E+00,-7.56260314E-01,+6.54270844E-01,+1.00000000E+00,+2.42837460E+00,-7.61901825E-01,+6.47692527E-01,+1.00000000E+00,+2.43704070E+00
+2.35000000E-01,+0.00000000E+00,-7.56873638E-01,+6.53561241E-01,+1.00000000E+00,+2.42931252E+00,-7.62749385E-01,+6.46694190E-01,+1.00000000E+00,+2.43835029E+00
+2.40000000E-01,+0.00000000E+00,-7.57501374E-01,+6.52833568E-01,+1.00000000E+00,+2.43027354E+00,-7.63615164E-01,+6.45671651E-01,+1.00000000E+00,+2.43969013E+00
+2.45000000E-01,+0.00000000E+00,-7.58143604E-01,+6.52087629E-01,+1.00000000E+00,+2.43125786E+00,-7.64499160E-01,+6.44624724E-01,+1.00000000E+00,+2.44106035E+00
+2.50000000E-01,+0.00000000E+00,-7.58800411E-01,+6.51323219E-01,+1.00000000E+00,+2.43226569E+00,-7.65401370E-01,+6.43553217E-01,+1.00000000E+00,+2.44246110E+00
+2.55000000E-01,+0.00000000E+00,-7.59471882E-01,+6.50540130E-01,+1.00000000E+00,+2.43329724E+00,-7.66321792E-01,+6.42456934E-01,+1.00000000E+00,+2.44389254E+00
+2.60000000E-01,+0.00000000E+00,-7.60158104E-01,+6.49738145E-01,+1.00000000E+00,+2.43435274E+00,-7.67260423E-01,+6.41335672E-01,+1.00000000E+00,+2.44535482E+00
+2.65000000E-01,+0.00000000E+00,-7.60859167E-01,+6.48917043E-01,+1.00000000E+00,+2.43543242E+00,-7.68217260E-01,+6.40189224E-01,+1.00000000E+00,+2.44684810E+00
+2.70000000E-01,+0.00000000E+00,-7.61575164E-01,+6.48076593E-01,+1.00000000E+00,+2.43653650E+00,-7.69192300E-01,+6.39017376E-01,+1.00000000E+00,+2.44837254E+00
+2.75000000E-01,+0.00000000E+00,-7.62306188E-01,+6.47216560E-01,+1.00000000E+00,+2.43766524E+00,-7.70185539E-01,+6.37819909E-01,+1.00000000E+00,+2.44992832E+00
+2.80000000E-01,+0.00000000E+00,-7.63052338E-01,+6.46336700E-01,+1.00000000E+00,+2.43881889E+00,-7.71196973E-01,+6.36596599E-01,+1.00000000E+00,+2.45151561E+00
+2.85000000E-01,+0.00000000E+00,-7.63813711E-01,+6.45436763E-01,+1.00000000E+00,+2.43999769E+00,-7.72226598E-01,+6.35347214E-01,+1.00000000E+00,+2.45313459E+00
+2.90000000E-01,+0.00000000E+00,-7.64590409E-01,+6.44516490E-01,+1.00000000E+00,+2.44120192E+00,-7.73274409E-01,+6.34071517E-01,+1.00000000E+00,+2.45478544E+00
+2.95000000E-01,+0.00000000E+00,-7.65382536E-01,+6.43575616E-01,+1.00000000E+00,+2.44243184E+00,-7.74340402E-01,+6.32769265E-01,+1.00000000E+00,+2.45646836E+00
+3.00000000E-01,+0.00000000E+00,-7.66190197E-01,+6.42613867E-01,+1.00000000E+00,+2.44368774E+00,-7.75424570E-01,+6.31440207E-01,+1.00000000E+00,+2.45818353E+00
+3.05000000E-01,+0.00000000E+00,-7.67013502E-01,+6.41630960E-01,+1.00000000E+00,+2.44496990E+00,-7.76526909E-01,+6.30084089E-01,+1.00000000E+00,+2.45993116E+00
+3.10000000E-01,+0.00000000E+00,-7.67852560E-01,+6.40626605E-01,+1.00000000E+00,+2.44627862E+00,-7.77647412E-01,+6.28700646E-01,+1.00000000E+00,+2.46171145E+00
+3.15000000E-01,+0.00000000E+00,-7.68707484E-01,+6.39600503E-01,+1.00000000E+00,+2.44761420E+00,-7.78786072E-01,+6.27289609E-01,+1.00000000E+00,+2.46352462E+00
+3.20000000E-01,+0.00000000E+00,-7.69578391E-01,+6.38552347E-01,+1.00000000E+00,+2.44897696E+00,-7.79942882E-01,+6.25850701E-01,+1.00000000E+00,+2.46537087E+00
+3.25000000E-01,+0.00000000E+00,-7.70465399E-01,+6.37481819E-01,+1.00000000E+00,+2.45036722E+00,-7.81117835E-01,+6.24383638E-01,+1.00000000E+00,+2.46725045E+00
+3.30000000E-01,+0.00000000E+00,-7.71368628E-01,+6.36388592E-01,+1.00000000E+00,+2.45178530E+00,-7.82310922E-01,+6.22888129E-01,+1.00000000E+00,+2.46916356E+00
+3.35000000E-01,+0.00000000E+00,-7.72288200E-01,+6.35272332E-01,+1.00000000E+00,+2.45323155E+00,-7.83522134E-01,+6.21363875E-01,+1.00000000E+00,+2.47111045E+00
+3.40000000E-01,+0.00000000E+00,-7.73224243E-01,+6.34132692E-01,+1.00000000E+00,+2.45470633E+00,-7.84751463E-01,+6.19810569E-01,+1.00000000E+00,+2.47309136E+00
+3.45000000E-01,+0.00000000E+00,-7.74176883E-01,+6.32969315E-01,+1.00000000E+00,+2.45620998E+00,-7.85998898E-01,+6.18227897E-01,+1.00000000E+00,+2.47510654E+00
+3.50000000E-01,+0.00000000E+00,-7.75146253E-01,+6.31781835E-01,+1.00000000E+00,+2.45774288E+00,-7.87264429E-01,+6.16615536E-01,+1.00000000E+00,+2.47715624E+00
+3.55000000E-01,+0.00000000E+00,-7.76132485E-01,+6.30569874E-01,+1.00000000E+00,+2.45930541E+00,-7.88548044E-01,+6.14973156E-01,+1.00000000E+00,+2.47924073E+00
+3.60000000E-01,+0.00000000E+00,-7.77135715E-01,+6.29333044E-01,+1.00000000E+00,+2.46089796E+00,-7.89849731E-01,+6.13300418E-01,+1.00000000E+00,+2.48136027E+00
+3.65000000E-01,+0.00000000E+00,-7.78156084E-01,+6.28070943E-01,+1.00000000E+00,+2.46252094E+00,-7.91169478E-01,+6.11596973E-01,+1.00000000E+00,+2.48351514E+00
+3.70000000E-01,+0.00000000E+00,-7.79193732E-01,+6.26783159E-01,+1.00000000E+00,+2.46417475E+00,-7.92507271E-01,+6.09862464E-01,+1.00000000E+00,+2.48570562E+00
+3.75000000E-01,+0.00000000E+00,-7.80248803E-01,+6.25469268E-01,+1.00000000E+00,+2.46585983E+00,-7.93863096E-01,+6.08096526E-01,+1.00000000E+00,+2.48793201E+00
+3.80000000E-01,+0.00000000E+00,-7.81321446E-01,+6.24128832E-01,+1.00000000E+00,+2.46757661E+00,-7.95236938E-01,+6.06298782E-01,+1.00000000E+00,+2.49019460E+00
+3.85000000E-01,+0.00000000E+00,-7.82411809E-01,+6.22761400E-01,+1.00000000E+00,+2.46932554E+00,-7.96628779E-01,+6.04468848E-01,+1.00000000E+00,+2.49249370E+00
+3.90000000E-01,+0.00000000E+00,-7.83520046E-01,+6.21366508E-01,+1.00000000E+00,+2.47110709E+00,-7.98038604E-01,+6.02606328E-01,+1.00000000E+00,+2.49482964E+00
+3.95000000E-01,+0.00000000E+00,-7.84646312E-01,+6.19943678E-01,+1.00000000E+00,+2.47292173E+00,-7.99466394E-01,+6.00710816E-01,+1.00000000E+00,+2.49720273E+00
+4.00000000E-01,+0.00000000E+00,-7.85790767E-01,+6.18492418E-01,+1.00000000E+00,+2.47476996E+00,-8.00912130E-01,+5.98781897E-01,+1.00000000E+00,+2.49961331E+00
+4.05000000E-01,+0.00000000E+00,-7.86953570E-01,+6.17012219E-01,+1.00000000E+00,+2.47665227E+00,-8.02375792E-01,+5.96819142E-01,+1.00000000E+00,+2.50206172E+00
+4.10000000E-01,+0.00000000E+00,-7.88134888E-01,+6.15502558E-01,+1.00000000E+00,+2.47856919E+00,-8.03857358E-01,+5.94822115E-01,+1.00000000E+00,+2.50454831E+00
+4.15000000E-01,+0.00000000E+00,-7.89334886E-01,+6.13962896E-01,+1.00000000E+00,+2.48052126E+00,-8.05356805E-01,+5.92790365E-01,+1.00000000E+00,+2.50707346E+00
+4.20000000E-01,+0.00000000E+00,-7.90553736E-01,+6.12392677E-01,+1.00000000E+00,+2.48250901E+00,-8.06874109E-01,+5.90723431E-01,+1.00000000E+00,+2.50963752E+00
+4.25000000E-01,+0.00000000E+00,-7.91791610E-01,+6.10791328E-01,+1.00000000E+00,+2.48453303E+00,-8.08409246E-01,+5.88620838E-01,+1.00000000E+00,+2.51224089E+00
+4.30000000E-01,+0.00000000E+00,-7.93048684E-01,+6.09158259E-01,+1.00000000E+00,+2.48659389E+00,-8.09962188E-01,+5.86482100E-01,+1.00000000E+00,+2.51488397E+00
+4.35000000E-01,+0.00000000E+00,-7.94325138E-01,+6.07492860E-01,+1.00000000E+00,+2.48869220E+00,-8.11532908E-01,+5.84306717E-01,+1.00000000E+00,+2.51756715E+00
+4.40000000E-01,+0.00000000E+00,-7.95621154E-01,+6.05794502E-01,+1.00000000E+00,+2.49082857E+00,-8.13121374E-01,+5.82094177E-01,+1.00000000E+00,+2.52029085E+00
+4.45000000E-01,+0.00000000E+00,-7.96936917E-01,+6.04062539E-01,+1.00000000E+00,+2.49300364E+00,-8.14727557E-01,+5.79843952E-01,+1.00000000E+00,+2.52305551E+00
+4.50000000E-01,+0.00000000E+00,-7.98272614E-01,+6.02296300E-01,+1.00000000E+00,+2.49521807E+00,-8.16351422E-01,+5.77555501E-01,+1.00000000E+00,+2.52586157E+00
+4.55000000E-01,+0.00000000E+00,-7.99628438E-01,+6.00495097E-01,+1.00000000E+00,+2.49747253E+00,-8.17992934E-01,+5.75228267E-01,+1.00000000E+00,+2.52870948E+00
+4.60000000E-01,+0.00000000E+00,-8.01004582E-01,+5.98658216E-01,+1.00000000E+00,+2.49976772E+00,-8.19652058E-01,+5.72861680E-01,+1.00000000E+00,+2.53159971E+00
+4.65000000E-01,+0.00000000E+00,-8.02401242E-01,+5.96784925E-01,+1.00000000E+00,+2.50210436E+00,-8.21328753E-01,+5.70455151E-01,+1.00000000E+00,+2.53453274E+00
+4.70000000E-01,+0.00000000E+00,-8.03818620E-01,+5.94874463E-01,+1.00000000E+00,+2.50448319E+00,-8.23022979E-01,+5.68008078E-01,+1.00000000E+00,+2.53750908E+00
+4.75000000E-01,+0.00000000E+00,-8.05256917E-01,+5.92926047E-01,+1.00000000E+00,+2.50690497E+00,-8.24734692E-01,+5.65519839E-01,+1.00000000E+00,+2.54052923E+00
+4.80000000E-01,+0.00000000E+00,-8.06716340E-01,+5.90938868E-01,+1.00000000E+00,+2.50937049E+00,-8.26463847E-01,+5.62989796E-01,+1.00000000E+00,+2.54359372E+00
+4.85000000E-01,+0.00000000E+00,-8.08197097E-01,+5.88912092E-01,+1.00000000E+00,+2.51188057E+00,-8.28210395E-01,+5.60417292E-01,+1.00000000E+00,+2.54670309E+00
+4.90000000E-01,+0.00000000E+00,-8.09699400E-01,+5.86844853E-01,+1.00000000E+00,+2.51443603E+00,-8.29974287E-01,+5.57801652E-01,+1.00000000E+00,+2.54985791E+00
+4.95000000E-01,+0.00000000E+00,-8.11223462E-01,+5.84736261E-01,+1.00000000E+00,+2.51703775E+00,-8.31755468E-01,+5.55142182E-01,+1.00000000E+00,+2.55305876E+00
+5.00000000E-01,+0.00000000E+00,-8.12769501E-01,+5.82585392E-01,+1.00000000E+00,+2.51968661E+00,-8.33553882E-01,+5.52438165E-01,+1.00000000E+00,+2.55630622E+00
+5.05000000E-01,+0.00000000E+00,-8.14337735E-01,+5.80391293E-01,+1.00000000E+00,+2.52238354E+00,-8.35369469E-01,+5.49688866E-01,+1.00000000E+00,+2.55960091E+00
+5.10000000E-01,+0.00000000E+00,-8.15928388E-01,+5.78152978E-01,+1.00000000E+00,+2.52512949E+00,-8.37202168E-01,+5.46893526E-01,+1.00000000E+00,+2.56294347E+00
+5.15000000E-01,+0.00000000E+00,-8.17541682E-01,+5.75869428E-01,+1.00000000E+00,+2.52792544E+00,-8.39051913E-01,+5.44051365E-01,+1.00000000E+00,+2.56633456E+00
+5.20000000E-01,+0.00000000E+00,-8.19177846E-01,+5.73539586E-01,+1.00000000E+00,+2.53077240E+00,-8.40918633E-01,+5.41161578E-01,+1.00000000E+00,+2.56977484E+00
+5.25000000E-01,+0.00000000E+00,-8.20837108E-01,+5.71162361E-01,+1.00000000E+00,+2.53367143E+00,-8.42802255E-01,+5.38223336E-01,+1.00000000E+00,+2.57326501E+00
+5.30000000E-01,+0.00000000E+00,-8.22519698E-01,+5.68736623E-01,+1.00000000E+00,+2.53662360E+00,-8.44702703E-01,+5.35235784E-01,+1.00000000E+00,+2.57680580E+00
+5.35000000E-01,+0.00000000E+00,-8.24225851E-01,+5.66261200E-01,+1.00000000E+00,+2.53963004E+00,-8.46619894E-01,+5.32198041E-01,+1.00000000E+00,+2.58039795E+00
+5.40000000E-01,+0.00000000E+00,-8.25955800E-01,+5.63734882E-01,+1.00000000E+00,+2.54269190E+00,-8.48553744E-01,+5.29109199E-01,+1.00000000E+00,+2.58404222E+00
+5.45000000E-01,+0.00000000E+00,-8.27709782E-01,+5.61156410E-01,+1.00000000E+00,+2.54581039E+00,-8.50504161E-01,+5.25968319E-01,+1.00000000E+00,+2.58773942E+00
+5.50000000E-01,+0.00000000E+00,-8.29488034E-01,+5.58524485E-01,+1.00000000E+00,+2.54898675E+00,-8.52471049E-01,+5.22774435E-01,+1.00000000E+00,+2.59149036E+00
+5.55000000E-01,+0.00000000E+00,-8.31290796E-01,+5.55837757E-01,+1.00000000E+00,+2.55222225E+00,-8.54454309E-01,+5.19526547E-01,+1.00000000E+00,+2.59529590E+00
+5.60000000E-01,+0.00000000E+00,-8.33118306E-01,+5.53094827E-01,+1.00000000E+00,+2.55551823E+00,-8.56453834E-01,+5.16223624E-01,+1.00000000E+00,+2.59915691E+00
+5.65000000E-01,+0.00000000E+00,-8.34970805E-01,+5.50294244E-01,+1.00000000E+00,+2.55887606E+00,-8.58469512E-01,+5.12864599E-01,+1.00000000E+00,+2.60307431E+00
+5.70000000E-01,+0.00000000E+00,-8.36848533E-01,+5.47434501E-01,+1.00000000E+00,+2.56229717E+00,-8.60501224E-01,+5.09448372E-01,+1.00000000E+00,+2.60704904E+00
+5.75000000E-01,+0.00000000E+00,-8.38751730E-01,+5.44514036E-01,+1.00000000E+00,+2.56578304E+00,-8.62548845E-01,+5.05973803E-01,+1.00000000E+00,+2.61108208E+00
+5.80000000E-01,+0.00000000E+00,-8.40680636E-01,+5.41531226E-01,+1.00000000E+00,+2.56933520E+00,-8.64612244E-01,+5.02439715E-01,+1.00000000E+00,+2.61517444E+00
+5.85000000E-01,+0.00000000E+00,-8.42635489E-01,+5.38484385E-01,+1.00000000E+00,+2.57295524E+00,-8.66691281E-01,+4.98844889E-01,+1.00000000E+00,+2.61932717E+00
+5.90000000E-01,+0.00000000E+00,-8.44616526E-01,+5.35371762E-01,+1.00000000E+00,+2.57664481E+00,-8.68785808E-01,+4.95188065E-01,+1.00000000E+00,+2.62354137E+00
+5.95000000E-01,+0.00000000E+00,-8.46623983E-01,+5.32191537E-01,+1.00000000E+00,+2.58040563E+00,-8.70895671E-01,+4.91467935E-01,+1.00000000E+00,+2.62781815E+00
+6.00000000E-01,+0.00000000E+00,-8.48658091E-01,+5.28941816E-01,+1.00000000E+00,+2.58423946E+00,-8.73020703E-01,+4.87683147E-01,+1.00000000E+00,+2.63215871E+00
