               s1;              s2;     Re(z_ex.tm);     Im(z_ex.tm);    Abs(z_ex.tm);    Arg(z_ex.tm);     Re(z_ex.te);     Im(z_ex.te);    Abs(z_ex.te);    Arg(z_ex.te); 
  +2.60000000E-01; +0.00000000E+00; -1.05471187E-15; -5.71656245E-01; +5.71656245E-01; -1.57079633E+00; +9.60342916E-15; -1.69146306E+00; +1.69146306E+00; -1.57079633E+00; 
  +2.70000000E-01; +0.00000000E+00; -6.66133815E-16; -5.70107172E-01; +5.70107172E-01; -1.57079633E+00; +8.93729535E-15; -1.68758588E+00; +1.68758588E+00; -1.57079633E+00; 
  +2.80000000E-01; +0.00000000E+00; +5.55111512E-17; -5.68503934E-01; +5.68503934E-01; -1.57079633E+00; -9.99200722E-16; -1.68358250E+00; +1.68358250E+00; -1.57079633E+00; 
  +2.90000000E-01; +0.00000000E+00; -3.88578059E-16; -5.66846987E-01; +5.66846987E-01; -1.57079633E+00; -3.10862447E-15; -1.67945498E+00; +1.67945498E+00; -1.57079633E+00; 
  +3.00000000E-01; +0.00000000E+00; +3.88578059E-16; -5.65136801E-01; +5.65136801E-01; -1.57079633E+00; +4.27435864E-15; -1.67520545E+00; +1.67520545E+00; -1.57079633E+00; 
  +3.10000000E-01; +0.00000000E+00; +1.38777878E-15; -5.63373859E-01; +5.63373859E-01; -1.57079633E+00; +5.44009282E-15; -1.67083606E+00; +1.67083606E+00; -1.57079633E+00; 
  +3.20000000E-01; +0.00000000E+00; +9.15933995E-16; -5.61558656E-01; +5.61558656E-01; -1.57079633E+00; +5.99520433E-15; -1.66634903E+00; +1.66634903E+00; -1.57079633E+00; 
  +3.30000000E-01; +0.00000000E+00; -3.88578059E-16; -5.59691698E-01; +5.59691698E-01; -1.57079633E+00; +4.16333634E-16; -1.66174658E+00; +1.66174658E+00; -1.57079633E+00; 
  +3.40000000E-01; +0.00000000E+00; -6.10622664E-16; -5.57773503E-01; +5.57773503E-01; -1.57079633E+00; -1.13797860E-15; -1.65703100E+00; +1.65703100E+00; -1.57079633E+00; 
  +3.50000000E-01; +0.00000000E+00; +1.58206781E-15; -5.55804602E-01; +5.55804602E-01; -1.57079633E+00; -5.85642645E-15; -1.65220460E+00; +1.65220460E+00; -1.57079633E+00; 
  +3.60000000E-01; +0.00000000E+00; -3.33066907E-16; -5.53785536E-01; +5.53785536E-01; -1.57079633E+00; +1.47659662E-14; -1.64726973E+00; +1.64726973E+00; -1.57079633E+00; 
  +3.70000000E-01; +0.00000000E+00; -7.77156117E-16; -5.51716854E-01; +5.51716854E-01; -1.57079633E+00; +5.07927034E-15; -1.64222876E+00; +1.64222876E+00; -1.57079633E+00; 
  +3.80000000E-01; +0.00000000E+00; +5.27355937E-16; -5.49599120E-01; +5.49599120E-01; -1.57079633E+00; +1.55431223E-14; -1.63708410E+00; +1.63708410E+00; -1.57079633E+00; 
  +3.90000000E-01; +0.00000000E+00; +1.19348975E-15; -5.47432903E-01; +5.47432903E-01; -1.57079633E+00; -5.27355937E-15; -1.63183816E+00; +1.63183816E+00; -1.57079633E+00; 
  +4.00000000E-01; +0.00000000E+00; +2.24820162E-15; -5.45218785E-01; +5.45218785E-01; -1.57079633E+00; +1.72084569E-15; -1.62649339E+00; +1.62649339E+00; -1.57079633E+00; 
  +4.10000000E-01; +0.00000000E+00; -5.82867088E-16; -5.42957355E-01; +5.42957355E-01; -1.57079633E+00; -6.75848266E-15; -1.62105226E+00; +1.62105226E+00; -1.57079633E+00; 
  +4.20000000E-01; +0.00000000E+00; +1.19348975E-15; -5.40649210E-01; +5.40649210E-01; -1.57079633E+00; -1.00475184E-14; -1.61551725E+00; +1.61551725E+00; -1.57079633E+00; 
  +4.30000000E-01; +0.00000000E+00; -8.04911693E-16; -5.38294958E-01; +5.38294958E-01; -1.57079633E+00; -1.11655477E-14; -1.60989084E+00; +1.60989084E+00; -1.57079633E+00; 
  +4.40000000E-01; +0.00000000E+00; +3.88578059E-16; -5.35895212E-01; +5.35895212E-01; -1.57079633E+00; +1.35655376E-15; -1.60417556E+00; +1.60417556E+00; -1.57079633E+00; 
  +4.50000000E-01; +0.00000000E+00; +1.19348975E-15; -5.33450594E-01; +5.33450594E-01; -1.57079633E+00; -4.78783679E-16; -1.59837390E+00; +1.59837390E+00; -1.57079633E+00; 
  +4.60000000E-01; +0.00000000E+00; +1.83186799E-15; -5.30961731E-01; +5.30961731E-01; -1.57079633E+00; -7.10542736E-15; -1.59248839E+00; +1.59248839E+00; -1.57079633E+00; 
  +4.70000000E-01; +0.00000000E+00; -3.05311332E-16; -5.28429260E-01; +5.28429260E-01; -1.57079633E+00; +8.99280650E-15; -1.58652156E+00; +1.58652156E+00; -1.57079633E+00; 
  +4.80000000E-01; +0.00000000E+00; +1.66533454E-15; -5.25853821E-01; +5.25853821E-01; -1.57079633E+00; -9.67281810E-15; -1.58047593E+00; +1.58047593E+00; -1.57079633E+00; 
  +4.90000000E-01; +0.00000000E+00; -8.32667268E-17; -5.23236061E-01; +5.23236061E-01; -1.57079633E+00; -5.46784840E-15; -1.57435403E+00; +1.57435403E+00; -1.57079633E+00; 
  +5.00000000E-01; +0.00000000E+00; +1.38777878E-17; -5.20576633E-01; +5.20576633E-01; -1.57079633E+00; +9.43689571E-16; -1.56815838E+00; +1.56815838E+00; -1.57079633E+00; 
  +5.10000000E-01; +0.00000000E+00; -1.54043445E-15; -5.17876193E-01; +5.17876193E-01; -1.57079633E+00; +1.49880108E-15; -1.56189151E+00; +1.56189151E+00; -1.57079633E+00; 
  +5.20000000E-01; +0.00000000E+00; -1.66533454E-15; -5.15135405E-01; +5.15135405E-01; -1.57079633E+00; -3.19189120E-15; -1.55555592E+00; +1.55555592E+00; -1.57079633E+00; 
  +5.30000000E-01; +0.00000000E+00; +1.36002321E-15; -5.12354933E-01; +5.12354933E-01; -1.57079633E+00; +5.99520433E-15; -1.54915412E+00; +1.54915412E+00; -1.57079633E+00; 
