s; real(z.tm); imag(z.tm); abs(z.tm); angle(z.tm); real(z.te); imag(z.te); abs(z.te); angle(z.te); 
2.000000e-01; -5.986878e-14; -9.838118e-01; 9.838118e-01; -1.570796e+00; -2.162983e-16; -8.490191e-01; 8.490191e-01; -1.570796e+00; 
2.100000e-01; -8.462675e-14; -9.830236e-01; 9.830236e-01; -1.570796e+00; -4.996004e-16; -8.477614e-01; 8.477614e-01; -1.570796e+00; 
2.200000e-01; -2.267631e-14; -9.821983e-01; 9.821983e-01; -1.570796e+00; -3.885781e-16; -8.464445e-01; 8.464445e-01; -1.570796e+00; 
2.300000e-01; 3.230749e-14; -9.813363e-01; 9.813363e-01; -1.570796e+00; 3.885781e-15; -8.450686e-01; 8.450686e-01; -1.570796e+00; 
2.400000e-01; 7.727152e-14; -9.804378e-01; 9.804378e-01; -1.570796e+00; 9.825474e-15; -8.436341e-01; 8.436341e-01; -1.570796e+00; 
2.500000e-01; 5.773160e-14; -9.795030e-01; 9.795030e-01; -1.570796e+00; 8.326673e-15; -8.421413e-01; 8.421413e-01; -1.570796e+00; 
2.600000e-01; 5.079270e-14; -9.785321e-01; 9.785321e-01; -1.570796e+00; 1.937339e-14; -8.405906e-01; 8.405906e-01; -1.570796e+00; 
2.700000e-01; -6.605827e-15; -9.775254e-01; 9.775254e-01; -1.570796e+00; -3.830269e-15; -8.389821e-01; 8.389821e-01; -1.570796e+00; 
2.800000e-01; 6.517009e-14; -9.764831e-01; 9.764831e-01; -1.570796e+00; 5.628831e-14; -8.373165e-01; 8.373165e-01; -1.570796e+00; 
2.900000e-01; 4.224399e-14; -9.754055e-01; 9.754055e-01; -1.570796e+00; 4.868328e-14; -8.355938e-01; 8.355938e-01; -1.570796e+00; 
3.000000e-01; 9.936496e-15; -9.742928e-01; 9.742928e-01; -1.570796e+00; 3.202993e-14; -8.338147e-01; 8.338147e-01; -1.570796e+00; 
3.100000e-01; -4.612977e-14; -9.731453e-01; 9.731453e-01; -1.570796e+00; -1.142419e-13; -8.319794e-01; 8.319794e-01; -1.570796e+00; 
3.200000e-01; 3.219647e-15; -9.719633e-01; 9.719633e-01; -1.570796e+00; 1.393330e-14; -8.300884e-01; 8.300884e-01; -1.570796e+00; 
3.300000e-01; 4.829470e-15; -9.707472e-01; 9.707472e-01; -1.570796e+00; 4.193867e-14; -8.281421e-01; 8.281421e-01; -1.570796e+00; 
3.400000e-01; -1.332268e-15; -9.694971e-01; 9.694971e-01; -1.570796e+00; -1.032507e-14; -8.261408e-01; 8.261408e-01; -1.570796e+00; 
3.500000e-01; 2.498002e-16; -9.682134e-01; 9.682134e-01; -1.570796e+00; 2.510492e-14; -8.240851e-01; 8.240851e-01; -1.570796e+00; 
3.600000e-01; 4.510281e-17; -9.668963e-01; 9.668963e-01; -1.570796e+00; -9.399599e-15; -8.219754e-01; 8.219754e-01; -1.570796e+00; 
3.700000e-01; -6.938894e-16; -9.655463e-01; 9.655463e-01; -1.570796e+00; -4.141132e-14; -8.198120e-01; 8.198120e-01; -1.570796e+00; 
3.800000e-01; -6.605827e-15; -9.641637e-01; 9.641637e-01; -1.570796e+00; -1.124656e-13; -8.175956e-01; 8.175956e-01; -1.570796e+00; 
3.900000e-01; -6.439294e-15; -9.627487e-01; 9.627487e-01; -1.570796e+00; -5.637157e-14; -8.153265e-01; 8.153265e-01; -1.570796e+00; 
4.000000e-01; -1.287859e-14; -9.613017e-01; 9.613017e-01; -1.570796e+00; -5.334622e-14; -8.130052e-01; 8.130052e-01; -1.570796e+00; 
