s; real(z.tm); imag(z.tm); abs(z.tm); angle(z.tm); real(z.te); imag(z.te); abs(z.te); angle(z.te); 
3.300000e-01; -0.000000e+00; -2.948644e+00; 2.948644e+00; -1.570796e+00; -0.000000e+00; -3.031168e+00; 3.031168e+00; -1.570796e+00; 
3.400000e-01; -0.000000e+00; -2.973433e+00; 2.973433e+00; -1.570796e+00; -0.000000e+00; -3.061923e+00; 3.061923e+00; -1.570796e+00; 
3.500000e-01; -0.000000e+00; -2.999455e+00; 2.999455e+00; -1.570796e+00; -0.000000e+00; -3.094216e+00; 3.094216e+00; -1.570796e+00; 
3.600000e-01; -0.000000e+00; -3.026771e+00; 3.026771e+00; -1.570796e+00; -0.000000e+00; -3.128122e+00; 3.128122e+00; -1.570796e+00; 
3.700000e-01; -0.000000e+00; -3.055443e+00; 3.055443e+00; -1.570796e+00; -0.000000e+00; -3.163722e+00; 3.163722e+00; -1.570796e+00; 
3.800000e-01; -0.000000e+00; -3.085542e+00; 3.085542e+00; -1.570796e+00; -0.000000e+00; -3.201102e+00; 3.201102e+00; -1.570796e+00; 
3.900000e-01; -0.000000e+00; -3.117142e+00; 3.117142e+00; -1.570796e+00; -0.000000e+00; -3.240356e+00; 3.240356e+00; -1.570796e+00; 
4.000000e-01; -0.000000e+00; -3.150324e+00; 3.150324e+00; -1.570796e+00; -0.000000e+00; -3.281588e+00; 3.281588e+00; -1.570796e+00; 
4.100000e-01; -0.000000e+00; -3.185176e+00; 3.185176e+00; -1.570796e+00; -0.000000e+00; -3.324905e+00; 3.324905e+00; -1.570796e+00; 
4.200000e-01; -0.000000e+00; -3.221794e+00; 3.221794e+00; -1.570796e+00; -0.000000e+00; -3.370430e+00; 3.370430e+00; -1.570796e+00; 
4.300000e-01; -0.000000e+00; -3.260281e+00; 3.260281e+00; -1.570796e+00; -0.000000e+00; -3.418291e+00; 3.418291e+00; -1.570796e+00; 
4.400000e-01; -0.000000e+00; -3.300750e+00; 3.300750e+00; -1.570796e+00; -0.000000e+00; -3.468631e+00; 3.468631e+00; -1.570796e+00; 
4.500000e-01; -0.000000e+00; -3.343323e+00; 3.343323e+00; -1.570796e+00; -0.000000e+00; -3.521604e+00; 3.521604e+00; -1.570796e+00; 
4.600000e-01; -0.000000e+00; -3.388136e+00; 3.388136e+00; -1.570796e+00; -0.000000e+00; -3.577380e+00; 3.577380e+00; -1.570796e+00; 
4.700000e-01; -0.000000e+00; -3.435336e+00; 3.435336e+00; -1.570796e+00; -0.000000e+00; -3.636142e+00; 3.636142e+00; -1.570796e+00; 
4.800000e-01; -0.000000e+00; -3.485083e+00; 3.485083e+00; -1.570796e+00; -0.000000e+00; -3.698093e+00; 3.698093e+00; -1.570796e+00; 
4.900000e-01; -0.000000e+00; -3.537554e+00; 3.537554e+00; -1.570796e+00; -0.000000e+00; -3.763455e+00; 3.763455e+00; -1.570796e+00; 
5.000000e-01; -0.000000e+00; -3.592944e+00; 3.592944e+00; -1.570796e+00; -0.000000e+00; -3.832473e+00; 3.832473e+00; -1.570796e+00; 
5.100000e-01; -0.000000e+00; -3.651467e+00; 3.651467e+00; -1.570796e+00; -0.000000e+00; -3.905417e+00; 3.905417e+00; -1.570796e+00; 
5.200000e-01; -0.000000e+00; -3.713362e+00; 3.713362e+00; -1.570796e+00; -0.000000e+00; -3.982584e+00; 3.982584e+00; -1.570796e+00; 
5.300000e-01; -0.000000e+00; -3.778890e+00; 3.778890e+00; -1.570796e+00; -0.000000e+00; -4.064305e+00; 4.064305e+00; -1.570796e+00; 
5.400000e-01; -0.000000e+00; -3.848343e+00; 3.848343e+00; -1.570796e+00; -0.000000e+00; -4.150947e+00; 4.150947e+00; -1.570796e+00; 
5.500000e-01; -0.000000e+00; -3.922048e+00; 3.922048e+00; -1.570796e+00; -0.000000e+00; -4.242919e+00; 4.242919e+00; -1.570796e+00; 
5.600000e-01; -0.000000e+00; -4.000367e+00; 4.000367e+00; -1.570796e+00; -0.000000e+00; -4.340676e+00; 4.340676e+00; -1.570796e+00; 
5.700000e-01; -0.000000e+00; -4.083707e+00; 4.083707e+00; -1.570796e+00; -0.000000e+00; -4.444731e+00; 4.444731e+00; -1.570796e+00; 
5.800000e-01; -0.000000e+00; -4.172527e+00; 4.172527e+00; -1.570796e+00; -0.000000e+00; -4.555658e+00; 4.555658e+00; -1.570796e+00; 
5.900000e-01; -0.000000e+00; -4.267342e+00; 4.267342e+00; -1.570796e+00; -0.000000e+00; -4.674106e+00; 4.674106e+00; -1.570796e+00; 
6.000000e-01; -0.000000e+00; -4.368737e+00; 4.368737e+00; -1.570796e+00; -0.000000e+00; -4.800810e+00; 4.800810e+00; -1.570796e+00; 
6.100000e-01; -0.000000e+00; -4.477377e+00; 4.477377e+00; -1.570796e+00; -0.000000e+00; -4.936605e+00; 4.936605e+00; -1.570796e+00; 
6.200000e-01; -0.000000e+00; -4.594020e+00; 4.594020e+00; -1.570796e+00; -0.000000e+00; -5.082443e+00; 5.082443e+00; -1.570796e+00; 
6.300000e-01; -0.000000e+00; -4.719536e+00; 4.719536e+00; -1.570796e+00; -0.000000e+00; -5.239418e+00; 5.239418e+00; -1.570796e+00; 
6.400000e-01; -0.000000e+00; -4.854927e+00; 4.854927e+00; -1.570796e+00; -0.000000e+00; -5.408787e+00; 5.408787e+00; -1.570796e+00; 
6.500000e-01; -0.000000e+00; -5.001353e+00; 5.001353e+00; -1.570796e+00; -0.000000e+00; -5.592009e+00; 5.592009e+00; -1.570796e+00; 
6.600000e-01; -0.000000e+00; -5.160166e+00; 5.160166e+00; -1.570796e+00; -0.000000e+00; -5.790782e+00; 5.790782e+00; -1.570796e+00; 
6.700000e-01; -0.000000e+00; -5.332949e+00; 5.332949e+00; -1.570796e+00; -0.000000e+00; -6.007095e+00; 6.007095e+00; -1.570796e+00; 
6.800000e-01; -0.000000e+00; -5.521567e+00; 5.521567e+00; -1.570796e+00; -0.000000e+00; -6.243292e+00; 6.243292e+00; -1.570796e+00; 
