s; real(z.tm); imag(z.tm); abs(z.tm); angle(z.tm); real(z.te); imag(z.te); abs(z.te); angle(z.te); 
3.800000e-01; -1.139366e-13; -8.175956e-01; 8.175956e-01; -1.570796e+00; -6.411538e-15; -9.641637e-01; 9.641637e-01; -1.570796e+00; 
3.900000e-01; -5.523360e-14; -8.153265e-01; 8.153265e-01; -1.570796e+00; -6.439294e-15; -9.627487e-01; 9.627487e-01; -1.570796e+00; 
4.000000e-01; 4.229950e-14; -8.130052e-01; 8.130052e-01; -1.570796e+00; 8.715251e-15; -9.613017e-01; 9.613017e-01; -1.570796e+00; 
4.100000e-01; 5.406786e-14; -8.106322e-01; 8.106322e-01; -1.570796e+00; 2.137179e-14; -9.598230e-01; 9.598230e-01; -1.570796e+00; 
4.200000e-01; 4.218847e-15; -8.082080e-01; 8.082080e-01; -1.570796e+00; -1.720846e-15; -9.583131e-01; 9.583131e-01; -1.570796e+00; 
4.300000e-01; -4.163336e-14; -8.057332e-01; 8.057332e-01; -1.570796e+00; -3.508305e-14; -9.567721e-01; 9.567721e-01; -1.570796e+00; 
4.400000e-01; 2.542411e-14; -8.032082e-01; 8.032082e-01; -1.570796e+00; 2.714495e-14; -9.552006e-01; 9.552006e-01; -1.570796e+00; 
4.500000e-01; 1.976197e-14; -8.006335e-01; 8.006335e-01; -1.570796e+00; 2.309264e-14; -9.535988e-01; 9.535988e-01; -1.570796e+00; 
4.600000e-01; -9.658940e-15; -7.980097e-01; 7.980097e-01; -1.570796e+00; -2.053913e-14; -9.519671e-01; 9.519671e-01; -1.570796e+00; 
4.700000e-01; -3.330669e-14; -7.953373e-01; 7.953373e-01; -1.570796e+00; -1.179612e-13; -9.503060e-01; 9.503060e-01; -1.570796e+00; 
4.800000e-01; 7.105427e-15; -7.926168e-01; 7.926168e-01; -1.570796e+00; 4.030110e-14; -9.486157e-01; 9.486157e-01; -1.570796e+00; 
4.900000e-01; -2.303713e-14; -7.898488e-01; 7.898488e-01; -1.570796e+00; -1.980083e-13; -9.468966e-01; 9.468966e-01; -1.570796e+00; 
5.000000e-01; -5.995204e-15; -7.870339e-01; 7.870339e-01; -1.570796e+00; -9.472978e-14; -9.451492e-01; 9.451492e-01; -1.570796e+00; 
5.100000e-01; -5.828671e-16; -7.841726e-01; 7.841726e-01; -1.570796e+00; -7.938095e-15; -9.433739e-01; 9.433739e-01; -1.570796e+00; 
5.200000e-01; 1.249001e-16; -7.812654e-01; 7.812654e-01; -1.570796e+00; 1.557088e-14; -9.415709e-01; 9.415709e-01; -1.570796e+00; 
5.300000e-01; 1.006140e-16; -7.783130e-01; 7.783130e-01; -1.570796e+00; 9.794943e-14; -9.397408e-01; 9.397408e-01; -1.570796e+00; 
5.400000e-01; -1.804112e-16; -7.753159e-01; 7.753159e-01; -1.570796e+00; -5.181966e-14; -9.378838e-01; 9.378838e-01; -1.570796e+00; 
5.500000e-01; -2.636780e-15; -7.722747e-01; 7.722747e-01; -1.570796e+00; -3.555489e-14; -9.360005e-01; 9.360005e-01; -1.570796e+00; 
5.600000e-01; 2.720046e-15; -7.691900e-01; 7.691900e-01; -1.570796e+00; 2.953193e-14; -9.340912e-01; 9.340912e-01; -1.570796e+00; 
5.700000e-01; -4.385381e-15; -7.660623e-01; 7.660623e-01; -1.570796e+00; -5.623280e-14; -9.321563e-01; 9.321563e-01; -1.570796e+00; 
5.800000e-01; 2.164935e-15; -7.628923e-01; 7.628923e-01; -1.570796e+00; 2.109424e-15; -9.301963e-01; 9.301963e-01; -1.570796e+00; 
5.900000e-01; -8.715251e-15; -7.596806e-01; 7.596806e-01; -1.570796e+00; -2.664535e-14; -9.282115e-01; 9.282115e-01; -1.570796e+00; 
6.000000e-01; 4.662937e-15; -7.564277e-01; 7.564277e-01; -1.570796e+00; 1.582068e-14; -9.262024e-01; 9.262024e-01; -1.570796e+00; 
6.100000e-01; -9.270362e-15; -7.531343e-01; 7.531343e-01; -1.570796e+00; -2.409184e-14; -9.241693e-01; 9.241693e-01; -1.570796e+00; 
6.200000e-01; 2.292611e-14; -7.498009e-01; 7.498009e-01; -1.570796e+00; 2.731149e-14; -9.221128e-01; 9.221128e-01; -1.570796e+00; 
6.300000e-01; -3.480549e-14; -7.464283e-01; 7.464283e-01; -1.570796e+00; -3.574918e-14; -9.200331e-01; 9.200331e-01; -1.570796e+00; 
