s1,s2,Re(r_ex.11),Im(r_ex.11),Abs(r_ex.11),Arg(r_ex.11),Re(r_ex.21),Im(r_ex.21),Abs(r_ex.21),Arg(r_ex.21),Re(r_ex.12),Im(r_ex.12),Abs(r_ex.12),Arg(r_ex.12),Re(r_ex.22),Im(r_ex.22),Abs(r_ex.22),Arg(r_ex.22)
+1.60000000E-01,+0.00000000E+00,+7.64174878E-01,-6.45009113E-01,+1.00000000E+00,+1.39833641E+02,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+7.72172655E-01,-6.35412773E-01,+1.00000000E+00,+1.40549394E+02
+1.70000000E-01,+0.00000000E+00,+7.63869753E-01,-6.45370437E-01,+1.00000000E+00,+1.39806545E+02,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+7.72909985E-01,-6.34515685E-01,+1.00000000E+00,+1.40615927E+02
+1.80000000E-01,+0.00000000E+00,+7.63543434E-01,-6.45756474E-01,+1.00000000E+00,+1.39777583E+02,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+7.73692251E-01,-6.33561600E-01,+1.00000000E+00,+1.40686618E+02
+1.90000000E-01,+0.00000000E+00,+7.63195415E-01,-6.46167748E-01,+1.00000000E+00,+1.39746714E+02,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+7.74519495E-01,-6.32550039E-01,+1.00000000E+00,+1.40761489E+02
+2.00000000E-01,+0.00000000E+00,+7.62825150E-01,-6.46604818E-01,+1.00000000E+00,+1.39713894E+02,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+7.75391765E-01,-6.31480491E-01,+1.00000000E+00,+1.40840565E+02
+2.10000000E-01,+0.00000000E+00,+7.62432053E-01,-6.47068284E-01,+1.00000000E+00,+1.39679074E+02,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+7.76309108E-01,-6.30352416E-01,+1.00000000E+00,+1.40923872E+02
+2.20000000E-01,+0.00000000E+00,+7.62015499E-01,-6.47558784E-01,+1.00000000E+00,+1.39642203E+02,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+7.77271578E-01,-6.29165236E-01,+1.00000000E+00,+1.41011438E+02
+2.30000000E-01,+0.00000000E+00,+7.61574816E-01,-6.48077001E-01,+1.00000000E+00,+1.39603228E+02,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+7.78279226E-01,-6.27918344E-01,+1.00000000E+00,+1.41103292E+02
+2.40000000E-01,+0.00000000E+00,+7.61109287E-01,-6.48623661E-01,+1.00000000E+00,+1.39562088E+02,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+7.79332111E-01,-6.26611092E-01,+1.00000000E+00,+1.41199465E+02
+2.50000000E-01,+0.00000000E+00,+7.60618147E-01,-6.49199534E-01,+1.00000000E+00,+1.39518723E+02,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+7.80430290E-01,-6.25242802E-01,+1.00000000E+00,+1.41299989E+02
+2.60000000E-01,+0.00000000E+00,+7.60100578E-01,-6.49805441E-01,+1.00000000E+00,+1.39473065E+02,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+7.81573827E-01,-6.23812755E-01,+1.00000000E+00,+1.41404900E+02
+2.70000000E-01,+0.00000000E+00,+7.59555711E-01,-6.50442251E-01,+1.00000000E+00,+1.39425046E+02,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+7.82762784E-01,-6.22320194E-01,+1.00000000E+00,+1.41514234E+02
+2.80000000E-01,+0.00000000E+00,+7.58982617E-01,-6.51110887E-01,+1.00000000E+00,+1.39374590E+02,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+7.83997230E-01,-6.20764322E-01,+1.00000000E+00,+1.41628029E+02
+2.90000000E-01,+0.00000000E+00,+7.58380308E-01,-6.51812327E-01,+1.00000000E+00,+1.39321617E+02,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+7.85277232E-01,-6.19144304E-01,+1.00000000E+00,+1.41746326E+02
+3.00000000E-01,+0.00000000E+00,+7.57747730E-01,-6.52547606E-01,+1.00000000E+00,+1.39266043E+02,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+7.86602863E-01,-6.17459258E-01,+1.00000000E+00,+1.41869167E+02
+3.10000000E-01,+0.00000000E+00,+7.57083762E-01,-6.53317823E-01,+1.00000000E+00,+1.39207779E+02,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+7.87974198E-01,-6.15708262E-01,+1.00000000E+00,+1.41996598E+02
