theta,Mie,CI0,CI3,CI3+CSU,CI3*+CSU
9.4,5.02826302,6.04576895,5.06404929,5.55952888,5.05783566
9.5,5.02741898,5.99401778,5.06276992,5.55985919,5.05691242
9.6,5.02659261,5.94313269,5.06151595,5.56018899,5.05600413
9.7,5.02578472,5.89312061,5.06028932,5.56051808,5.05511112
9.8,5.02499612,5.84398712,5.0590919,5.56084627,5.0542337
9.9,5.02422758,5.79573649,5.0579255,5.56117337,5.05337216
10,5.02347984,5.74837179,5.05679187,5.56149919,5.0525268
10.1,5.02275362,5.70189501,5.05569266,5.56182356,5.05169791
10.2,5.0220496,5.65630714,5.05462948,5.56214628,5.05088577
10.3,5.02136844,5.61160827,5.05360382,5.56246719,5.05009066
10.4,5.02071076,5.56779772,5.05261711,5.56278611,5.04931285
10.5,5.02007712,5.52487417,5.05167067,5.56310287,5.04855259
10.6,5.01946809,5.48283575,5.05076572,5.56341731,5.04781015
10.7,5.01888416,5.44168017,5.04990339,5.56372927,5.04708578
10.8,5.01832581,5.40140484,5.04908469,5.56403859,5.04637972
10.9,5.01779345,5.362007,5.04831052,5.56434514,5.04569221
11,5.01728747,5.32348381,5.04758169,5.56464875,5.04502348
11.1,5.01680821,5.2858325,5.04689888,5.56494931,5.04437377
11.2,5.01635596,5.24905047,5.04626264,5.56524667,5.04374328
11.3,5.01593097,5.21313537,5.04567343,5.56554072,5.04313224
11.4,5.01553345,5.17808524,5.04513155,5.56583133,5.04254086
11.5,5.01516356,5.14389858,5.04463723,5.56611839,5.04196934
11.6,5.01482142,5.11057444,5.04419052,5.5664018,5.04141786
11.7,5.01450707,5.07811254,5.0437914,5.56668145,5.04088664
11.8,5.01422056,5.04651327,5.04343969,5.56695726,5.04037583
11.9,5.01396183,5.01577781,5.0431351,5.56722914,5.03988563
12,5.01373083,4.9859082,5.04287723,5.56749702,5.0394162
12.1,5.01352742,4.9569073,5.04266554,5.56776082,5.03896771
12.2,5.01335144,4.92877893,5.04249939,5.56802047,5.0385403
12.3,5.01320268,4.9015278,5.04237802,5.56827594,5.03813412
12.4,5.01308086,4.87515959,5.04230053,5.56852715,5.03774931
12.5,5.01298568,4.84968093,5.04226596,5.56877408,5.03738601
12.6,5.01291678,4.82509936,5.0422732,5.56901668,5.03704433
12.7,5.01287379,4.80142337,5.04232104,5.56925493,5.03672439
12.8,5.01285624,4.77866231,5.0424082,5.5694888,5.03642628
12.9,5.01286366,4.75682639,5.04253328,5.56971829,5.03615011
13,5.01289554,4.73592659,5.04269479,5.56994338,5.03589596
13.1,5.01295131,4.71597462,5.04289115,5.57016407,5.03566389
13.2,5.01303036,4.69698283,5.04312071,5.57038037,5.03545398
13.3,5.01313207,4.67896414,5.04338174,5.57059228,5.03526627
13.4,5.01325576,4.66193193,5.04367244,5.57079983,5.0351008
13.5,5.01340073,4.64589995,5.04399092,5.57100303,5.0349576
13.6,5.01356623,4.63088218,5.04433528,5.57120192,5.03483668
13.7,5.01375152,4.61689276,5.04470352,5.57139653,5.03473805
13.8,5.01395577,4.60394581,5.04509361,5.57158689,5.0346617
13.9,5.01417819,4.59205535,5.04550349,5.57177306,5.03460759
14,5.01441792,4.58123511,5.04593105,5.57195507,5.03457569
14.1,5.01467408,4.57149844,5.04637415,5.57213298,5.03456595
14.2,5.01494581,4.56285815,5.04683063,5.57230685,5.03457829
14.3,5.01523217,4.55532634,5.04729833,5.57247674,5.03461263
14.4,5.01553227,4.5489143,5.04777505,5.57264271,5.03466887
14.5,5.01584515,4.54363236,5.04825862,5.57280483,5.03474689
14.6,5.01616987,4.5394897,5.04874686,5.57296316,5.03484655
14.7,5.01650547,4.53649429,5.04923758,5.57311778,5.03496771
14.8,5.01685099,4.53465269,5.04972864,5.57326877,5.0351102
14.9,5.01720546,4.53396999,5.05021791,5.57341619,5.03527382
15,5.01756791,4.53444962,5.05070327,5.57356013,5.03545838
15.1,5.01793737,4.53609329,5.05118266,5.57370066,5.03566364
15.2,5.01831286,4.53890087,5.05165406,5.57383786,5.03588937
15.3,5.01869343,4.54287033,5.05211547,5.57397182,5.03613529
15.4,5.01907812,4.54799758,5.05256498,5.57410261,5.03640114
15.5,5.01946597,4.55427651,5.0530007,5.57423031,5.03668661
15.6,5.01985605,4.56169883,5.05342082,5.574355,5.03699138
15.7,5.02024743,4.57025411,5.05382361,5.57447676,5.0373151
15.8,5.02063922,4.5799297,5.0542074,5.57459566,5.03765742
15.9,5.02103051,4.59071072,5.05457059,5.57471178,5.03801796
16,5.02142043,4.60258008,5.05491167,5.5748252,5.0383963
16.1,5.02180814,4.61551846,5.05522922,5.57493597,5.03879204
16.2,5.02219281,4.62950436,5.0555219,5.57504419,5.03920473
16.3,5.02257364,4.64451412,5.05578848,5.5751499,5.03963391
16.4,5.02294986,4.66052195,5.05602781,5.57525318,5.04007909
16.5,5.02332072,4.67750005,5.05623884,5.57535408,5.04053977
16.6,5.02368551,4.69541862,5.05642064,5.57545265,5.04101544
16.7,5.02404355,4.71424596,5.05657238,5.57554897,5.04150556
16.8,5.02439419,4.73394858,5.05669332,5.57564306,5.04200955
16.9,5.02473683,4.75449128,5.05678286,5.57573498,5.04252685
17,5.02507088,4.77583727,5.05684049,5.57582477,5.04305687
17.1,5.02539582,4.79794827,5.05686583,5.57591247,5.04359897
17.2,5.02571113,4.82078463,5.0568586,5.5759981,5.04415254
17.3,5.02601637,4.84430549,5.05681865,5.5760817,5.04471693
17.4,5.02631112,4.86846886,5.05674594,5.57616329,5.04529147
17.5,5.02659501,4.89323178,5.05664055,5.57624289,5.04587548
17.6,5.02686769,4.91855042,5.05650267,5.5763205,5.04646827
17.7,5.02712889,4.94438027,5.05633263,5.57639614,5.04706912
17.8,5.02737836,4.97067621,5.05613086,5.57646982,5.04767733
17.9,5.0276159,4.99739267,5.0558979,5.57654152,5.04829214
18,5.02784134,5.02448378,5.05563443,5.57661125,5.04891282
18.1,5.02805459,5.05190344,5.05534122,5.57667899,5.04953861
18.2,5.02825557,5.07960548,5.05501916,5.57674473,5.05016875
18.3,5.02844427,5.1075438,5.05466927,5.57680845,5.05080244
18.4,5.02862069,5.13567242,5.05429265,5.57687012,5.05143892
18.5,5.02878492,5.16394565,5.05389054,5.57692971,5.0520774
18.6,5.02893707,5.19231816,5.05346424,5.57698718,5.05271707
18.7,5.02907728,5.22074507,5.0530152,5.5770425,5.05335714
18.8,5.02920576,5.24918209,5.05254493,5.57709563,5.0539968
18.9,5.02932275,5.27758555,5.05205506,5.57714652,5.05463526
19,5.02942852,5.30591251,5.0515473,5.57719512,5.0552717
19.1,5.02952341,5.33412084,5.05102344,5.57724137,5.05590531
19.2,5.02960777,5.36216926,5.05048536,5.57728523,5.0565353
19.3,5.02968201,5.39001742,5.04993503,5.57732662,5.05716086
19.4,5.02974656,5.41762597,5.04937447,5.57736549,5.0577812
19.5,5.0298019,5.44495658,5.04880579,5.57740177,5.05839553
19.6,5.02984853,5.47197199,5.04823115,5.5774354,5.05900305
19.7,5.029887,5.49863608,5.04765277,5.5774663,5.05960301
19.8,5.02991788,5.52491386,5.04707292,5.57749442,5.06019462
19.9,5.02994178,5.55077154,5.04649393,5.57751966,5.06077715
20,5.02995931,5.57617651,5.04591815,5.57754198,5.06134983
20.1,5.02997115,5.60109742,5.04534798,5.57756128,5.06191196
20.2,5.02997797,5.62550413,5.04478583,5.57757751,5.06246281
20.3,5.02998047,5.64936776,5.04423416,5.57759058,5.06300169
20.4,5.02997938,5.67266071,5.04369541,5.57760043,5.06352792
20.5,5.02997544,5.69535662,5.04317205,5.57760698,5.06404085
20.6,5.0299694,5.71743042,5.04266654,5.57761017,5.06453982
20.7,5.02996204,5.7388583,5.04218133,5.57760994,5.06502424
20.8,5.02995414,5.7596177,5.04171887,5.57760621,5.0654935
20.9,5.02994649,5.77968736,5.04128158,5.57759892,5.06594704
21,5.02993989,5.79904724,5.04087185,5.57758801,5.06638431
21.1,5.02993513,5.81767854,5.04049203,5.57757344,5.0668048
21.2,5.02993303,5.83556373,5.04014443,5.57755514,5.06720802
21.3,5.02993438,5.85268646,5.03983132,5.57753307,5.06759351
21.4,5.02993998,5.86903161,5.03955488,5.57750718,5.06796084
21.5,5.02995063,5.88458526,5.03931727,5.57747744,5.06830962
21.6,5.02996711,5.89933466,5.03912053,5.57744382,5.06863948
21.7,5.02999021,5.91326822,5.03896665,5.57740627,5.06895009
21.8,5.03002067,5.9263755,5.03885753,5.57736479,5.06924114
21.9,5.03005926,5.93864722,5.03879496,5.57731934,5.06951238
