theta,Mie,CI0,CI3,CI3+CSU,CI3*+CSU
112.5,3.80901569,10.0315741,3.79865614,5.9606851,3.79098799
112.6,3.76092241,10.0549664,3.74503355,5.94490383,3.73768814
112.7,3.71562796,10.0699685,3.69429297,5.92894128,3.68729548
112.8,3.67341027,10.0765808,3.64674983,5.91283334,3.64012411
112.9,3.63453928,10.0747911,3.60271282,5.89661732,3.59648107
113,3.59927395,10.0645742,3.56248037,5.88033181,3.55666283
113.1,3.56785912,10.045892,3.52633701,5.86401655,3.52095161
113.2,3.54052242,10.0186929,3.49454962,5.84771226,3.48961169
113.3,3.5174712,9.98291164,3.4673637,5.83146047,3.46288568
113.4,3.49888958,9.93846913,3.44499976,5.81530337,3.44099092
113.5,3.48493576,9.88527174,3.42764991,5.79928361,3.42411616
113.6,3.47573954,9.82321091,3.41547475,5.78344409,3.41241848
113.7,3.4714003,9.75216261,3.40860067,5.76782777,3.40602061
113.8,3.47198532,9.67198663,3.40711769,5.75247746,3.40500887
113.9,3.47752862,9.58252588,3.41107778,5.73743559,3.40943153
114,3.48803031,9.48360562,3.42049385,5.72274398,3.41929791
114.1,3.50345647,9.37503252,3.43533948,5.7084436,3.43457809
114.2,3.52373957,9.25659381,3.45554916,5.69457436,3.45520328
114.3,3.54877947,9.1280562,3.48101936,5.68117486,3.48106693
114.4,3.57844477,8.98916482,3.51161009,5.66828213,3.51202632
114.5,3.61257481,8.8396422,3.54714713,5.65593144,3.54790481
114.6,3.6509819,8.67918706,3.5874247,5.64415602,3.5884946
114.7,3.69345391,8.50747331,3.63220853,5.63298687,3.63355976
114.8,3.73975716,8.32414904,3.68123929,5.62245253,3.68283969
114.9,3.78963935,8.1288357,3.73423616,5.61257884,3.73605267
115,3.84283274,7.92112758,3.79090055,5.60338883,3.7928996
115.1,3.89905719,7.70059173,3.85091983,5.59490242,3.85306768
115.2,3.9580232,7.46676862,3.91397096,5.58713637,3.91623402
115.3,4.01943487,7.21917374,3.97972397,5.58010405,3.98206913
115.4,4.08299269,6.95730076,4.04784527,5.57381533,4.05024014
115.5,4.14839601,6.68062681,4.11800065,5.5682765,4.12041378
