kx/k0,Exact,CI0,CI3,CI3+CSU,CI3*+CSU
1.19,3.962543475,-2.602029024,3.964981241,-0.460412642,3.94051801
1.2,3.817396577,-2.602029024,3.819374026,-0.393380879,3.79546322
1.21,3.681869961,-2.602029024,3.683424761,-0.326113368,3.6600294
1.22,3.555049848,-2.602029024,3.55621611,-0.25861585,3.53330274
1.23,3.436134405,-2.602029024,3.436943126,-0.190894035,3.41448142
1.24,3.324417122,-2.602029024,3.324896556,-0.122953607,3.30285891
1.25,3.219273056,-2.602029024,3.219449034,-0.054800219,3.19781026
1.26,3.120147396,-2.602029024,3.1200436,0.013560504,3.09878067
1.27,3.026545897,-2.602029024,3.026184094,0.082122972,3.00527587
1.28,2.938026839,-2.602029024,2.937427089,0.150881622,2.91685413
1.29,2.854194233,-2.602029024,2.853375062,0.219830927,2.83311948
1.3,2.774692053,-2.602029024,2.773670614,0.288965391,2.75371586
1.31,2.699199325,-2.602029024,2.697991531,0.358279552,2.67832231
1.32,2.627425918,-2.602029024,2.62604656,0.427767984,2.60664869
1.33,2.559108927,-2.602029024,2.557571784,0.497425294,2.53843209
1.34,2.494009559,-2.602029024,2.492327487,0.567246126,2.47343371
1.35,2.431910428,-2.602029024,2.430095445,0.637225158,2.41143615
1.36,2.372613212,-2.602029024,2.370676571,0.707357108,2.3522411
1.37,2.315936612,-2.602029024,2.313888868,0.777636728,2.29566725
1.38,2.261714564,-2.602029024,2.25956563,0.84805881,2.24154853
1.39,2.209794673,-2.602029024,2.207553876,0.918618183,2.18973254
1.4,2.160036836,-2.602029024,2.157712963,0.989309716,2.14007917
1.41,2.112312031,-2.602029024,2.10991337,1.06012832,2.0924594
1.42,2.06650124,-2.602029024,2.064035621,1.13106893,2.04675421
1.43,2.022494503,-2.602029024,2.019969331,1.20212655,2.00285362
1.44,1.980190071,-2.602029024,1.97761236,1.27329619,1.9606559
1.45,1.939493656,-2.602029024,1.936870055,1.34457294,1.92006674
1.46,1.900317759,-2.602029024,1.89765458,1.41595189,1.88099864
1.47,1.862581073,-2.602029024,1.859884313,1.4874282,1.84337029
1.48,1.826207943,-2.602029024,1.823483307,1.55899707,1.80710603
1.49,1.791127887,-2.602029024,1.788380807,1.63065373,1.77213538
1.5,1.757275158,-2.602029024,1.754510812,1.70239346,1.73839258
1.51,1.724588359,-2.602029024,1.721811688,1.77421157,1.70581623
1.52,1.693010084,-2.602029024,1.690225806,1.84610344,1.67434893
1.53,1.662486607,-2.602029024,1.659699229,1.91806448,1.64393694
1.54,1.632967582,-2.602029024,1.63018142,1.99009013,1.61452992
1.55,1.604405793,-2.602029024,1.601624978,2.06217589,1.58608064
1.56,1.576756908,-2.602029024,1.573985396,2.1343173,1.55854476
1.57,1.549979263,-2.602029024,1.547220851,2.20650995,1.53188063
1.58,1.524033669,-2.602029024,1.521292,2.27874946,1.50604904
1.59,1.498883228,-2.602029024,1.4961618,2.3510315,1.4810131
1.6,1.474493167,-2.602029024,1.471795344,2.4233518,1.45673802
1.61,1.450830693,-2.602029024,1.44815971,2.49570612,1.43319101
1.62,1.427864849,-2.602029024,1.425223818,2.56809027,1.41034112
1.63,1.405566391,-2.602029024,1.402958311,2.64050009,1.38815908
1.64,1.383907669,-2.602029024,1.381335431,2.71293149,1.36661726
1.65,1.362862525,-2.602029024,1.360328913,2.78538041,1.34568948
1.66,1.342406187,-2.602029024,1.339913891,2.85784284,1.32535097
1.67,1.322515183,-2.602029024,1.3200668,2.93031482,1.30557825
1.68,1.303167259,-2.602029024,1.300765296,3.00279242,1.28634907
1.69,1.284341297,-2.602029024,1.281988178,3.07527176,1.2676423
1.7,1.266017245,-2.602029024,1.263715314,3.14774903,1.2494379
1.71,1.248176052,-2.602029024,1.245927578,3.22022044,1.2317168
1.72,1.230799607,-2.602029024,1.228606785,3.29268224,1.21446088
1.73,1.21387068,-2.602029024,1.211735637,3.36513075,1.19765292
1.74,1.19737287,-2.602029024,1.195297666,3.43756232,1.18127652
1.75,1.181290556,-2.602029024,1.179277189,3.50997334,1.16531603
1.76,1.165608852,-2.602029024,1.163659261,3.58236026,1.14975659
1.77,1.150313564,-2.602029024,1.148429629,3.65471957,1.13458398
1.78,1.135391151,-2.602029024,1.133574697,3.7270478,1.11978466
1.79,1.120828686,-2.602029024,1.119081486,3.79934153,1.10534571
1.8,1.106613826,-2.602029024,1.104937601,3.87159739,1.09125477
