s1,s2,Re(r_ibc3.tm),Im(r_ibc3.tm),Abs(r_ibc3.tm),Arg(r_ibc3.tm),Re(r_ibc3.te),Im(r_ibc3.te),Abs(r_ibc3.te),Arg(r_ibc3.te)
+1.05000000E+00,+0.00000000E+00,-7.27542848E-01,-0.00000000E+00,+7.27542848E-01,-3.14159265E+00,+3.45116338E+00,-0.00000000E+00,+3.45116338E+00,-0.00000000E+00
+1.06000000E+00,+0.00000000E+00,-6.98825708E-01,-0.00000000E+00,+6.98825708E-01,-3.14159265E+00,+3.82613518E+00,-0.00000000E+00,+3.82613518E+00,-0.00000000E+00
+1.07000000E+00,+0.00000000E+00,-6.71392590E-01,-0.00000000E+00,+6.71392590E-01,-3.14159265E+00,+4.17182615E+00,-0.00000000E+00,+4.17182615E+00,-0.00000000E+00
+1.08000000E+00,+0.00000000E+00,-6.44833622E-01,-0.00000000E+00,+6.44833622E-01,-3.14159265E+00,+4.47828978E+00,-0.00000000E+00,+4.47828978E+00,-0.00000000E+00
+1.09000000E+00,+0.00000000E+00,-6.18862398E-01,-0.00000000E+00,+6.18862398E-01,-3.14159265E+00,+4.73555163E+00,-0.00000000E+00,+4.73555163E+00,-0.00000000E+00
+1.10000000E+00,+0.00000000E+00,-5.93267567E-01,-0.00000000E+00,+5.93267567E-01,-3.14159265E+00,+4.93495193E+00,-0.00000000E+00,+4.93495193E+00,-0.00000000E+00
+1.11000000E+00,+0.00000000E+00,-5.67886088E-01,-0.00000000E+00,+5.67886088E-01,-3.14159265E+00,+5.07032517E+00,-0.00000000E+00,+5.07032517E+00,-0.00000000E+00
+1.12000000E+00,+0.00000000E+00,-5.42587371E-01,-0.00000000E+00,+5.42587371E-01,-3.14159265E+00,+5.13883486E+00,-0.00000000E+00,+5.13883486E+00,-0.00000000E+00
+1.13000000E+00,+0.00000000E+00,-5.17263337E-01,-0.00000000E+00,+5.17263337E-01,-3.14159265E+00,+5.14131203E+00,-0.00000000E+00,+5.14131203E+00,-0.00000000E+00
+1.14000000E+00,+0.00000000E+00,-4.91821888E-01,-0.00000000E+00,+4.91821888E-01,-3.14159265E+00,+5.08205137E+00,-0.00000000E+00,+5.08205137E+00,-0.00000000E+00
+1.15000000E+00,+0.00000000E+00,-4.66182463E-01,-0.00000000E+00,+4.66182463E-01,-3.14159265E+00,+4.96814749E+00,-0.00000000E+00,+4.96814749E+00,-0.00000000E+00
+1.16000000E+00,+0.00000000E+00,-4.40272899E-01,-0.00000000E+00,+4.40272899E-01,-3.14159265E+00,+4.80855131E+00,-0.00000000E+00,+4.80855131E+00,-0.00000000E+00
+1.17000000E+00,+0.00000000E+00,-4.14027144E-01,-0.00000000E+00,+4.14027144E-01,-3.14159265E+00,+4.61305764E+00,-0.00000000E+00,+4.61305764E+00,-0.00000000E+00
+1.18000000E+00,+0.00000000E+00,-3.87383555E-01,-0.00000000E+00,+3.87383555E-01,-3.14159265E+00,+4.39140363E+00,-0.00000000E+00,+4.39140363E+00,-0.00000000E+00
+1.19000000E+00,+0.00000000E+00,-3.60283586E-01,-0.00000000E+00,+3.60283586E-01,-3.14159265E+00,+4.15258709E+00,-0.00000000E+00,+4.15258709E+00,-0.00000000E+00
+1.20000000E+00,+0.00000000E+00,-3.32670750E-01,-0.00000000E+00,+3.32670750E-01,-3.14159265E+00,+3.90443942E+00,-0.00000000E+00,+3.90443942E+00,-0.00000000E+00
+1.21000000E+00,+0.00000000E+00,-3.04489785E-01,-0.00000000E+00,+3.04489785E-01,-3.14159265E+00,+3.65343076E+00,-0.00000000E+00,+3.65343076E+00,-0.00000000E+00
+1.22000000E+00,+0.00000000E+00,-2.75685951E-01,-0.00000000E+00,+2.75685951E-01,-3.14159265E+00,+3.40465440E+00,-0.00000000E+00,+3.40465440E+00,-0.00000000E+00
+1.23000000E+00,+0.00000000E+00,-2.46204433E-01,-0.00000000E+00,+2.46204433E-01,-3.14159265E+00,+3.16192973E+00,-0.00000000E+00,+3.16192973E+00,-0.00000000E+00
+1.24000000E+00,+0.00000000E+00,-2.15989814E-01,-0.00000000E+00,+2.15989814E-01,-3.14159265E+00,+2.92796973E+00,-0.00000000E+00,+2.92796973E+00,-0.00000000E+00
+1.25000000E+00,+0.00000000E+00,-1.84985597E-01,-0.00000000E+00,+1.84985597E-01,-3.14159265E+00,+2.70457219E+00,-0.00000000E+00,+2.70457219E+00,-0.00000000E+00
+1.26000000E+00,+0.00000000E+00,-1.53133758E-01,-0.00000000E+00,+1.53133758E-01,-3.14159265E+00,+2.49280769E+00,-0.00000000E+00,+2.49280769E+00,-0.00000000E+00
