kx/k0,Exact,CI0,CI3,CI3+CSU,CI3*+CSU
1.39,1.14240838,-2.6020301,1.11209463,0.181739893,1.20573225
1.4,1.10161858,-2.6020301,1.073540844,0.23886132,1.16621637
1.41,1.062440144,-2.6020301,1.036566078,0.295980114,1.1283189
1.42,1.024777965,-2.6020301,1.001077915,0.353091934,1.09194511
1.43,0.988544751,-2.6020301,0.966990969,0.410192505,1.05700749
1.44,0.953659538,-2.6020301,0.934226233,0.467277612,1.02342507
1.45,0.920047303,-2.6020301,0.90271049,0.524343107,0.991122799
1.46,0.887638425,-2.6020301,0.872375798,0.581384901,0.960031043
1.47,0.856368213,-2.6020301,0.843159019,0.63839897,0.930085091
1.48,0.826176474,-2.6020301,0.815001408,0.695381354,0.90122473
1.49,0.797007131,-2.6020301,0.787848233,0.752328152,0.873393865
1.5,0.768807882,-2.6020301,0.761648442,0.809235529,0.84654017
1.51,0.74152988,-2.6020301,0.736354357,0.86609971,0.820614778
1.52,0.71512746,-2.6020301,0.711921403,0.922916983,0.795572003
1.53,0.689557882,-2.6020301,0.688307858,0.979683698,0.771369082
1.54,0.664781103,-2.6020301,0.665474628,1.03639626,0.747965946
1.55,0.640759564,-2.6020301,0.643385049,1.09305116,0.725325016
1.56,0.617458005,-2.6020301,0.622004694,1.14964491,0.703411007
1.57,0.594843292,-2.6020301,0.60130121,1.20617411,0.682190759
1.58,0.572884256,-2.6020301,0.581244166,1.26263542,0.66163308
1.59,0.551551556,-2.6020301,0.561804906,1.31902554,0.641708602
1.6,0.53081754,-2.6020301,0.54295643,1.37534127,0.622389649
1.61,0.510656133,-2.6020301,0.524673271,1.43157942,0.603650121
1.62,0.491042722,-2.6020301,0.506931389,1.48773689,0.585465376
1.63,0.471954055,-2.6020301,0.489708074,1.54381063,0.567812139
1.64,0.453368153,-2.6020301,0.472981854,1.59979765,0.550668403
1.65,0.435264219,-2.6020301,0.456732414,1.65569502,0.534013345
1.66,0.417622565,-2.6020301,0.440940519,1.71149986,0.517827249
1.67,0.400424535,-2.6020301,0.425587939,1.76720935,0.502091432
1.68,0.383652441,-2.6020301,0.410657391,1.82282074,0.48678818
1.69,0.367289502,-2.6020301,0.396132476,1.8783313,0.471900684
1.7,0.351319785,-2.6020301,0.381997622,1.9337384,0.457412982
1.71,0.335728154,-2.6020301,0.368238032,1.98903943,0.443309911
1.72,0.320500218,-2.6020301,0.354839641,2.04423187,0.429577053
1.73,0.305622291,-2.6020301,0.341789068,2.09931321,0.416200693
1.74,0.291081345,-2.6020301,0.329073574,2.15428102,0.403167776
1.75,0.276864974,-2.6020301,0.316681029,2.20913293,0.390465868
1.76,0.262961357,-2.6020301,0.304599871,2.26386661,0.378083118
1.77,0.249359223,-2.6020301,0.292819075,2.31847979,0.366008227
1.78,0.23604782,-2.6020301,0.281328125,2.37297023,0.354230416
1.79,0.223016888,-2.6020301,0.270116981,2.42733577,0.342739394
1.8,0.210256627,-2.6020301,0.259176055,2.48157429,0.331525334
