s1,s2,Re(r_ex.tm),Im(r_ex.tm),Abs(r_ex.tm),Arg(r_ex.tm),Re(r_ex.te),Im(r_ex.te),Abs(r_ex.te),Arg(r_ex.te)
+2.70000000E-02,+0.00000000E+00,-7.43443557E-01,+6.68798682E-01,+1.00000000E+00,+2.40900093E+00,-7.43198789E-01,+6.69070669E-01,+1.00000000E+00,+2.40863502E+00
+2.80000000E-02,+0.00000000E+00,-7.43482049E-01,+6.68755892E-01,+1.00000000E+00,+2.40905848E+00,-7.43218831E-01,+6.69048406E-01,+1.00000000E+00,+2.40866497E+00
+2.90000000E-02,+0.00000000E+00,-7.43521938E-01,+6.68711543E-01,+1.00000000E+00,+2.40911813E+00,-7.43239602E-01,+6.69025332E-01,+1.00000000E+00,+2.40869602E+00
+3.00000000E-02,+0.00000000E+00,-7.43563224E-01,+6.68665635E-01,+1.00000000E+00,+2.40917987E+00,-7.43261101E-01,+6.69001447E-01,+1.00000000E+00,+2.40872816E+00
+3.10000000E-02,+0.00000000E+00,-7.43605907E-01,+6.68618168E-01,+1.00000000E+00,+2.40924371E+00,-7.43283329E-01,+6.68976750E-01,+1.00000000E+00,+2.40876138E+00
+3.20000000E-02,+0.00000000E+00,-7.43649987E-01,+6.68569142E-01,+1.00000000E+00,+2.40930964E+00,-7.43306286E-01,+6.68951242E-01,+1.00000000E+00,+2.40879570E+00
+3.30000000E-02,+0.00000000E+00,-7.43695462E-01,+6.68518556E-01,+1.00000000E+00,+2.40937766E+00,-7.43329972E-01,+6.68924923E-01,+1.00000000E+00,+2.40883111E+00
+3.40000000E-02,+0.00000000E+00,-7.43742334E-01,+6.68466410E-01,+1.00000000E+00,+2.40944777E+00,-7.43354387E-01,+6.68897792E-01,+1.00000000E+00,+2.40886761E+00
+3.50000000E-02,+0.00000000E+00,-7.43790601E-01,+6.68412703E-01,+1.00000000E+00,+2.40951998E+00,-7.43379530E-01,+6.68869848E-01,+1.00000000E+00,+2.40890520E+00
+3.60000000E-02,+0.00000000E+00,-7.43840263E-01,+6.68357437E-01,+1.00000000E+00,+2.40959428E+00,-7.43405402E-01,+6.68841093E-01,+1.00000000E+00,+2.40894388E+00
+3.70000000E-02,+0.00000000E+00,-7.43891320E-01,+6.68300609E-01,+1.00000000E+00,+2.40967068E+00,-7.43432004E-01,+6.68811525E-01,+1.00000000E+00,+2.40898365E+00
+3.80000000E-02,+0.00000000E+00,-7.43943772E-01,+6.68242220E-01,+1.00000000E+00,+2.40974917E+00,-7.43459333E-01,+6.68781145E-01,+1.00000000E+00,+2.40902452E+00
+3.90000000E-02,+0.00000000E+00,-7.43997618E-01,+6.68182269E-01,+1.00000000E+00,+2.40982975E+00,-7.43487392E-01,+6.68749952E-01,+1.00000000E+00,+2.40906647E+00
+4.00000000E-02,+0.00000000E+00,-7.44052858E-01,+6.68120756E-01,+1.00000000E+00,+2.40991243E+00,-7.43516180E-01,+6.68717945E-01,+1.00000000E+00,+2.40910952E+00
+4.10000000E-02,+0.00000000E+00,-7.44109491E-01,+6.68057681E-01,+1.00000000E+00,+2.40999719E+00,-7.43545696E-01,+6.68685126E-01,+1.00000000E+00,+2.40915366E+00
+4.20000000E-02,+0.00000000E+00,-7.44167518E-01,+6.67993043E-01,+1.00000000E+00,+2.41008406E+00,-7.43575941E-01,+6.68651493E-01,+1.00000000E+00,+2.40919889E+00
+4.30000000E-02,+0.00000000E+00,-7.44226937E-01,+6.67926842E-01,+1.00000000E+00,+2.41017301E+00,-7.43606915E-01,+6.68617047E-01,+1.00000000E+00,+2.40924522E+00
+4.40000000E-02,+0.00000000E+00,-7.44287749E-01,+6.67859077E-01,+1.00000000E+00,+2.41026406E+00,-7.43638618E-01,+6.68581787E-01,+1.00000000E+00,+2.40929263E+00
+4.50000000E-02,+0.00000000E+00,-7.44349952E-01,+6.67789749E-01,+1.00000000E+00,+2.41035721E+00,-7.43671050E-01,+6.68545712E-01,+1.00000000E+00,+2.40934114E+00
+4.60000000E-02,+0.00000000E+00,-7.44413547E-01,+6.67718856E-01,+1.00000000E+00,+2.41045244E+00,-7.43704210E-01,+6.68508824E-01,+1.00000000E+00,+2.40939074E+00
+4.70000000E-02,+0.00000000E+00,-7.44478534E-01,+6.67646398E-01,+1.00000000E+00,+2.41054978E+00,-7.43738100E-01,+6.68471121E-01,+1.00000000E+00,+2.40944144E+00
+4.80000000E-02,+0.00000000E+00,-7.44544911E-01,+6.67572375E-01,+1.00000000E+00,+2.41064920E+00,-7.43772718E-01,+6.68432603E-01,+1.00000000E+00,+2.40949323E+00
+4.90000000E-02,+0.00000000E+00,-7.44612678E-01,+6.67496786E-01,+1.00000000E+00,+2.41075072E+00,-7.43808065E-01,+6.68393269E-01,+1.00000000E+00,+2.40954611E+00
+5.00000000E-02,+0.00000000E+00,-7.44681835E-01,+6.67419631E-01,+1.00000000E+00,+2.41085433E+00,-7.43844141E-01,+6.68353121E-01,+1.00000000E+00,+2.40960009E+00
+5.10000000E-02,+0.00000000E+00,-7.44752382E-01,+6.67340910E-01,+1.00000000E+00,+2.41096004E+00,-7.43880945E-01,+6.68312157E-01,+1.00000000E+00,+2.40965515E+00
+5.20000000E-02,+0.00000000E+00,-7.44824317E-01,+6.67260621E-01,+1.00000000E+00,+2.41106784E+00,-7.43918479E-01,+6.68270377E-01,+1.00000000E+00,+2.40971132E+00
+5.30000000E-02,+0.00000000E+00,-7.44897641E-01,+6.67178765E-01,+1.00000000E+00,+2.41117773E+00,-7.43956741E-01,+6.68227781E-01,+1.00000000E+00,+2.40976858E+00
+5.40000000E-02,+0.00000000E+00,-7.44972353E-01,+6.67095341E-01,+1.00000000E+00,+2.41128972E+00,-7.43995733E-01,+6.68184368E-01,+1.00000000E+00,+2.40982693E+00
+5.50000000E-02,+0.00000000E+00,-7.45048452E-01,+6.67010348E-01,+1.00000000E+00,+2.41140381E+00,-7.44035453E-01,+6.68140139E-01,+1.00000000E+00,+2.40988637E+00
+5.60000000E-02,+0.00000000E+00,-7.45125938E-01,+6.66923786E-01,+1.00000000E+00,+2.41151998E+00,-7.44075902E-01,+6.68095093E-01,+1.00000000E+00,+2.40994692E+00
+5.70000000E-02,+0.00000000E+00,-7.45204811E-01,+6.66835654E-01,+1.00000000E+00,+2.41163825E+00,-7.44117079E-01,+6.68049229E-01,+1.00000000E+00,+2.41000855E+00
+5.80000000E-02,+0.00000000E+00,-7.45285069E-01,+6.66745953E-01,+1.00000000E+00,+2.41175862E+00,-7.44158986E-01,+6.68002548E-01,+1.00000000E+00,+2.41007129E+00
+5.90000000E-02,+0.00000000E+00,-7.45366713E-01,+6.66654680E-01,+1.00000000E+00,+2.41188108E+00,-7.44201621E-01,+6.67955048E-01,+1.00000000E+00,+2.41013511E+00
+6.00000000E-02,+0.00000000E+00,-7.45449742E-01,+6.66561837E-01,+1.00000000E+00,+2.41200563E+00,-7.44244986E-01,+6.67906731E-01,+1.00000000E+00,+2.41020004E+00
+6.10000000E-02,+0.00000000E+00,-7.45534155E-01,+6.66467422E-01,+1.00000000E+00,+2.41213228E+00,-7.44289079E-01,+6.67857595E-01,+1.00000000E+00,+2.41026606E+00
+6.20000000E-02,+0.00000000E+00,-7.45619951E-01,+6.66371434E-01,+1.00000000E+00,+2.41226102E+00,-7.44333901E-01,+6.67807640E-01,+1.00000000E+00,+2.41033317E+00
+6.30000000E-02,+0.00000000E+00,-7.45707131E-01,+6.66273873E-01,+1.00000000E+00,+2.41239186E+00,-7.44379452E-01,+6.67756865E-01,+1.00000000E+00,+2.41040138E+00
+6.40000000E-02,+0.00000000E+00,-7.45795694E-01,+6.66174739E-01,+1.00000000E+00,+2.41252479E+00,-7.44425732E-01,+6.67705271E-01,+1.00000000E+00,+2.41047069E+00
+6.50000000E-02,+0.00000000E+00,-7.45885638E-01,+6.66074031E-01,+1.00000000E+00,+2.41265982E+00,-7.44472741E-01,+6.67652858E-01,+1.00000000E+00,+2.41054110E+00
+6.60000000E-02,+0.00000000E+00,-7.45976964E-01,+6.65971748E-01,+1.00000000E+00,+2.41279694E+00,-7.44520478E-01,+6.67599624E-01,+1.00000000E+00,+2.41061260E+00
+6.70000000E-02,+0.00000000E+00,-7.46069670E-01,+6.65867890E-01,+1.00000000E+00,+2.41293616E+00,-7.44568945E-01,+6.67545569E-01,+1.00000000E+00,+2.41068520E+00
+6.80000000E-02,+0.00000000E+00,-7.46163757E-01,+6.65762456E-01,+1.00000000E+00,+2.41307747E+00,-7.44618140E-01,+6.67490693E-01,+1.00000000E+00,+2.41075890E+00
+6.90000000E-02,+0.00000000E+00,-7.46259223E-01,+6.65655445E-01,+1.00000000E+00,+2.41322087E+00,-7.44668064E-01,+6.67434996E-01,+1.00000000E+00,+2.41083370E+00
+7.00000000E-02,+0.00000000E+00,-7.46356068E-01,+6.65546857E-01,+1.00000000E+00,+2.41336637E+00,-7.44718717E-01,+6.67378477E-01,+1.00000000E+00,+2.41090959E+00
+7.10000000E-02,+0.00000000E+00,-7.46454291E-01,+6.65436692E-01,+1.00000000E+00,+2.41351397E+00,-7.44770099E-01,+6.67321136E-01,+1.00000000E+00,+2.41098659E+00
+7.20000000E-02,+0.00000000E+00,-7.46553892E-01,+6.65324948E-01,+1.00000000E+00,+2.41366366E+00,-7.44822210E-01,+6.67262973E-01,+1.00000000E+00,+2.41106468E+00
+7.30000000E-02,+0.00000000E+00,-7.46654870E-01,+6.65211624E-01,+1.00000000E+00,+2.41381544E+00,-7.44875050E-01,+6.67203987E-01,+1.00000000E+00,+2.41114387E+00
+7.40000000E-02,+0.00000000E+00,-7.46757224E-01,+6.65096721E-01,+1.00000000E+00,+2.41396932E+00,-7.44928619E-01,+6.67144177E-01,+1.00000000E+00,+2.41122417E+00
+7.50000000E-02,+0.00000000E+00,-7.46860954E-01,+6.64980237E-01,+1.00000000E+00,+2.41412530E+00,-7.44982916E-01,+6.67083544E-01,+1.00000000E+00,+2.41130556E+00
