s1,s2,Re(z_ibc3.11),Im(z_ibc3.11),Abs(z_ibc3.11),Arg(z_ibc3.11),Re(z_ibc3.21),Im(z_ibc3.21),Abs(z_ibc3.21),Arg(z_ibc3.21),Re(z_ibc3.12),Im(z_ibc3.12),Abs(z_ibc3.12),Arg(z_ibc3.12),Re(z_ibc3.22),Im(z_ibc3.22),Abs(z_ibc3.22),Arg(z_ibc3.22)
+0.00000000E+00,+0.00000000E+00,-7.59952448E-16,+8.40913923E-01,+8.40913923E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-7.59952448E-16,+8.40913923E-01,+8.40913923E-01,+1.57079633E+00
+5.78344868E-01,+0.00000000E+00,-4.22517323E-16,+6.66566730E-01,+6.66566730E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-8.05303054E-16,+8.75802590E-01,+8.75802590E-01,+1.57079633E+00
+1.15668974E+00,+0.00000000E+00,-4.20252542E-17,+3.73855191E-01,+3.73855191E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-6.07507708E-16,+6.88035664E-01,+6.88035664E-01,+1.57079633E+00
+1.73503460E+00,+0.00000000E+00,+8.75414465E-17,+1.63125822E-01,+1.63125822E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-6.74182568E-16,+7.64346392E-01,+7.64346392E-01,+1.57079633E+00
