s1,s2,Re(z_ibc3.11),Im(z_ibc3.11),Abs(z_ibc3.11),Arg(z_ibc3.11),Re(z_ibc3.21),Im(z_ibc3.21),Abs(z_ibc3.21),Arg(z_ibc3.21),Re(z_ibc3.12),Im(z_ibc3.12),Abs(z_ibc3.12),Arg(z_ibc3.12),Re(z_ibc3.22),Im(z_ibc3.22),Abs(z_ibc3.22),Arg(z_ibc3.22)
+1.17000000E+00,+0.00000000E+00,+6.78267171E-20,+5.77213568E-01,+5.77213568E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-1.07142758E-18,+7.47845531E-01,+7.47845531E-01,+1.57079633E+00
+1.18000000E+00,+0.00000000E+00,-3.73573106E-20,+5.72446533E-01,+5.72446533E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-1.11192407E-18,+7.45459047E-01,+7.45459047E-01,+1.57079633E+00
+1.19000000E+00,+0.00000000E+00,-1.35428371E-19,+5.67671223E-01,+5.67671223E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-1.14327487E-18,+7.43069324E-01,+7.43069324E-01,+1.57079633E+00
+1.20000000E+00,+0.00000000E+00,-2.26339564E-19,+5.62888125E-01,+5.62888125E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-1.16544071E-18,+7.40676611E-01,+7.40676611E-01,+1.57079633E+00
+1.21000000E+00,+0.00000000E+00,-3.10047015E-19,+5.58097726E-01,+5.58097726E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-1.17838615E-18,+7.38281154E-01,+7.38281154E-01,+1.57079633E+00
+1.22000000E+00,+0.00000000E+00,-3.86509852E-19,+5.53300504E-01,+5.53300504E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-1.18207949E-18,+7.35883198E-01,+7.35883198E-01,+1.57079633E+00
+1.23000000E+00,+0.00000000E+00,-4.55690173E-19,+5.48496933E-01,+5.48496933E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-1.17649275E-18,+7.33482981E-01,+7.33482981E-01,+1.57079633E+00
+1.24000000E+00,+0.00000000E+00,-5.17553016E-19,+5.43687482E-01,+5.43687482E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-1.16160164E-18,+7.31080741E-01,+7.31080741E-01,+1.57079633E+00
+1.25000000E+00,+0.00000000E+00,-5.72066327E-19,+5.38872613E-01,+5.38872613E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-1.13738544E-18,+7.28676711E-01,+7.28676711E-01,+1.57079633E+00
+1.26000000E+00,+0.00000000E+00,-6.19200930E-19,+5.34052784E-01,+5.34052784E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-1.10382704E-18,+7.26271124E-01,+7.26271124E-01,+1.57079633E+00
+1.27000000E+00,+0.00000000E+00,-6.58930485E-19,+5.29228448E-01,+5.29228448E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-1.06091279E-18,+7.23864206E-01,+7.23864206E-01,+1.57079633E+00
+1.28000000E+00,+0.00000000E+00,-6.91231461E-19,+5.24400051E-01,+5.24400051E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-1.00863254E-18,+7.21456182E-01,+7.21456182E-01,+1.57079633E+00
+1.29000000E+00,+0.00000000E+00,-7.16083094E-19,+5.19568033E-01,+5.19568033E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-9.46979489E-19,+7.19047274E-01,+7.19047274E-01,+1.57079633E+00
+1.30000000E+00,+0.00000000E+00,-7.33467351E-19,+5.14732831E-01,+5.14732831E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-8.75950214E-19,+7.16637700E-01,+7.16637700E-01,+1.57079633E+00
+1.31000000E+00,+0.00000000E+00,-7.43368893E-19,+5.09894873E-01,+5.09894873E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-7.95544557E-19,+7.14227676E-01,+7.14227676E-01,+1.57079633E+00
+1.32000000E+00,+0.00000000E+00,-7.45775032E-19,+5.05054584E-01,+5.05054584E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-7.05765582E-19,+7.11817414E-01,+7.11817414E-01,+1.57079633E+00
+1.33000000E+00,+0.00000000E+00,-7.40675695E-19,+5.00212383E-01,+5.00212383E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-6.06619520E-19,+7.09407123E-01,+7.09407123E-01,+1.57079633E+00
+1.34000000E+00,+0.00000000E+00,-7.28063381E-19,+4.95368682E-01,+4.95368682E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-4.98115701E-19,+7.06997008E-01,+7.06997008E-01,+1.57079633E+00
+1.35000000E+00,+0.00000000E+00,-7.07933119E-19,+4.90523888E-01,+4.90523888E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-3.80266498E-19,+7.04587273E-01,+7.04587273E-01,+1.57079633E+00
+1.36000000E+00,+0.00000000E+00,-6.80282427E-19,+4.85678403E-01,+4.85678403E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-2.53087264E-19,+7.02178117E-01,+7.02178117E-01,+1.57079633E+00
+1.37000000E+00,+0.00000000E+00,-6.45111267E-19,+4.80832623E-01,+4.80832623E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-1.16596268E-19,+6.99769737E-01,+6.99769737E-01,+1.57079633E+00
+1.38000000E+00,+0.00000000E+00,-6.02422003E-19,+4.75986938E-01,+4.75986938E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+2.91853659E-20,+6.97362327E-01,+6.97362327E-01,+1.57079633E+00
+1.39000000E+00,+0.00000000E+00,-5.52219360E-19,+4.71141732E-01,+4.71141732E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+1.84233721E-19,+6.94956075E-01,+6.94956075E-01,+1.57079633E+00
+1.40000000E+00,+0.00000000E+00,-4.94510371E-19,+4.66297383E-01,+4.66297383E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+3.48522152E-19,+6.92551171E-01,+6.92551171E-01,+1.57079633E+00
+1.41000000E+00,+0.00000000E+00,-4.29304343E-19,+4.61454266E-01,+4.61454266E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+5.22021351E-19,+6.90147797E-01,+6.90147797E-01,+1.57079633E+00
+1.42000000E+00,+0.00000000E+00,-3.56612803E-19,+4.56612747E-01,+4.56612747E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+7.04699407E-19,+6.87746135E-01,+6.87746135E-01,+1.57079633E+00
+1.43000000E+00,+0.00000000E+00,-2.76449457E-19,+4.51773189E-01,+4.51773189E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+8.96521872E-19,+6.85346362E-01,+6.85346362E-01,+1.57079633E+00
+1.44000000E+00,+0.00000000E+00,-1.88830144E-19,+4.46935946E-01,+4.46935946E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+1.09745182E-18,+6.82948654E-01,+6.82948654E-01,+1.57079633E+00
+1.45000000E+00,+0.00000000E+00,-9.37727876E-20,+4.42101370E-01,+4.42101370E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+1.30744993E-18,+6.80553183E-01,+6.80553183E-01,+1.57079633E+00
+1.46000000E+00,+0.00000000E+00,+8.70264705E-21,+4.37269806E-01,+4.37269806E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+1.52647453E-18,+6.78160116E-01,+6.78160116E-01,+1.57079633E+00
+1.47000000E+00,+0.00000000E+00,+1.18574202E-19,+4.32441592E-01,+4.32441592E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+1.75448164E-18,+6.75769620E-01,+6.75769620E-01,+1.57079633E+00
+1.48000000E+00,+0.00000000E+00,+2.35817972E-19,+4.27617063E-01,+4.27617063E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+1.99142511E-18,+6.73381857E-01,+6.73381857E-01,+1.57079633E+00
+1.49000000E+00,+0.00000000E+00,+3.60408151E-19,+4.22796546E-01,+4.22796546E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+2.23725659E-18,+6.70996987E-01,+6.70996987E-01,+1.57079633E+00
+1.50000000E+00,+0.00000000E+00,+4.92317077E-19,+4.17980363E-01,+4.17980363E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+2.49192567E-18,+6.68615167E-01,+6.68615167E-01,+1.57079633E+00
