s1,s2,Re(r_ex.11),Im(r_ex.11),Abs(r_ex.11),Arg(r_ex.11),Re(r_ex.21),Im(r_ex.21),Abs(r_ex.21),Arg(r_ex.21),Re(r_ex.12),Im(r_ex.12),Abs(r_ex.12),Arg(r_ex.12),Re(r_ex.22),Im(r_ex.22),Abs(r_ex.22),Arg(r_ex.22)
+1.17000000E+00,+0.00000000E+00,+3.92799773E+01,-0.00000000E+00,+3.92799773E+01,-0.00000000E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+3.75315689E-01,-0.00000000E+00,+3.75315689E-01,-0.00000000E+00
+1.18000000E+00,+0.00000000E+00,+2.22143424E+01,-0.00000000E+00,+2.22143424E+01,-0.00000000E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+3.63364703E-01,-0.00000000E+00,+3.63364703E-01,-0.00000000E+00
+1.19000000E+00,+0.00000000E+00,+1.56724741E+01,-0.00000000E+00,+1.56724741E+01,-0.00000000E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+3.51981020E-01,-0.00000000E+00,+3.51981020E-01,-0.00000000E+00
+1.20000000E+00,+0.00000000E+00,+1.22101278E+01,-0.00000000E+00,+1.22101278E+01,-0.00000000E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+3.41115989E-01,-0.00000000E+00,+3.41115989E-01,-0.00000000E+00
+1.21000000E+00,+0.00000000E+00,+1.00648112E+01,-0.00000000E+00,+1.00648112E+01,-0.00000000E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+3.30727239E-01,-0.00000000E+00,+3.30727239E-01,-0.00000000E+00
+1.22000000E+00,+0.00000000E+00,+8.60366468E+00,-0.00000000E+00,+8.60366468E+00,-0.00000000E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+3.20777620E-01,-0.00000000E+00,+3.20777620E-01,-0.00000000E+00
+1.23000000E+00,+0.00000000E+00,+7.54341470E+00,-0.00000000E+00,+7.54341470E+00,-0.00000000E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+3.11234354E-01,-0.00000000E+00,+3.11234354E-01,-0.00000000E+00
+1.24000000E+00,+0.00000000E+00,+6.73826930E+00,-0.00000000E+00,+6.73826930E+00,-0.00000000E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+3.02068361E-01,-0.00000000E+00,+3.02068361E-01,-0.00000000E+00
+1.25000000E+00,+0.00000000E+00,+6.10553151E+00,-0.00000000E+00,+6.10553151E+00,-0.00000000E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+2.93253712E-01,-0.00000000E+00,+2.93253712E-01,-0.00000000E+00
+1.26000000E+00,+0.00000000E+00,+5.59479523E+00,-0.00000000E+00,+5.59479523E+00,-0.00000000E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+2.84767173E-01,-0.00000000E+00,+2.84767173E-01,-0.00000000E+00
+1.27000000E+00,+0.00000000E+00,+5.17358308E+00,-0.00000000E+00,+5.17358308E+00,-0.00000000E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+2.76587837E-01,-0.00000000E+00,+2.76587837E-01,-0.00000000E+00
+1.28000000E+00,+0.00000000E+00,+4.82002404E+00,-0.00000000E+00,+4.82002404E+00,-0.00000000E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+2.68696819E-01,-0.00000000E+00,+2.68696819E-01,-0.00000000E+00
+1.29000000E+00,+0.00000000E+00,+4.51884892E+00,-0.00000000E+00,+4.51884892E+00,-0.00000000E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+2.61076990E-01,-0.00000000E+00,+2.61076990E-01,-0.00000000E+00
+1.30000000E+00,+0.00000000E+00,+4.25907306E+00,-0.00000000E+00,+4.25907306E+00,-0.00000000E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+2.53712768E-01,-0.00000000E+00,+2.53712768E-01,-0.00000000E+00
+1.31000000E+00,+0.00000000E+00,+4.03259111E+00,-0.00000000E+00,+4.03259111E+00,-0.00000000E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+2.46589925E-01,-0.00000000E+00,+2.46589925E-01,-0.00000000E+00
+1.32000000E+00,+0.00000000E+00,+3.83329099E+00,-0.00000000E+00,+3.83329099E+00,-0.00000000E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+2.39695437E-01,-0.00000000E+00,+2.39695437E-01,-0.00000000E+00
+1.33000000E+00,+0.00000000E+00,+3.65647612E+00,-0.00000000E+00,+3.65647612E+00,-0.00000000E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+2.33017344E-01,-0.00000000E+00,+2.33017344E-01,-0.00000000E+00
+1.34000000E+00,+0.00000000E+00,+3.49847764E+00,-0.00000000E+00,+3.49847764E+00,-0.00000000E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+2.26544636E-01,-0.00000000E+00,+2.26544636E-01,-0.00000000E+00
+1.35000000E+00,+0.00000000E+00,+3.35638757E+00,-0.00000000E+00,+3.35638757E+00,-0.00000000E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+2.20267150E-01,-0.00000000E+00,+2.20267150E-01,-0.00000000E+00
+1.36000000E+00,+0.00000000E+00,+3.22787098E+00,-0.00000000E+00,+3.22787098E+00,-0.00000000E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+2.14175488E-01,-0.00000000E+00,+2.14175488E-01,-0.00000000E+00
+1.37000000E+00,+0.00000000E+00,+3.11103129E+00,-0.00000000E+00,+3.11103129E+00,-0.00000000E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+2.08260934E-01,-0.00000000E+00,+2.08260934E-01,-0.00000000E+00
+1.38000000E+00,+0.00000000E+00,+3.00431180E+00,-0.00000000E+00,+3.00431180E+00,-0.00000000E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+2.02515391E-01,-0.00000000E+00,+2.02515391E-01,-0.00000000E+00
+1.39000000E+00,+0.00000000E+00,+2.90642269E+00,-0.00000000E+00,+2.90642269E+00,-0.00000000E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+1.96931323E-01,-0.00000000E+00,+1.96931323E-01,-0.00000000E+00
+1.40000000E+00,+0.00000000E+00,+2.81628605E+00,-0.00000000E+00,+2.81628605E+00,-0.00000000E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+1.91501699E-01,-0.00000000E+00,+1.91501699E-01,-0.00000000E+00
+1.41000000E+00,+0.00000000E+00,+2.73299396E+00,-0.00000000E+00,+2.73299396E+00,-0.00000000E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+1.86219953E-01,-0.00000000E+00,+1.86219953E-01,-0.00000000E+00
+1.42000000E+00,+0.00000000E+00,+2.65577621E+00,-0.00000000E+00,+2.65577621E+00,-0.00000000E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+1.81079937E-01,-0.00000000E+00,+1.81079937E-01,-0.00000000E+00
+1.43000000E+00,+0.00000000E+00,+2.58397502E+00,-0.00000000E+00,+2.58397502E+00,-0.00000000E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+1.76075889E-01,-0.00000000E+00,+1.76075889E-01,-0.00000000E+00
+1.44000000E+00,+0.00000000E+00,+2.51702523E+00,-0.00000000E+00,+2.51702523E+00,-0.00000000E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+1.71202400E-01,-0.00000000E+00,+1.71202400E-01,-0.00000000E+00
+1.45000000E+00,+0.00000000E+00,+2.45443845E+00,-0.00000000E+00,+2.45443845E+00,-0.00000000E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+1.66454382E-01,-0.00000000E+00,+1.66454382E-01,-0.00000000E+00
+1.46000000E+00,+0.00000000E+00,+2.39579048E+00,-0.00000000E+00,+2.39579048E+00,-0.00000000E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+1.61827047E-01,-0.00000000E+00,+1.61827047E-01,-0.00000000E+00
+1.47000000E+00,+0.00000000E+00,+2.34071097E+00,-0.00000000E+00,+2.34071097E+00,-0.00000000E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+1.57315880E-01,-0.00000000E+00,+1.57315880E-01,-0.00000000E+00
+1.48000000E+00,+0.00000000E+00,+2.28887520E+00,-0.00000000E+00,+2.28887520E+00,-0.00000000E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+1.52916618E-01,-0.00000000E+00,+1.52916618E-01,-0.00000000E+00
+1.49000000E+00,+0.00000000E+00,+2.23999714E+00,-0.00000000E+00,+2.23999714E+00,-0.00000000E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+1.48625231E-01,-0.00000000E+00,+1.48625231E-01,-0.00000000E+00
+1.50000000E+00,+0.00000000E+00,+2.19382391E+00,-0.00000000E+00,+2.19382391E+00,-0.00000000E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+1.44437907E-01,-0.00000000E+00,+1.44437907E-01,-0.00000000E+00
