theta_1,theta_2,Re(r_ap.tm),Im(r_ap.tm),Abs(r_ap.tm),Arg(r_ap.tm),Re(r_ap.te),Im(r_ap.te),Abs(r_ap.te),Arg(r_ap.te)
+1.77645377E+00,+0.00000000E+00,+9.07750886E-01,-4.04304385E-01,+9.93717116E-01,-4.19014759E-01,+9.07913931E-01,-4.03951643E-01,+9.93722615E-01,-4.18623742E-01
+1.83377800E+00,+0.00000000E+00,+9.07742622E-01,-4.04307270E-01,+9.93710741E-01,-4.19020796E-01,+9.07916360E-01,-4.03931402E-01,+9.93716607E-01,-4.18604138E-01
+1.89110407E+00,+0.00000000E+00,+9.07734095E-01,-4.04310248E-01,+9.93704163E-01,-4.19027024E-01,+9.07918866E-01,-4.03910518E-01,+9.93710408E-01,-4.18583911E-01
+1.94843202E+00,+0.00000000E+00,+9.07725305E-01,-4.04313318E-01,+9.93697383E-01,-4.19033445E-01,+9.07921450E-01,-4.03888991E-01,+9.93704018E-01,-4.18563062E-01
+2.00576193E+00,+0.00000000E+00,+9.07716252E-01,-4.04316480E-01,+9.93690399E-01,-4.19040059E-01,+9.07924110E-01,-4.03866822E-01,+9.93697439E-01,-4.18541590E-01
+2.06309385E+00,+0.00000000E+00,+9.07706935E-01,-4.04319734E-01,+9.93683213E-01,-4.19046866E-01,+9.07926847E-01,-4.03844011E-01,+9.93690669E-01,-4.18519496E-01
+2.12042784E+00,+0.00000000E+00,+9.07697355E-01,-4.04323081E-01,+9.93675824E-01,-4.19053865E-01,+9.07929662E-01,-4.03820558E-01,+9.93683709E-01,-4.18496780E-01
+2.17776395E+00,+0.00000000E+00,+9.07687512E-01,-4.04326520E-01,+9.93668231E-01,-4.19061057E-01,+9.07932553E-01,-4.03796462E-01,+9.93676559E-01,-4.18473441E-01
+2.23510224E+00,+0.00000000E+00,+9.07677406E-01,-4.04330051E-01,+9.93660436E-01,-4.19068442E-01,+9.07935521E-01,-4.03771724E-01,+9.93669218E-01,-4.18449479E-01
+2.29244278E+00,+0.00000000E+00,+9.07667035E-01,-4.04333675E-01,+9.93652438E-01,-4.19076020E-01,+9.07938567E-01,-4.03746343E-01,+9.93661688E-01,-4.18424895E-01
+2.34978561E+00,+0.00000000E+00,+9.07656402E-01,-4.04337391E-01,+9.93644237E-01,-4.19083791E-01,+9.07941689E-01,-4.03720320E-01,+9.93653968E-01,-4.18399689E-01
+2.40713079E+00,+0.00000000E+00,+9.07645504E-01,-4.04341200E-01,+9.93635833E-01,-4.19091756E-01,+9.07944888E-01,-4.03693656E-01,+9.93646057E-01,-4.18373860E-01
+2.46447839E+00,+0.00000000E+00,+9.07634343E-01,-4.04345102E-01,+9.93627225E-01,-4.19099914E-01,+9.07948164E-01,-4.03666348E-01,+9.93637957E-01,-4.18347409E-01
+2.52182846E+00,+0.00000000E+00,+9.07622918E-01,-4.04349096E-01,+9.93618415E-01,-4.19108265E-01,+9.07951517E-01,-4.03638399E-01,+9.93629667E-01,-4.18320335E-01
+2.57918105E+00,+0.00000000E+00,+9.07611230E-01,-4.04353184E-01,+9.93609401E-01,-4.19116810E-01,+9.07954947E-01,-4.03609807E-01,+9.93621187E-01,-4.18292639E-01
+2.63653623E+00,+0.00000000E+00,+9.07599277E-01,-4.04357364E-01,+9.93600183E-01,-4.19125548E-01,+9.07958455E-01,-4.03580574E-01,+9.93612517E-01,-4.18264320E-01
+2.69389406E+00,+0.00000000E+00,+9.07587060E-01,-4.04361637E-01,+9.93590763E-01,-4.19134480E-01,+9.07962038E-01,-4.03550698E-01,+9.93603658E-01,-4.18235379E-01
+2.75125459E+00,+0.00000000E+00,+9.07574579E-01,-4.04366002E-01,+9.93581139E-01,-4.19143606E-01,+9.07965699E-01,-4.03520180E-01,+9.93594609E-01,-4.18205815E-01
+2.80861788E+00,+0.00000000E+00,+9.07561833E-01,-4.04370461E-01,+9.93571312E-01,-4.19152926E-01,+9.07969437E-01,-4.03489020E-01,+9.93585370E-01,-4.18175629E-01
+2.86598398E+00,+0.00000000E+00,+9.07548824E-01,-4.04375014E-01,+9.93561281E-01,-4.19162440E-01,+9.07973252E-01,-4.03457218E-01,+9.93575942E-01,-4.18144820E-01
+2.92335296E+00,+0.00000000E+00,+9.07535550E-01,-4.04379659E-01,+9.93551047E-01,-4.19172149E-01,+9.07977143E-01,-4.03424774E-01,+9.93566324E-01,-4.18113389E-01
+2.98072488E+00,+0.00000000E+00,+9.07522011E-01,-4.04384398E-01,+9.93540609E-01,-4.19182051E-01,+9.07981112E-01,-4.03391688E-01,+9.93556517E-01,-4.18081335E-01
+3.03809978E+00,+0.00000000E+00,+9.07508207E-01,-4.04389230E-01,+9.93529967E-01,-4.19192148E-01,+9.07985157E-01,-4.03357959E-01,+9.93546521E-01,-4.18048659E-01
+3.09547774E+00,+0.00000000E+00,+9.07494139E-01,-4.04394155E-01,+9.93519122E-01,-4.19202440E-01,+9.07989279E-01,-4.03323589E-01,+9.93536335E-01,-4.18015360E-01
+3.15285880E+00,+0.00000000E+00,+9.07479806E-01,-4.04399174E-01,+9.93508073E-01,-4.19212926E-01,+9.07993478E-01,-4.03288577E-01,+9.93525960E-01,-4.17981438E-01
+3.21024303E+00,+0.00000000E+00,+9.07465208E-01,-4.04404286E-01,+9.93496820E-01,-4.19223608E-01,+9.07997754E-01,-4.03252923E-01,+9.93515395E-01,-4.17946894E-01
+3.26763049E+00,+0.00000000E+00,+9.07450345E-01,-4.04409492E-01,+9.93485363E-01,-4.19234484E-01,+9.08002106E-01,-4.03216628E-01,+9.93504642E-01,-4.17911728E-01
+3.32502122E+00,+0.00000000E+00,+9.07435217E-01,-4.04414792E-01,+9.93473703E-01,-4.19245555E-01,+9.08006535E-01,-4.03179690E-01,+9.93493699E-01,-4.17875938E-01
+3.38241529E+00,+0.00000000E+00,+9.07419824E-01,-4.04420186E-01,+9.93461838E-01,-4.19256822E-01,+9.08011042E-01,-4.03142111E-01,+9.93482568E-01,-4.17839526E-01
+3.43981277E+00,+0.00000000E+00,+9.07404165E-01,-4.04425674E-01,+9.93449769E-01,-4.19268284E-01,+9.08015624E-01,-4.03103889E-01,+9.93471248E-01,-4.17802492E-01
+3.49721370E+00,+0.00000000E+00,+9.07388240E-01,-4.04431256E-01,+9.93437496E-01,-4.19279941E-01,+9.08020284E-01,-4.03065026E-01,+9.93459738E-01,-4.17764835E-01
+3.55461814E+00,+0.00000000E+00,+9.07372050E-01,-4.04436932E-01,+9.93425019E-01,-4.19291794E-01,+9.08025021E-01,-4.03025522E-01,+9.93448040E-01,-4.17726555E-01
+3.61202616E+00,+0.00000000E+00,+9.07355594E-01,-4.04442702E-01,+9.93412338E-01,-4.19303843E-01,+9.08029834E-01,-4.02985375E-01,+9.93436154E-01,-4.17687653E-01
+3.66943780E+00,+0.00000000E+00,+9.07338872E-01,-4.04448566E-01,+9.93399452E-01,-4.19316088E-01,+9.08034724E-01,-4.02944587E-01,+9.93424078E-01,-4.17648128E-01
+3.72685314E+00,+0.00000000E+00,+9.07321885E-01,-4.04454525E-01,+9.93386362E-01,-4.19328530E-01,+9.08039690E-01,-4.02903157E-01,+9.93411814E-01,-4.17607980E-01
+3.78427223E+00,+0.00000000E+00,+9.07304631E-01,-4.04460578E-01,+9.93373068E-01,-4.19341167E-01,+9.08044733E-01,-4.02861086E-01,+9.93399362E-01,-4.17567210E-01
+3.84169512E+00,+0.00000000E+00,+9.07287111E-01,-4.04466726E-01,+9.93359569E-01,-4.19354001E-01,+9.08049853E-01,-4.02818373E-01,+9.93386721E-01,-4.17525817E-01
+3.89912188E+00,+0.00000000E+00,+9.07269324E-01,-4.04472968E-01,+9.93345865E-01,-4.19367031E-01,+9.08055050E-01,-4.02775019E-01,+9.93373892E-01,-4.17483801E-01
+3.95655256E+00,+0.00000000E+00,+9.07251271E-01,-4.04479305E-01,+9.93331957E-01,-4.19380259E-01,+9.08060323E-01,-4.02731023E-01,+9.93360875E-01,-4.17441163E-01
+4.01398722E+00,+0.00000000E+00,+9.07232951E-01,-4.04485738E-01,+9.93317844E-01,-4.19393683E-01,+9.08065673E-01,-4.02686386E-01,+9.93347669E-01,-4.17397902E-01
+4.07142592E+00,+0.00000000E+00,+9.07214364E-01,-4.04492265E-01,+9.93303526E-01,-4.19407304E-01,+9.08071099E-01,-4.02641107E-01,+9.93334275E-01,-4.17354018E-01
+4.12886872E+00,+0.00000000E+00,+9.07195511E-01,-4.04498887E-01,+9.93289003E-01,-4.19421123E-01,+9.08076603E-01,-4.02595187E-01,+9.93320694E-01,-4.17309512E-01
+4.18631568E+00,+0.00000000E+00,+9.07176390E-01,-4.04505604E-01,+9.93274276E-01,-4.19435139E-01,+9.08082182E-01,-4.02548625E-01,+9.93306924E-01,-4.17264383E-01
+4.24376685E+00,+0.00000000E+00,+9.07157002E-01,-4.04512417E-01,+9.93259343E-01,-4.19449352E-01,+9.08087838E-01,-4.02501422E-01,+9.93292967E-01,-4.17218631E-01
+4.30122230E+00,+0.00000000E+00,+9.07137347E-01,-4.04519325E-01,+9.93244205E-01,-4.19463764E-01,+9.08093571E-01,-4.02453578E-01,+9.93278821E-01,-4.17172256E-01
+4.35868209E+00,+0.00000000E+00,+9.07117424E-01,-4.04526329E-01,+9.93228862E-01,-4.19478373E-01,+9.08099381E-01,-4.02405093E-01,+9.93264488E-01,-4.17125258E-01
+4.41614626E+00,+0.00000000E+00,+9.07097234E-01,-4.04533428E-01,+9.93213313E-01,-4.19493181E-01,+9.08105267E-01,-4.02355966E-01,+9.93249968E-01,-4.17077638E-01
+4.47361489E+00,+0.00000000E+00,+9.07076775E-01,-4.04540624E-01,+9.93197560E-01,-4.19508187E-01,+9.08111229E-01,-4.02306199E-01,+9.93235260E-01,-4.17029395E-01
+4.53108803E+00,+0.00000000E+00,+9.07056049E-01,-4.04547915E-01,+9.93181600E-01,-4.19523391E-01,+9.08117268E-01,-4.02255790E-01,+9.93220365E-01,-4.16980529E-01
+4.58856574E+00,+0.00000000E+00,+9.07035055E-01,-4.04555302E-01,+9.93165436E-01,-4.19538795E-01,+9.08123383E-01,-4.02204740E-01,+9.93205282E-01,-4.16931040E-01
+4.64604807E+00,+0.00000000E+00,+9.07013792E-01,-4.04562785E-01,+9.93149065E-01,-4.19554397E-01,+9.08129575E-01,-4.02153049E-01,+9.93190012E-01,-4.16880929E-01
+4.70353509E+00,+0.00000000E+00,+9.06992261E-01,-4.04570364E-01,+9.93132489E-01,-4.19570198E-01,+9.08135843E-01,-4.02100717E-01,+9.93174555E-01,-4.16830194E-01
+4.76102686E+00,+0.00000000E+00,+9.06970461E-01,-4.04578040E-01,+9.93115707E-01,-4.19586199E-01,+9.08142188E-01,-4.02047744E-01,+9.93158911E-01,-4.16778837E-01
+4.81852343E+00,+0.00000000E+00,+9.06948393E-01,-4.04585812E-01,+9.93098719E-01,-4.19602399E-01,+9.08148609E-01,-4.01994130E-01,+9.93143080E-01,-4.16726857E-01
+4.87602487E+00,+0.00000000E+00,+9.06926055E-01,-4.04593681E-01,+9.93081525E-01,-4.19618799E-01,+9.08155107E-01,-4.01939875E-01,+9.93127062E-01,-4.16674253E-01
+4.93353123E+00,+0.00000000E+00,+9.06903449E-01,-4.04601646E-01,+9.93064126E-01,-4.19635398E-01,+9.08161681E-01,-4.01884980E-01,+9.93110857E-01,-4.16621027E-01
+4.99104257E+00,+0.00000000E+00,+9.06880573E-01,-4.04609709E-01,+9.93046519E-01,-4.19652198E-01,+9.08168331E-01,-4.01829443E-01,+9.93094466E-01,-4.16567178E-01
+5.04855896E+00,+0.00000000E+00,+9.06857428E-01,-4.04617868E-01,+9.93028707E-01,-4.19669199E-01,+9.08175058E-01,-4.01773266E-01,+9.93077888E-01,-4.16512707E-01
+5.10608044E+00,+0.00000000E+00,+9.06834013E-01,-4.04626125E-01,+9.93010688E-01,-4.19686400E-01,+9.08181860E-01,-4.01716448E-01,+9.93061124E-01,-4.16457612E-01
+5.16360709E+00,+0.00000000E+00,+9.06810328E-01,-4.04634478E-01,+9.92992463E-01,-4.19703801E-01,+9.08188740E-01,-4.01658990E-01,+9.93044174E-01,-4.16401894E-01
+5.22113896E+00,+0.00000000E+00,+9.06786373E-01,-4.04642930E-01,+9.92974032E-01,-4.19721404E-01,+9.08195695E-01,-4.01600891E-01,+9.93027037E-01,-4.16345553E-01
