theta_1,theta_2,Re(r_ap.tm),Im(r_ap.tm),Abs(r_ap.tm),Arg(r_ap.tm),Re(r_ap.te),Im(r_ap.te),Abs(r_ap.te),Arg(r_ap.te)
+0.00000000E+00,+0.00000000E+00,+8.96964527E-01,-3.74852348E-01,+9.72141783E-01,-3.95851866E-01,+9.10675618E-01,-4.10887027E-01,+9.99078691E-01,-4.23842447E-01
+5.72967345E-01,+0.00000000E+00,+8.96954263E-01,-3.74864226E-01,+9.72136893E-01,-3.95867211E-01,+9.10683666E-01,-4.10866798E-01,+9.99077707E-01,-4.23820678E-01
+1.14599200E+00,+0.00000000E+00,+8.96923460E-01,-3.74899865E-01,+9.72122215E-01,-3.95913255E-01,+9.10707810E-01,-4.10806103E-01,+9.99074757E-01,-4.23755364E-01
+1.71913132E+00,+0.00000000E+00,+8.96872082E-01,-3.74959279E-01,+9.72097728E-01,-3.95990029E-01,+9.10748050E-01,-4.10704919E-01,+9.99069837E-01,-4.23646482E-01
+2.29244278E+00,+0.00000000E+00,+8.96800074E-01,-3.75042493E-01,+9.72063395E-01,-3.96097584E-01,+9.10804383E-01,-4.10563204E-01,+9.99062946E-01,-4.23493994E-01
+2.86598398E+00,+0.00000000E+00,+8.96707354E-01,-3.75149543E-01,+9.72019166E-01,-3.96235990E-01,+9.10876810E-01,-4.10380904E-01,+9.99054078E-01,-4.23297849E-01
+3.43981277E+00,+0.00000000E+00,+8.96593821E-01,-3.75280471E-01,+9.71964975E-01,-3.96405341E-01,+9.10965328E-01,-4.10157945E-01,+9.99043227E-01,-4.23057979E-01
+4.01398722E+00,+0.00000000E+00,+8.96459346E-01,-3.75435334E-01,+9.71900740E-01,-3.96605747E-01,+9.11069936E-01,-4.09894240E-01,+9.99030388E-01,-4.22774301E-01
+4.58856574E+00,+0.00000000E+00,+8.96303779E-01,-3.75614194E-01,+9.71826367E-01,-3.96837342E-01,+9.11190629E-01,-4.09589682E-01,+9.99015551E-01,-4.22446716E-01
+5.16360709E+00,+0.00000000E+00,+8.96126946E-01,-3.75817125E-01,+9.71741743E-01,-3.97100280E-01,+9.11327406E-01,-4.09244151E-01,+9.98998707E-01,-4.22075112E-01
+5.73917048E+00,+0.00000000E+00,+8.95928645E-01,-3.76044213E-01,+9.71646740E-01,-3.97394738E-01,+9.11480263E-01,-4.08857509E-01,+9.98979846E-01,-4.21659358E-01
+6.31531557E+00,+0.00000000E+00,+8.95708652E-01,-3.76295550E-01,+9.71541214E-01,-3.97720912E-01,+9.11649195E-01,-4.08429599E-01,+9.98958954E-01,-4.21199309E-01
+6.89210258E+00,+0.00000000E+00,+8.95466716E-01,-3.76571239E-01,+9.71425004E-01,-3.98079023E-01,+9.11834199E-01,-4.07960249E-01,+9.98936019E-01,-4.20694805E-01
+7.46959232E+00,+0.00000000E+00,+8.95202559E-01,-3.76871394E-01,+9.71297930E-01,-3.98469310E-01,+9.12035268E-01,-4.07449270E-01,+9.98911026E-01,-4.20145667E-01
+8.04784625E+00,+0.00000000E+00,+8.94915875E-01,-3.77196138E-01,+9.71159796E-01,-3.98892040E-01,+9.12252397E-01,-4.06896453E-01,+9.98883957E-01,-4.19551700E-01
+8.62692656E+00,+0.00000000E+00,+8.94606330E-01,-3.77545604E-01,+9.71010386E-01,-3.99347499E-01,+9.12485580E-01,-4.06301573E-01,+9.98854795E-01,-4.18912694E-01
+9.20689622E+00,+0.00000000E+00,+8.94273562E-01,-3.77919932E-01,+9.70849463E-01,-3.99835999E-01,+9.12734810E-01,-4.05664386E-01,+9.98823521E-01,-4.18228419E-01
+9.78781906E+00,+0.00000000E+00,+8.93917178E-01,-3.78319275E-01,+9.70676772E-01,-4.00357876E-01,+9.13000078E-01,-4.04984627E-01,+9.98790114E-01,-4.17498630E-01
+1.03697598E+01,+0.00000000E+00,+8.93536751E-01,-3.78743794E-01,+9.70492034E-01,-4.00913491E-01,+9.13281377E-01,-4.04262016E-01,+9.98754550E-01,-4.16723061E-01
+1.09527842E+01,+0.00000000E+00,+8.93131825E-01,-3.79193659E-01,+9.70294949E-01,-4.01503228E-01,+9.13578696E-01,-4.03496250E-01,+9.98716806E-01,-4.15901429E-01
+1.15369590E+01,+0.00000000E+00,+8.92701907E-01,-3.79669049E-01,+9.70085193E-01,-4.02127500E-01,+9.13892026E-01,-4.02687006E-01,+9.98676855E-01,-4.15033433E-01
+1.21223522E+01,+0.00000000E+00,+8.92246469E-01,-3.80170152E-01,+9.69862416E-01,-4.02786747E-01,+9.14221355E-01,-4.01833942E-01,+9.98634670E-01,-4.14118751E-01
+1.27090330E+01,+0.00000000E+00,+8.91764947E-01,-3.80697165E-01,+9.69626243E-01,-4.03481433E-01,+9.14566672E-01,-4.00936694E-01,+9.98590221E-01,-4.13157040E-01
+1.32970717E+01,+0.00000000E+00,+8.91256735E-01,-3.81250294E-01,+9.69376270E-01,-4.04212056E-01,+9.14927961E-01,-3.99994874E-01,+9.98543476E-01,-4.12147939E-01
+1.38865404E+01,+0.00000000E+00,+8.90721187E-01,-3.81829751E-01,+9.69112064E-01,-4.04979137E-01,+9.15305210E-01,-3.99008075E-01,+9.98494402E-01,-4.11091062E-01
+1.44775122E+01,+0.00000000E+00,+8.90157617E-01,-3.82435759E-01,+9.68833160E-01,-4.05783233E-01,+9.15698401E-01,-3.97975864E-01,+9.98442963E-01,-4.09986005E-01
+1.50700621E+01,+0.00000000E+00,+8.89565287E-01,-3.83068545E-01,+9.68539060E-01,-4.06624929E-01,+9.16107519E-01,-3.96897784E-01,+9.98389121E-01,-4.08832339E-01
+1.56642669E+01,+0.00000000E+00,+8.88943417E-01,-3.83728346E-01,+9.68229230E-01,-4.07504842E-01,+9.16532543E-01,-3.95773356E-01,+9.98332836E-01,-4.07629610E-01
+1.62602047E+01,+0.00000000E+00,+8.88291173E-01,-3.84415402E-01,+9.67903100E-01,-4.08423625E-01,+9.16973454E-01,-3.94602070E-01,+9.98274065E-01,-4.06377343E-01
+1.68579560E+01,+0.00000000E+00,+8.87607669E-01,-3.85129963E-01,+9.67560056E-01,-4.09381963E-01,+9.17430229E-01,-3.93383395E-01,+9.98212764E-01,-4.05075034E-01
+1.74576031E+01,+0.00000000E+00,+8.86891959E-01,-3.85872279E-01,+9.67199443E-01,-4.10380577E-01,+9.17902845E-01,-3.92116768E-01,+9.98148883E-01,-4.03722155E-01
+1.80592305E+01,+0.00000000E+00,+8.86143041E-01,-3.86642608E-01,+9.66820561E-01,-4.11420228E-01,+9.18391276E-01,-3.90801599E-01,+9.98082374E-01,-4.02318149E-01
+1.86629249E+01,+0.00000000E+00,+8.85359847E-01,-3.87441210E-01,+9.66422656E-01,-4.12501711E-01,+9.18895493E-01,-3.89437268E-01,+9.98013182E-01,-4.00862431E-01
+1.92687755E+01,+0.00000000E+00,+8.84541239E-01,-3.88268346E-01,+9.66004924E-01,-4.13625865E-01,+9.19415465E-01,-3.88023122E-01,+9.97941251E-01,-3.99354387E-01
+1.98768741E+01,+0.00000000E+00,+8.83686010E-01,-3.89124278E-01,+9.65566501E-01,-4.14793568E-01,+9.19951161E-01,-3.86558477E-01,+9.97866521E-01,-3.97793369E-01
+2.04873151E+01,+0.00000000E+00,+8.82792873E-01,-3.90009267E-01,+9.65106463E-01,-4.16005743E-01,+9.20502543E-01,-3.85042614E-01,+9.97788929E-01,-3.96178700E-01
+2.11001960E+01,+0.00000000E+00,+8.81860459E-01,-3.90923572E-01,+9.64623817E-01,-4.17263354E-01,+9.21069574E-01,-3.83474780E-01,+9.97708408E-01,-3.94509666E-01
+2.17156173E+01,+0.00000000E+00,+8.80887312E-01,-3.91867446E-01,+9.64117499E-01,-4.18567417E-01,+9.21652212E-01,-3.81854182E-01,+9.97624888E-01,-3.92785519E-01
+2.23336827E+01,+0.00000000E+00,+8.79871879E-01,-3.92841136E-01,+9.63586364E-01,-4.19918991E-01,+9.22250411E-01,-3.80179990E-01,+9.97538292E-01,-3.91005471E-01
+2.29544994E+01,+0.00000000E+00,+8.78812507E-01,-3.93844878E-01,+9.63029185E-01,-4.21319188E-01,+9.22864121E-01,-3.78451331E-01,+9.97448543E-01,-3.89168696E-01
+2.35781785E+01,+0.00000000E+00,+8.77707436E-01,-3.94878896E-01,+9.62444640E-01,-4.22769171E-01,+9.23493291E-01,-3.76667290E-01,+9.97355556E-01,-3.87274327E-01
+2.42048348E+01,+0.00000000E+00,+8.76554785E-01,-3.95943396E-01,+9.61831308E-01,-4.24270159E-01,+9.24137862E-01,-3.74826907E-01,+9.97259243E-01,-3.85321453E-01
+2.48345875E+01,+0.00000000E+00,+8.75352550E-01,-3.97038566E-01,+9.61187656E-01,-4.25823423E-01,+9.24797772E-01,-3.72929172E-01,+9.97159509E-01,-3.83309115E-01
+2.54675601E+01,+0.00000000E+00,+8.74098591E-01,-3.98164566E-01,+9.60512035E-01,-4.27430297E-01,+9.25472955E-01,-3.70973025E-01,+9.97056255E-01,-3.81236306E-01
+2.61038811E+01,+0.00000000E+00,+8.72790621E-01,-3.99321526E-01,+9.59802662E-01,-4.29092172E-01,+9.26163336E-01,-3.68957355E-01,+9.96949374E-01,-3.79101968E-01
+2.67436840E+01,+0.00000000E+00,+8.71426194E-01,-4.00509540E-01,+9.59057612E-01,-4.30810501E-01,+9.26868838E-01,-3.66880991E-01,+9.96838755E-01,-3.76904989E-01
+2.73871075E+01,+0.00000000E+00,+8.70002694E-01,-4.01728655E-01,+9.58274804E-01,-4.32586805E-01,+9.27589374E-01,-3.64742704E-01,+9.96724278E-01,-3.74644195E-01
+2.80342965E+01,+0.00000000E+00,+8.68517319E-01,-4.02978869E-01,+9.57451984E-01,-4.34422668E-01,+9.28324852E-01,-3.62541201E-01,+9.96605817E-01,-3.72318355E-01
+2.86854020E+01,+0.00000000E+00,+8.66967065E-01,-4.04260114E-01,+9.56586708E-01,-4.36319743E-01,+9.29075172E-01,-3.60275122E-01,+9.96483235E-01,-3.69926169E-01
+2.93405816E+01,+0.00000000E+00,+8.65348708E-01,-4.05572251E-01,+9.55676325E-01,-4.38279754E-01,+9.29840224E-01,-3.57943033E-01,+9.96356391E-01,-3.67466269E-01
+3.00000000E+01,+0.00000000E+00,+8.63658789E-01,-4.06915054E-01,+9.54717950E-01,-4.40304498E-01,+9.30619892E-01,-3.55543426E-01,+9.96225131E-01,-3.64937212E-01
+3.06638297E+01,+0.00000000E+00,+8.61893584E-01,-4.08288196E-01,+9.53708447E-01,-4.42395841E-01,+9.31414045E-01,-3.53074710E-01,+9.96089291E-01,-3.62337474E-01
+3.13322515E+01,+0.00000000E+00,+8.60049088E-01,-4.09691231E-01,+9.52644392E-01,-4.44555728E-01,+9.32222547E-01,-3.50535207E-01,+9.95948697E-01,-3.59665448E-01
+3.20054548E+01,+0.00000000E+00,+8.58120982E-01,-4.11123575E-01,+9.51522052E-01,-4.46786176E-01,+9.33045244E-01,-3.47923144E-01,+9.95803164E-01,-3.56919434E-01
+3.26836388E+01,+0.00000000E+00,+8.56104609E-01,-4.12584484E-01,+9.50337339E-01,-4.49089275E-01,+9.33881973E-01,-3.45236650E-01,+9.95652491E-01,-3.54097633E-01
+3.33670130E+01,+0.00000000E+00,+8.53994935E-01,-4.14073021E-01,+9.49085779E-01,-4.51467190E-01,+9.34732555E-01,-3.42473744E-01,+9.95496466E-01,-3.51198143E-01
+3.40557977E+01,+0.00000000E+00,+8.51786514E-01,-4.15588033E-01,+9.47762459E-01,-4.53922158E-01,+9.35596794E-01,-3.39632332E-01,+9.95334859E-01,-3.48218946E-01
+3.47502258E+01,+0.00000000E+00,+8.49473444E-01,-4.17128107E-01,+9.46361976E-01,-4.56456480E-01,+9.36474479E-01,-3.36710191E-01,+9.95167424E-01,-3.45157901E-01
+3.54505426E+01,+0.00000000E+00,+8.47049322E-01,-4.18691528E-01,+9.44878379E-01,-4.59072522E-01,+9.37365377E-01,-3.33704966E-01,+9.94993897E-01,-3.42012737E-01
+3.61570082E+01,+0.00000000E+00,+8.44507188E-01,-4.20276233E-01,+9.43305095E-01,-4.61772705E-01,+9.38269235E-01,-3.30614155E-01,+9.94813991E-01,-3.38781037E-01
+3.68698976E+01,+0.00000000E+00,+8.41839463E-01,-4.21879744E-01,+9.41634854E-01,-4.64559493E-01,+9.39185776E-01,-3.27435097E-01,+9.94627400E-01,-3.35460226E-01
+3.75895030E+01,+0.00000000E+00,+8.39037879E-01,-4.23499100E-01,+9.39859590E-01,-4.67435380E-01,+9.40114698E-01,-3.24164958E-01,+9.94433791E-01,-3.32047562E-01
+3.83161345E+01,+0.00000000E+00,+8.36093402E-01,-4.25130776E-01,+9.37970338E-01,-4.70402874E-01,+9.41055666E-01,-3.20800718E-01,+9.94232803E-01,-3.28540115E-01
+3.90501225E+01,+0.00000000E+00,+8.32996140E-01,-4.26770580E-01,+9.35957103E-01,-4.73464469E-01,+9.42008316E-01,-3.17339150E-01,+9.94024046E-01,-3.24934754E-01
+3.97918195E+01,+0.00000000E+00,+8.29735237E-01,-4.28413536E-01,+9.33808718E-01,-4.76622619E-01,+9.42972247E-01,-3.13776803E-01,+9.93807094E-01,-3.21228125E-01
+4.05416019E+01,+0.00000000E+00,+8.26298751E-01,-4.30053744E-01,+9.31512667E-01,-4.79879691E-01,+9.43947016E-01,-3.10109981E-01,+9.93581486E-01,-3.17416627E-01
+4.12998728E+01,+0.00000000E+00,+8.22673520E-01,-4.31684207E-01,+9.29054882E-01,-4.83237920E-01,+9.44932135E-01,-3.06334715E-01,+9.93346715E-01,-3.13496394E-01
