theta1,theta_2,Re(r_ibc0.tm),Im(r_ibc0.tm),Abs(r_ibc0.tm),Arg(r_ibc0.tm),Re(r_ibc0.te),Im(r_ibc0.te),Abs(r_ibc0.te),Arg(r_ibc0.te)
+0.00000000E+00,+0.00000000E+00,+9.07931372E-01,-4.04438456E-01,+9.93936538E-01,-4.19064099E-01,+9.07931372E-01,-4.04438456E-01,+9.93936538E-01,-4.19064099E-01
+5.72967345E-01,+0.00000000E+00,+9.07922891E-01,-4.04456818E-01,+9.93936262E-01,-4.19084446E-01,+9.07939853E-01,-4.04420096E-01,+9.93936814E-01,-4.19043753E-01
+1.14599200E+00,+0.00000000E+00,+9.07897437E-01,-4.04511917E-01,+9.93935434E-01,-4.19145505E-01,+9.07965296E-01,-4.04365006E-01,+9.93937643E-01,-4.18982707E-01
+1.71913132E+00,+0.00000000E+00,+9.07854980E-01,-4.04603799E-01,+9.93934052E-01,-4.19247330E-01,+9.08007703E-01,-4.04273168E-01,+9.93939024E-01,-4.18880943E-01
+2.29244278E+00,+0.00000000E+00,+9.07795474E-01,-4.04732538E-01,+9.93932116E-01,-4.19390009E-01,+9.08067077E-01,-4.04144544E-01,+9.93940958E-01,-4.18738427E-01
+2.86598398E+00,+0.00000000E+00,+9.07718850E-01,-4.04898241E-01,+9.93929624E-01,-4.19573668E-01,+9.08143421E-01,-4.03979086E-01,+9.93943446E-01,-4.18555111E-01
+3.43981277E+00,+0.00000000E+00,+9.07625021E-01,-4.05101044E-01,+9.93926574E-01,-4.19798469E-01,+9.08236740E-01,-4.03776730E-01,+9.93946489E-01,-4.18330937E-01
+4.01398722E+00,+0.00000000E+00,+9.07513879E-01,-4.05341112E-01,+9.93922964E-01,-4.20064608E-01,+9.08347041E-01,-4.03537398E-01,+9.93950088E-01,-4.18065831E-01
+4.58856574E+00,+0.00000000E+00,+9.07385297E-01,-4.05618645E-01,+9.93918790E-01,-4.20372323E-01,+9.08474330E-01,-4.03260997E-01,+9.93954245E-01,-4.17759706E-01
+5.16360709E+00,+0.00000000E+00,+9.07239126E-01,-4.05933871E-01,+9.93914050E-01,-4.20721885E-01,+9.08618617E-01,-4.02947420E-01,+9.93958960E-01,-4.17412460E-01
+5.73917048E+00,+0.00000000E+00,+9.07075196E-01,-4.06287053E-01,+9.93908739E-01,-4.21113605E-01,+9.08779910E-01,-4.02596546E-01,+9.93964237E-01,-4.17023979E-01
+6.31531557E+00,+0.00000000E+00,+9.06893317E-01,-4.06678486E-01,+9.93902852E-01,-4.21547836E-01,+9.08958220E-01,-4.02208238E-01,+9.93970076E-01,-4.16594134E-01
+6.89210258E+00,+0.00000000E+00,+9.06693276E-01,-4.07108497E-01,+9.93896385E-01,-4.22024966E-01,+9.09153558E-01,-4.01782343E-01,+9.93976480E-01,-4.16122783E-01
+7.46959232E+00,+0.00000000E+00,+9.06474836E-01,-4.07577450E-01,+9.93889333E-01,-4.22545429E-01,+9.09365938E-01,-4.01318694E-01,+9.93983452E-01,-4.15609766E-01
+8.04784625E+00,+0.00000000E+00,+9.06237739E-01,-4.08085741E-01,+9.93881689E-01,-4.23109697E-01,+9.09595373E-01,-4.00817109E-01,+9.93990995E-01,-4.15054913E-01
+8.62692656E+00,+0.00000000E+00,+9.05981700E-01,-4.08633805E-01,+9.93873446E-01,-4.23718289E-01,+9.09841878E-01,-4.00277389E-01,+9.93999111E-01,-4.14458036E-01
+9.20689622E+00,+0.00000000E+00,+9.05706411E-01,-4.09222113E-01,+9.93864599E-01,-4.24371766E-01,+9.10105470E-01,-3.99699319E-01,+9.94007803E-01,-4.13818931E-01
+9.78781906E+00,+0.00000000E+00,+9.05411537E-01,-4.09851174E-01,+9.93855138E-01,-4.25070736E-01,+9.10386166E-01,-3.99082667E-01,+9.94017075E-01,-4.13137382E-01
+1.03697598E+01,+0.00000000E+00,+9.05096716E-01,-4.10521536E-01,+9.93845056E-01,-4.25815857E-01,+9.10683984E-01,-3.98427185E-01,+9.94026932E-01,-4.12413153E-01
+1.09527842E+01,+0.00000000E+00,+9.04761557E-01,-4.11233790E-01,+9.93834345E-01,-4.26607833E-01,+9.10998945E-01,-3.97732608E-01,+9.94037376E-01,-4.11645995E-01
+1.15369590E+01,+0.00000000E+00,+9.04405640E-01,-4.11988567E-01,+9.93822993E-01,-4.27447421E-01,+9.11331068E-01,-3.96998652E-01,+9.94048412E-01,-4.10835640E-01
+1.21223522E+01,+0.00000000E+00,+9.04028516E-01,-4.12786543E-01,+9.93810992E-01,-4.28335434E-01,+9.11680376E-01,-3.96225016E-01,+9.94060044E-01,-4.09981803E-01
+1.27090330E+01,+0.00000000E+00,+9.03629699E-01,-4.13628440E-01,+9.93798329E-01,-4.29272737E-01,+9.12046893E-01,-3.95411380E-01,+9.94072278E-01,-4.09084182E-01
+1.32970717E+01,+0.00000000E+00,+9.03208674E-01,-4.14515028E-01,+9.93784995E-01,-4.30260256E-01,+9.12430642E-01,-3.94557405E-01,+9.94085119E-01,-4.08142458E-01
+1.38865404E+01,+0.00000000E+00,+9.02764885E-01,-4.15447125E-01,+9.93770976E-01,-4.31298977E-01,+9.12831650E-01,-3.93662731E-01,+9.94098571E-01,-4.07156292E-01
+1.44775122E+01,+0.00000000E+00,+9.02297744E-01,-4.16425604E-01,+9.93756259E-01,-4.32389952E-01,+9.13249944E-01,-3.92726981E-01,+9.94112640E-01,-4.06125324E-01
+1.50700621E+01,+0.00000000E+00,+9.01806617E-01,-4.17451389E-01,+9.93740830E-01,-4.33534296E-01,+9.13685551E-01,-3.91749752E-01,+9.94127333E-01,-4.05049177E-01
+1.56642669E+01,+0.00000000E+00,+9.01290833E-01,-4.18525463E-01,+9.93724675E-01,-4.34733199E-01,+9.14138501E-01,-3.90730625E-01,+9.94142656E-01,-4.03927453E-01
+1.62602047E+01,+0.00000000E+00,+9.00749673E-01,-4.19648868E-01,+9.93707777E-01,-4.35987922E-01,+9.14608824E-01,-3.89669154E-01,+9.94158615E-01,-4.02759730E-01
+1.68579560E+01,+0.00000000E+00,+9.00182373E-01,-4.20822709E-01,+9.93690121E-01,-4.37299806E-01,+9.15096554E-01,-3.88564871E-01,+9.94175217E-01,-4.01545567E-01
+1.74576031E+01,+0.00000000E+00,+8.99588115E-01,-4.22048156E-01,+9.93671688E-01,-4.38670275E-01,+9.15601722E-01,-3.87417286E-01,+9.94192470E-01,-4.00284498E-01
+1.80592305E+01,+0.00000000E+00,+8.98966032E-01,-4.23326449E-01,+9.93652459E-01,-4.40100838E-01,+9.16124364E-01,-3.86225882E-01,+9.94210382E-01,-3.98976035E-01
+1.86629249E+01,+0.00000000E+00,+8.98315197E-01,-4.24658904E-01,+9.93632416E-01,-4.41593100E-01,+9.16664516E-01,-3.84990116E-01,+9.94228960E-01,-3.97619663E-01
+1.92687755E+01,+0.00000000E+00,+8.97634623E-01,-4.26046909E-01,+9.93611537E-01,-4.43148759E-01,+9.17222215E-01,-3.83709418E-01,+9.94248213E-01,-3.96214843E-01
+1.98768741E+01,+0.00000000E+00,+8.96923258E-01,-4.27491939E-01,+9.93589799E-01,-4.44769622E-01,+9.17797500E-01,-3.82383191E-01,+9.94268151E-01,-3.94761008E-01
+2.04873151E+01,+0.00000000E+00,+8.96179980E-01,-4.28995552E-01,+9.93567179E-01,-4.46457603E-01,+9.18390410E-01,-3.81010807E-01,+9.94288781E-01,-3.93257563E-01
