s1,s2,Re(z_ibc1p.tm),Im(z_ibc1p.tm),Abs(z_ibc1p.tm),Arg(z_ibc1p.tm),Re(z_ibc1p.te),Im(z_ibc1p.te),Abs(z_ibc1p.te),Arg(z_ibc1p.te)
+0.00000000E+00,+0.00000000E+00,+1.46753490E-02,+2.00529127E-01,+2.01065404E-01,+1.49774343E+00,+5.00666803E-04,+2.15132697E-01,+2.15133280E-01,+1.56846908E+00
+1.00000000E-03,+0.00000000E+00,+1.46753683E-02,+2.00529106E-01,+2.01065385E-01,+1.49774333E+00,+5.00672149E-04,+2.15132691E-01,+2.15133273E-01,+1.56846906E+00
+2.00000000E-03,+0.00000000E+00,+1.46754263E-02,+2.00529044E-01,+2.01065327E-01,+1.49774302E+00,+5.00688186E-04,+2.15132672E-01,+2.15133255E-01,+1.56846898E+00
+3.00000000E-03,+0.00000000E+00,+1.46755228E-02,+2.00528941E-01,+2.01065231E-01,+1.49774250E+00,+5.00714914E-04,+2.15132641E-01,+2.15133223E-01,+1.56846886E+00
+4.00000000E-03,+0.00000000E+00,+1.46756580E-02,+2.00528796E-01,+2.01065097E-01,+1.49774178E+00,+5.00752334E-04,+2.15132597E-01,+2.15133179E-01,+1.56846869E+00
+5.00000000E-03,+0.00000000E+00,+1.46758317E-02,+2.00528610E-01,+2.01064924E-01,+1.49774085E+00,+5.00800446E-04,+2.15132540E-01,+2.15133123E-01,+1.56846846E+00
+6.00000000E-03,+0.00000000E+00,+1.46760442E-02,+2.00528383E-01,+2.01064713E-01,+1.49773971E+00,+5.00859252E-04,+2.15132471E-01,+2.15133054E-01,+1.56846819E+00
+7.00000000E-03,+0.00000000E+00,+1.46762952E-02,+2.00528114E-01,+2.01064463E-01,+1.49773837E+00,+5.00928750E-04,+2.15132389E-01,+2.15132972E-01,+1.56846786E+00
+8.00000000E-03,+0.00000000E+00,+1.46765848E-02,+2.00527804E-01,+2.01064175E-01,+1.49773682E+00,+5.01008943E-04,+2.15132295E-01,+2.15132878E-01,+1.56846749E+00
+9.00000000E-03,+0.00000000E+00,+1.46769131E-02,+2.00527453E-01,+2.01063848E-01,+1.49773506E+00,+5.01099832E-04,+2.15132188E-01,+2.15132772E-01,+1.56846707E+00
+1.00000000E-02,+0.00000000E+00,+1.46772801E-02,+2.00527060E-01,+2.01063483E-01,+1.49773310E+00,+5.01201416E-04,+2.15132069E-01,+2.15132653E-01,+1.56846659E+00
+1.10000000E-02,+0.00000000E+00,+1.46776856E-02,+2.00526626E-01,+2.01063080E-01,+1.49773093E+00,+5.01313699E-04,+2.15131937E-01,+2.15132521E-01,+1.56846607E+00
+1.20000000E-02,+0.00000000E+00,+1.46781298E-02,+2.00526150E-01,+2.01062638E-01,+1.49772856E+00,+5.01436680E-04,+2.15131792E-01,+2.15132377E-01,+1.56846550E+00
+1.30000000E-02,+0.00000000E+00,+1.46786127E-02,+2.00525634E-01,+2.01062158E-01,+1.49772597E+00,+5.01570361E-04,+2.15131635E-01,+2.15132220E-01,+1.56846487E+00
+1.40000000E-02,+0.00000000E+00,+1.46791342E-02,+2.00525075E-01,+2.01061639E-01,+1.49772318E+00,+5.01714744E-04,+2.15131465E-01,+2.15132050E-01,+1.56846420E+00
+1.50000000E-02,+0.00000000E+00,+1.46796944E-02,+2.00524476E-01,+2.01061082E-01,+1.49772019E+00,+5.01869831E-04,+2.15131283E-01,+2.15131868E-01,+1.56846348E+00
+1.60000000E-02,+0.00000000E+00,+1.46802932E-02,+2.00523835E-01,+2.01060487E-01,+1.49771698E+00,+5.02035624E-04,+2.15131088E-01,+2.15131674E-01,+1.56846270E+00
+1.70000000E-02,+0.00000000E+00,+1.46809307E-02,+2.00523152E-01,+2.01059853E-01,+1.49771357E+00,+5.02212123E-04,+2.15130881E-01,+2.15131467E-01,+1.56846188E+00
+1.80000000E-02,+0.00000000E+00,+1.46816069E-02,+2.00522429E-01,+2.01059180E-01,+1.49770996E+00,+5.02399333E-04,+2.15130661E-01,+2.15131247E-01,+1.56846101E+00
+1.90000000E-02,+0.00000000E+00,+1.46823218E-02,+2.00521663E-01,+2.01058469E-01,+1.49770613E+00,+5.02597254E-04,+2.15130428E-01,+2.15131015E-01,+1.56846009E+00
+2.00000000E-02,+0.00000000E+00,+1.46830754E-02,+2.00520857E-01,+2.01057720E-01,+1.49770210E+00,+5.02805889E-04,+2.15130183E-01,+2.15130770E-01,+1.56845911E+00
+2.10000000E-02,+0.00000000E+00,+1.46838677E-02,+2.00520009E-01,+2.01056932E-01,+1.49769786E+00,+5.03025240E-04,+2.15129925E-01,+2.15130513E-01,+1.56845809E+00
+2.20000000E-02,+0.00000000E+00,+1.46846987E-02,+2.00519119E-01,+2.01056105E-01,+1.49769342E+00,+5.03255311E-04,+2.15129654E-01,+2.15130243E-01,+1.56845702E+00
+2.30000000E-02,+0.00000000E+00,+1.46855685E-02,+2.00518188E-01,+2.01055241E-01,+1.49768877E+00,+5.03496103E-04,+2.15129371E-01,+2.15129960E-01,+1.56845590E+00
+2.40000000E-02,+0.00000000E+00,+1.46864770E-02,+2.00517216E-01,+2.01054337E-01,+1.49768391E+00,+5.03747621E-04,+2.15129076E-01,+2.15129665E-01,+1.56845472E+00
