theta1,theta_2,Re(r_ibc3.tm),Im(r_ibc3.tm),Abs(r_ibc3.tm),Arg(r_ibc3.tm),Re(r_ibc3.te),Im(r_ibc3.te),Abs(r_ibc3.te),Arg(r_ibc3.te)
+0.00000000E+00,+0.00000000E+00,+9.07931329E-01,-4.04438326E-01,+9.93936446E-01,-4.19063997E-01,+9.07931329E-01,-4.04438326E-01,+9.93936446E-01,-4.19063997E-01
+5.72967345E-01,+0.00000000E+00,+9.07913233E-01,-4.04429303E-01,+9.93916244E-01,-4.19063112E-01,+9.07940075E-01,-4.04419422E-01,+9.93936743E-01,-4.19043043E-01
+1.14599200E+00,+0.00000000E+00,+9.07858934E-01,-4.04402235E-01,+9.93855629E-01,-4.19060465E-01,+9.07966313E-01,-4.04362704E-01,+9.93937634E-01,-4.18980175E-01
+1.71913132E+00,+0.00000000E+00,+9.07768397E-01,-4.04357128E-01,+9.93754572E-01,-4.19056074E-01,+9.08010042E-01,-4.04268150E-01,+9.93939120E-01,-4.18875374E-01
+2.29244278E+00,+0.00000000E+00,+9.07641566E-01,-4.04293995E-01,+9.93613027E-01,-4.19049972E-01,+9.08071266E-01,-4.04135726E-01,+9.93941200E-01,-4.18728608E-01
+2.86598398E+00,+0.00000000E+00,+9.07478361E-01,-4.04212851E-01,+9.93430926E-01,-4.19042205E-01,+9.08149985E-01,-4.03965386E-01,+9.93943876E-01,-4.18539833E-01
+3.43981277E+00,+0.00000000E+00,+9.07278678E-01,-4.04113717E-01,+9.93208184E-01,-4.19032832E-01,+9.08246202E-01,-4.03757067E-01,+9.93947148E-01,-4.18308993E-01
+4.01398722E+00,+0.00000000E+00,+9.07042393E-01,-4.03996617E-01,+9.92944696E-01,-4.19021925E-01,+9.08359921E-01,-4.03510694E-01,+9.93951018E-01,-4.18036018E-01
+4.58856574E+00,+0.00000000E+00,+9.06769355E-01,-4.03861580E-01,+9.92640337E-01,-4.19009570E-01,+9.08491144E-01,-4.03226178E-01,+9.93955486E-01,-4.17720824E-01
+5.16360709E+00,+0.00000000E+00,+9.06459390E-01,-4.03708643E-01,+9.92294963E-01,-4.18995868E-01,+9.08639875E-01,-4.02903415E-01,+9.93960554E-01,-4.17363318E-01
+5.73917048E+00,+0.00000000E+00,+9.06112301E-01,-4.03537843E-01,+9.91908409E-01,-4.18980933E-01,+9.08806119E-01,-4.02542287E-01,+9.93966225E-01,-4.16963389E-01
+6.31531557E+00,+0.00000000E+00,+9.05727864E-01,-4.03349225E-01,+9.91480490E-01,-4.18964894E-01,+9.08989882E-01,-4.02142663E-01,+9.93972498E-01,-4.16520915E-01
+6.89210258E+00,+0.00000000E+00,+9.05305833E-01,-4.03142840E-01,+9.91010999E-01,-4.18947894E-01,+9.09191169E-01,-4.01704396E-01,+9.93979377E-01,-4.16035761E-01
+7.46959232E+00,+0.00000000E+00,+9.04845933E-01,-4.02918740E-01,+9.90499709E-01,-4.18930093E-01,+9.09409985E-01,-4.01227324E-01,+9.93986865E-01,-4.15507777E-01
+8.04784625E+00,+0.00000000E+00,+9.04347865E-01,-4.02676988E-01,+9.89946371E-01,-4.18911667E-01,+9.09646339E-01,-4.00711271E-01,+9.93994962E-01,-4.14936800E-01
+8.62692656E+00,+0.00000000E+00,+9.03811301E-01,-4.02417648E-01,+9.89350712E-01,-4.18892807E-01,+9.09900237E-01,-4.00156044E-01,+9.94003672E-01,-4.14322652E-01
+9.20689622E+00,+0.00000000E+00,+9.03235886E-01,-4.02140792E-01,+9.88712437E-01,-4.18873722E-01,+9.10171687E-01,-3.99561437E-01,+9.94012998E-01,-4.13665141E-01
