s1,s2,Re(z_ibc01p.11),Im(z_ibc01p.11),Abs(z_ibc01p.11),Arg(z_ibc01p.11),Re(z_ibc01p.21),Im(z_ibc01p.21),Abs(z_ibc01p.21),Arg(z_ibc01p.21),Re(z_ibc01p.12),Im(z_ibc01p.12),Abs(z_ibc01p.12),Arg(z_ibc01p.12),Re(z_ibc01p.22),Im(z_ibc01p.22),Abs(z_ibc01p.22),Arg(z_ibc01p.22)
+6.40000000E-01,+0.00000000E+00,+4.17704235E-02,+1.71570312E-01,+1.76581823E-01,+1.33198283E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+6.99072488E-03,+2.07392154E-01,+2.07509941E-01,+1.53710132E+00
+6.50000000E-01,+0.00000000E+00,+4.24361295E-02,+1.70842939E-01,+1.76034471E-01,+1.32733104E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+7.65643088E-03,+2.06664781E-01,+2.06806558E-01,+1.53376568E+00
+6.60000000E-01,+0.00000000E+00,+4.31121566E-02,+1.70104289E-01,+1.75482555E-01,+1.32257753E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+8.33245791E-03,+2.05926131E-01,+2.06094641E-01,+1.53035505E+00
+6.70000000E-01,+0.00000000E+00,+4.37985046E-02,+1.69354362E-01,+1.74926296E-01,+1.31772088E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+9.01880595E-03,+2.05176203E-01,+2.05374325E-01,+1.52686821E+00
+6.80000000E-01,+0.00000000E+00,+4.44951737E-02,+1.68593158E-01,+1.74365918E-01,+1.31275963E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+9.71547503E-03,+2.04414999E-01,+2.04645748E-01,+1.52330388E+00
+6.90000000E-01,+0.00000000E+00,+4.52021638E-02,+1.67820676E-01,+1.73801654E-01,+1.30769229E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+1.04224651E-02,+2.03642518E-01,+2.03909055E-01,+1.51966074E+00
+7.00000000E-01,+0.00000000E+00,+4.59194749E-02,+1.67036918E-01,+1.73233744E-01,+1.30251738E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+1.11397762E-02,+2.02858759E-01,+2.03164394E-01,+1.51593747E+00
+7.10000000E-01,+0.00000000E+00,+4.66471070E-02,+1.66241882E-01,+1.72662434E-01,+1.29723337E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+1.18674084E-02,+2.02063724E-01,+2.02411916E-01,+1.51213270E+00
+7.20000000E-01,+0.00000000E+00,+4.73850602E-02,+1.65435570E-01,+1.72087976E-01,+1.29183873E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+1.26053615E-02,+2.01257411E-01,+2.01651781E-01,+1.50824501E+00
+7.30000000E-01,+0.00000000E+00,+4.81333344E-02,+1.64617980E-01,+1.71510633E-01,+1.28633190E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+1.33536357E-02,+2.00439821E-01,+2.00884150E-01,+1.50427296E+00
+7.40000000E-01,+0.00000000E+00,+4.88919296E-02,+1.63789113E-01,+1.70930671E-01,+1.28071132E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+1.41122309E-02,+1.99610955E-01,+2.00109191E-01,+1.50021509E+00
+7.50000000E-01,+0.00000000E+00,+4.96608458E-02,+1.62948969E-01,+1.70348367E-01,+1.27497539E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+1.48811472E-02,+1.98770811E-01,+1.99327077E-01,+1.49606987E+00
+7.60000000E-01,+0.00000000E+00,+5.04400831E-02,+1.62097548E-01,+1.69764004E-01,+1.26912253E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+1.56603844E-02,+1.97919390E-01,+1.98537987E-01,+1.49183577E+00
+7.70000000E-01,+0.00000000E+00,+5.12296414E-02,+1.61234850E-01,+1.69177874E-01,+1.26315111E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+1.64499427E-02,+1.97056691E-01,+1.97742105E-01,+1.48751120E+00
+7.80000000E-01,+0.00000000E+00,+5.20295207E-02,+1.60360875E-01,+1.68590276E-01,+1.25705951E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+1.72498220E-02,+1.96182716E-01,+1.96939621E-01,+1.48309455E+00
+7.90000000E-01,+0.00000000E+00,+5.28397210E-02,+1.59475622E-01,+1.68001518E-01,+1.25084611E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+1.80600223E-02,+1.95297464E-01,+1.96130731E-01,+1.47858415E+00
+8.00000000E-01,+0.00000000E+00,+5.36602423E-02,+1.58579093E-01,+1.67411918E-01,+1.24450926E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+1.88805437E-02,+1.94400934E-01,+1.95315637E-01,+1.47397831E+00
+8.10000000E-01,+0.00000000E+00,+5.44910847E-02,+1.57671286E-01,+1.66821800E-01,+1.23804733E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+1.97113861E-02,+1.93493128E-01,+1.94494548E-01,+1.46927530E+00
+8.20000000E-01,+0.00000000E+00,+5.53322481E-02,+1.56752203E-01,+1.66231497E-01,+1.23145866E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+2.05525495E-02,+1.92574044E-01,+1.93667679E-01,+1.46447335E+00
+8.30000000E-01,+0.00000000E+00,+5.61837325E-02,+1.55821842E-01,+1.65641354E-01,+1.22474162E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+2.14040339E-02,+1.91643683E-01,+1.92835251E-01,+1.45957066E+00
+8.40000000E-01,+0.00000000E+00,+5.70455380E-02,+1.54880204E-01,+1.65051722E-01,+1.21789457E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+2.22658393E-02,+1.90702046E-01,+1.91997494E-01,+1.45456537E+00
+8.50000000E-01,+0.00000000E+00,+5.79176644E-02,+1.53927289E-01,+1.64462963E-01,+1.21091586E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+2.31379658E-02,+1.89749131E-01,+1.91154644E-01,+1.44945561E+00
+8.60000000E-01,+0.00000000E+00,+5.88001119E-02,+1.52963097E-01,+1.63875447E-01,+1.20380388E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+2.40204133E-02,+1.88784939E-01,+1.90306945E-01,+1.44423944E+00
+8.70000000E-01,+0.00000000E+00,+5.96928804E-02,+1.51987628E-01,+1.63289556E-01,+1.19655702E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+2.49131818E-02,+1.87809469E-01,+1.89454647E-01,+1.43891491E+00
+8.80000000E-01,+0.00000000E+00,+6.05959700E-02,+1.51000881E-01,+1.62705678E-01,+1.18917366E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+2.58162713E-02,+1.86822723E-01,+1.88598011E-01,+1.43348003E+00
+8.90000000E-01,+0.00000000E+00,+6.15093805E-02,+1.50002858E-01,+1.62124216E-01,+1.18165225E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+2.67296819E-02,+1.85824700E-01,+1.87737303E-01,+1.42793274E+00
+9.00000000E-01,+0.00000000E+00,+6.24331121E-02,+1.48993558E-01,+1.61545578E-01,+1.17399122E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+2.76534135E-02,+1.84815399E-01,+1.86872799E-01,+1.42227098E+00
+9.10000000E-01,+0.00000000E+00,+6.33671647E-02,+1.47972980E-01,+1.60970185E-01,+1.16618905E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+2.85874661E-02,+1.83794822E-01,+1.86004784E-01,+1.41649264E+00
+9.20000000E-01,+0.00000000E+00,+6.43115383E-02,+1.46941125E-01,+1.60398467E-01,+1.15824426E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+2.95318397E-02,+1.82762967E-01,+1.85133551E-01,+1.41059555E+00
+9.30000000E-01,+0.00000000E+00,+6.52662330E-02,+1.45897994E-01,+1.59830866E-01,+1.15015538E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+3.04865343E-02,+1.81719835E-01,+1.84259402E-01,+1.40457755E+00
+9.40000000E-01,+0.00000000E+00,+6.62312487E-02,+1.44843585E-01,+1.59267832E-01,+1.14192100E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+3.14515500E-02,+1.80665426E-01,+1.83382650E-01,+1.39843641E+00
+9.50000000E-01,+0.00000000E+00,+6.72065854E-02,+1.43777899E-01,+1.58709827E-01,+1.13353977E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+3.24268867E-02,+1.79599740E-01,+1.82503616E-01,+1.39216987E+00
+9.60000000E-01,+0.00000000E+00,+6.81922431E-02,+1.42700936E-01,+1.58157324E-01,+1.12501038E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+3.34125444E-02,+1.78522777E-01,+1.81622631E-01,+1.38577565E+00
+9.70000000E-01,+0.00000000E+00,+6.91882218E-02,+1.41612696E-01,+1.57610804E-01,+1.11633157E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+3.44085232E-02,+1.77434537E-01,+1.80740038E-01,+1.37925143E+00
+9.80000000E-01,+0.00000000E+00,+7.01945216E-02,+1.40513178E-01,+1.57070762E-01,+1.10750216E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+3.54148229E-02,+1.76335020E-01,+1.79856190E-01,+1.37259485E+00
+9.90000000E-01,+0.00000000E+00,+7.12111424E-02,+1.39402384E-01,+1.56537700E-01,+1.09852104E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+3.64314437E-02,+1.75224226E-01,+1.78971448E-01,+1.36580355E+00
+1.00000000E+00,+0.00000000E+00,+7.22380842E-02,+1.38280313E-01,+1.56012133E-01,+1.08938717E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+3.74583856E-02,+1.74102154E-01,+1.78086189E-01,+1.35887511E+00
