theta1,theta_2,Re(r_ibc1.tm),Im(r_ibc1.tm),Abs(r_ibc1.tm),Arg(r_ibc1.tm),Re(r_ibc1.te),Im(r_ibc1.te),Abs(r_ibc1.te),Arg(r_ibc1.te)
+1.74576031E+01,+0.00000000E+00,+8.94327467E-01,-4.05700558E-01,+9.82046109E-01,-4.25874829E-01,+9.10213390E-01,-3.72598504E-01,+9.83523289E-01,-3.88543141E-01
+1.80592305E+01,+0.00000000E+00,+8.93681981E-01,-4.06829703E-01,+9.81925603E-01,-4.27193614E-01,+9.10702683E-01,-3.71376173E-01,+9.83513924E-01,-3.87204486E-01
+1.86629249E+01,+0.00000000E+00,+8.93006750E-01,-4.08005251E-01,+9.81799033E-01,-4.28568300E-01,+9.11207955E-01,-3.70107839E-01,+9.83503813E-01,-3.85816359E-01
+1.92687755E+01,+0.00000000E+00,+8.92300762E-01,-4.09228232E-01,+9.81666133E-01,-4.30000318E-01,+9.11729188E-01,-3.68792854E-01,+9.83492898E-01,-3.84378147E-01
+1.98768741E+01,+0.00000000E+00,+8.91562941E-01,-4.10499729E-01,+9.81526620E-01,-4.31491183E-01,+9.12266362E-01,-3.67430536E-01,+9.83481120E-01,-3.82889208E-01
+2.04873151E+01,+0.00000000E+00,+8.90792138E-01,-4.11820880E-01,+9.81380186E-01,-4.33042497E-01,+9.12819455E-01,-3.66020169E-01,+9.83468414E-01,-3.81348865E-01
+2.11001960E+01,+0.00000000E+00,+8.89987129E-01,-4.13192882E-01,+9.81226502E-01,-4.34655954E-01,+9.13388442E-01,-3.64560995E-01,+9.83454709E-01,-3.79756403E-01
+2.17156173E+01,+0.00000000E+00,+8.89146610E-01,-4.14616993E-01,+9.81065210E-01,-4.36333347E-01,+9.13973292E-01,-3.63052220E-01,+9.83439928E-01,-3.78111073E-01
+2.23336827E+01,+0.00000000E+00,+8.88269189E-01,-4.16094535E-01,+9.80895924E-01,-4.38076572E-01,+9.14573972E-01,-3.61493006E-01,+9.83423990E-01,-3.76412083E-01
+2.29544994E+01,+0.00000000E+00,+8.87353381E-01,-4.17626895E-01,+9.80718230E-01,-4.39887637E-01,+9.15190444E-01,-3.59882472E-01,+9.83406804E-01,-3.74658600E-01
+2.35781785E+01,+0.00000000E+00,+8.86397599E-01,-4.19215530E-01,+9.80531674E-01,-4.41768663E-01,+9.15822664E-01,-3.58219690E-01,+9.83388274E-01,-3.72849748E-01
+2.42048348E+01,+0.00000000E+00,+8.85400148E-01,-4.20861970E-01,+9.80335769E-01,-4.43721899E-01,+9.16470582E-01,-3.56503682E-01,+9.83368295E-01,-3.70984601E-01
+2.48345875E+01,+0.00000000E+00,+8.84359217E-01,-4.22567818E-01,+9.80129984E-01,-4.45749723E-01,+9.17134144E-01,-3.54733415E-01,+9.83346752E-01,-3.69062185E-01
+2.54675601E+01,+0.00000000E+00,+8.83272867E-01,-4.24334757E-01,+9.79913743E-01,-4.47854655E-01,+9.17813286E-01,-3.52907802E-01,+9.83323520E-01,-3.67081472E-01
+2.61038811E+01,+0.00000000E+00,+8.82139022E-01,-4.26164552E-01,+9.79686419E-01,-4.50039364E-01,+9.18507937E-01,-3.51025696E-01,+9.83298464E-01,-3.65041375E-01
