s1,s2,Re(z_ex.tm),Im(z_ex.tm),Abs(z_ex.tm),Arg(z_ex.tm),Re(z_ex.te),Im(z_ex.te),Abs(z_ex.te),Arg(z_ex.te)
+2.40000000E-02,+0.00000000E+00,+3.23872712E-03,+2.12587240E-01,+2.12611910E-01,+1.55556269E+00,+3.17839948E-03,+2.12649399E-01,+2.12673151E-01,+1.55585077E+00
+2.50000000E-02,+0.00000000E+00,+3.24385354E-03,+2.12581797E-01,+2.12606545E-01,+1.55553819E+00,+3.17839390E-03,+2.12649243E-01,+2.12672995E-01,+1.55585079E+00
+2.60000000E-02,+0.00000000E+00,+3.24918920E-03,+2.12576131E-01,+2.12600962E-01,+1.55551269E+00,+3.17838810E-03,+2.12649081E-01,+2.12672833E-01,+1.55585081E+00
+2.70000000E-02,+0.00000000E+00,+3.25473409E-03,+2.12570244E-01,+2.12595159E-01,+1.55548619E+00,+3.17838208E-03,+2.12648913E-01,+2.12672664E-01,+1.55585082E+00
+2.80000000E-02,+0.00000000E+00,+3.26048820E-03,+2.12564134E-01,+2.12589138E-01,+1.55545869E+00,+3.17837582E-03,+2.12648738E-01,+2.12672490E-01,+1.55585084E+00
+2.90000000E-02,+0.00000000E+00,+3.26645155E-03,+2.12557802E-01,+2.12582899E-01,+1.55543018E+00,+3.17836934E-03,+2.12648557E-01,+2.12672308E-01,+1.55585086E+00
+3.00000000E-02,+0.00000000E+00,+3.27262413E-03,+2.12551247E-01,+2.12576440E-01,+1.55540067E+00,+3.17836263E-03,+2.12648370E-01,+2.12672121E-01,+1.55585087E+00
+3.10000000E-02,+0.00000000E+00,+3.27900594E-03,+2.12544471E-01,+2.12569763E-01,+1.55537016E+00,+3.17835569E-03,+2.12648176E-01,+2.12671927E-01,+1.55585089E+00
+3.20000000E-02,+0.00000000E+00,+3.28559698E-03,+2.12537473E-01,+2.12562867E-01,+1.55533865E+00,+3.17834853E-03,+2.12647976E-01,+2.12671727E-01,+1.55585091E+00
+3.30000000E-02,+0.00000000E+00,+3.29239724E-03,+2.12530252E-01,+2.12555752E-01,+1.55530614E+00,+3.17834114E-03,+2.12647769E-01,+2.12671520E-01,+1.55585093E+00
+3.40000000E-02,+0.00000000E+00,+3.29940673E-03,+2.12522809E-01,+2.12548419E-01,+1.55527262E+00,+3.17833352E-03,+2.12647556E-01,+2.12671308E-01,+1.55585095E+00
+3.50000000E-02,+0.00000000E+00,+3.30662544E-03,+2.12515144E-01,+2.12540867E-01,+1.55523810E+00,+3.17832567E-03,+2.12647337E-01,+2.12671088E-01,+1.55585098E+00
+3.60000000E-02,+0.00000000E+00,+3.31405338E-03,+2.12507257E-01,+2.12533097E-01,+1.55520258E+00,+3.17831760E-03,+2.12647112E-01,+2.12670863E-01,+1.55585100E+00
+3.70000000E-02,+0.00000000E+00,+3.32169053E-03,+2.12499148E-01,+2.12525107E-01,+1.55516605E+00,+3.17830930E-03,+2.12646880E-01,+2.12670631E-01,+1.55585102E+00
+3.80000000E-02,+0.00000000E+00,+3.32953691E-03,+2.12490816E-01,+2.12516900E-01,+1.55512852E+00,+3.17830077E-03,+2.12646642E-01,+2.12670392E-01,+1.55585104E+00
+3.90000000E-02,+0.00000000E+00,+3.33759251E-03,+2.12482262E-01,+2.12508474E-01,+1.55508999E+00,+3.17829201E-03,+2.12646397E-01,+2.12670148E-01,+1.55585107E+00
+4.00000000E-02,+0.00000000E+00,+3.34585732E-03,+2.12473487E-01,+2.12499829E-01,+1.55505045E+00,+3.17828303E-03,+2.12646146E-01,+2.12669897E-01,+1.55585109E+00
+4.10000000E-02,+0.00000000E+00,+3.35433135E-03,+2.12464489E-01,+2.12490966E-01,+1.55500991E+00,+3.17827382E-03,+2.12645889E-01,+2.12669639E-01,+1.55585112E+00
+4.20000000E-02,+0.00000000E+00,+3.36301459E-03,+2.12455269E-01,+2.12481884E-01,+1.55496837E+00,+3.17826438E-03,+2.12645625E-01,+2.12669376E-01,+1.55585114E+00
+4.30000000E-02,+0.00000000E+00,+3.37190705E-03,+2.12445826E-01,+2.12472584E-01,+1.55492582E+00,+3.17825471E-03,+2.12645355E-01,+2.12669105E-01,+1.55585117E+00
