theta_1,theta_2,Re(r_ex.tm),Im(r_ex.tm),Abs(r_ex.tm),Arg(r_ex.tm),Re(r_ex.te),Im(r_ex.te),Abs(r_ex.te),Arg(r_ex.te)
+7.70079872E+00,+0.00000000E+00,+9.04651319E-01,-4.02824202E-01,+9.90283468E-01,-4.18922825E-01,+9.09502461E-01,-4.01025709E-01,+9.93990114E-01,-4.15284648E-01
+7.75861989E+00,+0.00000000E+00,+9.04601705E-01,-4.02800113E-01,+9.90228345E-01,-4.18920983E-01,+9.09526009E-01,-4.00974300E-01,+9.93990921E-01,-4.15227766E-01
+7.81644901E+00,+0.00000000E+00,+9.04551708E-01,-4.02775848E-01,+9.90172801E-01,-4.18919136E-01,+9.09549732E-01,-4.00922499E-01,+9.93991733E-01,-4.15170453E-01
+7.87428614E+00,+0.00000000E+00,+9.04501326E-01,-4.02751407E-01,+9.90116834E-01,-4.18917284E-01,+9.09573630E-01,-4.00870308E-01,+9.93992552E-01,-4.15112710E-01
+7.93213135E+00,+0.00000000E+00,+9.04450561E-01,-4.02726790E-01,+9.90060445E-01,-4.18915427E-01,+9.09597704E-01,-4.00817726E-01,+9.93993377E-01,-4.15054535E-01
+7.98998470E+00,+0.00000000E+00,+9.04399412E-01,-4.02701997E-01,+9.90003634E-01,-4.18913565E-01,+9.09621953E-01,-4.00764753E-01,+9.93994208E-01,-4.14995929E-01
+8.04784625E+00,+0.00000000E+00,+9.04347878E-01,-4.02677028E-01,+9.89946399E-01,-4.18911699E-01,+9.09646378E-01,-4.00711388E-01,+9.93995045E-01,-4.14936892E-01
+8.10571606E+00,+0.00000000E+00,+9.04295959E-01,-4.02651883E-01,+9.89888742E-01,-4.18909828E-01,+9.09670978E-01,-4.00657631E-01,+9.93995888E-01,-4.14877423E-01
+8.16359420E+00,+0.00000000E+00,+9.04243655E-01,-4.02626563E-01,+9.89830661E-01,-4.18907953E-01,+9.09695754E-01,-4.00603482E-01,+9.93996738E-01,-4.14817522E-01
+8.22148072E+00,+0.00000000E+00,+9.04190965E-01,-4.02601066E-01,+9.89772156E-01,-4.18906074E-01,+9.09720705E-01,-4.00548942E-01,+9.93997593E-01,-4.14757188E-01
+8.27937570E+00,+0.00000000E+00,+9.04137890E-01,-4.02575394E-01,+9.89713227E-01,-4.18904192E-01,+9.09745831E-01,-4.00494008E-01,+9.93998455E-01,-4.14696423E-01
+8.33727919E+00,+0.00000000E+00,+9.04084427E-01,-4.02549546E-01,+9.89653873E-01,-4.18902306E-01,+9.09771133E-01,-4.00438683E-01,+9.93999323E-01,-4.14635225E-01
+8.39519126E+00,+0.00000000E+00,+9.04030579E-01,-4.02523523E-01,+9.89594095E-01,-4.18900416E-01,+9.09796611E-01,-4.00382964E-01,+9.94000197E-01,-4.14573595E-01
+8.45311196E+00,+0.00000000E+00,+9.03976343E-01,-4.02497324E-01,+9.89533893E-01,-4.18898524E-01,+9.09822264E-01,-4.00326853E-01,+9.94001077E-01,-4.14511531E-01
+8.51104138E+00,+0.00000000E+00,+9.03921720E-01,-4.02470950E-01,+9.89473265E-01,-4.18896628E-01,+9.09848092E-01,-4.00270349E-01,+9.94001963E-01,-4.14449035E-01
+8.56897955E+00,+0.00000000E+00,+9.03866709E-01,-4.02444401E-01,+9.89412211E-01,-4.18894730E-01,+9.09874096E-01,-4.00213451E-01,+9.94002855E-01,-4.14386105E-01
+8.62692656E+00,+0.00000000E+00,+9.03811310E-01,-4.02417676E-01,+9.89350731E-01,-4.18892829E-01,+9.09900275E-01,-4.00156159E-01,+9.94003754E-01,-4.14322742E-01
+8.68488246E+00,+0.00000000E+00,+9.03755522E-01,-4.02390776E-01,+9.89288826E-01,-4.18890926E-01,+9.09926630E-01,-4.00098474E-01,+9.94004659E-01,-4.14258946E-01
+8.74284731E+00,+0.00000000E+00,+9.03699346E-01,-4.02363701E-01,+9.89226494E-01,-4.18889021E-01,+9.09953161E-01,-4.00040395E-01,+9.94005570E-01,-4.14194715E-01
+8.80082119E+00,+0.00000000E+00,+9.03642781E-01,-4.02336451E-01,+9.89163735E-01,-4.18887114E-01,+9.09979867E-01,-3.99981921E-01,+9.94006487E-01,-4.14130051E-01
+8.85880415E+00,+0.00000000E+00,+9.03585825E-01,-4.02309026E-01,+9.89100549E-01,-4.18885206E-01,+9.10006748E-01,-3.99923053E-01,+9.94007410E-01,-4.14064952E-01
+8.91679625E+00,+0.00000000E+00,+9.03528480E-01,-4.02281426E-01,+9.89036936E-01,-4.18883296E-01,+9.10033806E-01,-3.99863791E-01,+9.94008339E-01,-4.13999419E-01
+8.97479757E+00,+0.00000000E+00,+9.03470745E-01,-4.02253652E-01,+9.88972895E-01,-4.18881385E-01,+9.10061038E-01,-3.99804133E-01,+9.94009275E-01,-4.13933451E-01
+9.03280816E+00,+0.00000000E+00,+9.03412618E-01,-4.02225702E-01,+9.88908426E-01,-4.18879473E-01,+9.10088446E-01,-3.99744081E-01,+9.94010217E-01,-4.13867049E-01
+9.09082809E+00,+0.00000000E+00,+9.03354101E-01,-4.02197578E-01,+9.88843528E-01,-4.18877561E-01,+9.10116030E-01,-3.99683633E-01,+9.94011164E-01,-4.13800211E-01
+9.14885742E+00,+0.00000000E+00,+9.03295192E-01,-4.02169280E-01,+9.88778202E-01,-4.18875647E-01,+9.10143790E-01,-3.99622789E-01,+9.94012119E-01,-4.13732938E-01
+9.20689622E+00,+0.00000000E+00,+9.03235891E-01,-4.02140807E-01,+9.88712447E-01,-4.18873734E-01,+9.10171725E-01,-3.99561550E-01,+9.94013079E-01,-4.13665230E-01
+9.26494455E+00,+0.00000000E+00,+9.03176198E-01,-4.02112160E-01,+9.88646263E-01,-4.18871821E-01,+9.10199835E-01,-3.99499915E-01,+9.94014045E-01,-4.13597085E-01
+9.32300248E+00,+0.00000000E+00,+9.03116112E-01,-4.02083338E-01,+9.88579649E-01,-4.18869908E-01,+9.10228122E-01,-3.99437883E-01,+9.94015018E-01,-4.13528505E-01
+9.38107006E+00,+0.00000000E+00,+9.03055633E-01,-4.02054342E-01,+9.88512605E-01,-4.18867995E-01,+9.10256583E-01,-3.99375455E-01,+9.94015997E-01,-4.13459489E-01
+9.43914737E+00,+0.00000000E+00,+9.02994760E-01,-4.02025172E-01,+9.88445131E-01,-4.18866083E-01,+9.10285221E-01,-3.99312630E-01,+9.94016982E-01,-4.13390037E-01
+9.49723447E+00,+0.00000000E+00,+9.02933494E-01,-4.01995828E-01,+9.88377226E-01,-4.18864172E-01,+9.10314034E-01,-3.99249408E-01,+9.94017973E-01,-4.13320148E-01
+9.55533142E+00,+0.00000000E+00,+9.02871833E-01,-4.01966310E-01,+9.88308890E-01,-4.18862262E-01,+9.10343023E-01,-3.99185789E-01,+9.94018970E-01,-4.13249822E-01
+9.61343829E+00,+0.00000000E+00,+9.02809778E-01,-4.01936618E-01,+9.88240122E-01,-4.18860354E-01,+9.10372187E-01,-3.99121773E-01,+9.94019974E-01,-4.13179059E-01
+9.67155514E+00,+0.00000000E+00,+9.02747327E-01,-4.01906752E-01,+9.88170923E-01,-4.18858447E-01,+9.10401527E-01,-3.99057359E-01,+9.94020984E-01,-4.13107859E-01
+9.72968204E+00,+0.00000000E+00,+9.02684480E-01,-4.01876712E-01,+9.88101292E-01,-4.18856543E-01,+9.10431043E-01,-3.98992547E-01,+9.94022000E-01,-4.13036221E-01
+9.78781906E+00,+0.00000000E+00,+9.02621238E-01,-4.01846499E-01,+9.88031228E-01,-4.18854640E-01,+9.10460735E-01,-3.98927336E-01,+9.94023022E-01,-4.12964146E-01
+9.84596625E+00,+0.00000000E+00,+9.02557599E-01,-4.01816112E-01,+9.87960732E-01,-4.18852740E-01,+9.10490602E-01,-3.98861728E-01,+9.94024051E-01,-4.12891633E-01
+9.90412368E+00,+0.00000000E+00,+9.02493564E-01,-4.01785552E-01,+9.87889803E-01,-4.18850843E-01,+9.10520645E-01,-3.98795720E-01,+9.94025086E-01,-4.12818682E-01
+9.96229143E+00,+0.00000000E+00,+9.02429131E-01,-4.01754819E-01,+9.87818440E-01,-4.18848949E-01,+9.10550863E-01,-3.98729314E-01,+9.94026127E-01,-4.12745292E-01
+1.00204695E+01,+0.00000000E+00,+9.02364300E-01,-4.01723912E-01,+9.87746643E-01,-4.18847057E-01,+9.10581258E-01,-3.98662508E-01,+9.94027174E-01,-4.12671464E-01
+1.00786581E+01,+0.00000000E+00,+9.02299071E-01,-4.01692832E-01,+9.87674412E-01,-4.18845170E-01,+9.10611828E-01,-3.98595304E-01,+9.94028227E-01,-4.12597197E-01
+1.01368572E+01,+0.00000000E+00,+9.02233443E-01,-4.01661578E-01,+9.87601747E-01,-4.18843286E-01,+9.10642573E-01,-3.98527699E-01,+9.94029287E-01,-4.12522491E-01
+1.01950668E+01,+0.00000000E+00,+9.02167417E-01,-4.01630152E-01,+9.87528646E-01,-4.18841406E-01,+9.10673495E-01,-3.98459694E-01,+9.94030353E-01,-4.12447345E-01
+1.02532871E+01,+0.00000000E+00,+9.02100991E-01,-4.01598553E-01,+9.87455110E-01,-4.18839530E-01,+9.10704592E-01,-3.98391290E-01,+9.94031425E-01,-4.12371760E-01
+1.03115181E+01,+0.00000000E+00,+9.02034164E-01,-4.01566781E-01,+9.87381139E-01,-4.18837659E-01,+9.10735865E-01,-3.98322484E-01,+9.94032504E-01,-4.12295735E-01
+1.03697598E+01,+0.00000000E+00,+9.01966938E-01,-4.01534836E-01,+9.87306731E-01,-4.18835793E-01,+9.10767314E-01,-3.98253278E-01,+9.94033588E-01,-4.12219270E-01
+1.04280124E+01,+0.00000000E+00,+9.01899310E-01,-4.01502719E-01,+9.87231887E-01,-4.18833932E-01,+9.10798939E-01,-3.98183671E-01,+9.94034679E-01,-4.12142365E-01
+1.04862759E+01,+0.00000000E+00,+9.01831282E-01,-4.01470429E-01,+9.87156606E-01,-4.18832076E-01,+9.10830739E-01,-3.98113663E-01,+9.94035776E-01,-4.12065019E-01
+1.05445503E+01,+0.00000000E+00,+9.01762851E-01,-4.01437966E-01,+9.87080888E-01,-4.18830226E-01,+9.10862716E-01,-3.98043253E-01,+9.94036880E-01,-4.11987233E-01
+1.06028358E+01,+0.00000000E+00,+9.01694018E-01,-4.01405331E-01,+9.87004733E-01,-4.18828382E-01,+9.10894868E-01,-3.97972442E-01,+9.94037990E-01,-4.11909005E-01
+1.06611324E+01,+0.00000000E+00,+9.01624783E-01,-4.01372524E-01,+9.86928139E-01,-4.18826544E-01,+9.10927196E-01,-3.97901228E-01,+9.94039106E-01,-4.11830336E-01
+1.07194402E+01,+0.00000000E+00,+9.01555144E-01,-4.01339545E-01,+9.86851107E-01,-4.18824712E-01,+9.10959699E-01,-3.97829612E-01,+9.94040228E-01,-4.11751226E-01
+1.07777591E+01,+0.00000000E+00,+9.01485101E-01,-4.01306394E-01,+9.86773636E-01,-4.18822887E-01,+9.10992379E-01,-3.97757594E-01,+9.94041356E-01,-4.11671673E-01
+1.08360894E+01,+0.00000000E+00,+9.01414655E-01,-4.01273071E-01,+9.86695726E-01,-4.18821070E-01,+9.11025235E-01,-3.97685172E-01,+9.94042491E-01,-4.11591679E-01
+1.08944311E+01,+0.00000000E+00,+9.01343803E-01,-4.01239575E-01,+9.86617377E-01,-4.18819259E-01,+9.11058266E-01,-3.97612348E-01,+9.94043632E-01,-4.11511243E-01
+1.09527842E+01,+0.00000000E+00,+9.01272547E-01,-4.01205908E-01,+9.86538587E-01,-4.18817457E-01,+9.11091473E-01,-3.97539120E-01,+9.94044780E-01,-4.11430363E-01
+1.10111488E+01,+0.00000000E+00,+9.01200885E-01,-4.01172070E-01,+9.86459358E-01,-4.18815662E-01,+9.11124856E-01,-3.97465488E-01,+9.94045933E-01,-4.11349041E-01
+1.10695250E+01,+0.00000000E+00,+9.01128816E-01,-4.01138059E-01,+9.86379687E-01,-4.18813875E-01,+9.11158415E-01,-3.97391452E-01,+9.94047094E-01,-4.11267276E-01
+1.11279128E+01,+0.00000000E+00,+9.01056342E-01,-4.01103878E-01,+9.86299575E-01,-4.18812098E-01,+9.11192150E-01,-3.97317012E-01,+9.94048260E-01,-4.11185068E-01
+1.11863123E+01,+0.00000000E+00,+9.00983460E-01,-4.01069525E-01,+9.86219021E-01,-4.18810328E-01,+9.11226061E-01,-3.97242167E-01,+9.94049432E-01,-4.11102416E-01
+1.12447236E+01,+0.00000000E+00,+9.00910170E-01,-4.01035000E-01,+9.86138026E-01,-4.18808568E-01,+9.11260148E-01,-3.97166918E-01,+9.94050611E-01,-4.11019320E-01
+1.13031467E+01,+0.00000000E+00,+9.00836472E-01,-4.01000305E-01,+9.86056588E-01,-4.18806818E-01,+9.11294411E-01,-3.97091263E-01,+9.94051797E-01,-4.10935780E-01
+1.13615818E+01,+0.00000000E+00,+9.00762366E-01,-4.00965438E-01,+9.85974707E-01,-4.18805077E-01,+9.11328849E-01,-3.97015203E-01,+9.94052988E-01,-4.10851795E-01
+1.14200288E+01,+0.00000000E+00,+9.00687850E-01,-4.00930400E-01,+9.85892382E-01,-4.18803346E-01,+9.11363464E-01,-3.96938737E-01,+9.94054186E-01,-4.10767366E-01
+1.14784879E+01,+0.00000000E+00,+9.00612925E-01,-4.00895192E-01,+9.85809614E-01,-4.18801626E-01,+9.11398255E-01,-3.96861865E-01,+9.94055390E-01,-4.10682492E-01
+1.15369590E+01,+0.00000000E+00,+9.00537590E-01,-4.00859813E-01,+9.85726402E-01,-4.18799916E-01,+9.11433222E-01,-3.96784587E-01,+9.94056601E-01,-4.10597172E-01
+1.15954424E+01,+0.00000000E+00,+9.00461844E-01,-4.00824263E-01,+9.85642745E-01,-4.18798218E-01,+9.11468364E-01,-3.96706902E-01,+9.94057818E-01,-4.10511407E-01
+1.16539380E+01,+0.00000000E+00,+9.00385686E-01,-4.00788543E-01,+9.85558644E-01,-4.18796530E-01,+9.11503683E-01,-3.96628810E-01,+9.94059041E-01,-4.10425196E-01
+1.17124459E+01,+0.00000000E+00,+9.00309117E-01,-4.00752652E-01,+9.85474096E-01,-4.18794855E-01,+9.11539178E-01,-3.96550311E-01,+9.94060271E-01,-4.10338540E-01
+1.17709663E+01,+0.00000000E+00,+9.00232136E-01,-4.00716591E-01,+9.85389103E-01,-4.18793191E-01,+9.11574848E-01,-3.96471405E-01,+9.94061507E-01,-4.10251436E-01
+1.18294990E+01,+0.00000000E+00,+9.00154742E-01,-4.00680359E-01,+9.85303663E-01,-4.18791539E-01,+9.11610695E-01,-3.96392090E-01,+9.94062749E-01,-4.10163886E-01
+1.18880444E+01,+0.00000000E+00,+9.00076934E-01,-4.00643958E-01,+9.85217777E-01,-4.18789900E-01,+9.11646718E-01,-3.96312367E-01,+9.94063997E-01,-4.10075889E-01
+1.19466023E+01,+0.00000000E+00,+8.99998712E-01,-4.00607387E-01,+9.85131443E-01,-4.18788274E-01,+9.11682917E-01,-3.96232236E-01,+9.94065252E-01,-4.09987445E-01
+1.20051728E+01,+0.00000000E+00,+8.99920076E-01,-4.00570645E-01,+9.85044662E-01,-4.18786662E-01,+9.11719292E-01,-3.96151696E-01,+9.94066514E-01,-4.09898554E-01
+1.20637561E+01,+0.00000000E+00,+8.99841025E-01,-4.00533734E-01,+9.84957432E-01,-4.18785063E-01,+9.11755843E-01,-3.96070747E-01,+9.94067782E-01,-4.09809214E-01
+1.21223522E+01,+0.00000000E+00,+8.99761559E-01,-4.00496654E-01,+9.84869754E-01,-4.18783478E-01,+9.11792570E-01,-3.95989389E-01,+9.94069056E-01,-4.09719427E-01
+1.21809612E+01,+0.00000000E+00,+8.99681676E-01,-4.00459403E-01,+9.84781627E-01,-4.18781907E-01,+9.11829474E-01,-3.95907621E-01,+9.94070336E-01,-4.09629191E-01
+1.22395832E+01,+0.00000000E+00,+8.99601377E-01,-4.00421984E-01,+9.84693050E-01,-4.18780351E-01,+9.11866553E-01,-3.95825443E-01,+9.94071623E-01,-4.09538506E-01
+1.22982181E+01,+0.00000000E+00,+8.99520660E-01,-4.00384395E-01,+9.84604023E-01,-4.18778809E-01,+9.11903809E-01,-3.95742854E-01,+9.94072916E-01,-4.09447372E-01
+1.23568661E+01,+0.00000000E+00,+8.99439526E-01,-4.00346637E-01,+9.84514545E-01,-4.18777283E-01,+9.11941240E-01,-3.95659855E-01,+9.94074216E-01,-4.09355789E-01
+1.24155273E+01,+0.00000000E+00,+8.99357973E-01,-4.00308710E-01,+9.84424617E-01,-4.18775773E-01,+9.11978848E-01,-3.95576445E-01,+9.94075522E-01,-4.09263757E-01
+1.24742017E+01,+0.00000000E+00,+8.99276001E-01,-4.00270614E-01,+9.84334237E-01,-4.18774279E-01,+9.12016632E-01,-3.95492623E-01,+9.94076834E-01,-4.09171274E-01
+1.25328894E+01,+0.00000000E+00,+8.99193610E-01,-4.00232349E-01,+9.84243405E-01,-4.18772801E-01,+9.12054593E-01,-3.95408390E-01,+9.94078153E-01,-4.09078342E-01
+1.25915905E+01,+0.00000000E+00,+8.99110798E-01,-4.00193915E-01,+9.84152121E-01,-4.18771340E-01,+9.12092729E-01,-3.95323745E-01,+9.94079478E-01,-4.08984958E-01
+1.26503050E+01,+0.00000000E+00,+8.99027566E-01,-4.00155313E-01,+9.84060384E-01,-4.18769896E-01,+9.12131042E-01,-3.95238687E-01,+9.94080810E-01,-4.08891124E-01
+1.27090330E+01,+0.00000000E+00,+8.98943912E-01,-4.00116542E-01,+9.83968193E-01,-4.18768469E-01,+9.12169531E-01,-3.95153217E-01,+9.94082148E-01,-4.08796839E-01
+1.27677746E+01,+0.00000000E+00,+8.98859837E-01,-4.00077604E-01,+9.83875549E-01,-4.18767060E-01,+9.12208196E-01,-3.95067334E-01,+9.94083493E-01,-4.08702103E-01
+1.28265298E+01,+0.00000000E+00,+8.98775339E-01,-4.00038496E-01,+9.83782450E-01,-4.18765669E-01,+9.12247037E-01,-3.94981037E-01,+9.94084844E-01,-4.08606914E-01
+1.28852988E+01,+0.00000000E+00,+8.98690418E-01,-3.99999221E-01,+9.83688896E-01,-4.18764297E-01,+9.12286055E-01,-3.94894327E-01,+9.94086201E-01,-4.08511274E-01
+1.29440815E+01,+0.00000000E+00,+8.98605073E-01,-3.99959778E-01,+9.83594887E-01,-4.18762944E-01,+9.12325249E-01,-3.94807202E-01,+9.94087565E-01,-4.08415181E-01
+1.30028782E+01,+0.00000000E+00,+8.98519304E-01,-3.99920167E-01,+9.83500422E-01,-4.18761610E-01,+9.12364619E-01,-3.94719664E-01,+9.94088935E-01,-4.08318636E-01
+1.30616887E+01,+0.00000000E+00,+8.98433110E-01,-3.99880388E-01,+9.83405500E-01,-4.18760295E-01,+9.12404166E-01,-3.94631710E-01,+9.94090312E-01,-4.08221637E-01
+1.31205133E+01,+0.00000000E+00,+8.98346490E-01,-3.99840442E-01,+9.83310122E-01,-4.18759001E-01,+9.12443888E-01,-3.94543342E-01,+9.94091695E-01,-4.08124185E-01
+1.31793519E+01,+0.00000000E+00,+8.98259445E-01,-3.99800328E-01,+9.83214286E-01,-4.18757727E-01,+9.12483788E-01,-3.94454558E-01,+9.94093085E-01,-4.08026280E-01
+1.32382047E+01,+0.00000000E+00,+8.98171972E-01,-3.99760047E-01,+9.83117992E-01,-4.18756474E-01,+9.12523863E-01,-3.94365359E-01,+9.94094481E-01,-4.07927920E-01
+1.32970717E+01,+0.00000000E+00,+8.98084072E-01,-3.99719598E-01,+9.83021240E-01,-4.18755242E-01,+9.12564115E-01,-3.94275743E-01,+9.94095883E-01,-4.07829106E-01
+1.33559531E+01,+0.00000000E+00,+8.97995745E-01,-3.99678983E-01,+9.82924029E-01,-4.18754031E-01,+9.12604543E-01,-3.94185711E-01,+9.94097292E-01,-4.07729838E-01
+1.34148488E+01,+0.00000000E+00,+8.97906988E-01,-3.99638201E-01,+9.82826358E-01,-4.18752842E-01,+9.12645148E-01,-3.94095262E-01,+9.94098708E-01,-4.07630114E-01
+1.34737589E+01,+0.00000000E+00,+8.97817802E-01,-3.99597252E-01,+9.82728228E-01,-4.18751676E-01,+9.12685929E-01,-3.94004396E-01,+9.94100130E-01,-4.07529935E-01
+1.35326835E+01,+0.00000000E+00,+8.97728186E-01,-3.99556136E-01,+9.82629636E-01,-4.18750533E-01,+9.12726886E-01,-3.93913112E-01,+9.94101558E-01,-4.07429301E-01
+1.35916228E+01,+0.00000000E+00,+8.97638140E-01,-3.99514854E-01,+9.82530584E-01,-4.18749412E-01,+9.12768020E-01,-3.93821410E-01,+9.94102993E-01,-4.07328210E-01
+1.36505767E+01,+0.00000000E+00,+8.97547662E-01,-3.99473405E-01,+9.82431070E-01,-4.18748316E-01,+9.12809330E-01,-3.93729290E-01,+9.94104435E-01,-4.07226663E-01
+1.37095453E+01,+0.00000000E+00,+8.97456752E-01,-3.99431790E-01,+9.82331094E-01,-4.18747243E-01,+9.12850817E-01,-3.93636752E-01,+9.94105883E-01,-4.07124660E-01
+1.37685288E+01,+0.00000000E+00,+8.97365410E-01,-3.99390009E-01,+9.82230655E-01,-4.18746194E-01,+9.12892480E-01,-3.93543794E-01,+9.94107337E-01,-4.07022199E-01
+1.38275271E+01,+0.00000000E+00,+8.97273635E-01,-3.99348062E-01,+9.82129752E-01,-4.18745170E-01,+9.12934320E-01,-3.93450417E-01,+9.94108798E-01,-4.06919281E-01
+1.38865404E+01,+0.00000000E+00,+8.97181425E-01,-3.99305949E-01,+9.82028386E-01,-4.18744172E-01,+9.12976336E-01,-3.93356621E-01,+9.94110266E-01,-4.06815905E-01
+1.39455687E+01,+0.00000000E+00,+8.97088782E-01,-3.99263670E-01,+9.81926556E-01,-4.18743199E-01,+9.13018528E-01,-3.93262404E-01,+9.94111740E-01,-4.06712071E-01
+1.40046121E+01,+0.00000000E+00,+8.96995702E-01,-3.99221226E-01,+9.81824260E-01,-4.18742252E-01,+9.13060897E-01,-3.93167767E-01,+9.94113220E-01,-4.06607779E-01
+1.40636707E+01,+0.00000000E+00,+8.96902187E-01,-3.99178617E-01,+9.81721499E-01,-4.18741331E-01,+9.13103443E-01,-3.93072708E-01,+9.94114707E-01,-4.06503028E-01
+1.41227445E+01,+0.00000000E+00,+8.96808236E-01,-3.99135842E-01,+9.81618272E-01,-4.18740437E-01,+9.13146165E-01,-3.92977229E-01,+9.94116201E-01,-4.06397818E-01
+1.41818337E+01,+0.00000000E+00,+8.96713847E-01,-3.99092902E-01,+9.81514578E-01,-4.18739571E-01,+9.13189064E-01,-3.92881328E-01,+9.94117701E-01,-4.06292148E-01
+1.42409383E+01,+0.00000000E+00,+8.96619020E-01,-3.99049797E-01,+9.81410417E-01,-4.18738732E-01,+9.13232139E-01,-3.92785005E-01,+9.94119208E-01,-4.06186019E-01
+1.43000584E+01,+0.00000000E+00,+8.96523754E-01,-3.99006527E-01,+9.81305789E-01,-4.18737921E-01,+9.13275391E-01,-3.92688259E-01,+9.94120721E-01,-4.06079429E-01
+1.43591940E+01,+0.00000000E+00,+8.96428049E-01,-3.98963093E-01,+9.81200691E-01,-4.18737139E-01,+9.13318819E-01,-3.92591091E-01,+9.94122241E-01,-4.05972379E-01
+1.44183452E+01,+0.00000000E+00,+8.96331904E-01,-3.98919493E-01,+9.81095125E-01,-4.18736385E-01,+9.13362425E-01,-3.92493499E-01,+9.94123768E-01,-4.05864868E-01
+1.44775122E+01,+0.00000000E+00,+8.96235319E-01,-3.98875730E-01,+9.80989090E-01,-4.18735662E-01,+9.13406206E-01,-3.92395484E-01,+9.94125301E-01,-4.05756895E-01
+1.45366949E+01,+0.00000000E+00,+8.96138291E-01,-3.98831802E-01,+9.80882584E-01,-4.18734968E-01,+9.13450165E-01,-3.92297045E-01,+9.94126840E-01,-4.05648461E-01
+1.45958935E+01,+0.00000000E+00,+8.96040822E-01,-3.98787710E-01,+9.80775607E-01,-4.18734304E-01,+9.13494299E-01,-3.92198181E-01,+9.94128386E-01,-4.05539565E-01
+1.46551080E+01,+0.00000000E+00,+8.95942909E-01,-3.98743455E-01,+9.80668160E-01,-4.18733671E-01,+9.13538611E-01,-3.92098893E-01,+9.94129939E-01,-4.05430207E-01
+1.47143385E+01,+0.00000000E+00,+8.95844553E-01,-3.98699035E-01,+9.80560240E-01,-4.18733069E-01,+9.13583099E-01,-3.91999179E-01,+9.94131498E-01,-4.05320385E-01
+1.47735852E+01,+0.00000000E+00,+8.95745753E-01,-3.98654452E-01,+9.80451848E-01,-4.18732499E-01,+9.13627764E-01,-3.91899040E-01,+9.94133064E-01,-4.05210101E-01
+1.48328479E+01,+0.00000000E+00,+8.95646507E-01,-3.98609705E-01,+9.80342982E-01,-4.18731962E-01,+9.13672606E-01,-3.91798475E-01,+9.94134637E-01,-4.05099353E-01
+1.48921269E+01,+0.00000000E+00,+8.95546816E-01,-3.98564795E-01,+9.80233643E-01,-4.18731456E-01,+9.13717625E-01,-3.91697483E-01,+9.94136216E-01,-4.04988141E-01
+1.49514222E+01,+0.00000000E+00,+8.95446678E-01,-3.98519722E-01,+9.80123830E-01,-4.18730984E-01,+9.13762820E-01,-3.91596065E-01,+9.94137802E-01,-4.04876464E-01
+1.50107340E+01,+0.00000000E+00,+8.95346092E-01,-3.98474486E-01,+9.80013541E-01,-4.18730545E-01,+9.13808192E-01,-3.91494219E-01,+9.94139394E-01,-4.04764323E-01
+1.50700621E+01,+0.00000000E+00,+8.95245059E-01,-3.98429086E-01,+9.79902777E-01,-4.18730141E-01,+9.13853740E-01,-3.91391946E-01,+9.94140993E-01,-4.04651717E-01
+1.51294069E+01,+0.00000000E+00,+8.95143577E-01,-3.98383525E-01,+9.79791537E-01,-4.18729770E-01,+9.13899466E-01,-3.91289245E-01,+9.94142599E-01,-4.04538646E-01
+1.51887682E+01,+0.00000000E+00,+8.95041645E-01,-3.98337800E-01,+9.79679820E-01,-4.18729435E-01,+9.13945368E-01,-3.91186115E-01,+9.94144211E-01,-4.04425109E-01
+1.52481463E+01,+0.00000000E+00,+8.94939263E-01,-3.98291913E-01,+9.79567625E-01,-4.18729135E-01,+9.13991447E-01,-3.91082556E-01,+9.94145830E-01,-4.04311105E-01
+1.53075411E+01,+0.00000000E+00,+8.94836429E-01,-3.98245864E-01,+9.79454952E-01,-4.18728871E-01,+9.14037703E-01,-3.90978568E-01,+9.94147456E-01,-4.04196635E-01
+1.53669528E+01,+0.00000000E+00,+8.94733144E-01,-3.98199653E-01,+9.79341801E-01,-4.18728643E-01,+9.14084136E-01,-3.90874151E-01,+9.94149088E-01,-4.04081698E-01
+1.54263814E+01,+0.00000000E+00,+8.94629406E-01,-3.98153280E-01,+9.79228170E-01,-4.18728452E-01,+9.14130745E-01,-3.90769303E-01,+9.94150727E-01,-4.03966293E-01
+1.54858271E+01,+0.00000000E+00,+8.94525215E-01,-3.98106746E-01,+9.79114059E-01,-4.18728299E-01,+9.14177532E-01,-3.90664024E-01,+9.94152372E-01,-4.03850420E-01
+1.55452898E+01,+0.00000000E+00,+8.94420569E-01,-3.98060049E-01,+9.78999467E-01,-4.18728183E-01,+9.14224495E-01,-3.90558314E-01,+9.94154025E-01,-4.03734080E-01
+1.56047697E+01,+0.00000000E+00,+8.94315468E-01,-3.98013192E-01,+9.78884394E-01,-4.18728106E-01,+9.14271636E-01,-3.90452173E-01,+9.94155684E-01,-4.03617270E-01
+1.56642669E+01,+0.00000000E+00,+8.94209912E-01,-3.97966173E-01,+9.78768839E-01,-4.18728067E-01,+9.14318953E-01,-3.90345600E-01,+9.94157349E-01,-4.03499992E-01
+1.57237813E+01,+0.00000000E+00,+8.94103898E-01,-3.97918993E-01,+9.78652802E-01,-4.18728068E-01,+9.14366447E-01,-3.90238595E-01,+9.94159022E-01,-4.03382244E-01
+1.57833132E+01,+0.00000000E+00,+8.93997428E-01,-3.97871652E-01,+9.78536281E-01,-4.18728109E-01,+9.14414118E-01,-3.90131157E-01,+9.94160701E-01,-4.03264026E-01
