theta_1,theta_2,Re(r_ex.tm),Im(r_ex.tm),Abs(r_ex.tm),Arg(r_ex.tm),Re(r_ex.te),Im(r_ex.te),Abs(r_ex.te),Arg(r_ex.te)
+1.77645377E+00,+0.00000000E+00,+9.07757390E-01,-4.04351751E-01,+9.93742330E-01,-4.19055638E-01,+9.08015420E-01,-4.04256741E-01,+9.93939393E-01,-4.18862687E-01
+1.83377800E+00,+0.00000000E+00,+9.07745978E-01,-4.04346068E-01,+9.93729593E-01,-4.19055087E-01,+9.08020930E-01,-4.04244825E-01,+9.93939580E-01,-4.18849480E-01
+1.89110407E+00,+0.00000000E+00,+9.07734203E-01,-4.04340205E-01,+9.93716451E-01,-4.19054519E-01,+9.08026615E-01,-4.04232530E-01,+9.93939773E-01,-4.18835853E-01
+1.94843202E+00,+0.00000000E+00,+9.07722065E-01,-4.04334162E-01,+9.93702904E-01,-4.19053933E-01,+9.08032475E-01,-4.04219856E-01,+9.93939972E-01,-4.18821806E-01
+2.00576193E+00,+0.00000000E+00,+9.07709564E-01,-4.04327938E-01,+9.93688952E-01,-4.19053331E-01,+9.08038510E-01,-4.04206803E-01,+9.93940177E-01,-4.18807340E-01
+2.06309385E+00,+0.00000000E+00,+9.07696699E-01,-4.04321535E-01,+9.93674595E-01,-4.19052712E-01,+9.08044720E-01,-4.04193372E-01,+9.93940388E-01,-4.18792453E-01
+2.12042784E+00,+0.00000000E+00,+9.07683471E-01,-4.04314951E-01,+9.93659833E-01,-4.19052076E-01,+9.08051105E-01,-4.04179561E-01,+9.93940605E-01,-4.18777147E-01
+2.17776395E+00,+0.00000000E+00,+9.07669880E-01,-4.04308186E-01,+9.93644665E-01,-4.19051423E-01,+9.08057664E-01,-4.04165371E-01,+9.93940828E-01,-4.18761421E-01
+2.23510224E+00,+0.00000000E+00,+9.07655925E-01,-4.04301242E-01,+9.93629092E-01,-4.19050754E-01,+9.08064399E-01,-4.04150803E-01,+9.93941057E-01,-4.18745275E-01
+2.29244278E+00,+0.00000000E+00,+9.07641606E-01,-4.04294118E-01,+9.93613113E-01,-4.19050068E-01,+9.08071309E-01,-4.04135855E-01,+9.93941291E-01,-4.18728709E-01
+2.34978561E+00,+0.00000000E+00,+9.07626924E-01,-4.04286813E-01,+9.93596729E-01,-4.19049365E-01,+9.08078393E-01,-4.04120528E-01,+9.93941532E-01,-4.18711722E-01
+2.40713079E+00,+0.00000000E+00,+9.07611878E-01,-4.04279328E-01,+9.93579939E-01,-4.19048645E-01,+9.08085653E-01,-4.04104822E-01,+9.93941779E-01,-4.18694316E-01
+2.46447839E+00,+0.00000000E+00,+9.07596468E-01,-4.04271664E-01,+9.93562744E-01,-4.19047909E-01,+9.08093087E-01,-4.04088737E-01,+9.93942031E-01,-4.18676489E-01
+2.52182846E+00,+0.00000000E+00,+9.07580694E-01,-4.04263819E-01,+9.93545143E-01,-4.19047156E-01,+9.08100697E-01,-4.04072272E-01,+9.93942290E-01,-4.18658243E-01
+2.57918105E+00,+0.00000000E+00,+9.07564556E-01,-4.04255794E-01,+9.93527136E-01,-4.19046387E-01,+9.08108481E-01,-4.04055428E-01,+9.93942555E-01,-4.18639576E-01
+2.63653623E+00,+0.00000000E+00,+9.07548053E-01,-4.04247589E-01,+9.93508723E-01,-4.19045602E-01,+9.08116440E-01,-4.04038204E-01,+9.93942825E-01,-4.18620488E-01
+2.69389406E+00,+0.00000000E+00,+9.07531187E-01,-4.04239204E-01,+9.93489904E-01,-4.19044800E-01,+9.08124575E-01,-4.04020601E-01,+9.93943102E-01,-4.18600980E-01
+2.75125459E+00,+0.00000000E+00,+9.07513955E-01,-4.04230639E-01,+9.93470678E-01,-4.19043982E-01,+9.08132884E-01,-4.04002618E-01,+9.93943384E-01,-4.18581052E-01
