kx/k0,Exact,CI0,CI3,CI3+CSU
1.186592179,0.208325796,0.212691168,0.208326191,0.208543157
1.196648045,0.208253348,0.212691168,0.208253754,0.208525486
1.206703911,0.20818035,0.212691168,0.208180766,0.208508061
1.216759777,0.208106803,0.212691168,0.208107229,0.208490879
1.226815642,0.208032709,0.212691168,0.208033144,0.208473936
1.236871508,0.207958069,0.212691168,0.207958513,0.20845723
1.246927374,0.207882885,0.212691168,0.207883336,0.208440757
1.25698324,0.207807159,0.212691168,0.207807616,0.208424514
1.267039106,0.207730891,0.212691168,0.207731354,0.208408497
1.277094972,0.207654083,0.212691168,0.207654552,0.208392703
1.287150838,0.207576738,0.212691168,0.20757721,0.20837713
1.297206704,0.207498855,0.212691168,0.207499332,0.208361774
1.30726257,0.207420438,0.212691168,0.207420917,0.208346631
1.317318436,0.207341487,0.212691168,0.207341968,0.208331699
1.327374302,0.207262004,0.212691168,0.207262486,0.208316975
1.337430168,0.207181991,0.212691168,0.207182472,0.208302456
1.347486034,0.207101449,0.212691168,0.207101929,0.208288138
1.357541899,0.20702038,0.212691168,0.207020858,0.208274018
1.367597765,0.206938785,0.212691168,0.20693926,0.208260094
1.377653631,0.206856666,0.212691168,0.206857137,0.208246363
1.387709497,0.206774024,0.212691168,0.206774491,0.208232822
1.397765363,0.206690862,0.212691168,0.206691323,0.208219468
1.407821229,0.206607181,0.212691168,0.206607635,0.208206298
1.417877095,0.206522982,0.212691168,0.206523428,0.208193309
1.427932961,0.206438267,0.212691168,0.206438704,0.208180499
1.437988827,0.206353038,0.212691168,0.206353464,0.208167865
1.448044693,0.206267296,0.212691168,0.206267712,0.208155403
1.458100559,0.206181044,0.212691168,0.206181447,0.208143113
1.468156425,0.206094282,0.212691168,0.206094671,0.20813099
1.478212291,0.206007012,0.212691168,0.206007387,0.208119033
1.488268156,0.205919237,0.212691168,0.205919596,0.208107239
1.498324022,0.205830957,0.212691168,0.205831299,0.208095604
1.508379888,0.205742175,0.212691168,0.205742499,0.208084128
1.518435754,0.205652892,0.212691168,0.205653196,0.208072807
1.52849162,0.205563109,0.212691168,0.205563394,0.208061639
1.538547486,0.20547283,0.212691168,0.205473092,0.208050622
1.548603352,0.205382055,0.212691168,0.205382294,0.208039753
1.558659218,0.205290785,0.212691168,0.205291,0.20802903
1.568715084,0.205199024,0.212691168,0.205199213,0.208018451
1.57877095,0.205106772,0.212691168,0.205106934,0.208008014
1.588826816,0.205014032,0.212691168,0.205014165,0.207997715
1.598882682,0.204920804,0.212691168,0.204920908,0.207987554
1.608938547,0.204827091,0.212691168,0.204827165,0.207977528
1.618994413,0.204732895,0.212691168,0.204732936,0.207967635
1.629050279,0.204638217,0.212691168,0.204638225,0.207957872
1.639106145,0.20454306,0.212691168,0.204543032,0.207948239
1.649162011,0.204447424,0.212691168,0.204447359,0.207938732
1.659217877,0.204351312,0.212691168,0.204351209,0.207929351
1.669273743,0.204254726,0.212691168,0.204254583,0.207920092
1.679329609,0.204157666,0.212691168,0.204157483,0.207910954
1.689385475,0.204060136,0.212691168,0.204059911,0.207901936
1.699441341,0.203962137,0.212691168,0.203961868,0.207893035
1.709497207,0.203863671,0.212691168,0.203863356,0.207884249
1.719553073,0.203764739,0.212691168,0.203764377,0.207875577
1.729608939,0.203665344,0.212691168,0.203664933,0.207867017
1.739664804,0.203565487,0.212691168,0.203565026,0.207858567
1.74972067,0.20346517,0.212691168,0.203464657,0.207850226
1.759776536,0.203364395,0.212691168,0.203363829,0.207841992
1.769832402,0.203263163,0.212691168,0.203262543,0.207833863
1.779888268,0.203161478,0.212691168,0.203160801,0.207825838
1.789944134,0.20305934,0.212691168,0.203058605,0.207817914
1.8,0.202956751,0.212691168,0.202955956,0.207810091
