s1,s2,Re(r_ap.tm),Im(r_ap.tm),Abs(r_ap.tm),Arg(r_ap.tm),Re(r_ap.te),Im(r_ap.te),Abs(r_ap.te),Arg(r_ap.te)
+0.00000000E+00,+0.00000000E+00,-4.08653480E-01,-9.12689615E-01,+1.00000000E+00,+6.58797235E+01,-4.08653480E-01,-9.12689615E-01,+1.00000000E+00,+6.58797235E+01
+1.00000000E-03,+0.00000000E+00,-4.08653897E-01,-9.12689428E-01,+1.00000000E+00,+6.58796973E+01,-4.08653064E-01,-9.12689801E-01,+1.00000000E+00,+6.58797496E+01
+2.00000000E-03,+0.00000000E+00,-4.08655146E-01,-9.12688869E-01,+1.00000000E+00,+6.58796189E+01,-4.08651814E-01,-9.12690361E-01,+1.00000000E+00,+6.58798280E+01
+3.00000000E-03,+0.00000000E+00,-4.08657229E-01,-9.12687937E-01,+1.00000000E+00,+6.58794881E+01,-4.08649731E-01,-9.12691293E-01,+1.00000000E+00,+6.58799588E+01
+4.00000000E-03,+0.00000000E+00,-4.08660144E-01,-9.12686631E-01,+1.00000000E+00,+6.58793051E+01,-4.08646816E-01,-9.12692599E-01,+1.00000000E+00,+6.58801418E+01
+5.00000000E-03,+0.00000000E+00,-4.08663893E-01,-9.12684953E-01,+1.00000000E+00,+6.58790698E+01,-4.08643067E-01,-9.12694277E-01,+1.00000000E+00,+6.58803771E+01
+6.00000000E-03,+0.00000000E+00,-4.08668474E-01,-9.12682901E-01,+1.00000000E+00,+6.58787822E+01,-4.08638486E-01,-9.12696329E-01,+1.00000000E+00,+6.58806648E+01
+7.00000000E-03,+0.00000000E+00,-4.08673889E-01,-9.12680477E-01,+1.00000000E+00,+6.58784422E+01,-4.08633071E-01,-9.12698753E-01,+1.00000000E+00,+6.58810047E+01
+8.00000000E-03,+0.00000000E+00,-4.08680137E-01,-9.12677679E-01,+1.00000000E+00,+6.58780500E+01,-4.08626823E-01,-9.12701550E-01,+1.00000000E+00,+6.58813969E+01
+9.00000000E-03,+0.00000000E+00,-4.08687217E-01,-9.12674508E-01,+1.00000000E+00,+6.58776055E+01,-4.08619741E-01,-9.12704721E-01,+1.00000000E+00,+6.58818414E+01
+1.00000000E-02,+0.00000000E+00,-4.08695131E-01,-9.12670965E-01,+1.00000000E+00,+6.58771087E+01,-4.08611827E-01,-9.12708264E-01,+1.00000000E+00,+6.58823383E+01
+1.10000000E-02,+0.00000000E+00,-4.08703878E-01,-9.12667048E-01,+1.00000000E+00,+6.58765596E+01,-4.08603079E-01,-9.12712180E-01,+1.00000000E+00,+6.58828874E+01
+1.20000000E-02,+0.00000000E+00,-4.08713459E-01,-9.12662757E-01,+1.00000000E+00,+6.58759581E+01,-4.08593498E-01,-9.12716469E-01,+1.00000000E+00,+6.58834889E+01
+1.30000000E-02,+0.00000000E+00,-4.08723872E-01,-9.12658094E-01,+1.00000000E+00,+6.58753044E+01,-4.08583083E-01,-9.12721132E-01,+1.00000000E+00,+6.58841427E+01
+1.40000000E-02,+0.00000000E+00,-4.08735119E-01,-9.12653057E-01,+1.00000000E+00,+6.58745983E+01,-4.08571835E-01,-9.12726167E-01,+1.00000000E+00,+6.58848488E+01
+1.50000000E-02,+0.00000000E+00,-4.08747199E-01,-9.12647647E-01,+1.00000000E+00,+6.58738399E+01,-4.08559752E-01,-9.12731575E-01,+1.00000000E+00,+6.58856072E+01
+1.60000000E-02,+0.00000000E+00,-4.08760112E-01,-9.12641863E-01,+1.00000000E+00,+6.58730292E+01,-4.08546836E-01,-9.12737357E-01,+1.00000000E+00,+6.58864180E+01
+1.70000000E-02,+0.00000000E+00,-4.08773859E-01,-9.12635706E-01,+1.00000000E+00,+6.58721662E+01,-4.08533087E-01,-9.12743511E-01,+1.00000000E+00,+6.58872811E+01
+1.80000000E-02,+0.00000000E+00,-4.08788439E-01,-9.12629175E-01,+1.00000000E+00,+6.58712509E+01,-4.08518503E-01,-9.12750039E-01,+1.00000000E+00,+6.58881966E+01
+1.90000000E-02,+0.00000000E+00,-4.08803853E-01,-9.12622271E-01,+1.00000000E+00,+6.58702832E+01,-4.08503085E-01,-9.12756939E-01,+1.00000000E+00,+6.58891644E+01
+2.00000000E-02,+0.00000000E+00,-4.08820100E-01,-9.12614993E-01,+1.00000000E+00,+6.58692631E+01,-4.08486833E-01,-9.12764212E-01,+1.00000000E+00,+6.58901846E+01
+2.10000000E-02,+0.00000000E+00,-4.08837181E-01,-9.12607341E-01,+1.00000000E+00,+6.58681908E+01,-4.08469746E-01,-9.12771859E-01,+1.00000000E+00,+6.58912572E+01
+2.20000000E-02,+0.00000000E+00,-4.08855095E-01,-9.12599316E-01,+1.00000000E+00,+6.58670660E+01,-4.08451825E-01,-9.12779879E-01,+1.00000000E+00,+6.58923821E+01
+2.30000000E-02,+0.00000000E+00,-4.08873844E-01,-9.12590916E-01,+1.00000000E+00,+6.58658890E+01,-4.08433069E-01,-9.12788271E-01,+1.00000000E+00,+6.58935594E+01
