s1,s2,Re(r_ap.tm),Im(r_ap.tm),Abs(r_ap.tm),Arg(r_ap.tm),Re(r_ap.te),Im(r_ap.te),Abs(r_ap.te),Arg(r_ap.te)
+3.10000000E-02,+0.00000000E+00,-4.07405314E-01,-9.13247453E-01,+1.00000000E+00,-1.99040742E+00,-4.06792678E-01,-9.13520507E-01,+1.00000000E+00,-1.98973669E+00
+3.20000000E-02,+0.00000000E+00,-4.07397774E-01,-9.13250817E-01,+1.00000000E+00,-1.99039916E+00,-4.06744933E-01,-9.13541767E-01,+1.00000000E+00,-1.98968442E+00
+3.30000000E-02,+0.00000000E+00,-4.07389995E-01,-9.13254286E-01,+1.00000000E+00,-1.99039064E+00,-4.06695668E-01,-9.13563700E-01,+1.00000000E+00,-1.98963050E+00
+3.40000000E-02,+0.00000000E+00,-4.07381980E-01,-9.13257862E-01,+1.00000000E+00,-1.99038187E+00,-4.06644885E-01,-9.13586306E-01,+1.00000000E+00,-1.98957491E+00
+3.50000000E-02,+0.00000000E+00,-4.07373728E-01,-9.13261543E-01,+1.00000000E+00,-1.99037283E+00,-4.06592581E-01,-9.13609585E-01,+1.00000000E+00,-1.98951766E+00
+3.60000000E-02,+0.00000000E+00,-4.07365238E-01,-9.13265330E-01,+1.00000000E+00,-1.99036354E+00,-4.06538757E-01,-9.13633536E-01,+1.00000000E+00,-1.98945874E+00
+3.70000000E-02,+0.00000000E+00,-4.07356513E-01,-9.13269222E-01,+1.00000000E+00,-1.99035398E+00,-4.06483413E-01,-9.13658161E-01,+1.00000000E+00,-1.98939817E+00
+3.80000000E-02,+0.00000000E+00,-4.07347551E-01,-9.13273219E-01,+1.00000000E+00,-1.99034417E+00,-4.06426548E-01,-9.13683458E-01,+1.00000000E+00,-1.98933593E+00
+3.90000000E-02,+0.00000000E+00,-4.07338352E-01,-9.13277322E-01,+1.00000000E+00,-1.99033410E+00,-4.06368162E-01,-9.13709427E-01,+1.00000000E+00,-1.98927203E+00
+4.00000000E-02,+0.00000000E+00,-4.07328918E-01,-9.13281530E-01,+1.00000000E+00,-1.99032377E+00,-4.06308255E-01,-9.13736068E-01,+1.00000000E+00,-1.98920647E+00
+4.10000000E-02,+0.00000000E+00,-4.07319248E-01,-9.13285843E-01,+1.00000000E+00,-1.99031318E+00,-4.06246825E-01,-9.13763381E-01,+1.00000000E+00,-1.98913924E+00
+4.20000000E-02,+0.00000000E+00,-4.07309343E-01,-9.13290260E-01,+1.00000000E+00,-1.99030233E+00,-4.06183873E-01,-9.13791366E-01,+1.00000000E+00,-1.98907035E+00
+4.30000000E-02,+0.00000000E+00,-4.07299202E-01,-9.13294783E-01,+1.00000000E+00,-1.99029123E+00,-4.06119398E-01,-9.13820023E-01,+1.00000000E+00,-1.98899979E+00
+4.40000000E-02,+0.00000000E+00,-4.07288826E-01,-9.13299410E-01,+1.00000000E+00,-1.99027987E+00,-4.06053400E-01,-9.13849351E-01,+1.00000000E+00,-1.98892757E+00
+4.50000000E-02,+0.00000000E+00,-4.07278216E-01,-9.13304141E-01,+1.00000000E+00,-1.99026825E+00,-4.05985879E-01,-9.13879350E-01,+1.00000000E+00,-1.98885368E+00
+4.60000000E-02,+0.00000000E+00,-4.07267371E-01,-9.13308977E-01,+1.00000000E+00,-1.99025638E+00,-4.05916833E-01,-9.13910020E-01,+1.00000000E+00,-1.98877813E+00
+4.70000000E-02,+0.00000000E+00,-4.07256292E-01,-9.13313918E-01,+1.00000000E+00,-1.99024425E+00,-4.05846263E-01,-9.13941361E-01,+1.00000000E+00,-1.98870092E+00
+4.80000000E-02,+0.00000000E+00,-4.07244979E-01,-9.13318962E-01,+1.00000000E+00,-1.99023186E+00,-4.05774168E-01,-9.13973372E-01,+1.00000000E+00,-1.98862203E+00
+4.90000000E-02,+0.00000000E+00,-4.07233433E-01,-9.13324111E-01,+1.00000000E+00,-1.99021922E+00,-4.05700547E-01,-9.14006053E-01,+1.00000000E+00,-1.98854149E+00
+5.00000000E-02,+0.00000000E+00,-4.07221653E-01,-9.13329363E-01,+1.00000000E+00,-1.99020632E+00,-4.05625401E-01,-9.14039405E-01,+1.00000000E+00,-1.98845927E+00
+5.10000000E-02,+0.00000000E+00,-4.07209640E-01,-9.13334719E-01,+1.00000000E+00,-1.99019317E+00,-4.05548728E-01,-9.14073426E-01,+1.00000000E+00,-1.98837539E+00
+5.20000000E-02,+0.00000000E+00,-4.07197394E-01,-9.13340179E-01,+1.00000000E+00,-1.99017976E+00,-4.05470529E-01,-9.14108117E-01,+1.00000000E+00,-1.98828984E+00
+5.30000000E-02,+0.00000000E+00,-4.07184915E-01,-9.13345742E-01,+1.00000000E+00,-1.99016610E+00,-4.05390802E-01,-9.14143478E-01,+1.00000000E+00,-1.98820262E+00
+5.40000000E-02,+0.00000000E+00,-4.07172205E-01,-9.13351409E-01,+1.00000000E+00,-1.99015218E+00,-4.05309547E-01,-9.14179507E-01,+1.00000000E+00,-1.98811374E+00
+5.50000000E-02,+0.00000000E+00,-4.07159263E-01,-9.13357178E-01,+1.00000000E+00,-1.99013801E+00,-4.05226763E-01,-9.14216205E-01,+1.00000000E+00,-1.98802318E+00
+5.60000000E-02,+0.00000000E+00,-4.07146089E-01,-9.13363051E-01,+1.00000000E+00,-1.99012359E+00,-4.05142451E-01,-9.14253572E-01,+1.00000000E+00,-1.98793096E+00
+5.70000000E-02,+0.00000000E+00,-4.07132683E-01,-9.13369026E-01,+1.00000000E+00,-1.99010891E+00,-4.05056609E-01,-9.14291607E-01,+1.00000000E+00,-1.98783707E+00
+5.80000000E-02,+0.00000000E+00,-4.07119047E-01,-9.13375104E-01,+1.00000000E+00,-1.99009398E+00,-4.04969237E-01,-9.14330311E-01,+1.00000000E+00,-1.98774151E+00
+5.90000000E-02,+0.00000000E+00,-4.07105181E-01,-9.13381285E-01,+1.00000000E+00,-1.99007880E+00,-4.04880334E-01,-9.14369682E-01,+1.00000000E+00,-1.98764428E+00
+6.00000000E-02,+0.00000000E+00,-4.07091084E-01,-9.13387568E-01,+1.00000000E+00,-1.99006336E+00,-4.04789901E-01,-9.14409720E-01,+1.00000000E+00,-1.98754538E+00
+6.10000000E-02,+0.00000000E+00,-4.07076757E-01,-9.13393953E-01,+1.00000000E+00,-1.99004768E+00,-4.04697935E-01,-9.14450426E-01,+1.00000000E+00,-1.98744481E+00
+6.20000000E-02,+0.00000000E+00,-4.07062201E-01,-9.13400440E-01,+1.00000000E+00,-1.99003174E+00,-4.04604437E-01,-9.14491799E-01,+1.00000000E+00,-1.98734257E+00
+6.30000000E-02,+0.00000000E+00,-4.07047416E-01,-9.13407029E-01,+1.00000000E+00,-1.99001556E+00,-4.04509406E-01,-9.14533838E-01,+1.00000000E+00,-1.98723865E+00
+6.40000000E-02,+0.00000000E+00,-4.07032401E-01,-9.13413720E-01,+1.00000000E+00,-1.98999912E+00,-4.04412841E-01,-9.14576544E-01,+1.00000000E+00,-1.98713307E+00
+6.50000000E-02,+0.00000000E+00,-4.07017159E-01,-9.13420512E-01,+1.00000000E+00,-1.98998243E+00,-4.04314742E-01,-9.14619915E-01,+1.00000000E+00,-1.98702581E+00
+6.60000000E-02,+0.00000000E+00,-4.07001688E-01,-9.13427406E-01,+1.00000000E+00,-1.98996549E+00,-4.04215108E-01,-9.14663953E-01,+1.00000000E+00,-1.98691687E+00
+6.70000000E-02,+0.00000000E+00,-4.06985990E-01,-9.13434400E-01,+1.00000000E+00,-1.98994831E+00,-4.04113939E-01,-9.14708656E-01,+1.00000000E+00,-1.98680627E+00
+6.80000000E-02,+0.00000000E+00,-4.06970064E-01,-9.13441496E-01,+1.00000000E+00,-1.98993087E+00,-4.04011233E-01,-9.14754024E-01,+1.00000000E+00,-1.98669399E+00
+6.90000000E-02,+0.00000000E+00,-4.06953912E-01,-9.13448692E-01,+1.00000000E+00,-1.98991319E+00,-4.03906990E-01,-9.14800056E-01,+1.00000000E+00,-1.98658003E+00
+7.00000000E-02,+0.00000000E+00,-4.06937533E-01,-9.13455989E-01,+1.00000000E+00,-1.98989526E+00,-4.03801210E-01,-9.14846754E-01,+1.00000000E+00,-1.98646441E+00
+7.10000000E-02,+0.00000000E+00,-4.06920928E-01,-9.13463386E-01,+1.00000000E+00,-1.98987708E+00,-4.03693892E-01,-9.14894115E-01,+1.00000000E+00,-1.98634710E+00
+7.20000000E-02,+0.00000000E+00,-4.06904098E-01,-9.13470884E-01,+1.00000000E+00,-1.98985866E+00,-4.03585035E-01,-9.14942140E-01,+1.00000000E+00,-1.98622812E+00
+7.30000000E-02,+0.00000000E+00,-4.06887042E-01,-9.13478481E-01,+1.00000000E+00,-1.98983999E+00,-4.03474638E-01,-9.14990829E-01,+1.00000000E+00,-1.98610746E+00
+7.40000000E-02,+0.00000000E+00,-4.06869761E-01,-9.13486178E-01,+1.00000000E+00,-1.98982107E+00,-4.03362701E-01,-9.15040180E-01,+1.00000000E+00,-1.98598513E+00
+7.50000000E-02,+0.00000000E+00,-4.06852256E-01,-9.13493975E-01,+1.00000000E+00,-1.98980191E+00,-4.03249222E-01,-9.15090195E-01,+1.00000000E+00,-1.98586112E+00
+7.60000000E-02,+0.00000000E+00,-4.06834527E-01,-9.13501870E-01,+1.00000000E+00,-1.98978250E+00,-4.03134202E-01,-9.15140872E-01,+1.00000000E+00,-1.98573543E+00
+7.70000000E-02,+0.00000000E+00,-4.06816575E-01,-9.13509865E-01,+1.00000000E+00,-1.98976285E+00,-4.03017639E-01,-9.15192211E-01,+1.00000000E+00,-1.98560806E+00
+7.80000000E-02,+0.00000000E+00,-4.06798400E-01,-9.13517959E-01,+1.00000000E+00,-1.98974295E+00,-4.02899533E-01,-9.15244211E-01,+1.00000000E+00,-1.98547902E+00
+7.90000000E-02,+0.00000000E+00,-4.06780002E-01,-9.13526152E-01,+1.00000000E+00,-1.98972281E+00,-4.02779883E-01,-9.15296873E-01,+1.00000000E+00,-1.98534829E+00
+8.00000000E-02,+0.00000000E+00,-4.06761382E-01,-9.13534443E-01,+1.00000000E+00,-1.98970243E+00,-4.02658688E-01,-9.15350196E-01,+1.00000000E+00,-1.98521588E+00
+8.10000000E-02,+0.00000000E+00,-4.06742540E-01,-9.13542832E-01,+1.00000000E+00,-1.98968180E+00,-4.02535947E-01,-9.15404179E-01,+1.00000000E+00,-1.98508179E+00
+8.20000000E-02,+0.00000000E+00,-4.06723477E-01,-9.13551319E-01,+1.00000000E+00,-1.98966094E+00,-4.02411660E-01,-9.15458823E-01,+1.00000000E+00,-1.98494603E+00
+8.30000000E-02,+0.00000000E+00,-4.06704193E-01,-9.13559904E-01,+1.00000000E+00,-1.98963983E+00,-4.02285825E-01,-9.15514126E-01,+1.00000000E+00,-1.98480857E+00
+8.40000000E-02,+0.00000000E+00,-4.06684690E-01,-9.13568587E-01,+1.00000000E+00,-1.98961848E+00,-4.02158443E-01,-9.15570088E-01,+1.00000000E+00,-1.98466944E+00
+8.50000000E-02,+0.00000000E+00,-4.06664966E-01,-9.13577367E-01,+1.00000000E+00,-1.98959689E+00,-4.02029511E-01,-9.15626710E-01,+1.00000000E+00,-1.98452862E+00
+8.60000000E-02,+0.00000000E+00,-4.06645023E-01,-9.13586244E-01,+1.00000000E+00,-1.98957506E+00,-4.01899030E-01,-9.15683990E-01,+1.00000000E+00,-1.98438612E+00
+8.70000000E-02,+0.00000000E+00,-4.06624862E-01,-9.13595218E-01,+1.00000000E+00,-1.98955299E+00,-4.01766998E-01,-9.15741928E-01,+1.00000000E+00,-1.98424194E+00
+8.80000000E-02,+0.00000000E+00,-4.06604483E-01,-9.13604288E-01,+1.00000000E+00,-1.98953068E+00,-4.01633414E-01,-9.15800524E-01,+1.00000000E+00,-1.98409607E+00
+8.90000000E-02,+0.00000000E+00,-4.06583885E-01,-9.13613454E-01,+1.00000000E+00,-1.98950814E+00,-4.01498279E-01,-9.15859778E-01,+1.00000000E+00,-1.98394851E+00
+9.00000000E-02,+0.00000000E+00,-4.06563071E-01,-9.13622717E-01,+1.00000000E+00,-1.98948536E+00,-4.01361590E-01,-9.15919688E-01,+1.00000000E+00,-1.98379927E+00
+9.10000000E-02,+0.00000000E+00,-4.06542040E-01,-9.13632076E-01,+1.00000000E+00,-1.98946234E+00,-4.01223346E-01,-9.15980254E-01,+1.00000000E+00,-1.98364834E+00
