s1,s2,Re(r_ex.11),Im(r_ex.11),Abs(r_ex.11),Arg(r_ex.11),Re(r_ex.21),Im(r_ex.21),Abs(r_ex.21),Arg(r_ex.21),Re(r_ex.12),Im(r_ex.12),Abs(r_ex.12),Arg(r_ex.12),Re(r_ex.22),Im(r_ex.22),Abs(r_ex.22),Arg(r_ex.22)
+0.00000000E+00,+0.00000000E+00,-4.08653480E-01,-9.12689615E-01,+1.00000000E+00,+6.58797235E+01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-4.08653480E-01,-9.12689615E-01,+1.00000000E+00,+6.58797235E+01
+1.00000000E-02,+0.00000000E+00,-4.08640060E-01,-9.12695624E-01,+1.00000000E+00,+6.58805659E+01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-4.08577578E-01,-9.12723596E-01,+1.00000000E+00,+6.58844882E+01
+2.00000000E-02,+0.00000000E+00,-4.08599831E-01,-9.12713634E-01,+1.00000000E+00,+6.58830913E+01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-4.08349824E-01,-9.12825515E-01,+1.00000000E+00,+6.58987846E+01
+3.00000000E-02,+0.00000000E+00,-4.08532884E-01,-9.12743602E-01,+1.00000000E+00,+6.58872939E+01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-4.07970069E-01,-9.12995303E-01,+1.00000000E+00,+6.59226186E+01
+4.00000000E-02,+0.00000000E+00,-4.08439374E-01,-9.12785450E-01,+1.00000000E+00,+6.58931636E+01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-4.07438070E-01,-9.13232840E-01,+1.00000000E+00,+6.59560004E+01
+5.00000000E-02,+0.00000000E+00,-4.08319516E-01,-9.12839073E-01,+1.00000000E+00,+6.59006870E+01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-4.06753480E-01,-9.13537961E-01,+1.00000000E+00,+6.59989440E+01
+6.00000000E-02,+0.00000000E+00,-4.08173586E-01,-9.12904334E-01,+1.00000000E+00,+6.59098461E+01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-4.05915858E-01,-9.13910453E-01,+1.00000000E+00,+6.60514678E+01
+7.00000000E-02,+0.00000000E+00,-4.08001927E-01,-9.12981067E-01,+1.00000000E+00,+6.59206194E+01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-4.04924660E-01,-9.14350053E-01,+1.00000000E+00,+6.61135940E+01
+8.00000000E-02,+0.00000000E+00,-4.07804940E-01,-9.13069072E-01,+1.00000000E+00,+6.59329811E+01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-4.03779243E-01,-9.14856449E-01,+1.00000000E+00,+6.61853491E+01
+9.00000000E-02,+0.00000000E+00,-4.07583093E-01,-9.13168124E-01,+1.00000000E+00,+6.59469014E+01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-4.02478865E-01,-9.15429278E-01,+1.00000000E+00,+6.62667640E+01
