s1,s2,Re(z_ex.11),Im(z_ex.11),Abs(z_ex.11),Arg(z_ex.11),Re(z_ex.21),Im(z_ex.21),Abs(z_ex.21),Arg(z_ex.21),Re(z_ex.12),Im(z_ex.12),Abs(z_ex.12),Arg(z_ex.12),Re(z_ex.22),Im(z_ex.22),Abs(z_ex.22),Arg(z_ex.22)
+1.60000000E-01,+0.00000000E+00,+0.00000000E+00,+9.16733108E-01,+9.16733108E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+9.20661262E-01,+9.20661262E-01,+1.57079633E+00
+1.70000000E-01,+0.00000000E+00,+0.00000000E+00,+9.15694180E-01,+9.15694180E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+9.20126121E-01,+9.20126121E-01,+1.57079633E+00
+1.80000000E-01,+0.00000000E+00,+0.00000000E+00,+9.14593676E-01,+9.14593676E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+9.19559296E-01,+9.19559296E-01,+1.57079633E+00
+1.90000000E-01,+0.00000000E+00,+0.00000000E+00,+9.13431838E-01,+9.13431838E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+9.18960920E-01,+9.18960920E-01,+1.57079633E+00
+2.00000000E-01,+0.00000000E+00,+0.00000000E+00,+9.12208921E-01,+9.12208921E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+9.18331129E-01,+9.18331129E-01,+1.57079633E+00
+2.10000000E-01,+0.00000000E+00,+0.00000000E+00,+9.10925193E-01,+9.10925193E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+9.17670068E-01,+9.17670068E-01,+1.57079633E+00
+2.20000000E-01,+0.00000000E+00,+0.00000000E+00,+9.09580934E-01,+9.09580934E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+9.16977889E-01,+9.16977889E-01,+1.57079633E+00
+2.30000000E-01,+0.00000000E+00,+0.00000000E+00,+9.08176436E-01,+9.08176436E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+9.16254749E-01,+9.16254749E-01,+1.57079633E+00
+2.40000000E-01,+0.00000000E+00,+0.00000000E+00,+9.06712006E-01,+9.06712006E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+9.15500814E-01,+9.15500814E-01,+1.57079633E+00
+2.50000000E-01,+0.00000000E+00,+0.00000000E+00,+9.05187960E-01,+9.05187960E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+9.14716254E-01,+9.14716254E-01,+1.57079633E+00
+2.60000000E-01,+0.00000000E+00,+0.00000000E+00,+9.03604627E-01,+9.03604627E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+9.13901247E-01,+9.13901247E-01,+1.57079633E+00
+2.70000000E-01,+0.00000000E+00,+0.00000000E+00,+9.01962348E-01,+9.01962348E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+9.13055978E-01,+9.13055978E-01,+1.57079633E+00
+2.80000000E-01,+0.00000000E+00,+0.00000000E+00,+9.00261477E-01,+9.00261477E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+9.12180637E-01,+9.12180637E-01,+1.57079633E+00
+2.90000000E-01,+0.00000000E+00,+0.00000000E+00,+8.98502377E-01,+8.98502377E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+9.11275420E-01,+9.11275420E-01,+1.57079633E+00
+3.00000000E-01,+0.00000000E+00,+0.00000000E+00,+8.96685422E-01,+8.96685422E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+9.10340530E-01,+9.10340530E-01,+1.57079633E+00
+3.10000000E-01,+0.00000000E+00,+0.00000000E+00,+8.94811001E-01,+8.94811001E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+9.09376176E-01,+9.09376176E-01,+1.57079633E+00
+3.20000000E-01,+0.00000000E+00,+0.00000000E+00,+8.92879508E-01,+8.92879508E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+9.08382571E-01,+9.08382571E-01,+1.57079633E+00
+3.30000000E-01,+0.00000000E+00,+0.00000000E+00,+8.90891352E-01,+8.90891352E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+9.07359935E-01,+9.07359935E-01,+1.57079633E+00
+3.40000000E-01,+0.00000000E+00,+0.00000000E+00,+8.88846951E-01,+8.88846951E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+9.06308495E-01,+9.06308495E-01,+1.57079633E+00
+3.50000000E-01,+0.00000000E+00,+0.00000000E+00,+8.86746733E-01,+8.86746733E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+9.05228481E-01,+9.05228481E-01,+1.57079633E+00
+3.60000000E-01,+0.00000000E+00,+0.00000000E+00,+8.84591135E-01,+8.84591135E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+9.04120129E-01,+9.04120129E-01,+1.57079633E+00
+3.70000000E-01,+0.00000000E+00,+0.00000000E+00,+8.82380604E-01,+8.82380604E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+9.02983682E-01,+9.02983682E-01,+1.57079633E+00
+3.80000000E-01,+0.00000000E+00,+0.00000000E+00,+8.80115599E-01,+8.80115599E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+9.01819385E-01,+9.01819385E-01,+1.57079633E+00
+3.90000000E-01,+0.00000000E+00,+0.00000000E+00,+8.77796584E-01,+8.77796584E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+9.00627491E-01,+9.00627491E-01,+1.57079633E+00
+4.00000000E-01,+0.00000000E+00,+0.00000000E+00,+8.75424036E-01,+8.75424036E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+8.99408256E-01,+8.99408256E-01,+1.57079633E+00
+4.10000000E-01,+0.00000000E+00,+0.00000000E+00,+8.72998437E-01,+8.72998437E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+8.98161940E-01,+8.98161940E-01,+1.57079633E+00
