n,Re(m_ibc0.11),Im(m_ibc0.11),Abs(m_ibc0.11),Arg(m_ibc0.11),Re(m_ibc0.21),Im(m_ibc0.21),Abs(m_ibc0.21),Arg(m_ibc0.21),Re(m_ibc0.12),Im(m_ibc0.12),Abs(m_ibc0.12),Arg(m_ibc0.12),Re(m_ibc0.22),Im(m_ibc0.22),Abs(m_ibc0.22),Arg(m_ibc0.22)
+0.00000000E+00,-6.93505170E-01,-4.61037687E-01,+8.32769578E-01,-2.55488802E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-3.06494830E-01,+4.61037687E-01,+5.53619752E-01,+2.15750096E+00
+1.00000000E+00,-4.53855941E-01,+4.97866173E-01,+6.73688311E-01,+2.30998468E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-5.54021113E-01,-4.97073153E-01,+7.44325946E-01,-2.41032126E+00
+2.00000000E+00,-2.48706907E-01,-4.32263556E-01,+4.98705231E-01,-2.09290068E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-7.28858625E-01,+4.44548906E-01,+8.53732174E-01,+2.59390749E+00
+3.00000000E+00,-9.97980216E-01,+4.48965923E-02,+9.98989598E-01,+3.09663551E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-1.05412935E-02,-1.02128226E-01,+1.02670802E-01,-1.67364837E+00
+4.00000000E+00,-3.38652073E-01,+4.73251356E-01,+5.81938203E-01,+2.19190632E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-7.66528381E-01,-4.23039740E-01,+8.75516066E-01,-2.63729915E+00
+5.00000000E+00,-2.53579506E-03,-5.02927908E-02,+5.03566784E-02,-1.62117431E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-9.21715109E-01,+2.68619371E-01,+9.60059951E-01,+2.85801273E+00
+6.00000000E+00,-1.47234757E-01,-3.54339785E-01,+3.83711815E-01,-1.96460878E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-4.06792822E-01,+4.91235607E-01,+6.37803122E-01,+2.26243886E+00
+7.00000000E+00,-9.61576764E-02,-2.94807357E-01,+3.10093013E-01,-1.88608719E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-8.72953642E-02,+2.82267397E-01,+2.95457889E-01,+1.87073110E+00
+8.00000000E+00,-1.02416956E-02,-1.00681693E-01,+1.01201263E-01,-1.67217114E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-9.32645513E-03,+9.61221741E-02,+9.65735736E-02,+1.66752065E+00
+9.00000000E+00,-3.94060631E-04,-1.98470488E-02,+1.98509605E-02,-1.59064859E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-4.89147199E-04,+2.21112626E-02,+2.21166724E-02,+1.59291480E+00
+1.00000000E+01,-8.57100296E-06,-2.92761499E-03,+2.92762753E-03,-1.57372396E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-1.33669864E-05,+3.65606451E-03,+3.65608895E-03,+1.57445242E+00
