n,Re(m_ex.11),Im(m_ex.11),Abs(m_ex.11),Arg(m_ex.11),Re(m_ex.21),Im(m_ex.21),Abs(m_ex.21),Arg(m_ex.21),Re(m_ex.12),Im(m_ex.12),Abs(m_ex.12),Arg(m_ex.12),Re(m_ex.22),Im(m_ex.22),Abs(m_ex.22),Arg(m_ex.22)
+7.70000000E+01,-3.34269069E-13,+5.78160116E-07,+5.78160116E-07,+1.57079690E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-3.32033385E-10,-1.82217832E-05,+1.82217832E-05,-1.57081455E+00
+7.80000000E+01,-2.11246653E-14,+1.45343313E-07,+1.45343313E-07,+1.57079647E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-1.45696942E-11,-3.81702682E-06,+3.81702682E-06,-1.57080014E+00
+7.90000000E+01,-1.22550444E-15,+3.50071387E-08,+3.50071387E-08,+1.57079636E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-6.49823628E-13,-8.06116544E-07,+8.06116544E-07,-1.57079713E+00
+8.00000000E+01,-6.54527144E-17,+8.09033067E-09,+8.09033067E-09,+1.57079633E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-2.85008259E-14,-1.68821839E-07,+1.68821839E-07,-1.57079650E+00
+8.10000000E+01,-3.22677849E-18,+1.79638640E-09,+1.79638640E-09,+1.57079633E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-1.20815914E-15,-3.47585329E-08,+3.47585329E-08,-1.57079636E+00
+8.20000000E+01,-1.47278374E-19,+3.83692905E-10,+3.83692905E-10,+1.57079633E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-4.90170989E-17,-7.00132623E-09,+7.00132623E-09,-1.57079633E+00
+8.30000000E+01,-6.22355820E-21,+7.89228543E-11,+7.89228543E-11,+1.57079633E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-1.89275918E-18,-1.37576766E-09,+1.37576766E-09,-1.57079633E+00
+8.40000000E+01,-2.42073860E-22,+1.56496462E-11,+1.56496462E-11,+1.57079633E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-6.93445258E-20,-2.63281333E-10,+2.63281333E-10,-1.57079633E+00
+8.50000000E+01,-9.42238021E-24,+2.99436267E-12,+2.99436267E-12,+1.57079633E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-2.40451829E-21,-4.90203649E-11,+4.90203649E-11,-1.57079633E+00
+8.60000000E+01,-3.08810408E-25,+5.53336347E-13,+5.53336347E-13,+1.57079633E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-7.83806051E-23,-8.87524763E-12,+8.87524763E-12,-1.57079633E+00
+8.70000000E+01,-9.44046130E-27,+9.88371356E-14,+9.88371356E-14,+1.57079633E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-2.39011589E-24,-1.56215851E-12,+1.56215851E-12,-1.57079633E+00
+8.80000000E+01,-1.89617800E-28,+1.70779419E-14,+1.70779419E-14,+1.57079633E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-7.27978743E-26,-2.67293654E-13,+2.67293654E-13,-1.57079633E+00
+8.90000000E+01,+2.52239570E-29,+2.85662257E-15,+2.85662257E-15,+1.57079633E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-2.07405046E-27,-4.44638533E-14,+4.44638533E-14,-1.57079633E+00
+9.00000000E+01,-1.60400410E-30,+4.62882558E-16,+4.62882558E-16,+1.57079633E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+2.30321843E-29,-7.19210344E-15,+7.19210344E-15,-1.57079633E+00
