s,n,Re(f_ibc0.tm),Im(f_ibc0.tm),Abs(f_ibc0.tm),Arg(f_ibc0.tm),Re(f_ibc0.te),Im(f_ibc0.te),Abs(f_ibc0.te),Arg(f_ibc0.te)
+0.00000000E+00,+0.00000000E+00,-7.91209418E-01,+4.06444430E-01,+8.89499532E-01,+2.66704506E+00,-1.47100664E-01,-3.54206237E-01,+3.83537044E-01,-1.96441953E+00
+0.00000000E+00,+1.00000000E+00,-6.43386553E-03,+7.99529293E-02,+8.02113803E-02,+1.65109397E+00,-9.99558754E-01,+2.10012173E-02,+9.99779353E-01,+3.12058526E+00
+0.00000000E+00,+2.00000000E+00,-1.13624866E-03,-3.36891318E-02,+3.37082878E-02,-1.60451100E+00,-7.28291636E-01,-4.44840341E-01,+8.53400045E-01,-2.59326999E+00
+0.00000000E+00,+3.00000000E+00,-9.14636037E-06,-3.02428119E-03,+3.02429502E-03,-1.57382063E+00,-2.97726699E-04,-1.72521899E-02,+1.72547587E-02,-1.58805194E+00
+0.00000000E+00,+4.00000000E+00,-9.28957664E-09,-9.63824494E-05,+9.63824498E-05,-1.57089271E+00,-1.02660706E-07,-3.20407078E-04,+3.20407094E-04,-1.57111673E+00
+0.00000000E+00,+5.00000000E+00,-2.78036341E-12,-1.66744218E-06,+1.66744218E-06,-1.57079799E+00,-1.79454049E-11,-4.23620170E-06,+4.23620170E-06,-1.57080056E+00
+0.00000000E+00,+6.00000000E+00,-3.36898764E-16,-1.83548023E-08,+1.83548023E-08,-1.57079635E+00,-1.55749309E-15,-3.94650871E-08,+3.94650871E-08,-1.57079637E+00
+0.00000000E+00,+7.00000000E+00,-1.97823602E-20,-1.40649806E-10,+1.40649806E-10,-1.57079633E+00,-7.26725276E-20,-2.69578426E-10,+2.69578426E-10,-1.57079633E+00
+0.00000000E+00,+8.00000000E+00,-6.32877747E-25,-7.95705884E-13,+7.95705884E-13,-1.57079633E+00,-1.96420964E-24,-1.40168623E-12,+1.40168623E-12,-1.57079633E+00
+0.00000000E+00,+9.00000000E+00,-1.13792715E-29,-3.46519551E-15,+3.46519551E-15,-1.57079633E+00,-3.19290274E-29,-5.72151710E-15,+5.72151710E-15,-1.57079633E+00
