s,n,Re(f_ibc6.tm),Im(f_ibc6.tm),Abs(f_ibc6.tm),Arg(f_ibc6.tm),Re(f_ibc6.te),Im(f_ibc6.te),Abs(f_ibc6.te),Arg(f_ibc6.te)
+0.00000000E+00,+0.00000000E+00,-6.81340858E-01,+4.65956536E-01,+8.25433739E-01,+2.54176646E+00,-3.35474005E-03,+5.78228827E-02,+5.79201178E-02,+1.62874888E+00
+0.00000000E+00,+1.00000000E+00,-3.23385310E-03,+5.67749530E-02,+5.68669772E-02,+1.62769400E+00,-4.45676216E-01,-4.97040166E-01,+6.67589856E-01,-2.30176326E+00
+0.00000000E+00,+2.00000000E+00,-1.01231722E-04,-1.00608883E-02,+1.00613976E-02,-1.58085789E+00,-1.46675985E-02,-1.20218385E-01,+1.21109861E-01,-1.69220422E+00
+0.00000000E+00,+3.00000000E+00,-3.09825200E-07,-5.56619353E-04,+5.56619439E-04,-1.57135295E+00,-2.58578783E-05,-5.08499850E-03,+5.08506424E-03,-1.57588141E+00
+0.00000000E+00,+4.00000000E+00,-1.42876776E-10,-1.19531074E-05,+1.19531074E-05,-1.57080828E+00,-1.60235044E-08,-1.26583980E-04,+1.26583981E-04,-1.57092291E+00
+0.00000000E+00,+5.00000000E+00,-2.72431360E-14,-1.65054940E-07,+1.65054940E-07,-1.57079649E+00,-3.88120277E-12,-1.97007684E-06,+1.97007684E-06,-1.57079830E+00
+0.00000000E+00,+6.00000000E+00,-3.07925121E-18,-1.75476732E-09,+1.75476732E-09,-1.57079633E+00,-4.22475487E-16,-2.05542088E-08,+2.05542088E-08,-1.57079635E+00
+0.00000000E+00,+7.00000000E+00,-2.19514184E-22,-1.48021592E-11,+1.48021592E-11,-1.57079633E+00,-2.33426348E-20,-1.52783194E-10,+1.52783194E-10,-1.57079633E+00
+0.00000000E+00,+8.00000000E+00,-1.21756304E-26,-9.75148862E-14,+9.75148862E-14,-1.57079633E+00,-7.18908372E-25,-8.48247647E-13,+8.48247647E-13,-1.57079633E+00
+0.00000000E+00,+9.00000000E+00,-1.31335874E-29,-4.99718839E-16,+4.99718839E-16,-1.57079633E+00,-1.13492243E-29,-3.64842113E-15,+3.64842113E-15,-1.57079633E+00
