n,Re(m_ibc0.11),Im(m_ibc0.11),Abs(m_ibc0.11),Arg(m_ibc0.11),Re(m_ibc0.21),Im(m_ibc0.21),Abs(m_ibc0.21),Arg(m_ibc0.21),Re(m_ibc0.12),Im(m_ibc0.12),Abs(m_ibc0.12),Arg(m_ibc0.12),Re(m_ibc0.22),Im(m_ibc0.22),Abs(m_ibc0.22),Arg(m_ibc0.22)
+7.70000000E+01,-1.39826347E-13,+3.73933614E-07,+3.73933614E-07,+1.57079670E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-1.57119455E-10,+1.25347299E-05,+1.25347299E-05,+1.57080886E+00
+7.80000000E+01,-8.07753795E-15,+8.98751253E-08,+8.98751253E-08,+1.57079642E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-1.44243184E-11,+3.79793607E-06,+3.79793607E-06,+1.57080012E+00
+7.90000000E+01,-4.24417727E-16,+2.06014022E-08,+2.06014022E-08,+1.57079635E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-1.24428490E-12,+1.11547519E-06,+1.11547519E-06,+1.57079744E+00
+8.00000000E+01,-2.03097805E-17,+4.50663878E-09,+4.50663878E-09,+1.57079633E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-1.02016945E-13,+3.19400917E-07,+3.19400917E-07,+1.57079665E+00
+8.10000000E+01,-8.85714974E-19,+9.41125974E-10,+9.41125974E-10,+1.57079633E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-8.07017972E-15,+8.98341816E-08,+8.98341816E-08,+1.57079642E+00
+8.20000000E+01,-3.51960283E-20,+1.87607689E-10,+1.87607689E-10,+1.57079633E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-6.29598248E-16,+2.50918013E-08,+2.50918013E-08,+1.57079635E+00
+8.30000000E+01,-1.27285809E-21,+3.56790874E-11,+3.56790874E-11,+1.57079633E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-5.02199260E-17,+7.08660595E-09,+7.08660595E-09,+1.57079633E+00
+8.40000000E+01,-4.17746209E-23,+6.46541886E-12,+6.46541886E-12,+1.57079633E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-4.39215866E-18,+2.09575340E-09,+2.09575340E-09,+1.57079633E+00
+8.50000000E+01,-1.28755485E-24,+1.11387131E-12,+1.11387131E-12,+1.57079633E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-5.03062766E-19,+7.08376859E-10,+7.08376859E-10,+1.57079633E+00
+8.60000000E+01,-3.19415233E-26,+1.81762838E-13,+1.81762838E-13,+1.57079633E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-1.63493572E-19,+4.04374345E-10,+4.04374345E-10,+1.57079633E+00
+8.70000000E+01,-5.68427561E-28,+2.79172718E-14,+2.79172718E-14,+1.57079633E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-7.37832180E-21,-8.59381738E-11,+8.59381738E-11,-1.57079633E+00
+8.80000000E+01,+1.90088386E-29,+3.99156975E-15,+3.99156975E-15,+1.57079633E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-2.55965868E-23,-5.07631278E-12,+5.07631278E-12,-1.57079633E+00
+8.90000000E+01,+6.16163983E-30,+5.20187966E-16,+5.20187966E-16,+1.57079633E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-2.84823736E-25,-5.38434301E-13,+5.38434301E-13,-1.57079633E+00
+9.00000000E+01,+1.05975023E-30,+5.89540555E-17,+5.89540555E-17,+1.57079633E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-3.91541982E-27,-6.61149485E-14,+6.61149485E-14,-1.57079633E+00
