s,n,Re(f_ibc0.11),Im(f_ibc0.11),Abs(f_ibc0.11),Arg(f_ibc0.11),Re(f_ibc0.21),Im(f_ibc0.21),Abs(f_ibc0.21),Arg(f_ibc0.21),Re(f_ibc0.12),Im(f_ibc0.12),Abs(f_ibc0.12),Arg(f_ibc0.12),Re(f_ibc0.22),Im(f_ibc0.22),Abs(f_ibc0.22),Arg(f_ibc0.22)
+0.00000000E+00,+4.90000000E+01,-2.14317649E-01,+4.10348138E-01,+4.62944542E-01,+2.05211061E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-9.97967917E-01,-4.50328089E-02,+9.98983442E-01,-3.09649874E+00
+0.00000000E+00,+5.00000000E+01,-3.19725076E-02,-1.75926878E-01,+1.78808578E-01,-1.75057171E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-6.39588844E-01,+4.80119729E-01,+7.99742986E-01,+2.49766331E+00
+0.00000000E+00,+5.10000000E+01,-5.28987066E-01,-4.99159043E-01,+7.27314970E-01,-2.38519782E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-6.72504747E-02,+2.50455282E-01,+2.59326965E-01,+1.83312159E+00
+0.00000000E+00,+5.20000000E+01,-9.77909515E-01,-1.46977875E-01,+9.88893076E-01,-2.99241125E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-1.35528844E-01,-3.42287564E-01,+3.68142424E-01,-1.94780667E+00
+0.00000000E+00,+5.30000000E+01,-8.26557190E-01,+3.78629637E-01,+9.09151907E-01,+2.71203943E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-6.99248059E-01,-4.58585010E-01,+8.36210535E-01,-2.56113277E+00
+0.00000000E+00,+5.40000000E+01,-3.11564802E-01,+4.63133001E-01,+5.58179901E-01,+2.16298687E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-9.99964456E-01,+5.96180901E-03,+9.99982228E-01,+3.13563070E+00
+0.00000000E+00,+5.50000000E+01,-5.49317022E-03,+7.39120782E-02,+7.41159242E-02,+1.64498027E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-7.13801535E-01,+4.51983300E-01,+8.44867762E-01,+2.57711426E+00
+0.00000000E+00,+5.60000000E+01,-1.59786984E-01,-3.66408383E-01,+3.99733641E-01,-1.98202257E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-2.10650403E-01,+4.07770537E-01,+4.58966669E-01,+2.04762811E+00
+0.00000000E+00,+5.70000000E+01,-5.76576168E-01,-4.94101296E-01,+7.59326127E-01,-2.43307322E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-4.99689124E-04,-2.23481417E-02,+2.23537273E-02,-1.59315192E+00
+0.00000000E+00,+5.80000000E+01,-9.16123330E-01,-2.77202768E-01,+9.57143317E-01,-2.84776840E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-2.21331679E-01,-4.15143309E-01,+4.70459009E-01,-2.06060720E+00
