s,n,Re(f_ibc6.tm),Im(f_ibc6.tm),Abs(f_ibc6.tm),Arg(f_ibc6.tm),Re(f_ibc6.te),Im(f_ibc6.te),Abs(f_ibc6.te),Arg(f_ibc6.te)
+0.00000000E+00,+0.00000000E+00,-6.88813616E-01,+4.62978853E-01,+8.29947960E-01,+2.54981072E+00,-5.17307553E-02,+2.21482921E-01,+2.27443961E-01,+1.80024837E+00
+0.00000000E+00,+1.00000000E+00,-3.03965938E-03,+5.50492493E-02,+5.51331060E-02,+1.62595740E+00,-3.85358463E-01,-4.86679893E-01,+6.20772473E-01,-2.24052396E+00
+0.00000000E+00,+2.00000000E+00,-1.41162937E-04,-1.18803624E-02,+1.18812010E-02,-1.58267781E+00,-1.93852604E-02,-1.37874842E-01,+1.39230960E-01,-1.71048110E+00
+0.00000000E+00,+3.00000000E+00,-3.94396121E-07,-6.28009527E-04,+6.28009651E-04,-1.57142434E+00,-3.05498588E-05,-5.52710824E-03,+5.52719267E-03,-1.57632355E+00
+0.00000000E+00,+4.00000000E+00,-1.31366824E-10,-1.14615367E-05,+1.14615367E-05,-1.57080779E+00,-1.59479840E-08,-1.26285327E-04,+1.26285328E-04,-1.57092261E+00
+0.00000000E+00,+5.00000000E+00,-1.22337389E-14,-1.10606234E-07,+1.10606234E-07,-1.57079644E+00,-3.37858226E-12,-1.83809202E-06,+1.83809202E-06,-1.57079816E+00
+0.00000000E+00,+6.00000000E+00,-4.89933738E-19,-6.99953452E-10,+6.99953452E-10,-1.57079633E+00,-3.36952709E-16,-1.83562718E-08,+1.83562718E-08,-1.57079635E+00
+0.00000000E+00,+7.00000000E+00,-1.36781984E-23,-3.69885777E-12,+3.69885777E-12,-1.57079633E+00,-1.76865348E-20,-1.32990773E-10,+1.32990773E-10,-1.57079633E+00
+0.00000000E+00,+8.00000000E+00,-4.09014626E-28,-2.02736086E-14,+2.02736086E-14,-1.57079633E+00,-5.30507890E-25,-7.28539832E-13,+7.28539832E-13,-1.57079633E+00
+0.00000000E+00,+9.00000000E+00,-8.51635109E-32,-1.11180528E-16,+1.11180528E-16,-1.57079633E+00,-9.05344433E-30,-3.11609428E-15,+3.11609428E-15,-1.57079633E+00
