s1,s2,Re(z_ex.tm),Im(z_ex.tm),Abs(z_ex.tm),Arg(z_ex.tm),Re(z_ex.te),Im(z_ex.te),Abs(z_ex.te),Arg(z_ex.te)
+9.40000000E-01,+0.00000000E+00,-8.56375627E-18,+3.72548274E-01,+3.72548274E-01,+1.57079633E+00,-3.18445119E-15,+1.25759555E+00,+1.25759555E+00,+1.57079633E+00
+9.50000000E-01,+0.00000000E+00,+9.15363061E-17,+3.68706957E-01,+3.68706957E-01,+1.57079633E+00,-8.61078596E-16,+1.25035404E+00,+1.25035404E+00,+1.57079633E+00
+9.60000000E-01,+0.00000000E+00,-5.71507783E-17,+3.64853888E-01,+3.64853888E-01,+1.57079633E+00,-3.37908907E-15,+1.24312828E+00,+1.24312828E+00,+1.57079633E+00
+9.70000000E-01,+0.00000000E+00,+1.19746344E-16,+3.60989615E-01,+3.60989615E-01,+1.57079633E+00,-4.58162309E-16,+1.23591942E+00,+1.23591942E+00,+1.57079633E+00
+9.80000000E-01,+0.00000000E+00,+4.77866113E-17,+3.57114682E-01,+3.57114682E-01,+1.57079633E+00,+7.85377499E-16,+1.22872854E+00,+1.22872854E+00,+1.57079633E+00
+9.90000000E-01,+0.00000000E+00,+2.26605497E-17,+3.53229622E-01,+3.53229622E-01,+1.57079633E+00,-1.90866562E-15,+1.22155670E+00,+1.22155670E+00,+1.57079633E+00
+1.00000000E+00,+0.00000000E+00,+6.73362313E-17,+3.49334963E-01,+3.49334963E-01,+1.57079633E+00,+5.74331609E-16,+1.21440492E+00,+1.21440492E+00,+1.57079633E+00
+1.01000000E+00,+0.00000000E+00,-5.23970138E-17,+3.45431226E-01,+3.45431226E-01,+1.57079633E+00,+1.18447643E-17,+1.20727420E+00,+1.20727420E+00,+1.57079633E+00
+1.02000000E+00,+0.00000000E+00,-4.12537922E-17,+3.41518923E-01,+3.41518923E-01,+1.57079633E+00,+8.94286391E-16,+1.20016548E+00,+1.20016548E+00,+1.57079633E+00
+1.03000000E+00,+0.00000000E+00,+2.93615517E-16,+3.37598561E-01,+3.37598561E-01,+1.57079633E+00,+1.80849985E-15,+1.19307970E+00,+1.19307970E+00,+1.57079633E+00
+1.04000000E+00,+0.00000000E+00,+8.65856915E-17,+3.33670636E-01,+3.33670636E-01,+1.57079633E+00,-3.33930167E-15,+1.18601774E+00,+1.18601774E+00,+1.57079633E+00
+1.05000000E+00,+0.00000000E+00,-7.48102812E-17,+3.29735640E-01,+3.29735640E-01,+1.57079633E+00,-4.52541631E-15,+1.17898047E+00,+1.17898047E+00,+1.57079633E+00
+1.06000000E+00,+0.00000000E+00,+3.47653425E-18,+3.25794055E-01,+3.25794055E-01,+1.57079633E+00,+1.86546526E-16,+1.17196870E+00,+1.17196870E+00,+1.57079633E+00
+1.07000000E+00,+0.00000000E+00,+5.80030108E-17,+3.21846357E-01,+3.21846357E-01,+1.57079633E+00,-1.37404344E-15,+1.16498323E+00,+1.16498323E+00,+1.57079633E+00
+1.08000000E+00,+0.00000000E+00,+2.85477271E-17,+3.17893013E-01,+3.17893013E-01,+1.57079633E+00,-1.29524659E-15,+1.15802483E+00,+1.15802483E+00,+1.57079633E+00
+1.09000000E+00,+0.00000000E+00,+3.82369960E-17,+3.13934483E-01,+3.13934483E-01,+1.57079633E+00,-4.31331821E-16,+1.15109423E+00,+1.15109423E+00,+1.57079633E+00
+1.10000000E+00,+0.00000000E+00,+1.51183042E-16,+3.09971220E-01,+3.09971220E-01,+1.57079633E+00,-9.04492415E-16,+1.14419214E+00,+1.14419214E+00,+1.57079633E+00
+1.11000000E+00,+0.00000000E+00,-8.53055855E-17,+3.06003668E-01,+3.06003668E-01,+1.57079633E+00,-7.56801204E-16,+1.13731924E+00,+1.13731924E+00,+1.57079633E+00
+1.12000000E+00,+0.00000000E+00,+3.97723443E-17,+3.02032264E-01,+3.02032264E-01,+1.57079633E+00,+9.76164809E-16,+1.13047617E+00,+1.13047617E+00,+1.57079633E+00
+1.13000000E+00,+0.00000000E+00,+3.72500674E-16,+2.98057437E-01,+2.98057437E-01,+1.57079633E+00,-1.13200997E-15,+1.12366354E+00,+1.12366354E+00,+1.57079633E+00
+1.14000000E+00,+0.00000000E+00,-5.97590137E-17,+2.94079610E-01,+2.94079610E-01,+1.57079633E+00,-4.76181335E-15,+1.11688197E+00,+1.11688197E+00,+1.57079633E+00
