s,n,Re(f_ex.tm),Im(f_ex.tm),Abs(f_ex.tm),Arg(f_ex.tm),Re(f_ex.te),Im(f_ex.te),Abs(f_ex.te),Arg(f_ex.te)
+0.00000000E+00,+0.00000000E+00,-6.81277282E-01,+4.65981273E-01,+8.25395228E-01,+2.54169824E+00,-3.24501021E-03,+5.68724900E-02,+5.69649910E-02,+1.62779217E+00
+0.00000000E+00,+1.00000000E+00,-3.24501021E-03,+5.68724900E-02,+5.69649910E-02,+1.62779217E+00,-4.44314010E-01,-4.96889395E-01,+6.66568834E-01,-2.30039273E+00
+0.00000000E+00,+2.00000000E+00,-1.01905260E-04,-1.00942991E-02,+1.00948135E-02,-1.58089131E+00,-1.47844109E-02,-1.20688989E-01,+1.21591163E-01,-1.69268911E+00
