s,n,Re(f_ibc6.tm),Im(f_ibc6.tm),Abs(f_ibc6.tm),Arg(f_ibc6.tm),Re(f_ibc6.te),Im(f_ibc6.te),Abs(f_ibc6.te),Arg(f_ibc6.te)
+0.00000000E+00,+0.00000000E+00,-2.25363578E-01,+4.17821536E-01,+4.74724740E-01,+2.06544758E+00,-7.03318292E-01,-4.56795000E-01,+8.38640741E-01,-2.56557924E+00
+0.00000000E+00,+1.00000000E+00,-7.03374230E-01,-4.56770098E-01,+8.38674091E-01,-2.56564047E+00,-3.65533894E-01,+4.81579553E-01,+6.04593991E-01,+2.22005238E+00
+0.00000000E+00,+2.00000000E+00,-5.36442343E-01,+4.98670187E-01,+7.32422244E-01,+2.39266918E+00,-4.15691019E-01,-4.92840741E-01,+6.44741048E-01,-2.27148080E+00
+0.00000000E+00,+3.00000000E+00,-1.06268674E-01,-3.08181185E-01,+3.25988763E-01,-1.90285376E+00,-8.95817745E-01,+3.05496829E-01,+9.46476489E-01,+2.81293506E+00
+0.00000000E+00,+4.00000000E+00,-9.30321511E-01,-2.54604394E-01,+9.64531757E-01,-2.87446005E+00,-3.99201664E-02,+1.95771670E-01,+1.99800316E-01,+1.77195045E+00
+0.00000000E+00,+5.00000000E+00,-7.65823915E-01,+4.23482758E-01,+8.75113658E-01,+2.63646697E+00,-3.86361455E-01,-4.86915065E-01,+6.21579805E-01,-2.24155415E+00
+0.00000000E+00,+6.00000000E+00,-2.40597389E-01,+4.27446237E-01,+4.90507277E-01,+2.08346810E+00,-9.53025724E-01,-2.11583774E-01,+9.76230364E-01,-2.92312342E+00
+0.00000000E+00,+7.00000000E+00,-3.41687147E-02,+1.81662362E-01,+1.84847815E-01,+1.75671333E+00,-9.55325049E-01,+2.06589206E-01,+9.77407309E-01,+2.92862186E+00
+0.00000000E+00,+8.00000000E+00,-2.13352131E-03,+4.61407563E-02,+4.61900564E-02,+1.61700282E+00,-9.99397124E-01,-2.45461351E-02,+9.99698516E-01,-3.11703665E+00
+0.00000000E+00,+9.00000000E+00,-5.82680831E-05,+7.63313094E-03,+7.63335333E-03,+1.57842975E+00,-3.45206341E-02,-1.82562208E-01,+1.85797293E-01,-1.75767955E+00
+0.00000000E+00,+1.00000000E+01,-7.49436338E-07,+8.65699588E-04,+8.65699912E-04,+1.57166203E+00,-3.28665196E-04,-1.81261462E-02,+1.81291256E-02,-1.58892645E+00
+0.00000000E+00,+1.10000000E+01,-4.74575102E-09,+6.88894114E-05,+6.88894116E-05,+1.57086522E+00,-3.27053373E-06,-1.80845874E-03,+1.80846170E-03,-1.57260479E+00
+0.00000000E+00,+1.20000000E+01,-1.31377302E-11,+3.62460071E-06,+3.62460071E-06,+1.57079995E+00,-2.56021744E-08,-1.60006793E-04,+1.60006795E-04,-1.57095633E+00
+0.00000000E+00,+1.30000000E+01,-5.78294114E-15,+7.60457364E-08,+7.60457364E-08,+1.57079640E+00,-1.48854148E-10,-1.22005798E-05,+1.22005798E-05,-1.57080853E+00
+0.00000000E+00,+1.40000000E+01,-5.46268441E-17,-7.39108098E-09,+7.39108098E-09,-1.57079633E+00,-6.42431178E-13,-8.01518046E-07,+8.01518046E-07,-1.57079713E+00
+0.00000000E+00,+1.50000000E+01,-1.09598121E-18,-1.04694233E-09,+1.04694233E-09,-1.57079633E+00,-2.08548103E-15,-4.56670679E-08,+4.56670679E-08,-1.57079637E+00
+0.00000000E+00,+1.60000000E+01,-6.19531397E-21,-7.87533453E-11,+7.87533453E-11,-1.57079633E+00,-5.17357152E-18,-2.27454850E-09,+2.27454850E-09,-1.57079633E+00
+0.00000000E+00,+1.70000000E+01,-1.92224040E-23,-4.42379278E-12,+4.42379278E-12,-1.57079633E+00,-9.96157582E-21,-9.98064159E-11,+9.98064159E-11,-1.57079633E+00
+0.00000000E+00,+1.80000000E+01,-2.39323803E-26,-2.02723000E-13,+2.02723000E-13,-1.57079633E+00,-1.51030739E-23,-3.88605934E-12,+3.88605934E-12,-1.57079633E+00
