s1,s2,Re(z_ex.11),Im(z_ex.11),Abs(z_ex.11),Arg(z_ex.11),Re(z_ex.21),Im(z_ex.21),Abs(z_ex.21),Arg(z_ex.21),Re(z_ex.12),Im(z_ex.12),Abs(z_ex.12),Arg(z_ex.12),Re(z_ex.22),Im(z_ex.22),Abs(z_ex.22),Arg(z_ex.22)
+8.52448763E-01,+0.00000000E+00,+5.03033709E-15,+7.14908499E-01,+7.14908499E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+3.54649826E-14,+8.25535202E-01,+8.25535202E-01,+1.57079633E+00
+8.68234851E-01,+0.00000000E+00,+3.19317712E-14,+7.08241149E-01,+7.08241149E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+2.64067140E-15,+8.22082938E-01,+8.22082938E-01,+1.57079633E+00
+8.84020939E-01,+0.00000000E+00,+7.24947138E-15,+7.01511045E-01,+7.01511045E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+3.17007011E-14,+8.18600300E-01,+8.18600300E-01,+1.57079633E+00
+8.99807028E-01,+0.00000000E+00,+1.68690137E-14,+6.94720569E-01,+6.94720569E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+2.05591605E-14,+8.15088603E-01,+8.15088603E-01,+1.57079633E+00
+9.15593116E-01,+0.00000000E+00,+2.69525400E-14,+6.87872084E-01,+6.87872084E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+7.26745046E-15,+8.11549150E-01,+8.11549150E-01,+1.57079633E+00
+9.31379204E-01,+0.00000000E+00,+1.99788653E-15,+6.80967934E-01,+6.80967934E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+3.70165244E-14,+8.07983233E-01,+8.07983233E-01,+1.57079633E+00
+9.47165292E-01,+0.00000000E+00,+2.55737992E-14,+6.74010441E-01,+6.74010441E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+7.62971055E-15,+8.04392133E-01,+8.04392133E-01,+1.57079633E+00
+9.62951380E-01,+0.00000000E+00,+1.64434764E-14,+6.67001905E-01,+6.67001905E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+1.81687560E-14,+8.00777117E-01,+8.00777117E-01,+1.57079633E+00
+9.78737469E-01,+0.00000000E+00,+5.14434028E-15,+6.59944602E-01,+6.59944602E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+3.23476753E-14,+7.97139439E-01,+7.97139439E-01,+1.57079633E+00
+9.94523557E-01,+0.00000000E+00,+2.88801216E-14,+6.52840784E-01,+6.52840784E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+2.32305102E-15,+7.93480339E-01,+7.93480339E-01,+1.57079633E+00
+1.01030964E+00,+0.00000000E+00,+7.87186635E-15,+6.45692675E-01,+6.45692675E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+2.80212245E-14,+7.89801042E-01,+7.89801042E-01,+1.57079633E+00
