s1,s2,Re(r_ibc0.11),Im(r_ibc0.11),Abs(r_ibc0.11),Arg(r_ibc0.11),Re(r_ibc0.21),Im(r_ibc0.21),Abs(r_ibc0.21),Arg(r_ibc0.21),Re(r_ibc0.12),Im(r_ibc0.12),Abs(r_ibc0.12),Arg(r_ibc0.12),Re(r_ibc0.22),Im(r_ibc0.22),Abs(r_ibc0.22),Arg(r_ibc0.22)
+1.60000000E-01,+0.00000000E+00,+6.50799077E-02,-9.97880056E-01,+1.00000000E+00,-1.50567039E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.08541735E-02,-9.95864207E-01,+1.00000000E+00,-1.47981669E+00
+1.70000000E-01,+0.00000000E+00,+6.33906833E-02,-9.97988788E-01,+1.00000000E+00,-1.50736311E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.25361349E-02,-9.95709327E-01,+1.00000000E+00,-1.47812762E+00
+1.80000000E-01,+0.00000000E+00,+6.15923986E-02,-9.98101386E-01,+1.00000000E+00,-1.50916492E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.43257104E-02,-9.95541391E-01,+1.00000000E+00,-1.47633018E+00
+1.90000000E-01,+0.00000000E+00,+5.96838308E-02,-9.98217331E-01,+1.00000000E+00,-1.51107701E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.62239332E-02,-9.95359711E-01,+1.00000000E+00,-1.47442328E+00
+2.00000000E-01,+0.00000000E+00,+5.76636750E-02,-9.98336066E-01,+1.00000000E+00,-1.51310065E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.82319046E-02,-9.95163551E-01,+1.00000000E+00,-1.47240575E+00
+2.10000000E-01,+0.00000000E+00,+5.55305410E-02,-9.98456989E-01,+1.00000000E+00,-1.51523721E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+1.00350796E-01,-9.94952118E-01,+1.00000000E+00,-1.47027634E+00
+2.20000000E-01,+0.00000000E+00,+5.32829515E-02,-9.98579455E-01,+1.00000000E+00,-1.51748813E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+1.02581850E-01,-9.94724567E-01,+1.00000000E+00,-1.46803371E+00
+2.30000000E-01,+0.00000000E+00,+5.09193391E-02,-9.98702769E-01,+1.00000000E+00,-1.51985496E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+1.04926382E-01,-9.94479992E-01,+1.00000000E+00,-1.46567645E+00
+2.40000000E-01,+0.00000000E+00,+4.84380436E-02,-9.98826189E-01,+1.00000000E+00,-1.52233932E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+1.07385785E-01,-9.94217427E-01,+1.00000000E+00,-1.46320307E+00
+2.50000000E-01,+0.00000000E+00,+4.58373092E-02,-9.98948918E-01,+1.00000000E+00,-1.52494295E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+1.09961528E-01,-9.93935844E-01,+1.00000000E+00,-1.46061198E+00
