s,n,Re(f_ibc3.tm),Im(f_ibc3.tm),Abs(f_ibc3.tm),Arg(f_ibc3.tm),Re(f_ibc3.te),Im(f_ibc3.te),Abs(f_ibc3.te),Arg(f_ibc3.te)
+0.00000000E+00,+0.00000000E+00,-2.58565205E-01,+4.37846137E-01,+5.08493073E-01,+2.10423014E+00,-7.30949310E-01,-4.43466364E-01,+8.54955736E-01,-2.59626182E+00
+0.00000000E+00,+1.00000000E+00,-6.69424548E-01,-4.70420368E-01,+8.18183688E-01,-2.52904117E+00,-3.37715366E-01,+4.72930965E-01,+5.81132830E-01,+2.19091634E+00
+0.00000000E+00,+2.00000000E+00,-5.66394672E-01,+4.95572142E-01,+7.52591969E-01,+2.42278585E+00,-4.40175940E-01,-4.96408181E-01,+6.63457565E-01,-2.29622677E+00
+0.00000000E+00,+3.00000000E+00,-9.44918512E-02,-2.92511780E-01,+3.07395269E-01,-1.88325088E+00,-8.84432252E-01,+3.19705871E-01,+9.40442583E-01,+2.79472619E+00
+0.00000000E+00,+4.00000000E+00,-9.27348570E-01,-2.59563480E-01,+9.62989392E-01,-2.86867807E+00,-3.59010872E-02,+1.86043541E-01,+1.89475822E-01,+1.76142460E+00
+0.00000000E+00,+5.00000000E+00,-7.57683270E-01,+4.28484927E-01,+8.70450039E-01,+2.62691215E+00,-3.89092301E-01,-4.87544339E-01,+6.23772636E-01,-2.24435656E+00
+0.00000000E+00,+6.00000000E+00,-2.21538780E-01,+4.15282252E-01,+4.70679063E-01,+2.06085659E+00,-9.51320450E-01,-2.15197238E-01,+9.75356576E-01,-2.91912778E+00
+0.00000000E+00,+7.00000000E+00,-2.39946653E-02,+1.53032419E-01,+1.54902115E-01,+1.72632470E+00,-9.59107500E-01,+1.98041167E-01,+9.79340339E-01,+2.93796951E+00
+0.00000000E+00,+8.00000000E+00,-1.61147673E-03,+4.01108448E-02,+4.01432028E-02,+1.61095032E+00,-9.98965559E-01,-3.21460905E-02,+9.99482646E-01,-3.10942438E+00
+0.00000000E+00,+9.00000000E+00,-1.42974560E-05,+3.78117066E-03,+3.78119769E-03,+1.57457753E+00,-3.67404877E-02,-1.88123960E-01,+1.91678084E-01,-1.76366798E+00
+0.00000000E+00,+1.00000000E+01,-7.29888220E-09,-8.54334954E-05,+8.54334957E-05,-1.57088176E+00,-3.63486805E-04,-1.90618646E-02,+1.90653299E-02,-1.58986281E+00
+0.00000000E+00,+1.10000000E+01,-8.25023147E-09,-9.08307845E-05,+9.08307848E-05,-1.57088716E+00,-3.75291295E-06,-1.93724001E-03,+1.93724365E-03,-1.57273357E+00
