n,Re(m_ibc0.11),Im(m_ibc0.11),Abs(m_ibc0.11),Arg(m_ibc0.11),Re(m_ibc0.21),Im(m_ibc0.21),Abs(m_ibc0.21),Arg(m_ibc0.21),Re(m_ibc0.12),Im(m_ibc0.12),Abs(m_ibc0.12),Arg(m_ibc0.12),Re(m_ibc0.22),Im(m_ibc0.22),Abs(m_ibc0.22),Arg(m_ibc0.22)
+0.00000000E+00,-8.60661372E-01,-3.46299545E-01,+9.27718369E-01,-2.75904962E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-1.39338628E-01,+3.46299545E-01,+3.73280897E-01,+1.95333937E+00
+1.00000000E+00,-1.50428471E-01,+3.57490903E-01,+3.87851094E-01,+1.96909537E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-8.49527575E-01,-3.57533879E-01,+9.21698201E-01,-2.74323214E+00
+2.00000000E+00,-8.26358971E-01,-3.78800504E-01,+9.09042888E-01,-2.71177773E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-1.73780827E-01,+3.78920904E-01,+4.16870276E-01,+2.00079575E+00
+3.00000000E+00,-2.10867910E-01,+4.07924790E-01,+4.59203560E-01,+2.04789476E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-7.88830768E-01,-4.08138197E-01,+8.88161454E-01,-2.66412498E+00
+4.00000000E+00,-7.35521974E-01,-4.41054872E-01,+8.57625777E-01,-2.60143143E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-2.65021529E-01,+4.41344670E-01,+5.14802417E-01,+2.11157349E+00
+5.00000000E+00,-3.36674244E-01,+4.72572426E-01,+5.80236369E-01,+2.18981521E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-6.62451294E-01,-4.72873743E-01,+8.13911109E-01,-2.52164885E+00
+6.00000000E+00,-5.71461678E-01,-4.94866880E-01,+7.55950844E-01,-2.42790172E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-4.29821844E-01,+4.95050529E-01,+6.55607996E-01,+2.28578385E+00
+7.00000000E+00,-5.38763807E-01,+4.98495103E-01,+7.34005318E-01,+2.39499723E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-4.59510180E-01,-4.98357878E-01,+6.77871802E-01,-2.31566029E+00
+8.00000000E+00,-3.37809868E-01,-4.72963382E-01,+5.81214133E-01,-2.19101624E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-6.64298023E-01,+4.72235280E-01,+8.15044798E-01,+2.52360284E+00
+9.00000000E+00,-7.88439219E-01,+4.08415006E-01,+8.87941000E-01,+2.66364547E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-2.09283729E-01,-4.06797308E-01,+4.57475386E-01,-2.04595032E+00
+1.00000000E+01,-9.87976963E-02,-2.98390200E-01,+3.14321008E-01,-1.89053765E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-9.03234785E-01,+2.95637800E-01,+9.50386650E-01,+2.82527284E+00
+1.10000000E+01,-9.78960881E-01,+1.43514719E-01,+9.89424520E-01,+2.99603048E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-1.98739695E-02,-1.39567170E-01,+1.40975067E-01,-1.71224258E+00
+1.20000000E+01,-1.99094424E-03,+4.45755581E-02,+4.46199982E-02,+1.61543114E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-9.97550543E-01,-4.94313412E-02,+9.98774520E-01,-3.09208043E+00
+1.30000000E+01,-9.38359740E-01,-2.40501016E-01,+9.68689702E-01,-2.89069401E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-6.44138500E-02,+2.45488708E-01,+2.53798838E-01,+1.82740200E+00
+1.40000000E+01,-2.07763460E-01,+4.05706550E-01,+4.55810772E-01,+2.04407923E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-7.86850986E-01,-4.09532065E-01,+8.87046214E-01,-2.66170374E+00
+1.50000000E+01,-5.73287265E-01,-4.94599815E-01,+7.57157358E-01,-2.42974674E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-4.34214695E-01,+4.95653401E-01,+6.58949691E-01,+2.29021789E+00
+1.60000000E+01,-6.77308943E-01,+4.67505656E-01,+8.22987815E-01,+2.53744717E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-3.14660417E-01,-4.64380489E-01,+5.60946002E-01,-2.16632440E+00
+1.70000000E+01,-1.06869127E-01,-3.08946786E-01,+3.26908439E-01,-1.90382674E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-8.99069878E-01,+3.01236174E-01,+9.48192954E-01,+2.81829508E+00
+1.80000000E+01,-9.97928286E-01,+4.54689111E-02,+9.98963606E-01,+3.09606084E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-1.19724331E-03,-3.45804846E-02,+3.46012038E-02,-1.60540444E+00
+1.90000000E+01,-6.53120163E-02,+2.47075610E-01,+2.55562157E-01,+1.82922545E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-9.28534743E-01,-2.57600416E-01,+9.63605076E-01,-2.87097168E+00
+2.00000000E+01,-7.00644048E-01,-4.57975945E-01,+8.37044830E-01,-2.56265584E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-3.11829384E-01,+4.63240563E-01,+5.58416855E-01,+2.16327248E+00
+2.10000000E+01,-6.29200519E-01,+4.83018867E-01,+7.93221608E-01,+2.48687782E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-3.56399485E-01,-4.78935165E-01,+5.96992031E-01,-2.21054275E+00
+2.20000000E+01,-8.78052634E-02,-2.83011482E-01,+2.96319529E-01,-1.87163313E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-9.21298016E-01,+2.69273062E-01,+9.59842704E-01,+2.85723731E+00
+2.30000000E+01,-9.95125103E-01,-6.96500711E-02,+9.97559574E-01,-3.07171534E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-7.71675581E-03,+8.75054712E-02,+8.78450671E-02,+1.65875477E+00
+2.40000000E+01,-1.95133991E-01,+3.96303819E-01,+4.41739733E-01,+2.02833327E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-7.88961737E-01,-4.08045481E-01,+8.88235181E-01,-2.66428545E+00
+2.50000000E+01,-4.23441973E-01,-4.94104107E-01,+6.50724191E-01,-2.27933412E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-5.97778170E-01,+4.90346234E-01,+7.73161154E-01,+2.45460685E+00
+2.60000000E+01,-9.20068457E-01,+2.71187189E-01,+9.59201990E-01,+2.85496229E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-6.76896588E-02,-2.51212597E-01,+2.60172364E-01,-1.83399704E+00
+2.70000000E+01,-2.31049383E-02,+1.50236813E-01,+1.52003086E-01,+1.72339092E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-9.68648682E-01,-1.74265352E-01,+9.84199513E-01,-2.96359112E+00
+2.80000000E+01,-6.72501629E-01,-4.69300744E-01,+8.20061966E-01,-2.53231562E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-3.53546105E-01,+4.78070347E-01,+5.94597431E-01,+2.20756119E+00
+2.90000000E+01,-7.80806950E-01,+4.13699718E-01,+8.83632814E-01,+2.65436203E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-1.95147472E-01,-3.96314189E-01,+4.41754991E-01,-2.02835028E+00
+3.00000000E+01,-2.32548670E-05,+4.82227397E-03,+4.82233004E-03,+1.57561868E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-9.98646330E-01,-3.67673416E-02,+9.99322936E-01,-3.10479210E+00
+3.10000000E+01,-7.57574309E-01,-4.28550435E-01,+8.70387447E-01,-2.62678501E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-2.72493938E-01,+4.45242621E-01,+5.22009520E-01,+2.12000158E+00
+3.20000000E+01,-7.46272439E-01,+4.35143523E-01,+8.63870615E-01,+2.61370025E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-2.22279781E-01,-4.15778162E-01,+4.71465567E-01,-2.06174823E+00
+3.30000000E+01,-3.42392750E-04,+1.85006896E-02,+1.85038577E-02,+1.58930124E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-9.96626100E-01,-5.79872087E-02,+9.98311625E-01,-3.08347466E+00
+3.40000000E+01,-6.96542927E-01,-4.59750887E-01,+8.34591473E-01,-2.55818709E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-3.43124465E-01,+4.74752637E-01,+5.85768269E-01,+2.19662398E+00
+3.50000000E+01,-8.45638118E-01,+3.61295297E-01,+9.19585840E-01,+2.73782137E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-1.23041632E-01,-3.28484991E-01,+3.50772907E-01,-1.92919265E+00
+3.60000000E+01,-3.90022861E-02,+1.93600382E-01,+1.97489964E-01,+1.76959312E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-9.40090425E-01,-2.37319232E-01,+9.69582604E-01,-2.89431604E+00
+3.70000000E+01,-4.64868426E-01,-4.98764245E-01,+6.81812603E-01,-2.32103395E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-5.86469264E-01,+4.92466310E-01,+7.65812813E-01,+2.44310068E+00
+3.80000000E+01,-9.88161700E-01,+1.08158010E-01,+9.94063227E-01,+3.03257287E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-2.89567767E-03,-5.37335344E-02,+5.38115013E-02,-1.62463383E+00
+3.90000000E+01,-2.74927632E-01,+4.46477804E-01,+5.24335420E-01,+2.12273078E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-6.71132395E-01,-4.69801770E-01,+8.19226706E-01,-2.53085760E+00
+4.00000000E+01,-1.09878215E-01,-3.12737898E-01,+3.31478830E-01,-1.90866692E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-9.26127371E-01,+2.61563498E-01,+9.62355117E-01,+2.86633469E+00
