s,n,Re(f_ibc6.tm),Im(f_ibc6.tm),Abs(f_ibc6.tm),Arg(f_ibc6.tm),Re(f_ibc6.te),Im(f_ibc6.te),Abs(f_ibc6.te),Arg(f_ibc6.te)
+0.00000000E+00,+0.00000000E+00,-2.75076750E-01,+4.46552944E-01,+5.24477597E-01,+2.12289776E+00,-7.17689741E-01,-4.50123513E-01,+8.47165711E-01,-2.58142437E+00
+0.00000000E+00,+1.00000000E+00,-7.17770409E-01,-4.50084491E-01,+8.47213320E-01,-2.58151398E+00,-2.89425747E-01,+4.53495848E-01,+5.37983036E-01,+2.13883888E+00
+0.00000000E+00,+2.00000000E+00,-3.04015228E-01,+4.59989097E-01,+5.51375759E-01,+2.15480875E+00,-6.88919829E-01,-4.62935523E-01,+8.30011945E-01,-2.54992543E+00
+0.00000000E+00,+3.00000000E+00,-6.58696305E-01,-4.74147111E-01,+8.11601075E-01,-2.51768382E+00,-3.48089613E-01,+4.76364602E-01,+5.89991198E-01,+2.20184427E+00
+0.00000000E+00,+4.00000000E+00,-3.95163734E-01,+4.88885833E-01,+6.28620501E-01,+2.25057447E+00,-5.98554492E-01,-4.90190791E-01,+7.73663035E-01,-2.45539858E+00
+0.00000000E+00,+5.00000000E+00,-5.33737773E-01,-4.98860464E-01,+7.30573592E-01,-2.38995792E+00,-4.71735723E-01,+4.99200491E-01,+6.86830199E-01,+2.32791514E+00
+0.00000000E+00,+6.00000000E+00,-5.53993493E-01,+4.97076154E-01,+7.44307392E-01,+2.41029348E+00,-4.41692007E-01,-4.96588540E-01,+6.64599133E-01,-2.29775352E+00
+0.00000000E+00,+7.00000000E+00,-3.44625978E-01,-4.75246161E-01,+5.87048531E-01,-2.19820452E+00,-6.58211045E-01,+4.74309251E-01,+8.11302068E-01,+2.51717219E+00
+0.00000000E+00,+8.00000000E+00,-7.63842559E-01,+4.24720030E-01,+8.73980869E-01,+2.63413102E+00,-2.34953117E-01,-4.23969515E-01,+4.84719627E-01,-2.07683892E+00
+0.00000000E+00,+9.00000000E+00,-1.31730210E-01,-3.38197223E-01,+3.62946566E-01,-1.94222448E+00,-8.68021618E-01,+3.38467264E-01,+9.31676778E-01,+2.76979775E+00
+0.00000000E+00,+1.00000000E+01,-9.52685428E-01,+2.12310866E-01,+9.76056058E-01,+2.92232063E+00,-4.83271708E-02,-2.14456651E-01,+2.19834417E-01,-1.79244106E+00
+0.00000000E+00,+1.10000000E+01,-2.59396438E-03,-5.08648772E-02,+5.09309766E-02,-1.62174935E+00,-9.96916782E-01,+5.54410632E-02,+9.98457201E-01,+3.08603735E+00
+0.00000000E+00,+1.20000000E+01,-9.82263940E-01,-1.31990500E-01,+9.91092296E-01,-3.00801901E+00,-1.59206548E-02,+1.25168637E-01,+1.26177077E-01,+1.69731063E+00
+0.00000000E+00,+1.30000000E+01,-1.07690495E-01,+3.09989116E-01,+3.28162300E-01,+1.90515381E+00,-8.98278246E-01,-3.02282051E-01,+9.47775420E-01,-2.81698339E+00
+0.00000000E+00,+1.40000000E+01,-7.25502368E-01,-4.46260778E-01,+8.51764268E-01,-2.59013986E+00,-2.63259754E-01,+4.40402153E-01,+5.13088447E-01,+2.10957544E+00
+0.00000000E+00,+1.50000000E+01,-4.99520680E-01,+4.99999770E-01,+7.06767770E-01,+2.35571517E+00,-5.16317391E-01,-4.99733672E-01,+7.18552288E-01,-2.37251478E+00
+0.00000000E+00,+1.60000000E+01,-2.60794761E-01,-4.39068165E-01,+5.10680684E-01,-2.10677264E+00,-7.22122771E-01,+4.47952536E-01,+8.49778071E-01,+2.58636047E+00
+0.00000000E+00,+1.70000000E+01,-9.29075077E-01,+2.56699394E-01,+9.63885406E-01,+2.87202230E+00,-8.31412191E-02,-2.76095557E-01,+2.88342191E-01,-1.86329137E+00
+0.00000000E+00,+1.80000000E+01,-1.79964618E-04,+1.34138820E-02,+1.34150892E-02,+1.58421182E+00,-9.99819410E-01,+1.34371698E-02,+9.99909701E-01,+3.12815387E+00
+0.00000000E+00,+1.90000000E+01,-9.05152457E-01,-2.93004243E-01,+9.51395006E-01,-2.82853062E+00,-7.74434929E-02,+2.67293843E-01,+2.78286710E-01,+1.85280622E+00
+0.00000000E+00,+2.00000000E+01,-3.46573680E-01,+4.75878518E-01,+5.88705087E-01,+2.20025231E+00,-6.86823260E-01,-4.63785586E-01,+8.28748007E-01,-2.54766308E+00
