s,n,Re(f_ibc6.11),Im(f_ibc6.11),Abs(f_ibc6.11),Arg(f_ibc6.11),Re(f_ibc6.21),Im(f_ibc6.21),Abs(f_ibc6.21),Arg(f_ibc6.21),Re(f_ibc6.12),Im(f_ibc6.12),Abs(f_ibc6.12),Arg(f_ibc6.12),Re(f_ibc6.22),Im(f_ibc6.22),Abs(f_ibc6.22),Arg(f_ibc6.22)
+0.00000000E+00,+0.00000000E+00,-2.25366033E-01,+4.17823149E-01,+4.74727325E-01,+2.06545052E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-7.03267104E-01,-4.56817780E-01,+8.38610222E-01,-2.56552321E+00
+0.00000000E+00,+1.00000000E+00,-7.03372009E-01,-4.56771087E-01,+8.38672767E-01,-2.56563804E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-3.65578415E-01,+4.81591982E-01,+6.04630809E-01,+2.22009860E+00
+0.00000000E+00,+2.00000000E+00,-5.36443382E-01,+4.98670111E-01,+7.32422953E-01,+2.39267022E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-4.15672741E-01,-4.92837614E-01,+6.44726873E-01,-2.27146225E+00
+0.00000000E+00,+3.00000000E+00,-1.06269192E-01,-3.08181847E-01,+3.25989558E-01,-1.90285460E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-8.95804338E-01,+3.05514199E-01,+9.46469407E-01,+2.81291312E+00
+0.00000000E+00,+4.00000000E+00,-9.30322830E-01,-2.54602164E-01,+9.64532441E-01,-2.87446264E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-3.98938833E-02,+1.95709891E-01,+1.99734532E-01,+1.77188331E+00
+0.00000000E+00,+5.00000000E+00,-7.65821005E-01,+4.23484584E-01,+8.75111996E-01,+2.63646353E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-3.86464770E-01,-4.86939166E-01,+6.21662907E-01,-2.24166024E+00
+0.00000000E+00,+6.00000000E+00,-2.40595002E-01,+4.27444788E-01,+4.90504844E-01,+2.08346531E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-9.53077870E-01,-2.11472087E-01,+9.76257072E-01,-2.92324668E+00
+0.00000000E+00,+7.00000000E+00,-3.41683388E-02,+1.81661398E-01,+1.84846798E-01,+1.75671230E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-9.55292706E-01,+2.06660475E-01,+9.77390764E-01,+2.92854360E+00
+0.00000000E+00,+8.00000000E+00,-2.13354524E-03,+4.61410146E-02,+4.61903154E-02,+1.61700308E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-9.99374234E-01,-2.50074890E-02,+9.99687068E-01,-3.11657473E+00
+0.00000000E+00,+9.00000000E+00,-5.82739452E-05,+7.63351487E-03,+7.63373730E-03,+1.57843014E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-3.44394489E-02,-1.82355075E-01,+1.85578687E-01,-1.75745707E+00
+0.00000000E+00,+1.00000000E+01,-7.49702569E-07,+8.65853340E-04,+8.65853665E-04,+1.57166218E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-3.27805425E-04,-1.81024299E-02,+1.81053977E-02,-1.58890271E+00
+0.00000000E+00,+1.10000000E+01,-4.75070264E-09,+6.89253409E-05,+6.89253411E-05,+1.57086525E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-3.26030553E-06,-1.80562867E-03,+1.80563161E-03,-1.57260196E+00
