s1,s2,Re(r_ex.tm),Im(r_ex.tm),Abs(r_ex.tm),Arg(r_ex.tm),Re(r_ex.te),Im(r_ex.te),Abs(r_ex.te),Arg(r_ex.te)
+3.10000000E-01,+0.00000000E+00,+6.05503208E-02,-9.98165146E-01,+1.00000000E+00,-1.51020895E+00,+1.44496264E-01,-9.89505346E-01,+1.00000000E+00,-1.42579245E+00
+3.20000000E-01,+0.00000000E+00,+5.92188939E-02,-9.98245021E-01,+1.00000000E+00,-1.51154277E+00,+1.48987732E-01,-9.88839044E-01,+1.00000000E+00,-1.42125183E+00
+3.30000000E-01,+0.00000000E+00,+5.78189261E-02,-9.98327087E-01,+1.00000000E+00,-1.51294514E+00,+1.53639081E-01,-9.88127033E-01,+1.00000000E+00,-1.41654629E+00
+3.40000000E-01,+0.00000000E+00,+5.63475523E-02,-9.98411215E-01,+1.00000000E+00,-1.51441891E+00,+1.58452015E-01,-9.87366679E-01,+1.00000000E+00,-1.41167366E+00
+3.50000000E-01,+0.00000000E+00,+5.48017482E-02,-9.98497255E-01,+1.00000000E+00,-1.51596711E+00,+1.63428301E-01,-9.86555214E-01,+1.00000000E+00,-1.40663164E+00
+3.60000000E-01,+0.00000000E+00,+5.31783206E-02,-9.98585032E-01,+1.00000000E+00,-1.51759291E+00,+1.68569775E-01,-9.85689723E-01,+1.00000000E+00,-1.40141783E+00
+3.70000000E-01,+0.00000000E+00,+5.14738984E-02,-9.98674340E-01,+1.00000000E+00,-1.51929967E+00,+1.73878339E-01,-9.84767142E-01,+1.00000000E+00,-1.39602969E+00
+3.80000000E-01,+0.00000000E+00,+4.96849222E-02,-9.98764942E-01,+1.00000000E+00,-1.52109094E+00,+1.79355965E-01,-9.83784244E-01,+1.00000000E+00,-1.39046457E+00
+3.90000000E-01,+0.00000000E+00,+4.78076329E-02,-9.98856561E-01,+1.00000000E+00,-1.52297046E+00,+1.85004697E-01,-9.82737636E-01,+1.00000000E+00,-1.38471969E+00
+4.00000000E-01,+0.00000000E+00,+4.58380598E-02,-9.98948884E-01,+1.00000000E+00,-1.52494220E+00,+1.90826650E-01,-9.81623752E-01,+1.00000000E+00,-1.37879212E+00
+4.10000000E-01,+0.00000000E+00,+4.37720072E-02,-9.99041546E-01,+1.00000000E+00,-1.52701033E+00,+1.96824014E-01,-9.80438834E-01,+1.00000000E+00,-1.37267882E+00
+4.20000000E-01,+0.00000000E+00,+4.16050409E-02,-9.99134135E-01,+1.00000000E+00,-1.52917927E+00,+2.02999055E-01,-9.79178933E-01,+1.00000000E+00,-1.36637655E+00
+4.30000000E-01,+0.00000000E+00,+3.93324719E-02,-9.99226179E-01,+1.00000000E+00,-1.53145371E+00,+2.09354116E-01,-9.77839892E-01,+1.00000000E+00,-1.35988193E+00
+4.40000000E-01,+0.00000000E+00,+3.69493406E-02,-9.99317140E-01,+1.00000000E+00,-1.53383857E+00,+2.15891620E-01,-9.76417333E-01,+1.00000000E+00,-1.35319143E+00
+4.50000000E-01,+0.00000000E+00,+3.44503978E-02,-9.99406409E-01,+1.00000000E+00,-1.53633911E+00,+2.22614069E-01,-9.74906650E-01,+1.00000000E+00,-1.34630132E+00
+4.60000000E-01,+0.00000000E+00,+3.18300855E-02,-9.99493294E-01,+1.00000000E+00,-1.53896086E+00,+2.29524050E-01,-9.73302990E-01,+1.00000000E+00,-1.33920768E+00
+4.70000000E-01,+0.00000000E+00,+2.90825154E-02,-9.99577014E-01,+1.00000000E+00,-1.54170971E+00,+2.36624237E-01,-9.71601241E-01,+1.00000000E+00,-1.33190639E+00
+4.80000000E-01,+0.00000000E+00,+2.62014452E-02,-9.99656683E-01,+1.00000000E+00,-1.54459188E+00,+2.43917387E-01,-9.69796014E-01,+1.00000000E+00,-1.32439312E+00
+4.90000000E-01,+0.00000000E+00,+2.31802531E-02,-9.99731302E-01,+1.00000000E+00,-1.54761400E+00,+2.51406351E-01,-9.67881628E-01,+1.00000000E+00,-1.31666333E+00
+5.00000000E-01,+0.00000000E+00,+2.00119103E-02,-9.99799742E-01,+1.00000000E+00,-1.55078308E+00,+2.59094069E-01,-9.65852092E-01,+1.00000000E+00,-1.30871220E+00
+5.10000000E-01,+0.00000000E+00,+1.66889496E-02,-9.99860730E-01,+1.00000000E+00,-1.55410660E+00,+2.66983577E-01,-9.63701079E-01,+1.00000000E+00,-1.30053470E+00
+5.20000000E-01,+0.00000000E+00,+1.32034329E-02,-9.99912831E-01,+1.00000000E+00,-1.55759251E+00,+2.75078006E-01,-9.61421911E-01,+1.00000000E+00,-1.29212549E+00
+5.30000000E-01,+0.00000000E+00,+9.54691395E-03,-9.99954427E-01,+1.00000000E+00,-1.56124927E+00,+2.83380589E-01,-9.59007530E-01,+1.00000000E+00,-1.28347895E+00
