s,n,Re(f_ibc3.11),Im(f_ibc3.11),Abs(f_ibc3.11),Arg(f_ibc3.11),Re(f_ibc3.21),Im(f_ibc3.21),Abs(f_ibc3.21),Arg(f_ibc3.21),Re(f_ibc3.12),Im(f_ibc3.12),Abs(f_ibc3.12),Arg(f_ibc3.12),Re(f_ibc3.22),Im(f_ibc3.22),Abs(f_ibc3.22),Arg(f_ibc3.22)
+0.00000000E+00,+0.00000000E+00,-2.52469528E-01,+4.34429126E-01,+5.02463459E-01,+2.09724200E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-7.38086048E-01,-4.39676055E-01,+8.59119344E-01,-2.60434272E+00
+0.00000000E+00,+1.00000000E+00,-6.75161663E-01,-4.68314416E-01,+8.21682215E-01,-2.53515263E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-3.30071912E-01,+4.70238711E-01,+5.74518852E-01,+2.18281251E+00
+0.00000000E+00,+2.00000000E+00,-5.62965925E-01,+4.96019447E-01,+7.50310553E-01,+2.41932804E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-4.48228210E-01,-4.97312459E-01,+6.69498476E-01,-2.30432974E+00
+0.00000000E+00,+3.00000000E+00,-9.39006128E-02,-2.91690397E-01,+3.06432069E-01,-1.88223884E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-8.79344781E-01,+3.25726169E-01,+9.37733854E-01,+2.78684408E+00
+0.00000000E+00,+4.00000000E+00,-9.23556972E-01,-2.65705648E-01,+9.61018716E-01,-2.86145980E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-3.32908969E-02,+1.79395131E-01,+1.82457932E-01,+1.75428210E+00
+0.00000000E+00,+5.00000000E+00,-7.70073180E-01,+4.20785548E-01,+8.77538136E-01,+2.64150000E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-3.94425531E-01,-4.88726950E-01,+6.28033065E-01,-2.24981937E+00
+0.00000000E+00,+6.00000000E+00,-2.39539335E-01,+4.26802345E-01,+4.89427558E-01,+2.08222952E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-9.52184109E-01,-2.13376502E-01,+9.75799216E-01,-2.92114297E+00
+0.00000000E+00,+7.00000000E+00,-3.28931689E-02,+1.78356969E-01,+1.81364740E-01,+1.75317036E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-9.61693791E-01,+1.91934476E-01,+9.80659875E-01,+2.94460134E+00
+0.00000000E+00,+8.00000000E+00,-1.93560505E-03,+4.39529121E-02,+4.39955117E-02,+1.61480604E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-9.92819633E-01,-8.44322745E-02,+9.96403349E-01,-3.05675387E+00
+0.00000000E+00,+9.00000000E+00,-5.00785338E-05,+7.07644162E-03,+7.07661881E-03,+1.57787300E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-3.20595360E-02,-1.76158230E-01,+1.79051769E-01,-1.75081889E+00
+0.00000000E+00,+1.00000000E+01,-7.02915188E-07,+8.38400080E-04,+8.38400375E-04,+1.57163473E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-3.24625694E-04,-1.80144473E-02,+1.80173720E-02,-1.58881467E+00
+0.00000000E+00,+1.10000000E+01,-8.27679293E-09,+9.09768809E-05,+9.09768813E-05,+1.57088730E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-3.35988280E-06,-1.83299523E-03,+1.83299831E-03,-1.57262933E+00
