s,n,Re(f_ibc6.tm),Im(f_ibc6.tm),Abs(f_ibc6.tm),Arg(f_ibc6.tm),Re(f_ibc6.te),Im(f_ibc6.te),Abs(f_ibc6.te),Arg(f_ibc6.te)
+0.00000000E+00,+0.00000000E+00,-2.25406683E-01,+4.17849866E-01,+4.74770137E-01,+2.06549916E+00,-7.01958893E-01,-4.57397645E-01,+8.37829871E-01,-2.56409225E+00
+0.00000000E+00,+1.00000000E+00,-7.03331493E-01,-4.56789124E-01,+8.38648611E-01,-2.56559369E+00,-3.66853735E-01,+4.81946130E-01,+6.05684518E-01,+2.22142218E+00
+0.00000000E+00,+2.00000000E+00,-5.36475426E-01,+4.98667768E-01,+7.32444828E-01,+2.39270235E+00,-4.14678437E-01,-4.92666450E-01,+6.43955307E-01,-2.27045332E+00
+0.00000000E+00,+3.00000000E+00,-1.06260542E-01,-3.08170795E-01,+3.25976290E-01,-1.90284057E+00,-8.96114085E-01,+3.05112490E-01,+9.46633026E-01,+2.81342038E+00
+0.00000000E+00,+4.00000000E+00,-9.30326028E-01,-2.54596759E-01,+9.64534099E-01,-2.87446892E+00,-3.98325516E-02,+1.95565640E-01,+1.99580940E-01,+1.77172656E+00
+0.00000000E+00,+5.00000000E+00,-7.65801245E-01,+4.23496987E-01,+8.75100706E-01,+2.63644020E+00,-3.87416443E-01,-4.87160079E-01,+6.22427862E-01,-2.24263722E+00
+0.00000000E+00,+6.00000000E+00,-2.40569051E-01,+4.27429038E-01,+4.90478390E-01,+2.08343495E+00,-9.53940187E-01,-2.09614662E-01,+9.76698616E-01,-2.92529451E+00
+0.00000000E+00,+7.00000000E+00,-3.41597528E-02,+1.81639379E-01,+1.84823572E-01,+1.75668867E+00,-9.53613262E-01,+2.10321203E-01,+9.76531240E-01,+2.92451600E+00
+0.00000000E+00,+8.00000000E+00,-2.13258386E-03,+4.61306400E-02,+4.61799075E-02,+1.61699266E+00,-9.99838527E-01,-1.27061630E-02,+9.99919260E-01,-3.12888512E+00
+0.00000000E+00,+9.00000000E+00,-5.82370829E-05,+7.63110027E-03,+7.63132249E-03,+1.57842772E+00,-3.50029923E-02,-1.83787331E-01,+1.87090867E-01,-1.75899621E+00
+0.00000000E+00,+1.00000000E+01,-7.49248353E-07,+8.65591007E-04,+8.65591332E-04,+1.57166192E+00,-3.29651769E-04,-1.81533220E-02,+1.81563148E-02,-1.58895364E+00
+0.00000000E+00,+1.10000000E+01,-4.75137062E-09,+6.89301864E-05,+6.89301866E-05,+1.57086526E+00,-3.26011506E-06,-1.80557593E-03,+1.80557887E-03,-1.57260191E+00
+0.00000000E+00,+1.20000000E+01,-1.32281263E-11,+3.63704911E-06,+3.63704911E-06,+1.57079996E+00,-2.53867122E-08,-1.59332080E-04,+1.59332082E-04,-1.57095566E+00
+0.00000000E+00,+1.30000000E+01,-6.08680300E-15,+7.80179402E-08,+7.80179402E-08,+1.57079640E+00,-1.46876524E-10,-1.21192625E-05,+1.21192625E-05,-1.57080845E+00
+0.00000000E+00,+1.40000000E+01,-5.14173839E-17,-7.17056482E-09,+7.17056482E-09,-1.57079633E+00,-6.30943552E-13,-7.94319552E-07,+7.94319552E-07,-1.57079712E+00
+0.00000000E+00,+1.50000000E+01,-1.05647766E-18,-1.02784139E-09,+1.02784139E-09,-1.57079633E+00,-2.03920526E-15,-4.51575606E-08,+4.51575606E-08,-1.57079637E+00
+0.00000000E+00,+1.60000000E+01,-5.99396348E-21,-7.74108329E-11,+7.74108329E-11,-1.57079633E+00,-5.03813030E-18,-2.24457749E-09,+2.24457749E-09,-1.57079633E+00
+0.00000000E+00,+1.70000000E+01,-1.89937895E-23,-4.34499670E-12,+4.34499670E-12,-1.57079633E+00,-9.66451514E-21,-9.83066339E-11,+9.83066339E-11,-1.57079633E+00
+0.00000000E+00,+1.80000000E+01,-4.45709323E-26,-1.98782523E-13,+1.98782523E-13,-1.57079633E+00,-1.46056578E-23,-3.82116125E-12,+3.82116125E-12,-1.57079633E+00
